sequence,visible_label,title,start_line,end_line,entry_state,reader_promise,protagonist_goal,action,resistance_or_cost,turn_or_reveal,paid_reward,state_change_axis,state_change,ending_hook,closed_loops,opened_loops,arc_id,confidence
1,1화,돌아오다.,1,255,태우그룹 부도 뒤 20년을 빈곤과 복수 집착 속에 버틴 김민재가 고시원에서 각혈하며 죽는다.,17세로 돌아온 재벌 3세가 가족과 그룹을 지키고 배신자들에게 복수할 두 번째 기회를 얻는다.,김태중의 사랑받는 손자로 다시 자리 잡고 회귀와 신상명세서 능력을 감춘 채 첫 위기를 처리한다.,김택훈 앞에서 17세답게 행동하고 김태중 생일연회에서 납품가를 호소하는 협력업체 사장의 10억 원 파텍필립 시계를 폭로한다.,부모를 잃고 할아버지마저 잃었던 죄책감과 실패 기억이 남아 있으며 미성년이라 그룹 경영에 직접 개입할 수 없다.,회귀와 함께 얼굴만 보면 이름·소속·특이사항·업무 능력이 뜨는 신상명세서 능력이 생겼음이 드러난다.,협력업체 사장의 기만을 걷어 내 연회를 지키고 김태중에게 100만 달러 스위스 계좌를 입학 선물로 받는다.,관계·자원·능력,김민재와 김태중의 조손 관계가 회복되고 10억 원대 종잣돈과 인재 판별 능력이 확보된다.,통장 속 돈이 100만 원이 아니라 100만 달러라는 김태중의 말로 첫 자금 게임을 연다.,김민재의 죽음과 회귀 여부; 생일연회 훼방꾼 처리,태우그룹 부도 저지; 김태중 생존; 살생부의 배신자 복수; 신상명세서 활용,DCA-N01,0.95
2,2화,태우증권,256,497,김민재는 각종 통장에 약 70억 원이 있고 그룹 부도 당시 부채가 89조였음을 되짚는다.,미래 지식과 사람 보는 능력으로 미성년자의 용돈을 그룹을 구할 외부 자본과 인맥으로 키운다.,태우증권에서 자신의 미래 정보를 실행할 S급 투자 책임자와 A급 실무진을 확보한다.,태우증권 출입구에서 직원 능력치를 훑어 분석력 S급 한정훈과 A급 직원 세 명을 고르고 김태중에게 전담팀을 청한다.,"17세라는 나이와 직원들의 투자 놀이 취급, 김태중의 직원 동의 조건 때문에 권한과 신뢰가 부족하다.",훗날 태우증권을 인수할 전설적 투자가 한정훈이 현재는 해외주식사업부 대리로 퇴사를 고민 중이다.,김태중의 승인과 추가 10억 원을 받아 220억 원 규모의 일본 버블 붕괴 투자를 논의할 팀을 만든다.,인재·권한·자원,한정훈 등 네 명이 임시 전담팀이 되고 김민재가 220억 원의 실질 투자 의사결정자로 선다.,김민재가 일본 대출총량제 뒤 붕괴를 전제로 투자하자며 220억 원 전액을 제시한다.,전담 투자팀 선발; 김태중의 허락,일본 버블 붕괴 베팅; 한정훈의 충성 확보; 220억 원 비밀 유지,DCA-N01,0.95
3,3화,버블(1),498,722,김민재가 부모 유산까지 합친 220억 원과 아직 자신을 아이로 보는 전담팀을 마주한다.,계약과 미래 지식으로 일본 붕괴에 전액을 걸고 동시에 회사 입사 시계를 앞당긴다.,해외 법인과 성과보수 계약으로 팀을 묶고 가장 공격적인 닛케이 하락 포트폴리오를 실행한다.,홍콩 법인을 빌리고 수익 1퍼센트 보너스·실패 위로금·비밀유지 위약금을 명시한 계약을 체결한 뒤 보험·공매도 중심 3안을 선택한다.,"220억 원 전액 손실 가능성과 김태중에게 투자 규모를 숨겨야 하는 부담, 검정고시와 미국 대학 준비가 겹친다.",한정훈 팀이 닛케이 반토막 시 10배 이상을 주는 보험까지 찾아내며 투자 일 자체에 재미와 소속감을 느낀다.,"성과보수·비밀유지 계약과 보험·공매도 중심 3안 집행 지시를 확정하고, 김태중에게 다국어 실력을 증명해 검정고시와 하버드·스탠퍼드 도전을 승인받는다.",계약·교육·시간,김민재는 전담팀의 법적 고용주이자 1995년 조기 입사를 향한 교육 계획의 주도자가 된다.,검정고시 책 대신 SAT 교재를 꺼내 외환위기 3년 전 입사 계획을 본격화한다.,전담팀 계약; 검정고시 허락,일본 붕괴 수익 실현; 세계 최고 대학 입학; 1995년 태우 입사,DCA-N01,0.95
4,4화,버블(2),723,929,220억 원 전액을 일본 하락에 건 뒤 김민재는 검정고시와 투자 결과를 함께 기다린다.,실제 1990년 대출총량제와 닛케이 급락이 회귀자의 첫 대형 예측을 증명한다.,버블 수익을 현금화해 팀을 자기 사람으로 만들고 다음 걸프전 투자와 왕실 인맥을 준비한다.,"검정고시 만점 합격증을 김태중에게 보이고 사우디 동행 허락을 받은 뒤 전담팀의 예상 4,780억 원·기실현 1,210억 원을 결산하고 1퍼센트 보너스를 약속한다.",보험·증권사에서 수익을 받아 내는 데 시간이 걸리고 김태중의 세계화 확장을 정면으로 막을 권한은 아직 없다.,일본 폭락으로 팀의 의심이 충성으로 바뀌고 김민재는 이라크가 쿠웨이트를 침공할 논리를 제시한다.,"만점 검정고시, 이미 실현된 1,210억 원, 팀원당 수억 원 보너스, 사우디 왕실 접근 기회를 한꺼번에 얻는다.",돈·관계·교육,초기 자본 문제를 사실상 해결하고 전담팀이 김민재를 어린 도련님이 아닌 리더로 받아들인다.,8월 초 원유 상승에 최대 레버리지를 걸면 12배 수익도 가능하다는 계산이 나온다.,일본 버블 첫 투자; 검정고시,걸프전 원유 베팅; 사우디 인맥; 투자 수익 전액 회수,DCA-N01,0.95
5,5화,걸프전(1),930,1168,"일본 붕괴로 1,400억 원대 자본을 만든 김민재가 걸프전까지 넉 달을 앞둔다.",미래 전쟁을 돈과 국가급 인맥으로 동시에 바꾸며 미국 투자회사의 기반을 닦는다.,미국 선물거래 법인을 만들고 사우디 왕실에 결정적인 빚을 지운 뒤 원유 급등 포지션을 완성한다.,한정훈에게 사표와 미국 법인 설립을 지시하고 사우디에서 어린 무함마드 빈 살만과 놀며 살만에게 왕실 보석 절도범 끄리앙끄라이를 고발한다.,"한정훈의 퇴직 공포, 선물거래의 청산 위험, 김태중의 공격적 세계화 노선을 직접 고치지 못하는 제약이 있다.",청소기에서 실제 왕실 보석이 쏟아져 살만이 사우디 왕실의 영구 지원을 약속하고 태우건설 수주도 두 배가 된다.,사우디 왕실이라는 방패와 태우건설 추가 수주를 얻고 한정훈이 2억 달러 원유 급등 포지션을 구축한다.,국제 인맥·돈·조직,김민재가 살만 부자와 인연을 만들고 전담팀은 태우증권 밖 독립 투자회사로 이동하기 시작한다.,이라크 침공 하루 전 2억 달러를 건 한정훈에게 김민재가 다 잃어도 다시 벌면 된다고 말한다.,사우디 보석 도난 저지; 왕실 인맥 확보,걸프전 급등 수익; 미국 투자회사 정착; 김태중 세계화 리스크 완화,DCA-N01,0.95
6,6화,걸프전(2),1169,1387,이라크 침공 직전 2억 달러 원유 포지션과 미국 유학 계획이 동시에 가동된다.,전쟁 발발로 돈·인재·교육 일정이 한 번에 급상승하고 미래 배신자도 식별된다.,유가 30달러에서 수익을 확정하고 전담팀과 미국으로 옮겨 독립 회사를 세운다.,유가가 하루 만에 두 배 뛰자 30달러 매도를 지시하고 장수영의 미래 배신을 기억한 뒤 김태중에게 전담팀 동행 미국 유학을 설득한다.,김태중은 17세 손자의 단독 미국행을 걱정하고 장수영처럼 현재 충신인 미래 배신자를 당장 처벌할 근거는 없다.,유가 거래가 20억 달러·약 1.4조 원 수익으로 끝나고 네 명이 한정훈의 미국 법인 SAVE로 완전히 이직한다.,"1.4조 원과 한정훈의 절대적 신뢰, 미국 저택·호위·최고 입시진을 확보한다.",돈·조직·관계·장소,전담팀이 태우증권 소속 임시 교사에서 SAVE 핵심 직원으로 바뀌고 김민재의 활동 무대가 미국으로 옮겨진다.,미국 법인의 이름을 태우그룹과 김태중을 지킨다는 목적을 새긴 SAVE로 확정한다.,원유 상승 수익; 미국 유학 허락; 전담팀 이직,미국 참전 뒤 유가 하락 베팅; SAVE 확대; 장수영 감시,DCA-N01,0.95
7,7화,걸프전(3),1388,1608,SAVE가 20억 달러를 쥐고 네 명의 한국인 핵심 직원과 미국에서 새 출발한다.,첫 결산을 조직 확장과 두 번째 걸프전 베팅으로 재장전해 우연이 아닌 체계를 만든다.,성과 차등 보상을 도입하고 월가 인재를 채용한 뒤 미군 참전 시 유가 폭락을 공매도한다.,네 명에게 각 35억 원을 지급하고 A급 20명과 친화력 S급 한 명을 사진 능력치로 뽑아 25명 회사를 만든 뒤 1991년 1월 17일 전 직원으로 원유 공매도를 건다.,"월가 시스템 부재와 고액 연봉, 20억 달러 증거금 청산 위험, 베트남전 기억 때문에 직원들이 미군의 신속 승리를 믿지 못한다.",사막의 폭풍 작전과 F-117·B-52·토마호크 공습이 이라크를 하루 만에 초토화하며 김민재의 하락 논리를 증명한다.,"SAVE 인력 25명과 실적 경쟁 보상 체계, 세계 최고 인재 풀, 두 번째 유가 수익 직전의 우위를 얻는다.",조직·돈·능력,SAVE가 개인 전담팀에서 공격적 월가 투자회사로 변하고 김민재의 미래 지식이 연속 승리로 검증된다.,이라크 폭격 영상이 전파를 타는 순간 유가가 실제로 흔들리기 시작한다.,초기 네 직원 보너스; SAVE 1차 채용,유가 공매도 결산; 다음 시대 투자처; 미국 대학 입학,DCA-N01,0.95
8,8화,제프리(1),1609,1815,사막의 폭풍 작전 직후 SAVE가 20억 달러를 원유 하락에 걸었고 김민재는 미국 입시와 회사를 병행한다.,걸프전 최종 수익을 다음 IT 시대의 기업과 세계적 경영 인재 선점으로 전환한다.,유가 공매도를 안전하게 청산하고 인터넷 금융사 D.E의 제프리를 SAVE로 빼 온다.,유가 18달러 청산을 지시해 100억 달러를 번 뒤 D.E 인수 제의를 던지고 거절되자 친화력 S급 데이비드에게 제프리 포함 14명 스카우트를 맡긴다.,거액 청산을 따라붙는 세력 때문에 기대 수익을 포기했고 D.E 대표 리처드는 미래 성장성을 믿어 인수를 거절하며 제프리는 회사에 충성한다.,데이비드가 일주일 만에 14명 중 13명을 데려오고 김민재는 S급 능력 세 가지를 지닌 미래 세계 부자 1위 제프리와 직접 대면한다.,걸프전 하락 베팅에서 100억 달러·약 7조 원을 확정하고 SAVE가 월가의 인재 유출을 일으킬 채용력을 증명한다.,돈·조직·평판,김민재의 자본이 1997년까지 버틸 기반으로 커지고 SAVE가 선물 회사에서 IT 창업·지분 투자 회사로 방향을 넓힌다.,제프리를 낚기 위해 평범한 연봉 제안이 아닌 거대한 미래 사업 아이디어를 던져야 한다.,걸프전 유가 공매도; D.E 직원 13명 영입,제프리 영입; 인터넷 사업 투자; 1997년 외환위기 전 자본 성장,DCA-N01,0.95
9,9화,제프리(2),1816,2017,D.E 핵심 13명은 넘어왔지만 제프리만 SAVE 이직을 거부한 채 김민재와 면담한다.,미래 거인의 원래 아이디어를 정확히 건드려 사람을 선점하고 그 능력을 조직 수익으로 보상받는다.,아마존식 선순환과 메기를 미끼로 제프리를 영입하고 과로로 이탈할 SAVE 인재를 성과보수로 붙든다.,냅킨에 고객·셀러·상품·낮은 비용의 선순환을 그려 창업 전액 지원을 약속하고 제프리에게 부사장 전권을 준 뒤 투자 수익의 20~30퍼센트를 직원 성과보수로 책정한다.,제프리가 대표가 고교생 나이임을 뒤늦게 알고 경직되고 직원들을 기계처럼 굴려 네 증권맨과 A급 인재들의 사표 위험이 커진다.,제프리 투입 한 달 만에 김민재 주도 외 투자의 수익이 최소 30퍼센트 늘고 채찍은 제프리·당근은 김민재라는 조직 운영이 정착한다.,제프리·메기와 D.E 프로젝트팀을 통째로 얻고 SAVE의 독자 투자 생산성과 SAT 상위 2퍼센트 성적을 확보한다.,인재·조직·교육,SAVE에 세계적 경영자와 성과보수 체계가 결합되고 김민재는 태우 도움 없이도 대학 외부활동을 만들 위치에 선다.,태우그룹 붕괴의 시발점인 퀀텀펀드가 영국 파운드화 공매도 동참을 제안한다.,제프리·D.E팀 영입; SAVE 보상 갈등,퀀텀펀드와의 동맹 여부; 파운드 공매도; 대학 추천서,DCA-N01,0.95
10,10화,제프리(3),2018,2167,"김민재는 외환위기 원흉 퀀텀펀드와 손잡을지, 감정 대신 그룹 생존 자금을 택할지 결정해야 한다.","복수 대상의 힘까지 이용해 영국을 공격하고, 퀀텀 장기동맹·추천서 작성 약속·독자 운용자금을 얻는 첫 월가 결산.",파운드 공매도에 유리한 조건으로 참여하고 조지와 장기 동맹을 맺어 SAVE를 자율 운영 체계로 만든다.,"다니엘과 ERM 허점을 논쟁하며 10억 달러 선투자·조지 면담 조건을 제시하고, 조지에게 리라화 다음 공격까지 예측해 60억 달러 투자와 모든 전쟁의 동맹을 약속한다.","영국 정부와 싸우는 60억 달러 위험, 구두 동맹의 취약성, 대학 진학 후 김민재가 회사에 매달릴 수 없는 시간 비용이 있다.","조지가 자신과 짐의 대학 추천서를 써 주겠다고 약속하고, 한정훈은 퀀텀 자료에서 1,100억 달러가 이미 영국을 그로기 상태로 몰았다고 판단한다.","퀀텀펀드의 모든 통화전쟁 장기동맹과 파운드 공격 60억 달러 공동투자 조건, 조지·짐의 추천서 작성 약속, 남은 40억 달러 운용 여력을 얻는다. 추천서 원본과 파운드 붕괴 수익은 아직 미지급이다.",동맹·평판·교육·돈,SAVE는 월가의 신생 회사에서 국가 통화 공격 연합의 정식 동맹이 되고 한정훈·제프리가 각 투자 축을 맡는다.,"한정훈이 파운드 TF·퀀텀 대화 채널을 맡고, 대학에 갈 김민재는 굵직한 투자·영입만 직접 챙기는 SAVE 자율운영을 실제로 버티게 할 수 있는가?",제프리 영입·SAVE 운영축; 퀀텀 장기동맹·60억 달러 투자 합의; 조지·짐의 추천서 작성 약속,추천서 실제 수령; 영국 파운드화 붕괴·보험금; 대학 입학·조기졸업; 제프리의 IT 투자,DCA-N01,0.95
