sequence,visible_label,arc_id,arc_phase,concrete_event,tension_1_10,reward_1_10,hook_1_10,information_weight,action_weight,relationship_weight,emotion_weight,material_or_status_weight,pacing_note
251,"251","S2-A01","전진·보상","최재석 공장 유치 여론전이 지지율을 끌어올리고 태우·카이 전기차 시제품이 드라이빙 센터 시험을 통과한다.",6,8,8,0.25,0.30,0.10,0.10,0.25,"선거 전진과 기술 실물 보상을 한 화에 병렬 배치하고 LA 3사 대결로 빠르게 넘긴다."
252,"252","S2-A01","결산·전환","최재석이 경기지사가 되고 LA 모터쇼에서 쿼크·카이 픽업·테슬라 스포츠카가 연속 공개된다.",6,9,8,0.20,0.35,0.10,0.10,0.25,"정치 승리를 짧게 결산한 뒤 공개 장면에 충분히 머물러 산업 특이점을 만든다."
253,"253","S2-A01","여진·다음 약속","김태중이 전기차 투자를 믿어 주고 한 팀장의 연체·파산 지표가 라구람 라잔 영입으로 이어진다.",6,7,8,0.40,0.10,0.25,0.15,0.10,"가족 신뢰 보상을 지급한 직후 경제위기 수치로 장르 축을 금융전으로 바꾼다."
254,"254","S2-A02","도입·전진","김민재가 라잔과 7명의 석학을 영입하고 로버트가 다음 금리 인상을 D-DAY 도화선으로 계산한다.",7,8,8,0.40,0.15,0.20,0.10,0.15,"영입 협상을 길게 보여 인재 보상을 납득시킨 뒤 위기 시계를 구체화한다."
255,"255","S2-A02","압박·전환","모럴해저드 생중계가 버냉키의 부인 회견을 끌어내고 부시 대통령이 출국 직전 김민재를 비밀 소환한다.",8,8,9,0.25,0.30,0.15,0.10,0.20,"온라인 여론→연준 반응→대통령 소환의 계단식 상승으로 협상 직전 끊는다."
256,"256","S2-A02","압박·재장전","부시가 위기 경고를 음모론이라 모욕하자 김민재는 이를 미래 면책으로 남기고 국내 KIKO 판매를 포착한다.",7,6,8,0.35,0.20,0.20,0.10,0.15,"대통령 면담의 즉시 실패를 장기 우위로 해석한 뒤 한국 금융 응징으로 곧장 재장전한다."
257,"257","S2-A02","전진","한 팀장이 중소기업의 집단 취소권으로 신화은행에 10배 보상 KIKO 보험을 출시하게 만든다.",7,8,8,0.20,0.35,0.15,0.10,0.20,"보험 구조 설명과 정태섭의 탐욕을 충분히 보여 역함정의 납득을 만든다."
258,"258","S2-A02","보상·확장","KIKO 보험판이 15조 원으로 커지고 태우그룹은 국내 대선 중립과 미국 방파제 전략을 정한다.",6,8,8,0.30,0.15,0.20,0.10,0.25,"금융 보상을 먼저 숫자로 지급하고 정치 생존 전략과 연준 추가 인상으로 폭을 넓힌다."
259,"259","S2-A02","병렬 전진","천민정의 픽시2·바둑 AI·스타크 AI가 공개되고 정상급 프로가 덫으로 AI를 몰아붙인다.",6,7,8,0.30,0.35,0.15,0.10,0.10,"위기 준비 사이 기술 성취를 길게 즐기게 하되 인간의 변칙으로 승패 훅을 만든다."
260,"260","S2-A02","보상·압박","AI 이벤트가 200만 시청·태우IT 13% 상승을 만들고 모기지 파산·리먼 붕괴 예측이 현실권에 든다.",8,9,9,0.35,0.15,0.10,0.10,0.30,"IT 보상과 금융 공포를 교차해 속도를 높이고 미국 대사 호출에서 멈춘다."
