sequence,visible_label,title,start_line,end_line,entry_state,reader_promise,protagonist_goal,action,resistance_or_cost,turn_or_reveal,paid_reward,state_change_axis,state_change,ending_hook,closed_loops,opened_loops,arc_id,confidence
1,"1화","졸부집 망나니(개정판) 1화",1,225,"교통사고 뒤 1996년의 백범 몸에서 깨어나 3개월간 기억을 맞춘 상태","전생의 기억으로 졸부집 망나니의 삶을 다시 세울 가능성","백범의 가족과 재산을 받아들이고 과거 망나니와 다른 인생을 정한다","독립군 백선우의 손자와 판교 땅부자 백 씨 부부의 외아들이라는 이력을 복원하고 부모를 만난다","여자와 유흥에 100억을 날린 평판 탓에 아버지가 집과 카드까지 회수하려 한다","아버지가 사고로 대가 끊길 뻔했다며 당장 결혼하라는 최후통첩을 내린다","천애고아였던 전생과 달리 존경할 부모와 700억대 기반 및 미래 기억을 함께 얻는다","가족·정체성","백범은 망나니의 기억을 가진 회귀자로서 부모를 지킬 새 삶을 선택한다","사귄 여자도 없는데 누구와 결혼할지 답해야 한다","회귀가 꿈인지와 새 몸의 정체 확인","결혼 강요와 아버지의 신뢰 회복","E01","high"
2,"2화","졸부집 망나니(개정판) 2화",226,448,"아버지가 결혼하지 않으면 모든 지원을 끊겠다고 압박한다","결혼 조건을 미래 투자 종잣돈으로 뒤집는 협상","IMF 전에 움직일 300억과 판교 토지를 동시에 확보한다","결혼을 수락하는 대신 300억 투자와 남은 300억의 판교 토지 매입을 요구한다","아버지는 아들을 여전히 파락호로 보고 카드와 집을 끊을 준비까지 했다","백범의 사업 제안에 놀란 아버지가 결혼 즉시 300억을 주기로 약속한다","맞선 후보와 300억 약속을 얻고 부모에게 처음 사업 의지를 보인다","재산·가족 신뢰","소비만 하던 아들이 투자 조건을 설계하는 협상자로 바뀐다","뉴스의 김대준·이희창 등 이름이 달라 평행세계임을 확인한다","결혼과 사업자금의 교환 조건","미래가 그대로 재현될지와 맞선 성공 여부","E01","high"
3,"3화","졸부집 망나니(개정판) 3화",449,650,"강남 호텔에서 다섯 건 맞선을 보되 시장 평가는 졸부집 개망나니다","돈만 보는 혼처를 거르고 사람과 인맥을 함께 얻을 짝을 찾는다","강남 마담뚜에게 달라진 백범을 각인시키고 심은혜를 먼저 만난다","안소미의 재산 질문을 중단시키고 아버지 번호를 건넨 뒤 중매인에게 판단 근거를 차분히 설명한다","낮은 학벌과 망나니 소문 때문에 안소미가 노골적으로 무시한다","마담뚜가 백범을 다시 보고 사법연수원생 심은혜와 즉석 맞선을 주선한다","굴욕적인 첫 맞선을 평판 재평가와 더 좋은 후보를 얻는 계기로 바꾼다","평판·관계","강남 중매 시장의 호구가 조건을 고르는 당사자로 올라선다","수수한 미인 심은혜가 왜 졸부집 망나니 맞선에 나왔는지 드러날 차례다","안소미와의 맞선","심은혜의 사정과 상호 선택 가능성","E01","high"
4,"4화","졸부집 망나니(개정판) 4화",651,851,"서울법대·사법시험 수석 심은혜와 처음 마주 앉는다","서로의 흠결을 숨기지 않는 결혼 파트너 검증","과거 망나니 생활을 먼저 고백하고 은혜의 지혜와 목표를 확인한다","파락호·여자 문제·결혼을 서두르는 이유를 브리핑하고 은혜의 가족사를 듣는다","망나니라는 사실을 밝히면 과분한 혼처가 즉시 떠날 수도 있다","은혜도 수감된 오빠와 구치소 간 동생들 및 1억 빚과 아픈 어머니를 전부 공개한다","은혜가 교통사고 후유증부터 걱정하며 백범과 마담뚜의 예상보다 담대하게 응답한다","관계·평판","두 사람은 상품처럼 평가받던 맞선에서 서로의 결함을 아는 동등한 협상자가 된다","은혜가 이런 자신과 결혼할 수 있겠느냐고 정면으로 묻는다","백범의 과거 은폐 가능성","은혜의 판사 꿈과 처가 문제를 품은 결혼 선택","E01","high"
5,"5화","졸부집 망나니(개정판) 5화",852,1060,"은혜는 빚 때문에 판사 임용이 막힐 수 있고 백범은 결혼해야 300억을 받는다","돈과 명예를 나눠 키우는 속전속결 부부 동맹","은혜의 판사 꿈을 외조하고 자신의 사업 자금을 얻는 결혼을 성사시킨다","만난 지 30분 만에 청혼해 서로의 목적을 솔직히 교환하고 혼인신고까지 마친 뒤 판교 본가로 간다","두 사람 모두 가족 짐과 나쁜 평판을 안고 있으며 부모는 백범의 결단력을 믿지 못한다","주민등록등본을 내민 백범이 이미 유부남이 됐음을 증명하고 약속한 300억을 요구한다","심은혜라는 아내와 법조 인맥을 얻고 부모 앞에서 처음 결단력 있는 모습을 보인다","관계·지위","백범은 혼자 노는 망나니에서 판사 지망생의 남편이 된다","아버지가 300억 약속을 실제로 지킬지와 번개 결혼식이 남는다","혼처 선택과 혼인신고","300억 지급·결혼식·처가 구제","E01","high"
6,"6화","졸부집 망나니(개정판) 6화",1061,1255,"부모는 은혜가 아들의 과거를 모르고 혼인했을까 걱정한다","아내의 증언으로 개과천선의 첫 가족 공인을 받고 결혼 자원을 현실화한다","아버지에게 약속 이행을 받고 은혜의 가족 문제를 함께 책임진다","은혜가 과거를 알고도 오늘의 백범과 결혼했다고 부모를 안심시키고 호텔 결혼식을 치른다","아버지는 며느리가 300억을 노린 것인지까지 의심하고 법조 하객들은 은혜를 가엾게 본다","아버지가 300억을 내주고 현직 강동우 대법관이 주례를 서 법조 인맥이 열린다","장모를 특실에 입원시키고 처남 사건을 해결할 돈·법률 기반을 갖춘다","재산·가족·평판","부모에게 불신받던 아들이 300억 보유 유부남이자 대법관 주례 신랑이 된다","결혼 뒤 건넨 사과 박스를 뇌물로 오해한 대법관이 백범을 따로 부른다","혼인 조건과 300억 지급","대법관 오해 해소와 은혜 가족 구제","E01","high"
7,"7화","졸부집 망나니(개정판) 7화",1256,1500,"강동우 대법관이 주차장에서 사과 박스를 뇌물로 단정한다","망나니·졸부의 돈봉투 기대를 정직한 농부 집안의 선물로 뒤집는다","대법관의 오해를 명예와 개인적 친분으로 전환한다","박스를 직접 열어 아버지가 무농약으로 기른 사과임을 밝히고 오히려 자신이 오해를 부른 점을 사과한다","소문 탓에 대법관은 결혼 주례까지 후회한다고 냉랭하게 몰아붙인다","부끄러워진 대법관이 소문과 딴판이라며 웃고 바둑을 두자고 먼저 청한다","강동우의 존중과 사적 만남 약속을 얻고 은혜와 뜨거운 신혼 신뢰도 깊어진다","평판·관계","졸부 아들의 뇌물 의심이 농부 아버지의 청렴과 백범의 예의에 대한 목격담으로 갱신된다","본가에서 300억의 세금·투자 구조를 정리하고 처남들을 만나야 한다","대법관의 사과 박스 오해와 결혼 결산","부모 자금 운용 및 은혜 가족 구제","E01","high"
8,"8화","졸부집 망나니(개정판) 8화",1501,1701,"신혼의 여진 속 백범은 판사 수석을 노리는 은혜를 공부시키고 본가를 찾는다","부모 돈을 단순 증여가 아닌 장기 투자와 명예 사업으로 확장한다","300억 세금 문제를 늦추고 판교 토지와 추가 대출을 확보한다","차용증을 내밀고 회사 명의 투자안을 제시하며 12월 말 직접 증여세를 내겠다고 절충한다","아버지는 45퍼센트 증여세도 정직하게 즉시 내야 한다며 편법을 거부한다","아버지가 이미 남은 현금으로 판교 땅을 샀고 백범은 그 땅 담보대출까지 요청한다","300억 현금과 판교 350억 토지 기반을 함께 묶을 가능성을 얻는다","재산·가족 신뢰","아버지의 자산은 소모성 지원금에서 세금까지 책임지는 백범의 투자 기반으로 바뀐다","백범이 독립유공자 후손 지원 단체 구상을 꺼내 아버지를 설득하려 한다","300억 입금과 판교 추가 매입","토지 담보대출 및 선우재단 약속","E02","high"
9,"9화","졸부집 망나니(개정판) 9화",1702,1925,"아버지는 담보대출 요구에 백범의 속셈을 의심한다","독립군 집안의 명예와 5년 10조 목표를 자본 증폭 계획으로 묶는다","아버지의 전폭 신뢰를 받아 총 600억으로 IMF 투자에 들어간다","백선우 이름의 선우재단을 약속하고 달러 예금과 풋옵션으로 이어지는 자금 구조를 설명한다","10퍼센트대 이자와 실패 위험 및 아버지의 도덕 기준이 압박한다","아버지가 개떡 같은 아들이라도 한 번 믿겠다며 대출을 수락하고 철들어 고맙다고 한다","망나니 시절 없던 부자간 대화와 신뢰를 얻고 600억 운용 길을 연다","재산·가족·관계","아버지는 돈을 탕진하던 아들을 할아버지 명예를 잇는 사업가 후보로 보기 시작한다","태평양법무법인에서 처형 재심과 달러 확보용 인맥을 동시에 구해야 한다","토지 담보대출 설득","법무법인 파트너 확보와 손위 처남 재심","E02","high"
10,"10화","졸부집 망나니(개정판) 10화",1926,2108,"태양광 수입 법인을 세운 백범이 태평양의 백영기 변호사와 계약한다","돈과 은혜의 학연을 합법적 사업 간판·처가 구제로 바꾸는 장면","손위 처남 사건의 조작 지점을 찾고 백영기를 자기 인맥으로 만든다","600억 고객으로 수임계약을 맺은 뒤 은혜 호칭을 바로잡고 사건 기록을 함께 분석한다","5년 전 사건의 물증은 희박하고 은혜의 오랜 이웃 백영기와도 관계 경계를 세워야 한다","피해자 아버지가 여당 국회의원이며 경찰 조사에서 가해자·피해자가 뒤바뀌었다는 사실이 드러난다","백영기를 형님으로 부르는 개인 관계와 태평양의 전문 조사력을 얻는다","관계·정보·평판","은혜의 오빠라는 기존 인맥이 백범의 법률 파트너이자 손위 처남 구제 통로로 확장된다","국회의원 압력을 뒤집을 정치력과 핵심 증언자를 확보해야 한다","백영기와의 호칭·신뢰 정리","12월 재심·정치 인맥·증언 확보","E02","high"
