arc_id,arc_name,start_sequence,end_sequence,start_label,end_label,episode_count,main_characters,main_locations,concrete_premise,central_question,promise,pressure_escalation,mid_turn,concrete_payoff,relationship_change,status_or_ability_change,residual_cost,next_arc_bridge,boundary_signals,confidence
"M101","백악관 면죄부와 9·11 시장 방어","127","132","127화","132화","6","이정후; 로버트슨; 마이크; 칼 로브; 워런 버핏","타이거펀드 뉴욕 사무실; 백악관 인맥 회의; 오마하; 미국 증시","정후는 9·11 전 수상한 항공·보험 숏을 포착하고 정치적 허가를 얻은 뒤 200억 달러 숏을 1천억 달러 시장 방어 작전으로 뒤집는다","재난을 이용했다는 의심 없이 수익과 미국 정부 신뢰를 함께 얻을 수 있는가","사전 정보가 거대 수익뿐 아니라 국가적 인정으로 지급된다","시장 폐쇄; 1천억 달러 대출; 전 자산 담보; 공포 매도; 헤지펀드 숏이 차례로 압력을 높인다","정후가 단기 숏 이익보다 백악관과 함께 미국 자산을 사는 장기 동맹을 선택한다","숏 50억 달러와 반등 결산 약 300억 달러; 대출 완납; 시장 방어 공로와 버핏의 공개 신뢰를 얻는다","칼 로브는 정보 제보자 정후를 정책 파트너로 보고 버핏은 그를 검증된 장기 투자자로 인정한다","한국지부가 1천억 달러 작전을 지휘하고 정후는 국가시장 앵커 투자자 위상을 얻는다","정치적 빚; 은행에 추가 상승분 양보; 재난 수익의 윤리 부담이 남는다","현금·성장주·정치 보상을 에버베드·ASML·대현건설로 환전한다","9·11 숏과 대출이 132화에서 전액 청산됨; 133화부터 거래 표면이 시장 방어에서 부동산 증권·반도체 지분으로 바뀜","high"
"M102","전리품의 산업 환전","133","136","133화","136화","4","이정후; 칼 로브; 로버트슨; 장동현; 청와대 관계자","타이거펀드; ASML 협상장; 한국 채권단; 청와대","시장 방어 전리품을 에버베드 증권·EUV 장비 우선권·대현건설 인수로 바꾸는 산업 배치 Arc다","현금 수익을 일회성 보너스가 아니라 장기 산업 통제력으로 전환할 수 있는가","월가 전리품이 개인 보상·직원 보상·한국 기업 회생으로 여러 번 지급된다","에버베드 신용구조 설득; ASML 장기 기술 위험; 7조 원 부채; 외국계 기간산업 인수 반대가 겹친다","정후가 싼 자산 매입보다 4조9천억 원 부채 상환과 10년 SOC 주문을 제시한다","ASML 지분·장비 우선권; 한국지부 200억 달러 재량; 대현건설·야구단·산업용지 경영권을 얻는다","칼 로브와 청와대는 정후 자본을 산업 구조조정의 안전판으로 받아들인다","정후가 투자위원회 핵심이자 건설·야구까지 거느린 실질 오너로 올라선다","대현건설 내부 파벌; 장기 SOC 책임; ASML 기술 회수 기간이 남는다","새로 산 대현건설의 이사회 비리와 주택상품을 직접 정리한다","136화에서 정부 승인과 인수 범위가 확정됨; 137화부터 외부 M&A 협상이 내부 이사회·현장 운영으로 전환됨","high"
"M103","대현건설 파벌 해체와 카드업 균열","137","141","137화","141화","5","이정후; 장동현; 김학수; 넥핀 동료; 한국지부 직원","대현건설 이사회; 아파트 PF 현장; 타이거펀드 한국지부","정후는 대현건설 부패 파벌을 제거하고 직원·협력사 구조를 재배치하는 동시에 카드채 붕괴를 포착한다","새 오너가 해고와 약탈이 아니라 증거·일감·상품 개선으로 조직 인정을 얻을 수 있는가","인사권 행사가 1조 원 주문·프리미엄 아파트·다음 금융 인수 기회로 지급된다","김학수 리베이트; 파벌 저항; 과잉 인력; 비용 상승; 카드업 80조 원 부채가 순차적으로 압박한다","비리 임원은 퇴출하되 채권단 인력은 PF 컨소시엄으로 옮기고 미분양은 타이거가 보증한다","이사회 권력 장악; 프리미엄 주택라인; 카드 숏 5조 원·CDS 5조 원과 GL카드 표적이 확정된다","직원들은 정후를 구조조정 약탈자가 아닌 일감과 보상을 주는 새 오너로 보기 시작한다","정후의 권한이 인수 계약에서 현장 인사·상품·금융작전 지휘로 구체화된다","높은 임금·하도급 단가; 대규모 채용비; 카드 붕괴 시 시스템 책임이 남는다","ATL 인재 지원과 금감위 감사를 이용해 GL카드와 GL배터리를 한 번에 노린다","139화에서 건설사 내부 정상화가 첫 상품으로 지급됨; 140–141화에서 갈등 표면이 건설 조직에서 카드시장·채용으로 이동함","high"
"M104","GL카드와 배터리 원플러스원","142","146","142화","146화","5","이정후; 로빈 쩡; 임영근; 대통령; GL그룹 경영진","ATL 협상장; 금융감독위원회; 청와대; GL카드 채권단","정후는 카드사 붕괴를 숏·CDS 수익으로 먹으면서 정부 구제 인수 조건에 GL배터리를 끼워 넣는다","금융 시스템을 살린다는 명분으로 원하는 제조기술까지 가져올 수 있는가","정확한 부실 예측이 현금; 감독 신뢰; 카드사; 배터리라는 복수 보상으로 지급된다","80조 원 카드채; 10조 원 부실; 정부의 월드컵 전 규제; 20조 원 GL카드 부채; GL그룹 저항이 커진다","감사가 보고치 세 배 부실을 확인하고 대통령이 채권 50% 감면·GL 1조 원 분담을 결정한다","11–12조 원 작전 이익 기대; GL카드 2조 원 인수; GL배터리 1천억 원·20년 재진입 금지·5년 구매보장을 얻는다","감독당국과 정부가 정후를 외국 투기자보다 구제 인수자로 의존한다","정후가 금융·배터리 두 산업의 소유권과 거래 규칙을 동시에 정하는 위치로 오른다","고객 부채·직원 불안·GL그룹 원한; 신기술 R&D 적자가 남는다","한호카드 통합과 로빈 쩡·겔싱어 등 인재 유입으로 인수 자산을 성장 조직으로 바꾼다","146화에서 카드·배터리의 소유권과 장기 구매조건이 계약됨; 147화부터 초점이 인수 협상에서 고객 구제·인력 보상·CEO 영입으로 이동함","high"
"M105","한호카드 통합과 인재 유입","147","150","147화","150화","4","이정후; 로빈 쩡; 팻 겔싱어; 한호카드 고객·직원; IT CEO들","한호카드; GL배터리 연구소; 대현반도체; 타이거펀드 만찬","정후는 카드 붕괴 이익을 고객 지원에 쓰고 배터리·반도체에 세계급 인재와 첫 고객을 배치한다","헐값 인수한 조직이 사람과 계약이 몰리는 성장 회사로 바뀔 수 있는가","해고 없는 통합과 파격 보상이 고객 신뢰·연구진·글로벌 CEO로 되돌아온다","부실 채권 정리; 단기 수익 감소; 해외 인재 이주; 반도체 경력 위험; 첫 고객의 불신이 압박한다","30년 보유와 중립 파운드리 원칙이 겔싱어를 인텔에서 움직인다","한호카드 안전 브랜드; 로빈 팀 정착; 연 1조 원 배터리 투자; 겔싱어 영입; 애플 등 시험수주를 얻는다","고객은 이자 감면을 받고 연구진·CEO는 정후의 장기 자본을 신뢰한다","정후가 부실 인수자에서 세계 인재를 임명하고 계열 성과를 배분하는 산업 오너로 선다","대규모 R&D·급여; 카드 구제비; 중립 파운드리 성과 증명 책임이 남는다","자체 은행을 가져 에버베드와 카드·계열 금융을 내부화하려 외환은행 입찰로 간다","149화에서 겔싱어 영입으로 인재 보상이 정점에 닿음; 150화에서 새 중심 질문이 외환은행 저BIS와 론스타 인수전으로 명시됨","high"
"M106","외환은행 밥상 탈취","151","156","151화","156화","6","이정후; 임영근; 한스 뮐러; 대니; 이정훈; 오창진; 청와대 관계자","외환은행; 금융감독위원회; 청와대; 공개입찰장","론스타를 위해 조작된 BIS와 매각 판을 읽은 정후가 감독당국·청와대·역정보를 동원해 외환은행을 가져온다","정부·은행·사모펀드 카르텔이 차린 밥상을 2조5천억 원으로 빼앗을 수 있는가","정보전 승리가 시중은행 경영권과 금융 계열 완성으로 지급된다","외국자본 반감; 재경부 언론전; BIS 조작; 경쟁자 정보망; 8조 원 보증 약속이 압박을 높인다","대니의 역정보로 경쟁자들이 더 낮은 부실가치를 믿고 2조3천억 원 이하를 쓴다","2조5천억 원 우선협상; 한호카드 합병; BIS 회복; 미국지점 에버베드 판매망을 얻는다","금감위·청와대는 정후를 구제 파트너로 보고 정후는 조작 폭로 대신 관계 유지를 택한다","정후가 카드사 오너에서 상업은행과 구조화금융 유통을 가진 금융그룹 설계자로 격상된다","조작을 덮은 윤리 비용; 8조 원 보증 위험; 은행 정상화 자본이 남는다","계열 포트폴리오·명동 사채시장·차세대 배터리를 정리하며 더 큰 정보망을 만든다","155화에서 공개입찰 승자가 확정됨; 156화에서 BIS 회복·한호 합병·장기보유 신뢰로 인수 미션이 운영 상태로 닫힘","high"
"M107","계열 정리와 명동 정보망","157","161","157화","161화","5","이정후; 로빈 쩡 연구진; 레드라인 직원; 명동 자금주; 부지부장","GL배터리 연구소; 롤북·레드라인; 명동 사채시장; 외환은행","정후는 배터리 목표·미디어/정보 조직·미국 주택위기·명동 음성자금을 하나의 장기 예측 인프라로 정리한다","흩어진 계열과 회색 금융을 미래 위기를 읽는 합법 조직으로 만들 수 있는가","정리 작업이 기술 로드맵; 전문 조직; 서브프라임 선점; 오프라인 정보로 지급된다","새 화학계 위험; 개발자 1천 명 비용; 수년 CDS 프리미엄; 명동의 불법성과 일본계 대부업 압박이 쌓인다","NPL 공급과 지분 교환으로 명동의 돈·정보·생존 이해를 제도권 수익에 묶는다","200Wh/L 배터리 목표; 롤북/레드라인 분리; 주택 붕괴 가설; 3조 원 제3금융; 명동 정보 디지털화를 얻는다","명동 세력은 적대적 음성자금에서 타이거의 양방향 정보 파트너로 변한다","정후의 불협화음 감각이 옴니스·현장 정보·은행 NPL이라는 조직 능력으로 확대된다","프라이버시·법적 위험; 장기 금융위기 시점 오차; 거대 연구비가 남는다","페이팔 엑시트로 카터·머스크·채드의 다음 창업 거미줄을 만든다","160화에서 제3금융 합의로 계열 정리가 닫힘; 161화에서 명동 장부의 옴니스 편입과 다음 인재망 전환이 명시됨","high"
"M108","페이팔 거미줄과 네이키드 CDS","162","165","162화","165화","4","이정후; 카터 틸; 일론 머스크; 채드 헐리; 에드워드 콜린스","페이팔 매각 협상; 매각 파티; 레드라인; CIA 시연장","정후는 페이팔을 매각하면서 창업자 지분망·우주/EV·영상팀·정부용 정보회사와 네이키드 CDS 통로를 함께 확보한다","하나의 엑시트를 여러 차세대 사업과 금융 도구로 증식할 수 있는가","매각 수익보다 인재·데이터·제도적 접근권이 더 큰 전리품으로 지급된다","이베이 협상; 미정 사업 투자; 장기 모기지 로비; CIA 기준·보안 위험이 겹친다","옴니스가 CIA 한 달 분석 분량의 이스탄불 테러망을 현장 시연한다","22억 달러 페이팔 매각; P-프로젝트; 팔란시아 계약; 롤북 영상팀; 네이키드 CDS 로비를 얻는다","카터·머스크·채드가 정후를 단순 투자자가 아닌 다음 사업의 공통 파트너로 묶는다","정후가 기업 하나의 주주에서 창업자·기관·금융제도를 잇는 생태계 후견인으로 올라선다","여러 고위험 사업의 실패 가능성; CDS 시스템 위험; 기밀보안 책임이 남는다","팔란시아의 이라크 정보로 유가 포지션과 야구 데이터 혁신을 동시에 시작한다","162–163화에서 페이팔 매각과 새 인재망이 확정됨; 165화 CIA 계약과 이라크 데이터가 다음 Arc의 전쟁 포지션을 직접 발화함","high"
"M109","이라크 예측과 양방향 유가 거래","166","170","166화","170화","5","이정후; 로버트슨; 카터 틸; 에드워드 콜린스; 정후의 형; 야구단 직원","팔란시아; 타이거펀드 거래실; 야구 측정실; 원유시장","정후는 팔란시아의 이라크전 예측을 200억 달러 상승 포지션과 전후 508억 달러 하락 포지션으로 바꾸고 야구단도 데이터화한다","전쟁 시점과 가격 방향을 두 번 맞히며 조직 능력까지 확장할 수 있는가","국가정보·금융수익·가족 보호가 서로 다른 현물 보상으로 지급된다","WMD 조작; 개전 시점 오차; 레버리지; 유가 반전; 형의 무릎 부상과 코치 관성이 압력을 높인다","개전 최후통첩에서 308억 달러로 첫 포지션을 닫고 원유·에너지 숏과 여행 롱으로 전면 반전한다","1차 약 108억 달러 이익; 508억 달러 후속 화력; CIA 계약; 1천fps·3D 야구 시스템을 얻는다","형과 구단은 정후를 돈만 주는 오너가 아닌 선수 생존을 지키는 운영자로 받아들인다","정후가 국제전쟁 가격을 양방향으로 지휘하는 글로벌 전략 책임자로 입증된다","전쟁 정보의 도덕 비용; 대규모 방향 반전 위험; 야구 과학화 비용이 남는다","사담 후세인 생포 정보가 하락 포지션과 개인 연봉 보상의 마지막 열쇠가 된다","170화에서 상승 포지션이 전액 청산되고 거래 방향이 반전됨; 171화부터 중심 표적이 전쟁 개전이 아니라 사담 위치·생포로 바뀜","high"
"M110","사담 생포와 연봉 1조 축포","171","175","171화","175화","5","이정후; 로버트슨; 카터 틸; 채드 헐리; 미군·CIA 관계자","티크리트 정보망; 타이거펀드 거래실; 본사 보상회의; 팔란시아","정후는 사담 은신처를 민간 정보망으로 검증해 생포를 돕고 전쟁 하락 거래를 700억 달러 이상 순이익으로 결산한다","국가작전 공로가 개인·조직의 명시적 인정으로 지급될 것인가","제목의 연봉 1조가 실제 현금·지분·승진·운용권한으로 실현된다","미군 불신; 80% 위치 확률; 420억 달러 숏; 시장 충격 청산; 본사 권한 재배치가 압박한다","블랙워터·CIA가 전령을 추적해 사담 위치를 확인하고 생포 작전이 성공한다","원유·에너지·여행 226억 달러 후속 이익; 순자산 700억 달러+; 개인 10억 달러·타이거 25%; 글로벌전략본부장 승진을 얻는다","로버트슨은 정후를 지부장이 아니라 펀드 3인자급 전략가로 대우한다","정후가 문자 그대로 연봉 1조 샐러리맨이자 1천억 달러 운용 조직의 핵심으로 격상된다","국가정보를 돈으로 바꾼 책임; 더 큰 미션과 기관 보안 의무가 남는다","승진 직후 팔란시아의 빈 라덴 추적과 롤북 숏폼을 확장한다","173–174화에서 거래·개인보상·직책이 연속 결산됨; 175화에서 새 중심 목표가 빈 라덴과 영상 플랫폼으로 명시됨","high"
