sequence,visible_label,title,start_line,end_line,entry_state,reader_promise,protagonist_goal,action,resistance_or_cost,turn_or_reveal,paid_reward,state_change_axis,state_change,ending_hook,closed_loops,opened_loops,arc_candidate,confidence
"217","217화","","26286","26404","미리내 솔라텍이 나래 시티 수주를 했지만 현재 신재생에너지 비율로는 적자가 예정돼 있다.","강혁이 저가 부품 꼼수 없이 판 자체를 키워 적자를 뒤집는다.","나래 시티의 신재생에너지 의무 비율을 높인다.","황성용의 저급 부품안을 호통쳐 거절하고 한정식집에서 환경·시민단체 대표에게 각 1억원을 주며 시위와 서명을 주문한 뒤 신문사 광고를 사 비판 기사를 유도한다.","국토부는 낮은 비율을 고수하고 단체 대표들은 처음엔 전화·메일 정도의 소극적 항의만 제시한다.","선거철 여론을 꺼리는 공무원과 광고가 필요한 언론의 이해를 함께 지렛대로 쓴다.","과천 정부청사 앞에 기자가 붙은 신재생에너지 의무화 시위가 실제로 시작된다.","사업/윤리","강혁은 눈앞의 적자를 줄이는 하자 시공 대신 여론전으로 시장 규모를 늘리는 선택을 확정한다.","환경단체 대표가 모든 시설 의무화 때까지 투쟁하겠다고 카메라 앞에서 선언한다.","저급 패널·부품으로 10억원을 아끼자는 황성용의 제안","국토부 압박 시위와 나래 시티 의무화 여론전","L14-A 나래 시티 녹색 의무화 여론전","high"
"218","218화","","26405","26534","환경·시민단체가 과천 정부청사 앞에서 합법 시위를 이어가 국토부 장관과 담당 국장을 압박한다.","강혁이 상대의 과잉 대응까지 계산해 여론을 폭발시킨다.","시위를 단순 민원에서 정부가 무시할 수 없는 전국 이슈로 키운다.","기자가 빠진 틈에 전경이 폭력 진압하도록 기다렸다가 맞은편 빌딩 옥상의 피케 일행이 구타·피·체포 장면을 촬영해 편집본을 포털과 유튜브에 대량 배포한다.","시위대가 폭행·연행되고 경찰은 공식 사과와 석방으로 사태를 조기 수습하려 한다.","기자가 없어도 휴대폰 영상 시대라는 경찰의 맹점을 역이용한 피케의 영상이 조회 수 1위로 번진다.","과천 경찰서장이 공개 사과하고 피해자를 풀어주며 국토부·경찰의 도덕적 우위가 무너진다.","여론/권력","강혁 측의 돈으로 시작된 시위가 공권력의 실제 폭력 때문에 자생적 공분으로 바뀐다.","강혁이 사과로 끝내지 말고 다음 날 시위를 재개하라 하자 피케가 대표들이 다시 나올지 염려한다.","전경 강제 해산과 체포","시위 재점화와 정치권 합류 가능성","L14-A 나래 시티 녹색 의무화 여론전","high"
"219","219화","","26535","26648","경찰의 과잉 진압 영상으로 나래 시티 시위가 전국적 관심을 얻었다.","커진 여론이 신재생에너지 의무화를 받아내지만 새 몫을 노리는 재벌 건설사와 충돌한다.","야당과 진짜 환경단체까지 끌어들여 정부의 계획을 바꾼다.","피케에게 후원받는 야당 의원 둘을 붙이라 지시하고 광화문 촛불 시위로 판을 키운다.","정부가 물러난 뒤 한소·주성 등 컨소시엄 건설사들이 수천억원 추가 부담을 이유로 미리내 솔라텍 배제를 모의한다.","배경조는 의무화를 막는 대신 계열 태양광 업체끼리 물량과 비자금성 이익을 나누자는 이면 합의를 만든다.","정부의 전면 의무화 발표로 미리내 솔라텍 직원들은 증설을 기대하지만 국토부는 황성용을 불러 추가 물량을 다른 회사에 주겠다고 통보한다.","사업/동맹","시민 여론전은 성공했으나 강혁 대 건설사·국토부의 사업권 대결로 전장이 교대한다.","이동수 장관이 황성용의 증설 계획서를 막으며 늘어난 공사는 다른 업체에 배당된다고 밝힌다.","나래 시티 신재생에너지 전면 의무화","컨소시엄의 미리내 배제 이면 합의","L14-A 나래 시티 녹색 의무화 여론전","high"
"220","220화","","26649","26778","국토부와 건설사 컨소시엄이 계약상 전량 사업권을 가진 미리내에 20%만 주려 한다.","강혁이 정치권의 배신을 확인하고 더 센 외부 지렛대를 찾는다.","나래 시티 추가 물량 전부를 계약대로 지킨다.","황성용에게 증설을 예정대로 진행하라 못 박고 여당 실세 차기훈에게 전화해 편을 고르라고 압박한다.","차기훈은 건설사들과 이미 합을 맞춘 채 20%에 만족하라며 양쪽 싸움에서 빠진다.","국내 정치 인맥은 건설사들의 오래된 로비망을 넘지 못한다는 판단 뒤 강혁이 미국의 클린턴 국무장관에게 전화한다.","황성용은 강혁의 확신을 믿고 공장 확장과 채용을 멈추지 않는다.","의리/권력","차기훈은 돈을 받고도 결정적 순간에 중립으로 물러나고 강혁은 국내 연줄 대신 미국 권력을 선택한다.","늦은 밤 전화를 받은 클린턴이 강혁의 사정을 듣겠다고 한다.","차기훈 의원의 지원 가능성","클린턴 국무장관을 통한 청와대 압박","L14-A 나래 시티 녹색 의무화 여론전","high"
"221","221화","","26779","26916","강혁은 나래 시티 사업권을 빼앗길 위기에서 클린턴 국무장관과 통화 중이다.","전화 한 통이 대통령·장관·재벌의 힘의 서열을 뒤집는다.","청와대가 국토부의 미리내 배제 지시를 철회하게 한다.","클린턴에게 청와대 전화만 부탁하고 미국 순방 체류 연장이라는 외교적 당근을 받은 대통령이 이동수 국토부 장관을 질책하도록 만든다.","이동수는 건설사 부담을 위한 고육책이라고 둘러대고 건설사 대표들은 뇌물과 정치권 압력으로 재반격하려 한다.","대통령은 전량 미리내 배정과 앞으로 강혁을 건드리지 말라는 지시까지 내리고 비서실장이 배후가 클린턴임을 이동수에게 알려준다.","국토부는 즉시 종전 지시를 뒤집고 건설사 면담도 거부한다.","권력/위상","강혁은 국내 신참 로비스트가 아니라 미국 국무장관을 움직여 대통령까지 닿는 인물로 재벌들에게 인식되기 시작한다.","장명호가 건설사 대표들에게 이동수의 돌변은 청와대 최고 윗선 지시였다고 공개한다.","국토부의 20% 축소 지시","건설사들의 대통령 개입 확인과 항복 여부","L14-A 나래 시티 녹색 의무화 여론전","high"
"222","222화","","26917","27026","건설사 대표들이 강혁 뒤의 대통령 개입을 확인하고도 미련을 버리지 못한다.","나래 시티 승리를 구체적 발주로 지급한 뒤 콜롬비아 자원 사업으로 무대를 옮긴다.","미리내 솔라텍의 전량 사업권을 현실의 생산·채용 확대로 연결한다.","건설사들을 백기 들게 하고 황성용이 이동수의 사과와 전량 배정 통보를 받은 뒤 공장 가동 확대·기술자 호출·채용 공고를 지시하게 한다.","황성용은 또 나쁜 소식일까 두려워하고 솔라텍은 한꺼번에 밀려든 발주를 감당해야 한다.","이미 발주서가 사무실에 쏟아진 모습으로 강혁의 장담이 말이 아니라 현금흐름과 일자리로 증명된다.","폐업 직전 솔라텍이 회복하고 규모가 두 배로 커진다. 새해 뒤 콜롬비아로 간 강혁은 페르난도에게 한국광업공사의 센트랄 산맥 보크사이트 광산 매각 소식을 듣는다.","사업/장소","한국의 나래 시티 싸움이 완결되고 강혁의 시선이 콜롬비아 북부 자원과 중국 인수자로 이동한다.","탐사와 시험 채굴까지 끝낸 알짜 광산을 내전 핑계로 철수한다는 비상식이 제기된다.","나래 시티 전량 발주와 솔라텍 회생·두 배 성장","한국광업공사 보크사이트 광산의 수상한 중국 수의계약","L14-B 보크사이트 광산 탈환과 14K 차단","high"
"223","223화","","27027","27146","페르난도가 한국광업공사의 보크사이트 광산을 중국 다렌광업공사가 수의계약으로 인수한다고 알린다.","강혁이 국민 세금으로 찾은 광산을 비자금 거래에서 가로채 실물 자산으로 만든다.","광산의 진짜 매각 이유를 밝혀 미리내 개발이 인수한다.","페레즈에게 조사시켜 매장량 6억 톤·높은 순도·안전한 입지를 확인하고 현장 책임자의 대마초·도박 틈으로 1억달러 비자금 이면계약을 캐낸 뒤 스웬슨에게 3억달러와 500만달러 커미션을 제시하게 한다.","다렌은 실사를 끝내 계약 직전이고 이윤섭·박화규는 비자금과 개인 몫을 챙기려 한다.","강혁 쪽이 중국의 2억5000만달러보다 높은 가격과 커미션을 내놓자 탐욕스러운 광업공사 간부들이 즉시 상대를 바꾼다.","미리내 개발이 보크사이트 광산 계약에 서명하고 이윤섭은 현금 500만달러와 차명계좌 약속을 받는다.","자산/도덕","강혁은 남의 나라 사업가가 아니라 한국 자산의 중국 유출을 막는 소유자로 나서며 다렌과 직접 경쟁자가 된다.","다 잡은 광산을 빼앗긴 다렌광업공사 콜롬비아 지부에 문책 칼바람이 분다.","광산의 사업성과 비자금 매각 이유 규명","다렌광업공사·14K의 반발","L14-B 보크사이트 광산 탈환과 14K 차단","high"
"224","224화","","27147","27267","다렌광업공사 등안군 전무가 광산을 빼앗겨 본사 문책을 받고 강혁의 교외 저택으로 무작정 찾아온다.","강혁이 14K 간판에도 물러서지 않고 콜롬비아 진입 자체를 봉쇄한다.","광산을 지키고 다렌의 장기 헐값 독점 요구를 거절한다.","등안군의 5000만달러 웃돈 재매입과 10년 전년평균가 전량계약을 거부하고 1년 재협상·시장가 20% 할증이라는 받아들일 수 없는 역조건을 내민다.","등안군은 다렌 대주주가 마카오 삼합회 14K라고 위협하고 결렬 뒤 후회를 경고한다.","강혁은 단순 가격 협상이 아니라 14K가 콜롬비아에 발을 들이는 통로를 닫으려고 일부러 상대를 몰아냈다고 피케에게 밝힌다.","다렌은 광산과 보크사이트 전량 계약을 모두 얻지 못한 채 모욕을 안고 돌아간다.","세력/영토","강혁과 다렌의 사업 분쟁이 콜롬비아 조직 대 14K의 세력권 대결로 격상된다.","피케에게 14K의 콜롬비아 진입을 막기 위한 의도였다고 설명하며 다음 충돌을 예고한다.","등안군의 광산 재인수·장기공급 협상","14K가 체면 회복을 위해 택할 보복","L14-B 보크사이트 광산 탈환과 14K 차단","high"
"225","225화","","27268","27404","강혁은 등안군을 빈손으로 돌려보내고 피케에게 삼합회의 인해전술식 침투를 경계한다.","작은 사업 훼방이 광산 폭탄 테러라는 실제 위기로 돌아온다.","14K 연계 세력이 콜롬비아 사업장에 뿌리내릴 틈을 주지 않는다.","강혁은 인도네시아 보크사이트를 가진 중국이 전면전을 피할 것까지 계산하지만 등안군은 왕 부장을 통해 소평·장용·장천에게 50만달러를 주고 광산 파괴를 청부한다.","광산의 내부 지도와 한국광업공사 위장복을 가진 A급 해결사들이 TNT 10kg을 들고 경비초소를 통과한다.","체면만 세우려던 등안군의 훼방이 갱도·컨베이어·장비를 겨냥한 살상 가능한 폭탄 작전으로 변질된다.","소평 일행이 점심시간의 빈 광산 곳곳에 시한폭탄을 설치한다.","안전/영토","강혁의 예방 논리와 달리 다렌은 정면전 대신 익명 테러로 콜롬비아 세력권을 침범한다.","소평이 갱도 컨베이어 벨트에까지 TNT를 설치한다.","등안군과의 공개 협상","광산 폭파 청부와 배후 은폐","L14-B 보크사이트 광산 탈환과 14K 차단","high"
"226","226화","","27405","27541","소평 일행이 광산 안에 시한폭탄을 설치한 채 빠져나가려 한다.","사업 현장 방문과 마리아의 애틋한 동행이 예고 없이 참사에 겹친다.","인수한 광산의 고용·가동 계획을 직접 점검하고 마리아와 시간을 보낸다.","소평은 자신을 의심한 정비반장을 목 꺾어 살해하고 탈출한다. 마주 지나친 차량의 강혁은 마리아에게 생명의 은인임을 고백한 뒤 에드냅 소장의 고용승계·제련설비 보고를 받는다.","강혁은 수영과 마리아 누구도 놓지 못하는 관계의 죄책감을 품고 있고 현장에는 이미 타이머가 돈다.","소평 일행이 무심코 지나친 다섯 차량 안에 바로 강혁과 마리아가 있었음이 드러난다.","현지인 고용승계와 두 달 뒤 제련 계획이 확인되지만 회의 말미 광산 전체에서 TNT가 폭발한다.","관계/안전","마리아와의 관계가 보호해야 할 삶의 핵심으로 선명해지는 순간 사업 훼방이 강혁 자신과 연인을 덮친다.","강혁이 있는 회의실 건물이 폭발 충격으로 무너지고 사람들이 쓰러진다.","광산 상업생산 준비 점검","폭발 피해와 마리아의 생사","L14-B 보크사이트 광산 탈환과 14K 차단","high"
