sequence,visible_label,arc_id,arc_phase,concrete_event,tension_1_10,reward_1_10,hook_1_10,information_weight,action_weight,relationship_weight,emotion_weight,material_or_status_weight,pacing_note
"1","ⓚ1화","A001","opening","몰락한 도겸이 가르틴을 깨워 1996년으로 회귀하고 아버지 앞에서 공부를 선언한다.","9","9","8","25","20","25","20","10","몰락 정보의 고밀도 도입 뒤 회귀·마법·부자 재회를 한 화에 폭발시킨다."
"2","ⓚ2화","A001","escalation","메모라이즈로 기말을 풀지만 학생주임의 컨닝 추궁과 폭력에 맞서 촌지 약점을 꺼낸다.","8","6","8","25","30","15","20","10","시험 효능을 바로 검증하고 교사 대치로 긴장을 유지한다."
"3","ⓚ3화","A001","payoff_bridge","학생주임 사과와 전교 30등 성적표로 검정고시 허락을 받은 뒤 유말숙을 찾아간다.","6","9","8","20","15","30","20","15","학교·가족 약속을 닫고 초기 자금 문제로 곧바로 연결한다."
"4","ⓚ4화","A002","opening_turn","유말숙에게 10억 투자를 받고 직접 만든 김치찌개와 첫 슬립 마법을 얻는다.","7","10","8","25","10","30","20","15","투자 협상보다 밥상과 숙면 가능성에 감정 보상을 밀착한다."
"5","ⓚ5화","A002","escalation","황연우를 선불 500만 원에 영입하고 유말숙을 슬립으로 네 시간 재운다.","6","9","7","20","15","30","20","15","실무자 영입과 외할머니 관계 회복을 번갈아 진행한다."
"6","ⓚ6화","A002","payoff_bridge","병원 VIP 숙면으로 주간 1천만 원을 벌고 117만6천 달러 환전을 끝낸다.","5","9","8","20","20","15","15","30","마법 수익과 환전 숫자를 결산한 뒤 공매도 실행자로 넘어간다."
"7","ⓚ7화","A003","opening_escalation","영보철강 10만2912주를 공매도했으나 주가가 올라 장부 손실 1억5천만 원을 본다.","9","4","9","20","25","10","20","25","거액 실행 직후 역행시켜 미래 기억의 신뢰를 흔든다."
"8","ⓚ8화","A003","turn","주가가 하락해 3억 평가이익이 나고 황연우 부모에게 호텔·검진을 제공한다.","6","9","8","15","15","30","20","20","시장 반전을 사람의 효도 장면과 결합해 숫자 보상을 부드럽게 만든다."
"9","ⓚ9화","A003","climax_payoff","용종 조기 발견으로 황연우의 충성을 얻고 영보철강을 약 5억 차익으로 상환한다.","6","10","8","15","20","30","20","15","관계 최고점과 자산·2서클 결산을 겹친 뒤 호주 승부를 연다."
"10","ⓚ10화","A004","opening","졸업 가족 식사에서 호주 여행을 얻고 감시자를 재워 한국 승리 토토 1억 원을 산다.","7","7","9","20","20","30","15","15","가족 선물과 해외 도박 준비를 한 흐름으로 엮어 훅을 세운다."
"11","ⓚ11화","A004","climax_payoff_bridge","그리스·디그로 한국 승리를 만들고 2억 원을 회수한 뒤 평균 50점 조건부 자유를 받는다.","8","9","7","15","40","15","15","15","짧은 스포츠 액션을 현금 회수와 학업 과제로 즉시 전환한다."
"12","ⓚ12화","A005","opening_escalation","MC 스퀘어로 하루 9시간 공부하고 한미그룹 공매도로 약 20억 원을 번다.","6","8","7","25","20","10","10","35","학습 장치와 시장 수익을 병렬로 빠르게 쌓는다."
"13","ⓚ13화","A005","climax_payoff","검정고시 평균 99점으로 아버지의 포옹을 받고 지안자동차 100억 숏을 연다.","7","10","9","15","15","35","20","15","점수·포옹·판돈 확대를 한 결산 장면군에 압축한다."
"14","ⓚ14화","A006","opening_action","유도부 10명을 마법과 격투로 제압하고 조민형 배후를 확인한 뒤 디텍트 포스를 연다.","9","8","8","15","45","15","15","10","가족 갈등을 직접 액션으로 폭발시키고 추적물로 방향을 튼다."
"15","ⓚ15화","A006","escalation","머리카락을 매개로 전국을 훑어 이신창의 별장 301호를 찾고 오픈을 개방한다.","7","7","9","25","30","10","15","20","장거리 탐색을 위치 수렴 과정으로 압축하고 문 앞 훅을 남긴다."
"16","ⓚ16화","A006","climax_payoff","무장 이신창을 생포해 5천만 원·표창을 받고 아버지에게 자율 공부를 재승인받는다.","9","10","7","15","40","20","15","10","체포 액션 뒤 돈·명예·가족 합의를 연속 결산한다."
"17","ⓚ17화","A007","opening","지안자동차에서 약 70억을 벌고 해치그룹 100억 숏과 지속형 공부 장치를 시작한다.","6","8","7","25","20","10","10","35","투자 규모와 학습 지속성을 함께 한 단계 올린다."
