arc_id,arc_name,start_sequence,end_sequence,start_label,end_label,episode_count,main_characters,main_locations,concrete_premise,central_question,promise,pressure_escalation,mid_turn,concrete_payoff,relationship_change,status_or_ability_change,residual_cost,next_arc_bridge,boundary_signals,confidence
S05-A01,"[상위 병합 필수] 201~204 메타버스 공작 정리와 본 사업 전환",204,204,"204화","204화",1,"조도겸; 김장욱; 오창건; 서광수; 0호기","서울 수사망; 무인도; 세운메타버스 사무실","이 로컬 파일에는 204화만 있으나 사건은 201~203화의 드론 상용화·가짜 충돌 공작을 받아 김장욱을 격리하고 진짜 메타버스의 VR·데이터센터·비트코인 조건으로 전환한다.","선행 공작을 완전히 닫으면서 드론 규제 승리를 단순 복수가 아닌 새 가상경제의 실행 과제로 바꿀 수 있는가?","도주한 배후는 돈이 통하지 않는 섬에서 결산되고 5천 명 조직은 구체적인 메타버스 구축 체크리스트를 얻는다.","김장욱은 언론·경찰·검찰 추적을 피해 달아나고 세운메타버스 직원 5천 명은 옛 게임 업데이트에 묶여 실제 세계를 만들 핵심 장치가 없다.","조도겸이 김장욱을 오창건의 무인도로 보내고 서광수가 VR 기기·데이터센터·독자 경제 체제를 요구하자 비트코인을 통화로 정한다.","드론 자작극 배후의 재기 가능성이 끊기고 세운전자 VR·국내 12개 및 글로벌 데이터센터·비트코인 경제라는 다음 실행선이 열린다.","김장욱은 조도겸을 흔드는 공작자에서 무인도의 무력한 수감자로, 서광수는 인수된 게임사 대표에서 새 세계의 요구사항을 말하는 핵심 경영자로 이동한다.","조도겸은 드론 상용화 승리자에서 가상세계·통화·인프라를 함께 설계하는 플랫폼 오너로 확장된다.","납치·강제 격리의 법적·윤리 비용이 남고 204화만으로는 메타버스 공작의 시작·상승을 복원할 수 없다.","205화부터 환상 마법 VR과 해저 데이터센터를 시제품으로 만들어 204화 말의 요구사항을 검증한다.","① 제목이 원문상 `메타버스(4)`여서 독립 시작이 아니라 선행 1~3편의 연속임을 직접 표시한다; ② 진입 상태가 203화 전광판 폭로·김장욱 도주를 즉시 이어받는다; ③ 204화 중반 김장욱 결산 뒤 VR·데이터센터·비트코인으로 목표가 전환되고 205화 제목도 `환상(1)`로 교체된다; 전역 조립 때 반드시 201~203화의 Arc, 최소 202~203화와 병합하며 이 1행을 독립 완결 Arc로 세지 않는다.",high
S05-A02,"환상 VR과 데이비슨 부자의 두 번째 삶",205,207,"205화","207화",3,"조도겸; 서광수; 김건웅; 0호기; 데이비슨; 파커; 마이크; 세운전자 미래혁신팀","세운전자 VR 연구실; 부산 데이터센터 시험장; 판교 세운메타버스 사옥; 영국 병실; 가상 축구장; 롤북","조악한 VR과 콘텐츠·서버 병목을 환상·최면·위성·해저 마법 인프라로 고치고 3년 식물인간 축구스타에게 의식의 두 번째 삶을 준다.","현실감 높은 VR이 단순 기술쇼를 넘어 몸을 움직일 수 없는 사람과 가족에게 삶을 돌려주고 세계 이용자를 설득할 수 있는가?","노르웨이 숲의 감각, 태풍을 견딘 해저센터, 아버지와 아들의 네 시간 재회가 알파의 인간적·기술적 가치를 함께 증명한다.","완전 동기화는 현실과 구분되지 않아 위험하고 12개 국내·글로벌 센터는 전력과 냉각이 부족하며 5천 명 월드팀은 도시·판타지 데이터를 다 만들 수 없다.","0호기가 위성으로 173시간 만에 세계 데이터를 올리고 완전 동기화 VR 속 데이비슨이 병상 곁 아버지의 말을 기억한다고 밝힌다.","파커가 가상세계에서 아들과 네 시간 대화하고 모델 계약·부자 접속권을 얻으며 롤북 18억 이용자 홍보, 10만 신청자 중 5천 명 베타가 붙는다.","파커는 무력한 간병인에서 아들과 함께 가상생활을 누리는 이용자로, 마이크는 회의적 플랫폼 회장에서 두 번째 삶을 체험한 글로벌 홍보 동맹으로 바뀐다.","환상·최면은 안전 동기화 VR 엔진으로, 방어마법 컨테이너는 해저 데이터센터로, 세운메타버스는 100% 비상장 독점 플랫폼으로 상승한다.","완전 동기화의 정신 안전, 고가 기기 80만·500만 원, 직원 자발적 과로와 이용자 중독 위험이 남는다.","208화 한국 정식 출시에서 상점·부동산·비트코인과 100만 명급 접속을 실제 경제로 굴린다.","① 205~207화가 `환상(1)~(3)`의 연속 표제를 공유한다; ② 데이비슨 실험은 206화 접속에서 207화 부자 재회·계약·홍보로 완결된다; ③ 208화부터 표제가 `독점(1)`로 바뀌고 핵심 장소가 연구실·병실에서 대규모 출시 시장으로 이동한다.",high
S05-A03,"1억 이용자 메타버스 독점과 확률 과금",208,210,"208화","210화",3,"조도겸; 서광수; 김건웅; 0호기; 장애인 이용자; 조민우; 대부","가상 서울·뉴욕·파리; 3D 스캔 시설; 세운메타버스; 러시아·중국 곡물망","한국·북미·유럽 출시를 통해 가상 부동산·상점·스캔·랜덤박스를 일일 수백억 원 규모의 독점 경제로 만든다.","제한된 콘텐츠와 사회적 중독 비용을 감수하면서 1억 이용자를 지속 가능한 통화·광고·과금 생태계로 묶을 수 있는가?","70만~98만 한국 접속, 글로벌 3천만·전체 1억 이용자, 첫 상자 비행기 당첨과 일일 200억 원 랜덤박스가 규모를 단계적으로 보상한다.","콘텐츠는 절반도 공개되지 않았고 미성년 수업 거부·직장 이탈·중고 VR 10배, 20억 원까지 들 수 있는 확률 과금이 이용자 비용을 높인다.","스캔 시설 200곳이 하루 200억 원을 만들고 자전거를 원한 장애인 이용자가 첫 10만 원 상자에서 20~30억 원 비행기를 뽑는다.","메타버스 매출이 두 달 만에 세운전자를 따라잡고 랜덤박스 월 6천억 원 전망·비트코인 세 배 상승·글로벌 고용 확대를 얻는다.","이용자는 관람객에서 집·직업·재산을 가진 주민으로 이동하지만 현실 이탈과 도박성 과금으로 플랫폼과의 의존 관계도 깊어진다.","세운메타버스는 게임 서비스에서 동시접속 6천만·이용자 1억의 독점 경제권으로, 조민우는 대부가 인정하는 곡물·비트코인 공격 실행자로 상승한다.","확률 과금의 윤리 비용, 미성년 보호, 현실 노동 이탈과 조민우의 대량 비트코인 매도 공격이 남는다.","211화 중국·러시아 금지와 8% 급락을 세운 상품·광고·8서클 성장 기회로 되받는다.","① 208~210화가 `독점(1)~(3)` 연속 표제다; ② 한국 출시→글로벌 출시→랜덤박스라는 수익 상승 단계가 210화 월매출 전망으로 결산된다; ③ 210화 말 조민우의 비트코인 공격 명령과 211화 `위기는 곧 기회(1)`가 새 위기 축을 연다.",high
S05-A04,"비트코인 위기를 8서클 국가방어로 바꾸다",211,214,"211화","214화",4,"조도겸; 황연우; 김건웅; 서광수; 윤경영; 0호기; 존 데스타","백두빌딩; 세운메타버스; 부산·광주·대전 마탑; 서울 도로 마법진; 한국 상공","중국·러시아의 비트코인 공격을 실물 결제와 광고로 막아 8서클을 연 뒤 서울 전체를 탄도미사일 방어 마법진으로 만든다.","경제 통화 위기를 직원·능력·정치·국방의 연쇄 기회로 바꾸고 조롱받는 윤경영 공약을 실전 세 발 요격으로 증명할 수 있는가?","가격 안정, 1만6천 명 현금 보상, 8서클, 세 지역 마탑, 북한 미사일 세 발 소거와 미국 수십조 설치안이 한 Arc 안에서 상승한다.","비트코인 하루 8% 급락과 13조 원 노출, 3천억 원 이상 직원 보상, 1회 요격 마정석 2만 개, 도시 도로·건물 공사와 발표 뒤 지지율 7% 하락이 압력을 키운다.","월 1조 원급 메타버스 수익이 드래곤 하트를 8서클로 열고 0호기가 서울 차선 80%를 이용한 포탈·아공간 방어진을 설계한다.","북한 탄도미사일 세 발이 폭발 없이 사라져 언론과 민심이 즉시 반전되고 미국 한 주 50억 달러·국경 500억~1000억 달러 설치 카드가 생긴다.","직원은 과로하는 인력에서 계좌로 성과를 공유받는 동료가 되고 윤경영은 조도겸의 비밀 후보에서 국가를 지킨 유력 지도자로 인정받는다.","조도겸은 비트코인 35% 보유자에서 8서클 마법사·국가 방어 인프라 소유자·미국 협상 상대로 비가역 상승한다.","도시 마법진의 비밀·마정석 비용, 선거 개입과 군사기술 독점, 미국 의존·국제 안보 책임이 남는다.","215~216화 탄핵·조기대선과 세 지역 마탑·메타버스 여론을 이용해 윤경영 정부를 실제 출범시킨다.","① 211~214화가 `위기는 곧 기회(1)~(4)`의 완결 표제를 공유한다; ② 비트코인 급락이 212화 8서클 개방을 거쳐 214화 미사일 실전요격으로 목적·규모를 연쇄 확장한다; ③ 214화 세 발 요격·언론 반전으로 안보 루프가 닫히고 215화부터 `확장(1)`·탄핵 선거 국면으로 장소와 목표가 교체된다.",high
S05-A05,"윤경영 당선과 치킨·맥주 집권 식탁",215,216,"215화","216화",2,"조도겸; 윤경영; 황연우; 서민지; 0호기; 조민우; 알버튼","국민중심당; 부산·광주·대전 마탑; 메타버스; 조도겸 사무실의 치킨 식탁; 러시아·우크라이나 농장","탄핵 정국에서 의원·마탑·메타버스 여론을 모아 윤경영을 대통령으로 만들고 황연우까지 잇는 장기 후계 구도를 정한다.","신생 정당의 약한 조직력을 45~47% 지지와 실제 선거 승리로 바꾸고 권력 보상을 생활 식탁에 안착시킬 수 있는가?","의원 30명 이상 합류, 지역 마탑 지지율 5% 상승, 출구조사 47%·9%p 우세를 둘이 치킨·맥주 캔으로 축하한다.","거대 양당, 노골적 메타버스 영향 위험, 약한 국회 기반과 황연우의 결혼·후계 부담, 해외 곡물 바이러스·37년 가뭄이 다음 압력을 만든다.","2017년 3월 탄핵 확정 뒤 윤경영 지지율이 45%에 오르고 조도겸은 윤 5년+황 8년의 13년 구도를 제안한다.","5월 9일 자정 전 당선이 확실해지고 취임 3개월 뒤 전국 포탈에 국가 30% 보조금이 붙어 비밀 마법이 공공 인프라가 된다.","조도겸·황연우는 선거 조력자에서 치킨과 맥주를 나누는 집권 핵심이 되고 도겸은 황연우의 결혼에 사랑 마법을 쓰지 않겠다는 가족 보호선을 밝힌다.","윤경영은 후보에서 대통령으로, 황연우는 서울시장·형에서 다음 대통령 후보로, 포탈은 사설 이동술에서 국가 보조망으로 상승한다.","국회 약세와 마법 여론 개입의 정당성, 아직 결혼하지 않은 황연우, 강수량 65% 감소와 곡물 카르텔이 남는다.","217화부터 한국 식탁을 지키기 위해 고비사막을 자체 곡물 생산기지로 사들이고 개조한다.","① 215~216화가 `확장(1)~(2)` 표제를 공유한다; ② 215화 탄핵 확정·45%와 216화 출구조사 47%·당선 확정으로 선거 루프가 닫힌다; ③ 216화 후반 시점·장소가 러시아 농장과 곡물 가뭄으로 전환되고 217화 제목이 `곡물 카르텔(1)`로 바뀐다.",high
S05-A06,"고비사막을 16주 수확 농장으로",217,219,"217화","219화",3,"조도겸; 김건웅; 0호기; 바톨강; 트란프; 가르틴","고비사막; 몽골 대통령실·의회; 백악관; 스미스소니언; 자동 농장","카르텔이 막은 밀·옥수수·콩 수입을 고비사막 매입과 물·흙 지팡이, 기후·화산·정화·성장 마법으로 대체한다.","물과 흙이 없는 사막을 한국 연간 수요를 받칠 자동농장으로 바꾸되 외국 주권·환경·마나 비용을 감당할 수 있는가?","1조 원 토지 계약에서 비·꽃, 비료 토양, 30분 파종, 40% 성장 가속과 약 16주 수확 구조까지 공정이 눈앞에 누적된다.","몽골 5년 5조 원 투자, 하루 마나를 비우는 기후 마법, 국보급 보석 거래, 화산 폭주·가스 오염·나흘 분쇄와 하루 한 구역 정화가 단계적으로 부담을 높인다.","미국 15조 원 투자·메타버스 메시지와 스미스소니언 보석을 바꿔 물·흙 지팡이를 만들자 컨트롤 웨더 비용이 급감한다.","0호기가 그로스를 3시간 만에 전역 마법진으로 바꾸고 농업 골렘이 30분에 밀을 뿌려 100기 관리·16주 수확 자동농장이 가동된다.","바톨강·트란프는 거액을 요구하는 외국 정상에서 토지·유물을 허용하는 사업 파트너로, 0호기는 보조 AI에서 대면적 농업 공정 설계자로 이동한다.","세운은 곡물 계약 실패 기업에서 사막 토지·세 지팡이·독자 생산기지를 가진 농업사업자로, 전투 마법은 산업 공정으로 확장된다.","화산·지진·기후 조작의 환경 비용, 외국 농지 의존, 겨울 영하 30도와 실제 소비자가격 전환이 남는다.","220화 세계 흉작 속 세운곡물이 전년도 가격으로 한국 식탁을 지키고 마법 온실·가족 결혼선으로 이어진다.","① 217~219화가 `곡물 카르텔(1)~(3)`의 표제를 공유한다; ② 토지 확보→촉매 획득→토질·파종이라는 공정 단계가 219화 첫 농장 가동으로 완결된다; ③ 220화부터 `농사(1)`로 제목이 바뀌고 목표가 구축에서 세계 흉작 대응·생활가격·겨울 운영으로 이동한다.",high
S05-A07,"한국 식탁·마법 온실·형수님 결혼과 아이 보호",220,223,"220화","223화",4,"조도겸; 황연우; 서민지; 0호기; 김영한; 김정철; 복지센터 아이들; 창립멤버","고비 마법 온실; 백두빌딩; 조도겸 욕실; 밝은복지센터; 황연우 결혼식; 정철정밀","세계 흉작 속 곡물 사업의 보상을 한국 식탁, 연중 온실, 황연우 결혼, 복지센터 아이 보호라는 생활·가족 장면으로 확장한다.","거대 농업 성과가 가격 숫자에 그치지 않고 가족 호칭과 아이들의 옷·안전까지 실제 삶을 바꿀 수 있는가?","전년도 곡물값, 20도 온실·연 4~5회 수확, `형수님` 호칭, 20트럭 선물, 대통령 화환 결혼식과 가해자 지위 붕괴가 연속 보상된다.","영하 30도, 폭력적 곡물 카르텔, 서민지의 특혜 회피, 내전국 해외진출, 기부품 절도와 미성년 가해자·부모의 방조가 상승 압력이다.","황연우가 욕실로 뛰어들어 서민지에게 청혼했다고 알리자 조도겸은 즉시 `형수님`이라 부르고 익명으로 약 2억 원 전자제품과 20트럭 이상 물품을 보낸다.","결혼식에 대통령 화환·여야 의원·재계가 모이고 도겸은 아들을 장가보내는 듯 느끼며, 피해 아이는 보호 아래 가해자를 되갚고 공급사 아들의 권력도 무너진다.","서민지는 낯선 사회복지사에서 공개 배우자·형수님으로 편입되고 황연우는 정치 동료에서 결혼을 먼저 알리는 형으로, 복지 아이들은 침묵 피해자에서 보호받는 내 사람으로 이동한다.","세운곡물은 카르텔 경쟁사에서 국민 식탁 공급자로, 황연우는 전국 정치인으로, 조도겸은 사업가에서 가족·복지 공동체 보호자로 인정된다.","정철정밀 계약 해지와 미성년 폭력 보복의 과잉·윤리 비용, 아프리카 진출 위험과 일회성 보호의 한계가 남는다.","224화 외할머니 식당의 김치찌개·계란말이 식탁에서 보호의 기원을 확인하고 2조 원 교육재단·대학으로 제도화한다.","① 220~223화가 `농사(1)~(4)` 표제를 공유한다; ② 마법 온실 완성·결혼·복지센터 강탈 응징이 223화에서 닫힌다; ③ 224화 `재단(1)`은 장소를 외할머니 식당으로 옮기고 개인 보복을 지속 교육지원으로 바꾸는 새 목표를 명시한다.",high
S05-A08,"외할머니 식탁에서 세운대학교까지",224,226,"224화","226화",3,"조도겸; 유말숙; 황연우; 서민지; 김건웅; 윤양진; 코일; 세운대 학생들","유말숙 식당; 백두빌딩; 경진대학교; 골프장; 세운대학교","외할머니에게 진 생명의 빚과 복지센터 보호를 2조 원 교육재단, 대학 인수, 무료 등록금·조기 취업으로 제도화한다.","사적 은혜와 응징을 학생 수만 명의 지속 가능한 주거·교육·경력 보상으로 바꾸고 부패 소유자의 저항을 꺾을 수 있는가?","김치찌개·계란말이 식탁, 4천억 원 대학 인수, 등록금 100% 무료와 2학년 세운 직원·3년 경력 인정이 감정에서 제도로 확장된다.","오랜 부재와 할머니의 노화, 윤양진의 가문 자존심·1천억 원 이상 교비 전용·총부채 2천억 원, 학생 인수 반대와 2만 명 장기 고용 비용이 겹친다.","김건웅의 자금 회수·증거와 골프장 무손상 붕괴 앞에서 내려다보던 윤양진이 애원하며 4천억 원 일괄 매각을 수락한다.","무료 등록금·고임금 인턴·경력 인정 뒤 가난한 고득점자가 세운대를 택하고 코일은 총장·교수로 우수 학생을 끌어온다.","유말숙은 회상 속 은인에서 치료하고 밥을 받는 현재 가족으로, 윤양진은 거만한 이사장에서 조 회장에게 매달리는 피인수자로, 학생은 인수 대상에서 예비 직원으로 바뀐다.","조도겸은 2조 재단 설립자·세운대학교 소유자·교육 고용주가 되고 코일은 연구자에서 총장으로 지위가 확장된다.","기업 종속 교육과 2만 명 고용비, 교비 압박 방식의 윤리 비용, 아프리카 자원개발을 위한 곡물 거래가 남는다.","227화부터 곡물-자원 교환을 중앙아프리카 내전에서 실행하며 교육 사업에서 국제 자원전으로 무대를 옮긴다.","① 224~226화가 `재단(1)~(3)` 표제를 공유한다; ② 식탁의 재단 구상→대학 인수→무료 교육·취업 제도가 226화 입시 반응으로 닫힌다; ③ 227화 표제가 `자원 전쟁(1)`로 바뀌고 핵심 장소·인물이 학교에서 중앙아프리카 세 진영으로 교체된다.",high
S05-A09,"난민의 카사바 수프와 마법 트레일러 전쟁",227,229,"227화","229화",3,"조도겸; 조민우; 르망드; 렐카인; 제브; 알제리노; 0호기; 난민·군인들","카메룬 제브 저택; 중앙아프리카 난민구호소; 반군 항구; 구호소 밖 평지","정부군·반군이 외부 세력과 손잡은 내전에서 최약 민병대를 난민 구호·정신마법·트레일러로 새 국가군으로 만든다.","독점 개발권을 얻기 위해 최약 세력을 고르면서도 난민을 실제로 먹이고 지키는 명분과 무피해 승리를 만들 수 있는가?","아이스크림과 카사바 수프를 먹는 10만 난민, 애국심으로 결속한 군대, 전차 10대를 찌그러뜨린 트레일러와 무피해 환호 귀환이 보상된다.","프랑스 정부군 지원, 조민우의 마피아·삼합회 1천 명·T-62 10대·6천 반군, 상호 살육하던 포로 3천 명과 신병 2천 명, 정신개조 윤리 비용이 압력을 높인다.","난민 아주머니가 군인의 그릇에 카사바 수프를 더 주고 아이들이 뛰노는 장면이 마법으로 심은 애국심을 난민 보호 의지로 전환한다.","트레일러 20대가 115mm 포탄을 막고 전차 10대를 찌그러뜨려 아군 부상 없이 귀환하며, 전차는 골렘·배리어로 수리되고 전신 방탄복까지 지급된다.","르망드는 난민을 방패로 쓸 군벌에서 목숨보다 난민을 지키는 장군으로, 군인들은 적대 포로에서 도겸을 생명의 은인·친구로 보는 공동체로 이동한다.","조도겸은 독점권을 구걸하던 투자자에서 새 군대의 실질 창설자·마법 군수 공급자로, 조민우는 반군의 외부 후원자로 대칭 상승한다.","강제 정신조종·용병 상호 살육과 내전 개입의 국제법 비용, 수도·정부군과의 전쟁, 개발권의 정당성이 남는다.","230화 방탄복으로 수도를 6시간 만에 탈환하고 정체 공개·개발권·전국 식량 지원으로 전쟁을 개발로 전환한다.","① 227~229화가 `자원 전쟁(1)~(3)` 표제를 공유한다; ② 세력 선택→구호소 통합→전차전 승리라는 전쟁 단계가 229화 무피해 귀환으로 완결된다; ③ 230화부터 표제가 `자원 개발(1)`로 바뀌고 수도 탈환·계약·민심·공사라는 국가 재건 목표로 전환된다.",high
S05-A10,"중앙아프리카 개발권에서 12나인·독도 해상도시까지",230,232,"230화","232화",3,"조도겸; 르망드; 조민우; 김건웅; 황연우; 윤경영; 0호기; 세운제약·에너지 사장","중앙아프리카 수도·개발현장; 골렘 공장; 세운 본사; 울릉도-독도 해역","수도 탈환과 자원개발을 마법 건설로 안정시키고 귀국 후 일본 소재 제재를 12나인 불화수소와 6㎢ 해상도시로 선제 반격한다.","전쟁에서 얻은 개발력과 정화 마법을 현지 일자리·한국 반도체·독도 실효 지배라는 서로 다른 국가 성과로 연결할 수 있는가?","6시간 무부상 수도 탈환, 480만 국민 식량, 12나인 양산, 부유판 100개·골렘 1천 기의 하루 인공섬이 연속된다.","프랑스 지원 정부군과 잔존 민병대, 반도체 필수 3종·일본 90% 점유, 새 소재 공장 적응, 태풍·영토 분쟁·보름 지반 공정이 압박한다.","퓨리피케이션과 탐색 측정기를 결합한 20단 레일이 99% 원료를 대량 12나인 불화수소로 바꾼다.","르망드는 세운 회장 정체를 알고 즉시 개발권을 맡기며, 일본 제재 당일 세운은 소재 국산화와 울릉도-해상도시-독도 해저터널을 발표할 준비를 끝낸다.","르망드는 군 지휘관에서 국민 지지 지도자·세운 동맹으로, 윤경영·황연우는 기업 해결책을 국가 반격으로 승인하는 정치 파트너로 이동한다.","조도겸은 익명 구호소 소장에서 국가 개발 파트너·세계 최고 순도 소재 개발자·영토 인프라 설계자로 상승한다.","내전 개입·독점 개발권, 소재 비밀과 마법 특허 설명 불가, 해상도시 안전·일본 분쟁 비용이 남는다.","233화 공개 뉴스가 일본 기업과 윤경영 지지율을 뒤집고 개헌·기숙사·중국 분쟁으로 이어진다.","① 230~232화가 `자원 개발(1)~(3)` 표제를 공유한다; ② 230화 전쟁 결산·231화 소재 공정·232화 국가 인프라로 ‘마법 개발’ 축이 확대된다; ③ 232화 말 일본 제재가 실제 발표되고 233화 `분쟁(1)`부터 공개 외교·정치 반응이 핵심 목표가 된다.",high
