ordinal,arc_id,end_sequence,source_lines,result,paid_reward_before,paid_reward_after,ending_hook_before,ending_hook_after,closed_loops_after,opened_loops_after,pacing_result,evidence_note,batch_status
"001","DCA-N01","10","L2018~L2167","EDIT","퀀텀펀드 장기 동맹, 조지·짐 추천서, 파운드 공격의 마지막 일격 지위와 40억 달러의 독자 운용 여력을 얻는다.","퀀텀펀드의 모든 통화전쟁 장기동맹과 파운드 공격 60억 달러 공동투자 조건, 조지·짐의 추천서 작성 약속, 남은 40억 달러 운용 여력을 얻는다. 추천서 원본과 파운드 붕괴 수익은 아직 미지급이다.","한정훈이 파운드 TF와 퀀텀 대화 채널을 만들고 김민재는 대학 입학 뒤에도 굵직한 투자·영입만 직접 개입하려 한다.","한정훈이 파운드 TF·퀀텀 대화 채널을 맡고, 대학에 갈 김민재는 굵직한 투자·영입만 직접 챙기는 SAVE 자율운영을 실제로 버티게 할 수 있는가?","제프리 영입·SAVE 운영축; 퀀텀 장기동맹·60억 달러 투자 합의; 조지·짐의 추천서 작성 약속","추천서 실제 수령; 영국 파운드화 붕괴·보험금; 대학 입학·조기졸업; 제프리의 IT 투자","EDIT_NOTE;KEEP_T7_R7_H6_RIBBON","L2018~L2167: 조지는 모든 통화전쟁 동맹과 60억 달러 투자를 구두 수락하고 40억 달러 운용여력이 남는다. 조지·짐은 추천서를 써 주겠다고만 했고 원본 수령 장면은 없다.","ENDPOINT_AUDIT_44_OF_131"
"002","DCA-N01B","15","L2852~L3024","KEEP","푸틴의 감사 메시지, 하버드 3년 조기졸업, 귀국 뒤 김태중의 식탁 환대를 받는다. 배터리 교수 접촉·계약·지분 취득은 이 화에 없다.","푸틴의 감사 메시지, 하버드 3년 조기졸업, 귀국 뒤 김태중의 식탁 환대를 받는다. 배터리 교수 접촉·계약·지분 취득은 이 화에 없다.","기획실 대신 창원 부품공장을 택해 5년 갈아 온 칼을 처음 쓰겠다고 결심한다.","기획실 대신 창원 부품공장을 택해 5년 갈아 온 칼을 처음 쓰겠다고 결심한다.","하버드 과정; 푸틴 첫 지원; 퀀텀 프랑화 대응 방향","태우 내부 수술; 제프리의 아마존 창업; 배터리 교수 지원·지분협상과 실제 계약","KEEP_T6_R8_H8_RIBBON_NOTE","L2852~L3024: 푸틴 감사·하버드 3년 졸업·김태중의 귀국 식탁은 확인된다. 배터리 자료는 데이비드에게 건네 최대 지분을 받아 오라고 지시할 뿐 교수 접촉·계약은 없다.","ENDPOINT_AUDIT_44_OF_131"
"003","DCA-N02","31","L5819~L6005","KEEP","명동 간섭 제거·47명 숙청과 감사팀 개혁 성과를 얻지만 기술연구소장으로 밀어낼 사장단 합의가 생긴다.","명동 간섭 제거·47명 숙청과 감사팀 개혁 성과를 얻지만 기술연구소장으로 밀어낼 사장단 합의가 생긴다.","박진훈이 태우전자 기술연구소장 승진안을 김태중 귀국 사장단 회의에 올리기로 한다.","박진훈이 태우전자 기술연구소장 승진안을 김태중 귀국 사장단 회의에 올리기로 한다.","이선일 동맹 실질 수락; 이준수 파벌 징계","기술·경제연구소 인사; 사장단의 유배 함정; 이선일 정보 거래","KEEP_T6_R5_H7_RIBBON_NOTE","L5819~L6005: 이선일이 조건을 받아들이고 박 대위가 이준수를 끌어내며 다음 날 47명 인사조치가 게시된다. 말미에는 박진훈이 기술연구소장 안을 다음 사장단 회의에 올리기로만 한다.","ENDPOINT_AUDIT_44_OF_131"
"004","DCA-N03","52","L9579~L9758","EDIT","박진훈을 축출하고 이노폰의 월 10만 대 이상 수요와 태우전자 사장 추천을 얻는다","국내 재고 30만 대 완판, 미국 30만 대·유럽과 한국 각 10만 대 주문, 월 10만 대 이상 수요를 확인하고 박진훈 퇴진과 사장단의 만장일치 태우전자 사장 추천을 받는다.","김민재가 요구한 것은 사장 직함이 아니라 지분이다. 김태중이 태우전자의 실제 소유권을 넘길 것인가?","김민재가 요구한 것은 사장 직함이 아니라 지분이다. 김태중이 태우전자의 실제 소유권을 넘길 것인가?","이노폰 허위보도; 국내 재고 30만 대 완판과 해외·국내 주문; 박진훈 퇴진; 태우전자 사장 추천","태우전자 지분 상속과 소유주로서의 경영권은 요구만 제시된 채 남는다","KEEP_T8_R10_H9_RIBBON_NOTE","L9579~L9758: 국내 재고 30만 대가 완판되고 미국 30만 대·유럽과 한국 각 10만 대 주문, 월 10만 대 이상 수요가 확인된다. 박진훈 퇴진과 만장일치 사장 추천 뒤 마지막은 직함 아닌 지분 요구다.","ENDPOINT_AUDIT_44_OF_131"
"005","DCA-N04","71","L13025~L13225","EDIT","황영철 팀·MP3 기술을 애플 개발로 살리고 전 계열사를 조정할 사장급 기획본부장 역할을 얻는다","황영철의 디지털케이스 지분 전량 양도 의사, 직원 보너스용 50억 원 지급 약속, 직원·황영철의 애플 재출발 경로와 김태중의 세계화 구상 동의를 얻는다. 우성일 사장 임명·김민재 기획실 발령·MCA 지분 취득은 아직 실행 전이다.","그룹 기획본부장으로서 첫 세계화 표적을 어느 나라와 어떤 제품으로 잡을 것인가?","김태중의 동의를 실제 기획실 인사로 만들고, 한정훈이 파나소닉의 MCA 레코드 지분을 받아 첫 세계화·음원축을 열 수 있는가?","엠피맨 실패 진단; 디지털케이스 지분 양도·50억 원 지급 합의; 직원·황영철의 애플 이동 경로; 그룹 세계화 방향 동의","우성일 사장 임명·김민재 기획실 발령; MCA 레코드 지분 협상·취득; 중국 자동차 진출","EDIT_R7_TO_R6_AND_NOTE;KEEP_T5_H7_RIBBON","L13025~L13225: 황영철은 지분 전량 양도를 말하고 김민재는 직원 보너스용 50억 원 당일 지급을 약속한다. 한정훈은 MCA 협상에 출발하고 김태중은 세계화 구상에 동의하지만 사장 임명·기획실 발령·MCA 취득은 없다.","ENDPOINT_AUDIT_44_OF_131"
"006","DCA-N05","77","L14142~L14342","EDIT","전자상거래·음원·HTS 전담팀과 자유출퇴근제, 이를 실제로 밀어붙일 제프리를 확보한다","전자상거래·음원·HTS 전담팀과 자유출퇴근제, 이를 실제로 밀어붙일 제프리를 확보한다","제프리의 방식이 직원 이탈 없이 제품을 내고 다가오는 외환위기 전 현금원을 만들 수 있는가?","도착 30분 만에 전자상거래팀을 뒤엎은 제프리의 지옥훈련을 직원들이 버티고 네 프로젝트를 실제 제품으로 완성할 수 있는가?","전자상거래·음원·HTS·호텔예약/A·S 네 팀의 채용·역할·자율출퇴근제와 제프리 투입","제프리의 한 달 훈련과 직원 이탈 여부; 전자상거래·HTS·호텔예약·A/S 네 프로젝트의 완성","KEEP_T6_R7_H7_RIBBON_NOTE","L14142~L14342: 100명을 네 프로젝트에 배치하고 자유출퇴근제를 시행한 뒤 제프리가 실제 입국해 30분 만에 코드를 뜯어본다. 마지막 프레임은 한 달 훈련이며 일본 차입·외환위기는 이 화에서 열리지 않는다.","ENDPOINT_AUDIT_44_OF_131"
"007","DCA-N06","86","L15802~L15983","KEEP","IMF 우호관계와 애플의 소비자·주가 보상을 얻어 국내 위기 매물을 살 명분과 자산가치를 키운다","IMF 우호관계와 애플의 소비자·주가 보상을 얻어 국내 위기 매물을 살 명분과 자산가치를 키운다","귀국한 다이먼이 재계 4위 카이자동차를 어느 가격과 조건으로 가져올 것인가?","귀국한 다이먼이 재계 4위 카이자동차를 어느 가격과 조건으로 가져올 것인가?","무부채 태우의 IMF 설명과 아이팟·음원사이트 첫 출시 검증을 닫는다","카이자동차 인수와 국내 음원·통신 시너지는 새 과제로 열린다","KEEP_T5_R9_H8_RIBBON_NOTE","L15802~L15983: IMF 신뢰를 확인한 뒤 아이팟이 사흘 만에 완판되고 애플 주가가 두 배로 오른다. 말미에 다이먼에게 카이자동차를 표적으로 지정해 다음 인수전만 연다.","ENDPOINT_AUDIT_44_OF_131"
"008","DCA-N07","90","L16548~L16721","EDIT","카이차 회생 책임자와 CL 승계판을 흔들 수 있는 장녀의 불만·접근권을 확보한다","카를로스 곤의 한국행·카이자동차 대표 수락, 5년 이상 고용·500만 달러 보수·독립경영 합의를 얻고 김태중에게 정식 소개한다. 고연진과는 첫 맞선·인사만 시작했을 뿐 승계동맹은 없다.","고연진에게 장녀 승계를 독려하면 CL이 먼저 자산 교환을 고민하게 만들 수 있는가?","고연진과의 첫 대화에서 그녀가 CL 복지재단·가족 승계에 관해 실제로 무엇을 원하는지 확인할 수 있는가?","카를로스 곤의 카이자동차 대표 수락·한국행·김태중 소개","고연진의 현재 의사 확인; CL 승계분쟁 가능성; 베리뮤직·CL 자산교환","KEEP_T5_R8_H7_RIBBON_NOTE","L16548~L16721: 카를로스는 500만 달러·5년 이상·독립경영을 받아 한국에 와 김태중을 만난다. 고연진과는 인사와 날씨 대화만 있고 승계 불만은 회귀 기억 속 미래소송 정보다.","ENDPOINT_AUDIT_44_OF_131"
"009","DCA-N07B","95","L17446~L17615","KEEP","스타벅스 한국법인 50대50 독점권과 전자 20% 성장, 건설 재건의 명확한 문제표를 얻는다","스타벅스 한국법인 50대50 독점권과 전자 20% 성장, 건설 재건의 명확한 문제표를 얻는다","태우전자 보고가 끝나고 태우건설 차례가 오자 외환위기로 건설경기가 얼어붙은 현실이 회의실을 누른다","태우전자 보고가 끝나고 태우건설 차례가 오자 외환위기로 건설경기가 얼어붙은 현실이 회의실을 누른다","스타벅스 독점계약과 태우전자 연간 실적 평가를 완료한다","장수영이 수주 공백을 어떻게 설명하고 태우건설을 살릴 외부 사업을 어디서 구할지는 미결이다","KEEP_T5_R7_H5_RIBBON_NOTE","L17446~L17615: 스타벅스 한국법인 50대50 권리가 닫히고 태우전자 20% 성장 수치가 확인된다. 사장단 보고 마지막은 외환위기 속 태우건설 수주공백으로 멈춘다.","ENDPOINT_AUDIT_44_OF_131"
"010","DCA-N07C","97","L17785~L17953","EDIT","지하철 9호선·거가대교 운영권과 태우건설의 대형 시공물량·도급 1위 반전 기반을 얻는다","퀀텀펀드의 명칭·지분 7% 참여와 9호선 총 3조5천억 원 중 9천억 원 투자, 30년 MRG·요금결정·운영권이 담긴 서명 계약을 얻는다. 태우건설 주 시공사 지정·9호선 확장 변경·거가대교 수주와 40년 운영권은 아직 미지급이다.","사장단 앞에 이 수주를 공개하면 장수영과 태우건설의 위상이 어떻게 바뀔 것인가?","다이먼이 거가대교 1조9천억 원 전액투자·40년 운영안을 정부에 제시해 확답을 받고 태우건설 주 시공까지 확정할 수 있는가?","퀀텀 명칭·7% 참여 합의; 정부의 민자사업 발표; 9호선 30년 MRG·요금결정·운영 계약 날인","9호선 확장 계약변경·태우건설 주 시공사 지정; 거가대교 전액투자·40년 운영 협상; 다섯 추가 사업","EDIT_R9_TO_R8_AND_NOTE;KEEP_T6_H7_RIBBON","L17785~L17953: 9호선 3조5천억 원·컨소시엄 9천억 원·30년 계약은 실제 날인된다. 거가대교는 정부 확답 없이 가능성 90%로 계산하고 전액투자·40년안을 이제 협상하라고 지시한다.","ENDPOINT_AUDIT_44_OF_131"
