sequence,visible_label,arc_id,arc_phase,concrete_event,tension_1_10,reward_1_10,hook_1_10,information_weight,action_weight,relationship_weight,emotion_weight,material_or_status_weight,pacing_note
286,286화,D01,setup,선악의 저울로 마윈을 판별하고 차이나 옐로 페이지 49% 투자안을 내민다,9,5,7,7,7,6,5,6,마윈의 값을 재다: 낯선 창업자에게 거액을 먼저 내보이는 정보 비대칭 뒤 마윈과 중국 인터넷 시장의 첫 협상권을 지급하고 마윈이 지분 가격을 역으로 높여 부른다로 넘긴다.
287,287화,D01,setup,마윈의 49% 요구가를 받아치며 1억 달러 규모의 성장 자금을 제시한다,6,10,8,8,8,8,8,4,백지수표보다 큰 조건: 지분은 얻어도 창업자의 신뢰와 자율성을 잃을 수 있음 뒤 단순 매수가 아닌 장기 동업의 판을 지급하고 마윈이 돈보다 경영 조건을 확인한다로 넘긴다.
288,288화,D01,escalation,감사와 상장 조건을 붙이되 마윈의 경영 자율을 보장하는 계약 틀을 확정한다,9,8,9,3,2,3,4,8,경영권을 남기는 투자: 통제권을 내려놓아야 하는 대주주의 비용 뒤 49% 지분과 미국 상장으로 이어질 계약 원칙을 지급하고 서명 뒤 회사의 새 이름과 다음 사업이 남는다로 넘긴다.
289,289화,D01,escalation,투자 계약을 체결하고 회사를 알리바바닷컴으로 다시 세운다,6,6,10,4,3,5,7,6,알리바바닷컴의 탄생: 아직 매출과 조직이 없는 이름에 자본을 거는 위험 뒤 중국 전자상거래의 출발점과 마윈의 충성을 지급하고 마윈이 전자상거래 밖 물류망을 꺼낸다로 넘긴다.
290,290화,D01,escalation,마윈의 물류 투자 제안을 검토하는 동시에 세르게이 브린을 큐브 대표 후보로 올린다,9,4,5,5,4,7,3,4,물류와 검색의 두 갈래: 중국 현장과 미국 기술 회사를 동시에 통제해야 하는 분산 비용 뒤 상거래와 검색을 잇는 두 성장 축을 지급하고 장가이와의 물류 협상이 시작된다로 넘긴다.
291,291화,D01,turn,장가이의 배송 사업과 이베이 철수 요구를 듣고 알리페이 구상을 검토한다,6,9,6,6,5,2,6,8,알리페이의 전제: 중국 정부·이베이·현지 경영자 사이 이해 충돌 뒤 결제와 배송까지 묶인 알리바바 생태계 설계을 지급하고 마윈이 경영 불간섭 약속을 요구한다로 넘긴다.
292,292화,D01,payoff_bridge,경영 불간섭을 약속하는 대신 물류에 5억 달러를 투입할 토지·창고 계획을 받는다,9,7,7,7,6,4,2,6,불간섭의 대가: 돈을 대고도 현장 의사결정에 개입하지 못하는 비용 뒤 마윈의 전권과 중국 물류 선점권을 지급하고 중국 계약을 닫고 미국 기술 전쟁으로 이동한다로 넘긴다.
293,293화,D01,payoff_bridge,알리바바·결제·물류의 역할을 나눈 뒤 미국의 큐브 경영 문제를 처리하러 떠난다,6,5,8,8,7,6,5,4,중국판을 닫고 미국으로: 막대한 선투자에 아직 회수 실적이 없음 뒤 중국 인터넷·물류의 장기 교두보을 지급하고 이베이의 반격과 브린 면접이 기다린다로 넘긴다.
294,294화,D02,setup,이베이 측의 중국 철수 거부를 확인하고 세르게이 브린을 직접 만난다,5,6,5,3,2,4,2,5,이베이의 거절과 브린의 등장: 경쟁사와 정면 충돌할 가능성 뒤 검색 기술자를 경영자로 바꿀 면접 기회을 지급하고 브린이 큐브의 미래 기술을 묻는다로 넘긴다.
295,295화,D02,escalation,브린을 영입해 인공지능·자율주행·지도·지구 서비스와 앱 판매망을 설계한다,8,4,6,4,3,6,5,3,검색을 넘어선 큐브: 한 회사에 너무 많은 연구 과제를 얹는 집중력 비용 뒤 큐브를 검색회사가 아닌 기술 플랫폼으로 재정의을 지급하고 영상 공유라는 새 서비스가 나온다로 넘긴다.
296,296화,D02,payoff_bridge,브린의 큐브 아래 마이튜브를 출범시키고 구글의 자리를 선점한 직후 아버지의 결혼 명령을 받는다,5,9,7,5,4,8,8,7,마이튜브와 결혼 통보: 기업 확장과 사생활 일정이 정면 충돌 뒤 영상 플랫폼과 차세대 단말 연계의 출발을 지급하고 스칼릿 귀국과 연내 결혼이 강제 과제가 된다로 넘긴다.
297,297화,D03,setup,스칼릿과의 결혼을 수락하되 아프리카 일정 전 호흡기 감염병 연구를 지시한다,5,4,5,6,8,7,7,3,연내 결혼과 방역 연구: 신혼 준비를 연구·출장과 병행해야 함 뒤 가족의 승인과 미래 방역 기술의 씨앗을 지급하고 에이즈 약가와 새 질병 투자 규모가 쟁점이 된다로 넘긴다.
298,298화,D03,escalation,에이즈 치료제의 공공성과 수익을 조율하고 조류독감·구제역·호흡기 진단과 백신 연구를 넓힌다,8,9,6,7,2,2,3,7,값싼 약에서 백신까지: 단기 수익을 포기하고 불확실한 연구비를 부담 뒤 제약 능력이 사회적 신뢰로 환전될 기반을 지급하고 전갑수의 후계와 전태성의 꿈이 동시에 드러난다로 넘긴다.
