sequence,visible_label,arc_id,arc_phase,concrete_event,tension_1_10,reward_1_10,hook_1_10,information_weight,action_weight,relationship_weight,emotion_weight,material_or_status_weight,pacing_note
151,151화,S1B-A01,결산,태우·카이자동차의 공장 전문가를 아마존 로봇팀에 보내고 WTC 두 동에 모든 보험을 든 뒤 110층 전체 리모델링·붕괴구조 인력을 배치한다; 리모델링 명목으로 입주자를 비우고 삼풍 붕괴·소방 경험자와 대형 장비를 9월 전에 현장에 넣는다; 스마트팩토리 동맹과 WTC 99년 사용권을 실제 생존 장치로 전환한다,7,9,9,6,5,4,5,6,결산 구간. 스마트팩토리 동맹과 WTC 99년 사용권을 실제 생존 장치로 전환한다; 다음 압력은 강 대위 사무실 TV에 9·11 테러 속보가 뜬다
152,152화,S1B-A02,진입,9·11 직후 공매도·매도를 금지하고 태우건설 크레인과 구조 인력을 현장에 투입한 뒤 세계 증시 저점 매수를 준비한다; 두 WTC를 공사로 봉쇄한 덕분에 건물 내부 사망자가 없고 붕괴도 통제되었다; 비행기 탑승자를 제외한 대규모 인명 피해를 막고 보험금과 미국의 신뢰를 함께 얻는다,6,6,8,6,8,4,8,6,진입 구간. 비행기 탑승자를 제외한 대규모 인명 피해를 막고 보험금과 미국의 신뢰를 함께 얻는다; 다음 압력은 미국의 전쟁 열기 속에서 어느 자산을 사고 누구 편에 설지 선택해야 한다
153,153화,S1B-A02,진입,캐나다에서 제프리 힌톤을 영입해 AI 연구팀을 만들고 조지 슐츠와 만나 태우자동차 반덤핑 예외와 미국계 이미지 은폐를 협상한다; 부시 재선 지원을 약속하는 대신 태우는 전쟁에 직접 올라타지 않고도 보호받는 길을 얻는다; 세계급 AI 스승과 미국 자동차시장 방패를 동시에 확보한다,6,6,8,6,5,8,5,6,진입 구간. 세계급 AI 스승과 미국 자동차시장 방패를 동시에 확보한다; 다음 압력은 한국에 돌아오자 아이폰 판매와 애플·태우 TV 사업이 기다린다
154,154화,S1B-A02,확장,귀국해 아이폰 국내 40만 대 판매와 스마트TV 공동개발 진행을 확인하고 세이월드 창업자 서광수를 만나 투자·독립 경영을 제안한다; 서광수가 이미 KS텔레콤과 계약 직전이라는 사실이 협상의 변수가 된다; 모바일·TV 반등을 SNS 생태계로 잇는 인수 기회를 포착한다,7,7,8,8,8,4,5,9,확장 구간. 모바일·TV 반등을 SNS 생태계로 잇는 인수 기회를 포착한다; 다음 압력은 KS텔레콤 박동희가 학연과 술자리로 세이월드를 헐값에 빼앗았음이 드러난다
155,155화,S1B-A02,확장,서광수에게서 70억 원대 주식 계약과 박동희의 강압을 확인한 뒤 거래를 무너뜨리겠다고 선언하고 태우IT로 간다; 세이월드를 되사는 대신 더 강한 서비스를 만들어 KS의 인수 자체를 독으로 만들기로 한다; 복수 대상과 계약 약점을 특정하고 독자 SNS 역공의 명분을 얻는다,7,7,8,8,8,4,8,9,확장 구간. 복수 대상과 계약 약점을 특정하고 독자 SNS 역공의 명분을 얻는다; 다음 압력은 태우IT에 세이월드·페이스북·인스타 기능을 한꺼번에 만들라고 지시한다
156,156화,S1B-A02,확장,태우IT 100명에게 미니홈피·일촌·배경음악·미래 SNS 기능을 나눠 맡기고 재택·안식년 복지를 제시한 뒤 다이먼에게 CL카드 인수 준비를 맡긴다; SNS 복수전과 카드대란 선점을 동시에 가동하며 방치됐던 다이먼을 금융 임무로 복귀시킨다; 1천 명 규모 IT 조직의 충성·생산성과 카드업계 1위 회수 계획을 확보한다,7,7,8,6,8,4,8,9,확장 구간. 1천 명 규모 IT 조직의 충성·생산성과 카드업계 1위 회수 계획을 확보한다; 다음 압력은 페이스북 창립자 마크 영입과 삼진 스마트폰 특허 협상이 동시에 열린다
157,157화,S1B-A02,전환,데이비드에게 마크를 30% 지분 장학생으로 영입시키고 오희건과 만나 삼진 스마트폰의 태우 특허 사용 조건을 협상한다; 삼진은 태우 핵심특허 없이는 수익성 있는 스마트폰을 만들기 어렵다는 사실을 인정한다; 페이스북 창업 인재를 선점하고 경쟁사까지 태우 생태계에 들어오게 할 협상 우위를 얻는다,8,8,9,6,5,4,5,9,전환 구간. 페이스북 창업 인재를 선점하고 경쟁사까지 태우 생태계에 들어오게 할 협상 우위를 얻는다; 다음 압력은 오희건에게 낮은 로열티 대신 태우 기본 앱 탑재라는 진짜 대가를 제시한다
158,158화,S1B-A02,전환,삼진 스마트폰에 태우 사이트·앱을 기본 탑재하는 조건으로 특허료를 낮추고 다이먼과 카드업계 부실을 재확인한다; 고정 로열티보다 장기 플랫폼 수수료와 시장 확대가 더 크다는 계산으로 경쟁사를 일부러 키운다; 애플과 삼진 중 누가 이겨도 태우가 수익을 얻는 구조와 CL카드 붕괴 확신을 얻는다,8,8,9,8,5,4,5,9,전환 구간. 애플과 삼진 중 누가 이겨도 태우가 수익을 얻는 구조와 CL카드 붕괴 확신을 얻는다; 다음 압력은 다이먼이 외환은행까지 위험하다고 보고하고 민재는 은행 인수판을 함께 보기 시작한다
159,159화,S1B-A02,압박,외환은행·카드 부실을 조사시키는 한편 임재범을 찾아 코코아톡 합작을 제안하고 하두리 서문영에게 짧은 영상 SNS 지분 20%와 계약금 50억 원을 제시한다; 기존 포털이 거절한 두 개발자를 자본·지분·스티브의 설득으로 태우 편에 묶는다; 메신저와 숏폼 SNS의 핵심 창업자·기술을 출시 전에 선점한다,9,7,9,8,5,4,5,9,압박 구간. 메신저와 숏폼 SNS의 핵심 창업자·기술을 출시 전에 선점한다; 다음 압력은 CL카드 부실을 앞당기기 위해 명동의 채권·유동성 차단이 필요해진다
160,160화,S1B-A02,압박,박만덕·다이먼에게 CL카드 채권과 10조 원대 유동성 문제를 설명하고 이영한에게 대출 차단·채권 압박·부실 발급 가속을 맡긴다; 명동이 CL카드의 돈줄과 추심망을 끊어 역사보다 이른 카드대란을 의도적으로 점화한다; CL카드를 채권단에서 헐값에 되살 수 있는 금융 포위망을 완성한다,9,7,9,6,8,4,5,9,압박 구간. CL카드를 채권단에서 헐값에 되살 수 있는 금융 포위망을 완성한다; 다음 압력은 2001년 말 CL카드의 현금서비스가 전면 중단된다
