"arc_id","arc_name","start_sequence","end_sequence","start_label","end_label","episode_count","main_characters","main_locations","concrete_premise","central_question","promise","pressure_escalation","mid_turn","concrete_payoff","relationship_change","status_or_ability_change","residual_cost","next_arc_bridge","boundary_signals","confidence"
"S2-A01","새 장르·선거 플랫폼·전기차 실증","247","253","247화","253","7","김민재·최재석·천민정·AOS 개발자·김태중","부산 게임결승장·국민경제당·태우 드라이빙센터·LA 모터쇼","김민재가 AOS 원천팀과 선거 크라우드펀딩을 선점하고 전기차 실물을 최재석의 선거동력으로 묶는다.","낯선 기술 세 축이 실제 대중·표·제품 반응을 얻을 수 있는가?","플랫폼 선점과 지방선거 역전 및 전기차 상용화 보상을 함께 약속한다.","최재석은 7% 뒤지고 전기차에는 주행·제동·코너링 결함이 남는다.","시민 선거펀드가 400억 원을 모으고 모터쇼가 전기차 박람회로 변한다.","최재석의 지지율이 뛰고 김태중이 손자의 위기 판단을 전적으로 믿는다.","김태중은 손자의 위기 판단을 전적으로 신뢰하고 최재석은 민재의 정치 동맹으로 굳어진다.","김민재는 정치 플랫폼·AOS 지분·상용 전기차라는 세 실행자산을 얻는다.","모터쇼 경쟁과 미국 주택붕괴 대응이 아직 열려 있다.","미국 부동산 붕괴를 조기 경고한 라잔 영입으로 넘어간다.","247화 SG 복수 결산 뒤 게임·주택·전기차로 목표가 교체됨; 253화 가족 신뢰 보상 뒤 라잔 영입 훅이 새 금융축을 엶","high"
"S2-A02","라잔 영입과 서브프라임 경보","254","261","254","261","8","김민재·라잔·김태중·오바마·미국 IT 경영진","IIT 한국 캠퍼스·태우 본사·미국 정재계","김민재가 라잔과 미국 IT 수장들에게 붕괴 자료를 보여 주고 보험·정치·그룹 승계를 동시에 준비한다.","아직 오지 않은 금융위기를 믿게 해 동맹과 보험권을 선점할 수 있는가?","경고를 무시한 시장에서 보험금·인재·권력을 독식할 보상을 약속한다.","주류 금융권은 경고를 조롱하고 15조 보험·미국 정치관계가 실패비용으로 걸린다.","라잔과 핵심 경영진이 자료를 받아들이고 김태중이 그룹 위임을 확정한다.","보험 매집 확대와 미국 대통령·연준을 상대할 팀이 생긴다.","김태중-민재 관계가 후계 승인으로 바뀌고 라잔은 장기 동료가 된다.","김민재는 태우그룹 통제권과 위기분석 인재·보험권을 확보한다.","백악관과 연준은 여전히 위기를 인정하지 않는다.","워싱턴에서 국가기관을 상대로 붕괴 책임과 구조조정 권한을 요구한다.","254화 라잔 영입이라는 새 인물·장소가 시작됨; 261화 김태중 위임과 워싱턴행 훅으로 개인설득이 국가금융전으로 전환됨","high"
"S2-A03","월가 붕괴 카운트다운","262","268","262","268","7","김민재·라잔·다이먼·조지 소로스·미국 금융당국","워싱턴·월가·SAVE·퀀텀펀드","김민재가 채권등급 담합과 현금고갈을 입증해 구제 대상과 금융질서를 고를 권한을 만든다.","붕괴를 막지 않고도 시스템 책임과 산업 인수권을 태우 쪽으로 돌릴 수 있는가?","월가가 무너질수록 태우·동맹 금융사가 구조자와 인수자가 되는 보상을 약속한다.","대형은행·평가기관·정부가 책임을 떠넘기고 시장 붕괴속도가 빨라진다.","SAVE와 핀테크 동의 없이는 정부도 살릴 회사를 정할 수 없는 구도가 된다.","다이먼의 응어리가 풀리고 태우는 국제 금융계열과 총괄 사장을 얻는다.","김민재-다이먼 관계가 과거 부채에서 공동지휘 관계로 바뀐다.","태우는 투자·보험·증권을 묶어 국가 구조조정을 좌우한다.","대규모 실업·부채와 귀국 뒤 처리할 자산이 남는다.","SAVE 귀환과 AIZ·산업은행 자산 거래로 수확을 현실화한다.","262화 워싱턴 국가협상으로 상대가 교체됨; 268화 다이먼 결산 뒤 귀국·과실수확 훅으로 전장이 한국 자산시장으로 이동함","high"
"S2-A04","SAVE 귀환과 산업은행 거래","269","270","269","270","2","김민재·김태중·산업은행 관계자","인천공항·태우 본사·산업은행","김민재가 1천700억 달러 부채의 AIZ를 자동차 인수도구로 바꾸고 리먼 보험증서를 국가은행 자산과 교환한다.","부실과 종이보험을 산업·부동산 자산으로 바꿀 수 있는가?","위기 수확을 한국에서 즉시 실물화하는 짧고 강한 보상을 준다.","AIZ 부채가 막대하고 리먼 증서는 곧 무가치해질 수 있다.","산업은행이 먼저 보험금 10% 가치와 우량여신·부동산을 제시한다.","태우는 애플 사옥 일감과 25조 원급 자산 협상력을 확인한다.","김태중은 손자의 SAVE 정체와 AIZ 전략을 받아들인다.","부실보험·부채를 산업 인수와 국내 금융허브 재료로 바꾸는 능력이 증명된다.","정확한 부동산·여신 구성과 태우 회장 승계가 미정이다.","그룹 회장 추천과 한전 부지 금융허브 구상으로 이어진다.","269화 미국 붕괴에서 한국 귀환으로 장소·목표가 급전환됨; 270화 산업은행 제안 뒤 회장 승계·자산선택 훅이 동시에 열림","high"
"S2-A05","태우 회장 승계와 금융허브","271","275","271","275","5","김민재·김태중·강대위·최재석·DHL 관계자","태우 사장단 회의·라면집·한전 부지·미국 물류시장","김민재가 회장 승계를 받아들이고 위기수확을 금융허브·자율주행 물류·정치개혁에 재배치한다.","개인 성공과 그룹 권력을 가족·동료·국가의 장기 기반으로 바꿀 수 있는가?","회장 지위와 과거 결핍의 치유 및 신산업 규제권을 함께 지급한다.","승계 책임과 정권 견제, DHL 급매·한전 부지 개발비가 겹친다.","회귀 전 배고픔을 달래던 라면 장면이 성공의 감정 결산이 되고 DHL 도로데이터 가치가 드러난다.","태우는 대통령 직통 파트너가 되고 금융중심지 개발 길을 얻는다.","김태중은 경영을 넘기고 강대위는 과거부터 이어진 생존 동료로 재확인된다.","김민재는 그룹 회장·정치 협상자·금융허브 설계자 지위를 갖는다.","월가 금융사들의 한국 이전 계약을 실제로 따내야 한다.","미국 금융사에 보험청구 완화와 한국 이전을 교환하는 협박성 협상을 건다.","271화 사장단 회의로 승계 목표가 시작됨; 275화 대통령 직통·한전부지 보상 뒤 미국 금융사 이전이라는 외부 과제가 열림","high"
"S2-A06","금융사 이전과 KIKO 역협박","276","281","276","281","6","김민재·다이먼·데이비드·워런 버핏·한정훈","월가·금융허브 부지·미국 의회·국내 은행 회동","김민재가 보험청구 완화를 미끼로 글로벌 금융사를 한국에 이전시키고 KIKO 위기를 국내 은행 통제수단으로 쓴다.","도움을 가장한 협박으로 금융·에너지 허브를 완성할 수 있는가?","세계 금융사와 버핏 자금이 스스로 태우 허브에 들어오는 지위 보상을 약속한다.","리먼 파산·KIKO 청구·은행 반발과 비트코인 신사업 규제가 동시에 압박한다.","세계 최대 파산이 경고를 증명하고 국내 은행들이 판 KIKO 보험이 실제 부채가 된다.","태우는 금융·에너지 마천루, 비트코인 거래소, 버핏 자동차 투자약속을 얻는다.","다이먼·데이비드는 고용인이 아니라 글로벌 전선을 맡는 핵심 파트너가 된다.","한국 금융허브가 국제 금융사·에너지기업의 실제 거점으로 승격된다.","은행권의 손실과 반감, KIKO 합의가 남는다.","정태섭·은행권에 보험지급을 통보하고 달러 스와프·미래산업법 협상으로 간다.","276화 미국 금융사 이전이라는 새 협상판이 열림; 281화 KIKO 보험 실행과 은행 회동 훅이 해외유치에서 국내 권력전으로 전환됨","high"
"S2-A07","달러 스와프와 미래산업법","282","286","282","286","5","김민재·박대훈·정태섭·최재석·미국 정부 관계자","국내 은행·청와대·미국 재무라인·게임 스튜디오","김민재가 달러 기근과 은행 손실을 이용해 국가 스와프·미래산업 법제·차세대 인재를 한꺼번에 확보한다.","국가와 은행의 급한 사정을 장기 기술제도와 산업인수 권한으로 바꿀 수 있는가?","500억 달러 안전판과 신산업 규제완화 및 새 게임이라는 다중 보상을 약속한다.","환율 1천500원·은행 부도위기와 보험금 5조 원 지급압박이 커진다.","김민재가 이권 대신 미래산업 규제·해외 인수 비간섭을 요구하고 스와프를 미국의 빚으로 만든다.","국가 안전판·정책법·정치인 육성·게임 신작이 모두 실행된다.","박대훈 같은 현장 전문가가 발탁되고 최재석과 정책 동맹이 깊어진다.","태우는 금융위기 수습자와 미래산업 입법 설계자 지위를 얻는다.","미국 자동차 빅3의 실제 인수조건이 남는다.","오바마 취임과 빅3 구제협상에 앞서 미국 여론·물류·OLED를 준비한다.","282화 은행 보험지급과 달러위기가 새 압력으로 시작됨; 286화 스와프·법제 보상 뒤 미국차 인수 훅이 산업축을 바꿈","high"
"S2-A08","빅3 구제 전야와 장기 물류","287","290","287","290","4","김민재·데이비드·김태중·미국 자동차 경영진","미국 대선권·백선·태우 물류망·한국 본사","김민재가 미국 자동차 구제 여론을 읽으며 OLED·언론·물류자산과 전기차 결합 준비를 끝낸다.","정부가 떠안은 자동차를 태우가 원하는 구조로 넘겨받을 수 있는가?","부실 완성차를 기술·물류·미디어 자산과 재조합할 보상을 예고한다.","빅3 경영진의 탐욕과 180억 달러 임시구제, 대중 반감이 커진다.","OLED 특허와 AOS 흥행이 확인되고 미국 여론은 기존 경영진 구제명분을 없앤다.","태우는 장기 물류주권과 자동차 인수 전 기술·여론 우위를 확보한다.","김태중이 장기 미국출장 동안 그룹을 맡아 손자를 후방지원한다.","김민재는 국내 공백 없이 미국 국가산업 협상에 전력투입할 수 있다.","구체적인 노조·부채·공장 조건은 미합의다.","오바마 취임 뒤 연준과 미국차 인수협상을 연다.","287화 미국 자동차 구제라는 새 지배목표가 시작됨; 290화 김태중 위임과 오바마 취임행 훅으로 준비에서 본협상으로 넘어감","high"
"S2-A09","미국 자동차 인수와 감염병 축","291","296","291","296","6","김민재·오바마·티모시·워런 버핏·서정준","연준 청사·미국 자동차 공장·센트리언 연구소","김민재가 전면 체질개선 조건으로 미국 자동차사를 인수하고 타미플루·연구진·생산사를 묶는다.","국가 부실기업을 자동화·전기차·바이오 동맹의 발판으로 바꿀 수 있는가?","정부 지원·버핏 자금·핵심 특허를 동시에 얻는 재조합 보상을 약속한다.","노조·공장이전·부채와 감염병 특허·생산능력 확보비용이 압박한다.","버핏 50억 달러 참여로 매각 찬성이 70%를 넘고 미국 정부가 자동화·노조정리를 돕는다.","미국차 인수와 타미플루 권리·세계급 연구자·생산사가 태우 축으로 결합된다.","버핏은 단순 투자자에서 공동 인수자, 미국 정부는 감시자에서 지원자로 바뀐다.","태우는 글로벌 완성차·전기차와 감염병 대응 생산기반을 얻는다.","새 사업들을 이어 줄 우주·물류 축과 실제 팬데믹 수요가 남는다.","베이조스와 로켓·우주·배송 투자를 논의한다.","291화 오바마 정부와 본협상 개시; 296화 자동차·바이오 결산 뒤 로켓이라는 완전히 새 국가산업 훅이 열림","high"
"S2-A10","로켓·우주·바이오 포트폴리오","297","301","297","301","5","김민재·제프 베이조스·봉 감독·센트리언 연구진","아마존·로켓 물류망·우주개발 현장·영화 시상식","김민재가 전자상거래 자동화·전기배송·우주기업·바이오를 하나의 미래 포트폴리오로 묶는다.","서로 먼 신산업들이 태우의 다음 성장축으로 실제 연결될 수 있는가?","지상 이동에서 우주·콘텐츠·감염병까지 선점하는 확장 보상을 약속한다.","20억 달러 투자와 불확실한 로켓·우주기술, 팬데믹 전 낮은 바이오 수요가 부담이다.","봉 감독의 수상이 10년 앞당겨져 OTT 작품성과 태우의 문화투자 판단을 증명한다.","태우 포트폴리오가 지상 이동·AI·우주·바이오로 분기한다.","베이조스·콘텐츠 창작자·연구진이 태우의 장기 생태계 파트너가 된다.","김민재는 산업 간 기술·물류 연결을 설계하는 플랫폼 지위를 강화한다.","GM 내부저항과 신종플루 수요 대응이 남는다.","GM 경영진 청문회와 WHO 팬데믹 선언에 맞춰 전기차·백신 보상을 거둔다.","297화 베이조스·전자상거래라는 새 장소와 목표가 시작됨; 301화 포트폴리오 보상 뒤 WHO 팬데믹·GM 저항 훅이 전선을 바꿈","high"
