sequence,visible_label,title,start_line,end_line,entry_state,reader_promise,protagonist_goal,action,resistance_or_cost,turn_or_reveal,paid_reward,state_change_axis,state_change,ending_hook,closed_loops,opened_loops,arc_id,confidence
1,1화,이혼 후 재벌 각성(개정판) 1화,1,208,대현전자 과장 강산은 연봉 1억을 벌면서도 양혜원의 과소비와 멸시를 견디는 남편이다.,파탄 난 결혼이 강산의 자기 재평가와 반격으로 이어질 가능성을 건다.,평범하고 평온한 가정을 유지한다.,양혜원의 지출과 모욕을 참으며 행복의 의미를 되묻는다.,양혜원은 두 번째 직장과 사망보험금까지 거론하며 강산의 희생을 당연시한다.,강산은 두 사람이 처음부터 맞지 않았고 결혼 생활이 이미 행복과 멀어졌음을 인정한다.,독자가 강산의 억울함과 이혼 욕구를 선명하게 공유하게 된다.,자기평가/관계,무조건 참던 남편에서 결혼 파탄을 직시하는 사람으로 한 걸음 이동한다.,양혜원이 던진 행복 질문이 실제 결별 선택으로 번질지 남긴다.,,양혜원과의 이혼 | 강산의 진짜 행복,ARC-001,high
2,2화,이혼 후 재벌 각성(개정판) 2화,209,390,"강산은 불행을 알면서도 결혼을 지키려 하고, 대양그룹은 그의 존재를 비밀리에 관찰한다.",강산의 숨은 혈통과 이혼 결단을 동시에 전진시킨다.,더는 자신을 깎아 먹지 않는 선택을 한다.,양혜원의 이혼 요구를 받아들이고 재산 분할 논의에 응한다.,양혜원은 강산을 무능한 월급쟁이로 단정하며 재산 절반을 요구한다.,"허준수와 차지혜가 강산을 대양그룹 후계 후보로 관리해 왔다는 사실이 독자에게 먼저 공개되고, 강산은 이혼에 동의한다.",강산이 처음으로 양혜원의 요구에 끌려가지 않고 결별을 선택한다.,관계/자기평가,참는 남편에서 자기 삶을 되찾는 이혼 당사자로 바뀐다.,재산 절반 요구가 강산의 실제 자산과 숨은 신분을 어떻게 드러낼지 건다.,강산의 이혼 결심,대양그룹 후계 혈통 | 재산 분할,ARC-001,high
3,3화,이혼 후 재벌 각성(개정판) 3화,391,621,양혜원은 강산에게 나눌 재산이 많다고 믿고 이혼 협상에 들어간다.,전처의 오판을 숫자와 물건으로 즉시 되갚는다.,불필요한 분쟁 없이 이혼을 확정한다.,결혼 전 3억이 양혜원의 소비로 사라지고 2천만 원 빚만 남았다는 장부를 제시한다.,양혜원은 기대한 재산이 없자 태도를 바꾸지만 이미 관계는 돌이킬 수 없다.,한 달 뒤 이혼이 성립한 직후 김문수가 5억 2천만 원짜리 시계와 희귀 오토바이를 건네며 강산을 도련님이라 부른다.,양혜원은 자신이 버린 남자의 압도적 경제 배경을 눈앞에서 확인한다.,관계/물질/지위,빚진 이혼남처럼 보이던 강산이 대양가의 대접을 받는 자유인으로 뒤집힌다.,강산이 누구의 도련님인지 직접 밝힐 순간을 남긴다.,재산 분할 | 법적 이혼,회장님이 보낸 선물 | 강산의 재벌 신분,ARC-001,high
4,4화,이혼 후 재벌 각성(개정판) 4화,622,823,양혜원은 강산의 고가 선물과 도련님 호칭 앞에서 혼란에 빠진다.,강산의 혈통 공개와 전처의 후회를 확정한다.,양혜원과의 관계를 완전히 끝내고 자유롭게 산다.,자신의 아버지가 대양그룹 허준수 회장임을 밝히고 재결합 요구를 거절한다.,양혜원은 뒤늦게 이혼을 번복하려 하지만 강산은 결혼 중 받은 멸시를 기억한다.,허준수는 차지혜에게 강산 곁을 지키고 태양은행 개인 금고를 남기라고 지시한다.,강산은 희귀 오토바이를 타고 전처를 떠나며 처음으로 해방감을 누린다.,관계/지위/정서,양혜원의 평가에 갇힌 남편에서 대양가 혈통을 인정하면서도 자기 길을 택한 독신으로 변한다.,허준수가 준비한 금고와 승계 의도가 다음 위기를 예고한다.,양혜원의 신분 오판 | 재결합 가능성,태양은행 개인 금고 | 허준수의 승계 준비,ARC-001,high
5,5화,이혼 후 재벌 각성(개정판) 5화,824,1011,이혼은 끝났지만 강산은 허준수와 거리를 둔 채 자신의 출생사를 정리하지 못했다.,부자 관계의 상처와 허준수가 남긴 승계 장치를 설명한다.,허준수의 도움 없이 살아왔다는 자기 인식을 확인한다.,"어머니 임종, 출생신고서, 학비 대여와 대현전자 입사 과정을 회상한다.",사생아라는 상처와 어머니 사망 직후 나타난 아버지에 대한 원망이 남아 있다.,"허준수는 일기장을 차지혜에게 맡겨 강산 또는 허지태 중 유능한 후계자를 가려 달라 했고, 강산은 군대와 취업에도 아버지의 손이 닿았을 가능성을 깨닫는다.",강산의 완고한 독립심과 허준수의 오래된 관심이 동시에 입체화된다.,정보/부자 관계,아버지에게 아무것도 받지 않았다는 확신이 숨은 보호를 의심하는 상태로 흔들린다.,대양가 승계 후보와 해외 비밀계좌 비밀번호가 향후 자산 전쟁을 예고한다.,,허준수의 일기장 | 강산과 허지태의 후계 경쟁 | 스위스 비밀계좌,ARC-002,high
6,6화,이혼 후 재벌 각성(개정판) 6화,1012,1238,강산은 이혼 뒤 새 오토바이를 타며 뒤늦게 자유를 누린다.,신분 상승 직후 생명 위기와 능력 각성을 폭발시킨다.,양혜원의 추적을 떼어 내고 자신의 일상으로 돌아간다.,택시로 뒤쫓는 양혜원을 외면한 채 도로를 달린다.,전직 대양운수 기사인 트럭 운전자가 중앙선을 넘어 고의로 강산을 들이받는다.,"충돌 직후 정체불명의 재벌 각성 프로그램 활성화 메시지가 뜨고, 허준수는 둘째 아들을 배후로 의심한다.",없음. 자유의 보상 직후 목숨값을 치르는 강한 박탈형 전환이다.,생명/능력/가족 갈등,해방된 이혼남에서 암살 표적이자 각성 프로그램 대상자로 추락·전환한다.,"강산이 살아남는지, 프로그램이 무엇인지, 누가 사고를 지시했는지 세 갈래 궁금증을 만든다.",,고의 교통사고 | 재벌 각성 프로그램 | 대양가 내부 암살 배후,ARC-002,high
7,7화,이혼 후 재벌 각성(개정판) 7화,1239,1465,강산은 고의 사고로 의식을 잃고 한 달간 병원에 누워 있다.,각성 능력의 규칙과 전처의 악의를 가시화한다.,"현재 상황과 자신의 몸, 주변 인물의 의도를 파악한다.",깨어나 상태창·커리어 스캔·미래 역사 일지를 확인하고 양혜원을 스캔한다.,양혜원과 그녀의 어머니는 강산의 뇌사와 보험 이익을 기대했고 시스템은 강제 욕망을 부여한다.,강산은 대양그룹 후계 순위 7위로 표시되고 미래 역사 1996~1999 정보를 획득한다.,사고에서 생존하고 사람의 욕망과 미래를 읽을 도구를 얻는다.,능력/정보/관계,무방비한 피해자에서 상태와 타인의 욕망을 읽는 각성자로 변한다.,양혜원이 왜 병실에 들어올 수 있었는지와 사고 배후가 남는다.,강산의 생존 여부,강제 욕망과 패널티 | 양혜원의 병실 접근 이유 | 미래 역사 활용,ARC-002,high
8,8화,이혼 후 재벌 각성(개정판) 8화,1466,1675,강산은 능력을 얻었지만 대양가 후계 순위와 사고 배후를 모른다.,법적 후계 지위와 가족 내부의 살의를 동시에 전진시킨다.,양혜원을 몰아내고 병실에서 안전을 확보한다.,법적으로 남이 된 양혜원을 내보내고 허준수 측과 접촉한다.,사고 배후는 강산이 깨어났다는 소식을 듣고 다시 움직이며 대양가 형제들은 상속을 계산한다.,허준수가 강산을 법적으로 친자로 인정해 공식 상속권을 부여한다.,강산은 양혜원에게 환자 보호자 자격이 없음을 확실히 선언하고 대양가의 아들로 인정받는다.,법적 지위/가족 관계,숨겨진 사생아에서 공식 상속권을 지닌 허준수의 아들로 바뀐다.,둘째 아들의 탐욕과 남아 있는 암살 위협이 상속권의 대가를 예고한다.,양혜원의 보호자 지위,공식 상속권 | 재차 암살 가능성,ARC-002,high
9,9화,이혼 후 재벌 각성(개정판) 9화,1676,1889,강산은 공식 아들이 되었지만 허준수와의 감정적 거리는 여전하다.,부자 화해와 미래 정보의 첫 강제 미션을 결합한다.,사고 진상과 새 능력의 사용법을 알아낸다.,허준수와 대화하며 사고 수사 상황을 듣고 미래 역사 일지를 읽는다.,"허준수는 둘째 아들의 범행을 의심하면서도 즉시 처벌하지 않고, 시스템은 불이행 시 고통·죽음을 경고한다.",차지혜가 운전자의 자백을 확보했으며 시스템은 강산에게 전 재산을 달러로 바꾸라는 임무를 준다.,강산과 허준수 사이에 짧지만 실질적인 부자 인정과 신뢰가 생긴다.,부자 관계/목표/능력 규칙,수동적으로 정보를 받던 환자에서 미래를 읽고 자산 결정을 내려야 하는 미션 수행자로 바뀐다.,"전 재산 달러 투자 임무가 맞는지, 거부하면 어떤 벌을 받는지 긴장을 건다.",,달러 올인 미션 | 둘째 아들 처벌 유예,ARC-002,high
10,10화,이혼 후 재벌 각성(개정판) 10화,1890,2039,강산은 미래 일지를 믿을 근거가 부족한 채 달러 올인 명령을 받았다.,능력 검증과 첫 경제적 실행 보상을 준다.,패널티를 피하면서 미래 정보의 신뢰도를 검증한다.,극심한 두통 끝에 1억 원을 달러로 환전하고 돌리 복제 뉴스를 대조한다.,틀릴 수 있다는 공포와 시스템이 가하는 신체 고통을 감수한다.,1997년 IMF와 환율 2.5배 상승 기록이 현실적인 투자 시나리오로 읽힌다.,첫 미션을 통과하고 미래 일지가 실제 사건을 맞힌다는 확신을 얻는다.,자산/정보 신뢰/일상,막연한 각성자에서 1억 달러 포지션을 가진 미래 투자자로 바뀌고 대현전자에 복귀한다.,양혜원이 집과 회사까지 반복 추적하며 관계 파탄의 잔불을 되살린다.,미래 일지 첫 검증 | 달러 전환 미션,IMF 환차익 | 양혜원의 스토킹,ARC-002,high
