sequence,visible_label,arc_id,arc_phase,concrete_event,tension_1_10,reward_1_10,hook_1_10,information_weight,action_weight,relationship_weight,emotion_weight,material_or_status_weight,pacing_note
1,1화,DCA-N01,N01·걸프전 100억 달러와 SAVE 월가 자립,김택훈 앞에서 17세답게 행동하고 김태중 생일연회에서 납품가를 호소하는 협력업체 사장의 10억 원 파텍필립 시계를 폭로한다; 회귀와 함께 얼굴만 보면 이름·소속·특이사항·업무 능력이 뜨는 신상명세서 능력이 생겼음이 드러난다; 협력업체 사장의 기만을 걷어 내 연회를 지키고 김태중에게 100만 달러 스위스 계좌를 입학 선물로 받는다,9,6,8,0.20,0.25,0.20,0.20,0.15,고시원 죽음·17세 회귀·시계 폭로·김태중의 100만 달러가 연달아 벌어져 행동과 상실·회복 감정에 오래 머문다.
2,2화,DCA-N01,N01·걸프전 100억 달러와 SAVE 월가 자립,태우증권 출입구에서 직원 능력치를 훑어 분석력 S급 한정훈과 A급 직원 세 명을 고르고 김태중에게 전담팀을 청한다; 훗날 태우증권을 인수할 전설적 투자가 한정훈이 현재는 해외주식사업부 대리로 퇴사를 고민 중이다; 김태중의 승인과 추가 10억 원을 받아 220억 원 규모의 일본 버블 붕괴 투자를 논의할 팀을 만든다,6,6,8,0.30,0.18,0.24,0.10,0.18,한정훈과 A급 인재 세 명의 능력표를 하나씩 읽은 뒤 220억 원짜리 초기 팀을 세운다. 사람을 고르는 느린 검토가 실제 고용으로 넘어가며 김민재의 첫 조직이 형태를 얻는다.
3,3화,DCA-N01,N01·걸프전 100억 달러와 SAVE 월가 자립,"홍콩 법인을 빌리고 수익 1퍼센트 보너스·실패 위로금·비밀유지 위약금을 명시한 계약을 체결한 뒤 보험·공매도 중심 3안을 선택한다; 한정훈 팀이 닛케이 반토막 시 10배 이상을 주는 보험까지 찾아내며 투자 일 자체에 재미와 소속감을 느낀다; 성과보수·비밀유지 계약과 보험·공매도 중심 3안 집행 지시를 확정하고, 김태중에게 다국어 실력을 증명해 검정고시와 하버드·스탠퍼드 도전을 승인받는다",8,5,6,0.27,0.29,0.17,0.09,0.18,"220억 원 홍콩법인 계약과 닛케이 보험·공매도 3안 선택이 앞쪽의 금융 긴장을 끌고, 뒤쪽에서는 김태중 앞에서 세 외국어 신문을 읽어 검정고시와 해외대학 허락을 받아낸다. SAT 교재를 꺼내는 마지막 동작은 지급된 허락을 외환위기 전 입사 계획으로 곧장 잇는다."
4,4화,DCA-N01,N01·걸프전 100억 달러와 SAVE 월가 자립,"검정고시 만점 합격증을 김태중에게 보이고 사우디 동행 허락을 받은 뒤 전담팀의 예상 4,780억 원·기실현 1,210억 원을 결산하고 1퍼센트 보너스를 약속한다; 일본 폭락으로 팀의 의심이 충성으로 바뀌고 김민재는 이라크가 쿠웨이트를 침공할 논리를 제시한다; 만점 검정고시, 이미 실현된 1,210억 원, 팀원당 수억 원 보너스, 사우디 왕실 접근 기회를 한꺼번에 얻는다",8,7,7,0.22,0.26,0.12,0.10,0.30,"닛케이 폭락으로 1,210억 원을 실현하고 곧바로 걸프전 12배 베팅으로 넘어가 현금 보상과 재투자가 솟는다."
5,5화,DCA-N01,N01·걸프전 100억 달러와 SAVE 월가 자립,한정훈에게 사표와 미국 법인 설립을 지시하고 사우디에서 어린 무함마드 빈 살만과 놀며 살만에게 왕실 보석 절도범 끄리앙끄라이를 고발한다; 청소기에서 실제 왕실 보석이 쏟아져 살만이 사우디 왕실의 영구 지원을 약속하고 태우건설 수주도 두 배가 된다; 사우디 왕실이라는 방패와 태우건설 추가 수주를 얻고 한정훈이 2억 달러 원유 급등 포지션을 구축한다,8,7,9,0.18,0.31,0.28,0.11,0.12,왕실 보석 절도를 막아 살만의 약속을 얻고 2억 달러 원유 포지션을 잡아 행동과 왕실 관계가 앞선다.
6,6화,DCA-N01,N01·걸프전 100억 달러와 SAVE 월가 자립,"유가가 하루 만에 두 배 뛰자 30달러 매도를 지시하고 장수영의 미래 배신을 기억한 뒤 김태중에게 전담팀 동행 미국 유학을 설득한다; 유가 거래가 20억 달러·약 1.4조 원 수익으로 끝나고 네 명이 한정훈의 미국 법인 SAVE로 완전히 이직한다; 1.4조 원과 한정훈의 절대적 신뢰, 미국 저택·호위·최고 입시진을 확보한다",9,9,6,0.13,0.27,0.19,0.12,0.29,이라크 침공 뒤 20억 달러가 확정되고 네 직원이 SAVE로 이동해 자산과 조직 지위가 큰 봉우리를 만든다.
7,7화,DCA-N01,N01·걸프전 100억 달러와 SAVE 월가 자립,"네 명에게 각 35억 원을 지급하고 A급 20명과 친화력 S급 한 명을 사진 능력치로 뽑아 25명 회사를 만든 뒤 1991년 1월 17일 전 직원으로 원유 공매도를 건다; 사막의 폭풍 작전과 F-117·B-52·토마호크 공습이 이라크를 하루 만에 초토화하며 김민재의 하락 논리를 증명한다; SAVE 인력 25명과 실적 경쟁 보상 체계, 세계 최고 인재 풀, 두 번째 유가 수익 직전의 우위를 얻는다",7,6,9,0.22,0.26,0.25,0.08,0.19,35억 원 보너스와 월가 21명 채용 뒤 유가 공매도를 집행해 인재 조직과 다음 포지션에 체류한다.
8,8화,DCA-N01,N01·걸프전 100억 달러와 SAVE 월가 자립,유가 18달러 청산을 지시해 100억 달러를 번 뒤 D.E 인수 제의를 던지고 거절되자 친화력 S급 데이비드에게 제프리 포함 14명 스카우트를 맡긴다; 데이비드가 일주일 만에 14명 중 13명을 데려오고 김민재는 S급 능력 세 가지를 지닌 미래 세계 부자 1위 제프리와 직접 대면한다; 걸프전 하락 베팅에서 100억 달러·약 7조 원을 확정하고 SAVE가 월가의 인재 유출을 일으킬 채용력을 증명한다,7,9,7,0.17,0.26,0.24,0.08,0.25,유가 청산 100억 달러와 D.E 인재 13명 이탈이 겹쳐 현금 보상·영입 행동·제프리 대면이 균형을 이룬다.
9,9화,DCA-N01,N01·걸프전 100억 달러와 SAVE 월가 자립,냅킨에 고객·셀러·상품·낮은 비용의 선순환을 그려 창업 전액 지원을 약속하고 제프리에게 부사장 전권을 준 뒤 투자 수익의 20~30퍼센트를 직원 성과보수로 책정한다; 제프리 투입 한 달 만에 김민재 주도 외 투자의 수익이 최소 30퍼센트 늘고 채찍은 제프리·당근은 김민재라는 조직 운영이 정착한다; 제프리·메기와 D.E 프로젝트팀을 통째로 얻고 SAVE의 독자 투자 생산성과 SAT 상위 2퍼센트 성적을 확보한다,6,6,9,0.24,0.15,0.32,0.17,0.12,제프리는 냅킨에 그린 재투자 선순환을 보고 합류하지만 혹독한 운영 방식과 성과보수 조건에서 곧바로 한정훈과 부딪힌다. 첫 설득의 들뜸이 새 조직 내부의 갈등으로 식어 인재 영입의 비용을 남긴다.
10,10화,DCA-N01,N01·걸프전 100억 달러와 SAVE 월가 자립,"다니엘과 ERM 허점을 논쟁하며 10억 달러 선투자·조지 면담 조건을 제시하고, 조지에게 리라화 다음 공격까지 예측해 60억 달러 투자와 모든 전쟁의 동맹을 약속한다; 조지가 짐과 자신의 대학 추천서를 써 주고 한정훈은 퀀텀 자료를 분석해 1,100억 달러가 이미 영국을 그로기 상태로 몰았다고 확신한다; 퀀텀펀드 장기 동맹, 조지·짐 추천서, 파운드 공격의 마지막 일격 지위와 40억 달러의 독자 운용 여력을 얻는다",7,7,6,0.27,0.22,0.30,0.08,0.13,리라화 표적을 맞혀 조지의 추천과 동맹을 얻고 60억 달러 파운드 TF를 세워 정보·관계가 주도한다.
