sequence,visible_label,arc_id,arc_phase,tension_1_10,reward_1_10,hook_1_10,information_weight,action_weight,relationship_weight,emotion_weight,material_or_status_weight,ribbon_rationale,source_lines
1,1화,DCA-N01,N01·회귀와 첫 보상,9,6,8,0.20,0.25,0.20,0.20,0.15,고시원 죽음·17세 회귀·시계 폭로·김태중의 100만 달러가 연달아 벌어져 행동과 상실·회복 감정에 오래 머문다.,L1~L255
5,5화,DCA-N01,N01·사우디 약속,8,7,9,0.18,0.31,0.28,0.11,0.12,왕실 보석 절도를 막아 살만의 약속을 얻고 2억 달러 원유 포지션을 잡아 행동과 왕실 관계가 앞선다.,L930~L1168
6,6화,DCA-N01,N01·20억 달러와 미국행,9,9,6,0.13,0.27,0.19,0.12,0.29,이라크 침공 뒤 20억 달러가 확정되고 네 직원이 SAVE로 이동해 자산과 조직 지위가 큰 봉우리를 만든다.,L1169~L1387
7,7화,DCA-N01,N01·월가 조직 확장,7,6,9,0.22,0.26,0.25,0.08,0.19,35억 원 보너스와 월가 21명 채용 뒤 유가 공매도를 집행해 인재 조직과 다음 포지션에 체류한다.,L1388~L1608
8,8화,DCA-N01,N01·100억 달러와 제프리,7,9,7,0.17,0.26,0.24,0.08,0.25,유가 청산 100억 달러와 D.E 인재 13명 이탈이 겹쳐 현금 보상·영입 행동·제프리 대면이 균형을 이룬다.,L1609~L1815
9,9화,DCA-N01,N01·제프리 영입 비용,6,6,9,0.24,0.15,0.32,0.17,0.12,제프리는 냅킨에 그린 재투자 선순환을 보고 합류하지만 혹독한 운영 방식과 성과보수 조건에서 곧바로 한정훈과 부딪힌다. 첫 설득의 들뜸이 새 조직 내부의 갈등으로 식어 인재 영입의 비용을 남긴다.,L1816~L2017
10,10화,DCA-N01,N01·조지의 전쟁 동맹,7,7,6,0.27,0.22,0.30,0.08,0.13,리라화 표적을 맞혀 조지의 추천과 동맹을 얻고 60억 달러 파운드 TF를 세워 정보·관계가 주도한다.,L2018~L2167
11,11화,DCA-N01,N01·하버드와 대선 저지,7,7,6,0.21,0.20,0.31,0.20,0.08,하버드 합격으로 김태중을 기쁘게 한 뒤 대선 출마를 막고 재단 허락을 받아 조손 관계와 감정이 길다.,L2168~L2352
14,14화,DCA-N01,N01·파운드전과 배신 감지,8,8,9,0.29,0.25,0.23,0.08,0.15,클린턴·푸틴 지원과 30억 달러 지급 뒤 조지의 프랑화 배신 계획을 읽어 정보와 다음 대응 훅이 강하다.,L2677~L2851
21,21화,DCA-N02,N02·감사권 획득,9,7,10,0.16,0.28,0.27,0.20,0.09,태우를 버릴 수 있다는 배수진으로 김태중과 충돌해 감사본부장 자리를 얻고 고베 지진 훅으로 급전한다.,L4010~L4174
24,24화,DCA-N02,N02·윤일섭 직속 TF,6,6,7,0.22,0.25,0.35,0.10,0.08,정수철이 고립시키려 한 윤일섭을 오히려 승진시키고 창원 직속 TF를 세운다. 한 사람을 살리는 인사 결정이 기존 감사선과 다른 독립 수사조직으로 굳어진다.,L4562~L4738
29,29화,DCA-N02,N02·사장단 자존심 전환,7,6,8,0.24,0.20,0.36,0.12,0.08,이준수의 변명과 명동 오만을 노출해 사장단 마음을 돌리고 CT 법인장을 들여 관계 전환에 오래 머문다.,L5470~L5654
31,31화,DCA-N02,N02·숙청 뒤 연구소 유배,6,5,7,0.20,0.18,0.31,0.18,0.13,이선일이 이준수를 거두고 47명 징계가 확정된 뒤 사장단이 연구소 유배를 모의해 관계 후폭풍과 다음 훅이 높다.,L5819~L6005
32,32화,DCA-N03,N03·통합연구소 권한,5,7,8,0.28,0.18,0.31,0.08,0.15,연구소 독립성과 20명 채용권을 확보한 뒤 후쿠다를 직접 만난다. 조직의 빈칸을 채울 첫 인재 앞에서 조건표가 사람의 선택 문제로 바뀐다.,L6006~L6176
34,34화,DCA-N03,N03·국제 인재 영입,6,7,7,0.24,0.20,0.39,0.08,0.09,박준일·장학생·조나단을 50명 특허팀에 묶고 폰 디자인 경쟁을 시작한다. 연구소의 빈자리가 이름 있는 사람과 팀으로 채워지며 기술개발이 실제 조직의 속도를 얻는다.,L6343~L6525
36,36화,DCA-N03,N03·구디너프와 잡스,6,7,9,0.27,0.17,0.35,0.08,0.13,아마존 지분을 점검하고 구디너프 성과를 받은 뒤 잡스 복귀를 제안해 인재 관계와 기술 정보에 머문다.,L6685~L6859
40,40화,DCA-N03,N03·휴대폰 백지위임,8,7,8,0.18,0.26,0.34,0.13,0.09,기술과 규모를 두고 김태중과 부딪친 끝에 박진훈에게 팀·공장·자금 전권을 받아낸다. 말싸움의 승리가 독립 개발조건으로 바뀌지만 박진훈과의 권력 충돌은 더 선명해진다.,L7391~L7563
41,41화,DCA-N03,N03·직속팀과 명동 지분,6,5,7,0.30,0.21,0.31,0.07,0.11,에이스 30명·이석준을 직속으로 묶고 이선일의 태우전자 주식 수집을 확인해 조직 관계와 지분 정보가 앞선다.,L7564~L7753
43,43화,DCA-N03,N03·황영철 지분 계약,5,7,7,0.18,0.20,0.32,0.07,0.23,황영철에게 개발비 10억 원과 지분대금 98억 원을 지급해 49퍼센트를 얻으므로 계약 관계와 자산 보상이 크다.,L7934~L8120
45,45화,DCA-N03,N03·삼풍 선제 구조,9,7,9,0.18,0.39,0.18,0.17,0.08,톰슨 특허 매입 직후 태우건설·병원을 밀어 삼풍 붕괴 구조에 들어가 긴박한 행동과 생존 감정이 솟는다.,L8295~L8488
50,50화,DCA-N03,N03·허위기사 선점,8,6,9,0.28,0.35,0.19,0.11,0.07,"1면 허위 결함 기사와 SAVE의 반박자료가 맞붙고, 김태중은 배후가 박진훈인지 재차 확인한다. 김민재가 한국·미국·독일에서 동시에 큰 이벤트를 열겠다고 밝히는 데서 끝나며 돈·자료 전달의 사진과 녹취는 아직 확보되지 않았다.",L9210~L9397
52,52화,DCA-N03,N03·30만 대와 박진훈 축출,8,10,9,0.14,0.28,0.22,0.10,0.26,"정정기사 뒤 이노폰 국내 재고 30만 대가 팔리고 미국 30만·유럽 10만·한국 10만 주문이 붙는다. 박진훈 축출과 사장 추천까지 받은 뒤 김민재가 사장직이 아니라 지분을 요구해, 판매 절정이 곧 소유권 질문으로 꺾인다.",L9579~L9758
53,53화,DCA-N04,N04·지분 상속과 사장 취임,6,10,7,0.13,0.17,0.28,0.14,0.28,"김태중의 지분 상속과 이사회 만장일치로 태우전자 사장 자리가 한꺼번에 지급되어 조손 승인과 지위 상승이 가장 무겁다. 후반의 현재그룹 자금난과 SAVE 차입 미끼는 이미 받은 경영권 다음에 붙는 새 위험일 뿐, 태우 지분 회수 결과까지 나아가지는 않는다.",L9759~L9940
