sequence,visible_label,title,entry_state,reader_promise,protagonist_goal,action,resistance_or_cost,turn_or_reveal,paid_reward,state_change_axis,state_change,ending_hook,closed_loops,opened_loops,arc_candidate,confidence
"561","법보다 주먹(완전판) 561화","조명득의 5천억·핵잠수함 설계도 탈취","북한 특사 작전 뒤 박동철은 제주 독립 미끼를 키우고 욱일회 연락을 기다린다.","적의 돈과 기술을 빼앗아 제주 방어 준비로 되돌리는 공모 보상","제주를 지키면서 욱일회를 조급하게 만들어 본거지로 끌어낸다.","조명득이 동결 북한자산 5천억과 미 핵잠수함 동력 설계도를 러시아 소행처럼 해킹하고 박동철은 대한조선·대한정밀에 유조선과 무장 플랫폼을 발주한다.","해킹을 본 북한 요원들의 입막음이라는 인명 비용과 3년 건조기간을 1년으로 줄여야 하는 압박이 따른다.","박동철이 한성해운 선박과 해양 플랜트를 제주 비밀 전력으로 전환할 구상을 드러낸다.","북한은 5천억과 핵잠수함 설계도를 얻고 독자는 제주 무장화의 구체 수단을 확인한다.","돈·능력","청명회·북한의 자금과 기술, 제주 측 조선·미사일 생산 기반이 동시에 확대된다.","대한조선 사장이 1년 건조는 어렵다고 하자 박동철이 불굴의 의지를 요구한다.","북한 동결자산 탈취와 설계도 확보","욱일회 유인, 1년 내 유조선·컨테이너선 무장","제주 독립 미끼와 욱일회 본거지 잠입","high"
"562","법보다 주먹(완전판) 562화","가부키초 300명과 카지노 미끼","한성해운 선박 개조와 대한정밀 제주 연구소라는 비밀 방어안이 가동된다.","북한 공작원과 매국 세력을 한 판에 배치하는 잠입 준비의 진전","일본의 돈을 끌어내면서 욱일회 타격조를 도쿄 밤세계에 숨긴다.","박동철은 대한정밀 지사·연구소를 지시하고 함기훈에게 카지노 공식 브리핑을 약속하며, 북한 특수요원 300명은 가부키초에서 야쿠자 문신으로 신분을 세탁한다.","제주 독립 지지 선언으로 도청 평판이 추락하고 가짜 이혼 당일의 가족·주가 비용까지 감수한다.","일본 투자가 늦으면 중국 자본으로 해상 카지노를 만들겠다는 거짓 압박이 함기훈을 통해 욱일회로 향한다.","북한 타격조가 일본 현지 위장을 갖추고 함기훈 일당은 카지노 사업이 열린 줄 믿는다.","조직·평판","도쿄 잠입조와 제주 군수 기반은 커지지만 박동철은 공무원들에게 경멸받는 매국 이미지에 더 깊이 들어간다.","공식 이혼일과 중국기업 담판이 겹치고 은희 측 기획사 주가도 급락한다.","대한조선·대한정밀 비밀 협약","중국 투자 계약, 욱일회 투자, 가짜 이혼의 장기 비용","제주 독립 미끼와 욱일회 본거지 잠입","high"
"563","법보다 주먹(완전판) 563화","중국 8대2 계약과 트럼프의 전쟁 카드","은희의 이혼 연기는 주가를 흔들고 박동철은 중국기업과 해양 플랜트 지분을 담판 짓는다.","강대국의 욕심을 역이용해 더 유리한 계약과 전쟁 위기의 실체를 동시에 보여주는 외교 보상","중국 자본을 제주 쪽에 묶고 미국의 북한 선제공격 조짐을 막을 시간을 번다.","박동철은 중국기업에게 비용 전액 부담·지분 20퍼센트를 강요해 서명시키고, 제주 분리독립 시위가 커지는 동안 청와대는 중국 특사 파견을 논의한다.","중국 대표의 5대5 요구와 트럼프가 러시아 스캔들 탈출구로 전쟁을 택하는 외부 압력이 겹친다.","트럼프의 사위가 공격 대상으로 북한을 지목하고 백악관 핫라인이 울리면서 경제전이 실제 전쟁 위기로 바뀐다.","박동철은 8대2 해양 플랜트 계약을 따내 욱일회를 압박한다.","돈·세계","제주에 중국 자본이 공식 진입하고 한반도 위기는 미 대통령의 생존전략과 결합한다.","장기출이 긴급 백악관 전화를 연결한다.","중국 해양 플랜트 투자조건 확정","북한 선제공격, 제주 독립 시위, 욱일회 반응","제주 독립 미끼와 욱일회 본거지 잠입","high"
"564","법보다 주먹(완전판) 564화","우형의 첫 아빠와 욱일회의 호출","가짜 이혼 당일 박동철은 가족을 그리워하고 중국 계약은 욱일회를 궁지로 몬다.","가족의 따뜻한 즉시 보상 직후 적의 호출이 오는 감정 급전환","욱일회 접선을 성사시키고 동시에 트럼프의 선제공격을 저지할 특사 임무를 맡는다.","우형의 첫 아빠 소리를 들은 뒤 욱일회 연락을 받자 위치추적 장치를 믿고 즉시 도쿄로 출발하며 장기출 대통령까지 기다리게 한다.","가짜 이혼의 감정 비용, 혈혈단신 적지행, 북한 공격까지 일주일이라는 시간이 겹친다.","중국 쪽으로 기운 박동철을 놓칠 수 없게 된 욱일회 회주가 직접 도쿄 공항으로 부른다.","우형의 첫 말로 가족 약속이 지급되고 오래 끌던 욱일회 접선 약속도 열린다.","관계·목표","박동철은 가족애를 재확인하는 동시에 국가 임무와 적진 잠입을 함께 짊어진다.","호텔 문을 열자 장기출이 서 있지만 박동철은 대통령을 기다리게 하고 욱일회에게 달려간다.","욱일회 유인용 중국 투자 압박","도쿄 비밀 접선, 미국 선제공격 저지","제주 독립 미끼와 욱일회 본거지 잠입","high"
"565","법보다 주먹(완전판) 565화","철심 추적과 욱일회 대저택 발견","박동철은 변장한 채 도쿄 공항에서 욱일회 안내자에게 넘겨진다.","스스로 부러뜨린 팔과 청명회 위성추적이 마침내 적 본거지를 찾아내는 잠입 보상","살아서 회주에게 접근하고 대저택의 위치·방어 구조를 청명회에 넘긴다.","눈가리개·귀마개·검색봉 검사를 철심으로 통과하고 다섯 겹 방과 CCTV를 관찰하며, 조명득과 최문탁 양쪽 감시망이 대저택 좌표를 잡는다.","3미터 앞 회주를 당장 죽이고 싶은 충동을 참아야 하고 어둠 속 경호원에게 목숨이 노출된다.","최문탁도 같은 대저택을 감시 중이며 박동철의 철심 신호로 청명회가 욱일회 본거지를 확정한다.","수개월 끈 잠입이 성공해 회주 얼굴·은거지·방어 설계가 한꺼번에 드러난다.","정보·세력","욱일회의 불가시성이 깨지고 북한 300명 타격조가 칠 수 있는 실제 목표가 생긴다.","선악 수치 48대52인 회주 앞에서 박동철이 제주 독립 지지 이유를 캐묻는다.","욱일회 본거지 위치 추적","회주의 진짜 요구와 매국 거래조건","제주 독립 미끼와 욱일회 본거지 잠입","high"
"566","법보다 주먹(완전판) 566화","제주 일본 편입 거래의 실체","욱일회 회주와 박동철이 7광구·제주 독립을 놓고 칼날 같은 협상을 시작한다.","적이 품은 제주 병합 계획과 대가를 입으로 자백하게 만드는 첩보 보상","욕심 많은 변절자로 보이며 욱일회의 최종 목적과 지원 약속을 끝까지 끌어낸다.","박동철은 카지노 이익보다 구체 보상을 요구하고, 회주는 독립 뒤 5년 내 일본 합병·우형의 황족 편입·박동철 백작 작위를 제시한다.","회주의 반도인 멸시와 젊은 후계자의 위협을 견디고 영혼의 반쪽 은희와 이혼한 척까지 해야 한다.","욱일회가 독립투표 후 대한민국 계엄령을 막아주겠다고 약속하며 목적이 7광구를 넘어 제주 일본 편입임을 밝힌다.","박동철은 욱일회의 병합 시간표와 포섭 조건을 직접 확인한다.","정보·평판","제주 독립 공작은 막연한 음모에서 일본 합병이라는 확정된 적 계획으로 구체화된다.","회주가 우형의 황족 편입과 백작 작위를 미끼로 내민다.","회주 직접 접촉과 본거지 확인","회주의 신뢰 획득, 일본 총리 접촉, 제주 병합 저지","제주 독립 미끼와 욱일회 본거지 잠입","high"
"567","법보다 주먹(완전판) 567화","백작의 절과 미국 전쟁 특명","욱일회는 박동철이 권력과 돈에 넘어왔다고 믿고 최종 충성을 요구한다.","굴욕을 삼킨 위장 충성으로 적을 완전히 속이고 본거지 좌표까지 회수하는 이중 보상","욱일회 신뢰를 굳힌 뒤 제주로 돌아와 미국의 북한 공격을 막을 방책을 세운다.","박동철은 7광구 채굴기업 총수·제주현 종신총독을 요구하고 회주 앞에 부복한 뒤, 장기출에게서 미국 특사 임무를 받아 유조선과 북한 잠수함을 섞은 해상 은닉안을 제시한다.","매국노처럼 머리를 조아린 자기모멸과 실제 변절 가능성을 두려워해 조명득에게 자신을 죽여달라 부탁하는 장기 비용이 남는다.","욱일회가 박동철을 자기편으로 확신하고 2주 뒤 아베 총리 제주 방문을 약속하지만, 귀환 즉시 트럼프의 선제공격 위기가 전면화된다.","욱일회 잠입 1차 목표가 달성되고 조명득도 대저택 위치를 정확히 확보한다.","지위·관계","박동철의 공개 평판은 매국으로 더 추락하나 장기출·조명득과의 비밀 공조는 강해지고 전장은 워싱턴으로 옮겨간다.","조명득이 러시아 대선개입 함정을 추정하자 박동철은 일주일 안에 증거를 터뜨리라고 지시한다.","욱일회 포섭 연기와 위치 확보","트럼프 압박, 러시아 X파일, 아베 제주 방문","제주 독립 미끼와 욱일회 본거지 잠입","high"
"568","법보다 주먹(완전판) 568화","중국 성명과 전쟁의 역효과","미국 유대계 비밀조직은 북한 공격과 제주 주둔을 밀고 박동철은 박태수와 중국을 움직인다.","전화 몇 통으로 강대국 공개 반대를 끌어내 전쟁 시계를 늦추는 외교 반격","중국·러시아의 반대와 북한의 절제를 묶어 미국 단독 선제공격을 봉쇄한다.","박동철은 박태수에게 서울 포격 금지와 벙커 대비를 요구하고 중국 주석에게 제주 사드 위협을 들어 공식 반대 성명을 받아낸다.","북한 군부 통제가 불확실하고 중국의 강경 성명이 오히려 트럼프를 물러설 수 없게 만드는 역효과가 발생한다.","중국 성명 뒤 미 국방장관이 굴복 모양새를 피하려면 이제 공격해야 한다고 주장한다.","중국이 유엔 결의 파기와 북한 지지를 공개 선언해 박동철의 국제 압박이 실제 성과를 낸다.","세계·외교","선제공격은 미국 대 북한이 아니라 중국까지 얽힌 국제 충돌로 비용이 급상승한다.","백악관 경제보좌관이 전쟁 판단에 제주를 주목하라고 끼어든다.","중국 공식 반대 확보","미국의 제주 유전 노림수와 성명 역효과","워싱턴 선제공격 저지와 러시아 X파일","high"
"569","법보다 주먹(완전판) 569화","제주 유전 노림수와 홀대받은 특사","미국은 북한 공격 뒤 제주에 주한미군을 주둔시켜 유전을 장악하는 안을 검토한다.","상대의 진짜 이권을 간파하고 박동철·조명득이 각자 외교와 해킹으로 맞서는 공조","워싱턴 회담에서 시간을 끌고 조명득이 트럼프를 흔들 러시아 내통 증거를 찾게 한다.","박동철은 덜레스 공항의 홀대에도 빌 해밀턴의 출발 지시를 거부하며 기 싸움을 벌이고, 조명득은 강남 지하 7층에서 리틀 하데스를 독려한다.","미국은 특사를 형식으로만 취급하고 트럼프 측은 이미 공격 디데이만 남겨두며 해커들은 확정 증거를 아직 못 찾았다.","백악관 경제보좌관이 제주가 괌처럼 될 수 있다고 제안해 선제공격의 진짜 보상이 유전·주둔권임을 드러낸다.","박동철이 국격을 지키는 즉석 꼬장으로 미 실무진을 제압하고 청명회는 증거 사냥에 돌입한다.","정보·평판","대한민국 특사와 미국 측의 관계가 노골적 적대 협상으로 바뀌고 제주가 미 전략목표로 떠오른다.","백악관이 약속을 깨고 회담을 이틀 뒤로 미룬다.","중국 반대 성명과 미국 의도 파악","트럼프 X파일 증거, 특사 회담, 공격 디데이","워싱턴 선제공격 저지와 러시아 X파일","high"
"570","법보다 주먹(완전판) 570화","트럼프의 모욕과 힐러리의 비밀 문자","백악관은 총기협회 면담을 핑계로 박동철을 이틀 세워 기를 꺾으려 한다.","모욕을 당할수록 미국 내부의 반트럼프 세력과 손잡을 역전 기회를 여는 협상 쾌감","트럼프의 전쟁 배후와 약점을 파악해 공식 회담 전에 미국 정가를 갈라놓는다.","박동철은 실무진의 홀대를 견디며 유대계 자본의 한반도 전쟁 동기를 추론하고, 트럼프는 제주 정유회사 인수까지 탐낸다.","국가 대표로서 공개 모욕을 당하고 유대계 비밀조직이 팔레스타인 정착촌 은폐용으로 전쟁을 밀어붙이는 다층 압력이 있다.","호텔 도착 직후 힐러리가 특별회의실에서 기다린다는 영어 문자가 온다.","백악관의 기선제압 의도와 유대계 조직의 전쟁 이익이 독자에게 공개된다.","정보·관계","공식 미 정부와 싸우던 박동철에게 미국 내부 야당·힐러리라는 새 협상 통로가 생긴다.","보좌관이 문자 내용을 보고 기겁하며 힐러리 비밀 접촉을 예고한다.","트럼프 측 홀대의 의도 확인","힐러리 거래, 러시아 X파일, 북한 공격 취소","워싱턴 선제공격 저지와 러시아 X파일","high"
