arc_id,start_sequence,end_sequence,arc_name,metadata_source,confidence
"RA-001","1","3","명예의 전당에서 탬파 계약 시점으로","root:RA-001","high"
"RA-002","4","11","베네수엘라 불펜과 첫 투타 반전","root:RA-002","high"
"RA-003","12","22","몽고메리 변화구 수련과 스프링캠프 경쟁","root:RA-003","high"
"RA-004","23","27","메이저리그 데뷔와 6선발 대기","root:RA-004","high"
"RA-005","28","32","쿠어스 첫 선발과 지명타자 시험","root:RA-005","high"
"RA-006","33","39","클리블랜드 보복전과 팀 결속","root:RA-006","high"
"RA-007","40","46","선발 패턴 확장과 스스로 만든 승리","root:RA-007","high"
"RA-008","47","57","정식 투타 겸업과 10승-10홈런","root:RA-008","high"
"RA-009","58","64","텍사스 ALDS 원맨 분투와 탈락","root:RA-009","high"
"RA-010","65","67","귀국과 믿을 계약, 대표팀 준비","root:RA-010","high"
"RA-011","68","70","신인왕과 광저우 금메달","root:RA-011","high"
"RA-012","71","73","스타 보상의 가족·후배 환원","root:RA-012","high"
"RA-013","74","76","2011 커브 수련과 계약 선택","root:RA-013","high"
"RA-014","77","80","스프링 검증과 개막전 그랜드슬램","root:RA-014","high"
"RA-015","81","86","초반 위기와 3루수 겸업","root:RA-015","high"
"RA-016","87","90","보스턴 역공과 7연승 반등","root:RA-016","high"
"RA-017","91","93","커브 재정비와 필라델피아 완승","root:RA-017","high"
"RA-018","94","98","올스타 선발·홈런더비·MVP","root:RA-018","high"
"RA-019","99","100","올스타 휴식 반납과 루스 기록 경신","root:RA-019","high"
"RA-020","101","104","웨이크필드 5안타와 보스턴 11연승 저지","root:RA-020","high"
"RA-021","105","110","30호 만루포를 품은 구단 첫 노히터","root:RA-021","high"
"RA-022","111","113","쉴즈까지 이어진 팀 2경기 연속 노히터","root:RA-022","high"
"RA-023","114","119","예고 홈런과 파워커브로 벌린 우승 격차","root:RA-023","high"
"RA-024","120","127","8점 차를 뒤집은 마지막 날 지구 우승","root:RA-024","high"
"RA-025","128","134","맷 무어 도박과 디트로이트 3전 전승","manual:RA-025","high"
"RA-026","135","144","홈스틸·그린 몬스터·댄 존슨으로 보스턴 4연승","root:RA-026","high"
"RA-027","145","159","가족이 지켜본 월드시리즈 노히터와 연장 끝내기 우승","manual:RA-027","high"
"RA-028","160","163","월드시리즈 MVP·2억 달러 거절과 나이키 공공 자산","manual:RA-028","high"
"RA-029","164","167","귀국 가족생활·복지재단과 태종보육원","manual:RA-029","high"
"RA-030","168","169","최종원의 죽음과 사이영상 맹세","manual:RA-030","high"
"RA-031","170","175","1선발 승격과 고속 슬라이더 개막전 원맨쇼","root:RA-029","high"
"RA-032","176","179","롱고리아 부상과 필립 모리스 4번 승격","root:RA-030","high"
"RA-033","180","190","72이닝 무실점 신기록과 마이크 트라웃의 마침표","root:RA-031","high"
"RA-034","191","194","시즌 잔류와 올스타 선발 6연속 삼진","root:RA-032","high"
"RA-035","195","196","한유라의 런던 동메달과 윤주혁의 감기 7실점","root:RA-033","high"
"RA-036","197","200","감기 7실점 뒤 양키스 21탈삼진 반등","root:RA-034","high"
"RA-037","201","206","3년 연속 지구 우승과 라이브볼 시대 386K","root:RA-035","high"
"RA-038","207","213","텍사스 홈 2연승과 에이스의 경고음","root:RA-036","high"
"RA-039","214","220","손가락 부상과 5차전 생환","root:RA-037","high"
"RA-040","221","234","코메리카 3연승과 ALCS 역전","root:RA-038","high"
"RA-041","235","240","샌프란시스코 4연승과 탬파 2년 연속 우승","manual:RA-041","high"
"RA-042","241","243","두 번째 WS MVP·무릎 수술과 사이영상·WBC 결정","manual:RA-042","medium"
"RA-043","244","245","CF 최고 몸값·복지재단과 무편집 강연","manual:RA-043","high"
"RA-044","246","248","한유라와 선수 경험 공유·보육원 첫 연락망","manual:RA-044","high"
"RA-045","249","252","4대1 트레이드·탬파 작별과 워싱턴 합류","manual:RA-045","high"
"RA-046","253","256","워싱턴 3루 전환과 100마일 친정팀 점검","manual:RA-046","high"
"RA-047","257","262","내셔널리그 첫 승과 페레즈의 중심 타선 점화","root:RA-042","high"
"RA-048","263","272","애틀랜타 추격전과 첫 포스트시즌 좌절","root:RA-043","high"
"RA-049","273","277","양대 트리플크라운과 개막전 퍼펙트","root:RA-044","high"
"RA-050","278","282","페레즈의 4홈런과 23경기 차 지구 우승","root:RA-045","high"
"RA-051","283","292","포스트시즌 11승과 워싱턴 창단 첫 우승","root:RA-046","high"
"RA-052","293","296","귀국 연애와 잠비아 봉사","root:RA-047","high"
"RA-053","297","302","텍사스 이적과 17경기 차 선두 질주","root:RA-048","high"
"RA-054","303","309","텍사스 창단 첫 우승과 네 번째 WS MVP","root:RA-049","high"
"RA-055","310","310","5억2천만 달러와 컵스 108년 저주 해제","root:RA-050","medium"
