arc_id,arc_name,start_sequence,end_sequence,start_label,end_label,episode_count,main_characters,main_locations,concrete_premise,central_question,promise,pressure_escalation,mid_turn,concrete_payoff,relationship_change,status_or_ability_change,residual_cost,next_arc_bridge,boundary_signals,confidence
ROOT-192,천민우를 지킨 뒤 국민경제당·원자재·판타지TV·AI·무료 내비의 방벽을 설계하다,192,215,192,215,24,"김민재, 김태중, 천민정, 천민우, 최재석, 델핀 아노르, 김익수, 채드 헐리·스티브 첸, 리사 수, 데이비드, 한정훈, 미모안 싱, 빈 살만","태우 본사·태우IT, SAVE, 사우디, 총선 개표 상황실, 강 대위의 폐공장 밀실","정치보복을 막을 독자 교섭단체를 설계하던 김민재가 학교폭력에 놓인 천민우의 보호자로 나서 영상·녹취와 화원정밀 거래중단으로 사과·전학·장학생 지정을 받아낸 뒤, 최재석의 정당·원자재·판타지TV·딥러닝·IIT와 씽크윈의 내비 기술·데이터 독점 사용권을 제도 방벽으로 잇는다(L34777~L38905).",한 가족을 권력형 폭력에서 지킨 행동을 정치·AI·원자재·영상·교육과 무료 모바일 내비의 개발 조건으로 제도화해 태우와 자기 사람들을 다음 경제 폭발에서도 지킬 수 있는가.,"천민우의 사과·전학·장학생 증서에서 시작한 보호 약속이 국민경제당 38석, 글로벌 영상 합작, 리사 수 영입, IIT 협조, 씽크윈 기술·데이터 독점 사용권과 전 통신사 무료 내비 개발 방침으로 확장되는지를 보여 준다.","검사 가족의 보복과 화원정밀 거래, 탄핵·총선의 양당 대립, 김익수의 서버·망사용료, 리사 수가 본 위계 문화, 인도 대학의 반발, 씽크윈의 매각 거절과 미국 NINA 대출 붕괴 시계가 차례로 방벽을 시험한다.","천민우 학교폭력이 사과·전학·장학생 지정으로 닫힌 뒤 슈퍼볼 노출 사고와 태우 광고가 개인 영상 수요를 폭발시키고, 리사 수 영입·국민경제당 38석이 가족 보호를 기업·정치 방벽으로 바꾼다.","추영택 가족의 사과·전학과 천민우의 태우 장학생 지정, 최재석의 정치조직, 태우상사의 리튬·코발트·니켈 선점, 김익수의 50억 원 글로벌 합작, 리사 수의 태우전자 사장 취임, 국민경제당 38석, IIT 협조, 씽크윈 기술·데이터 독점 사용권과 태우·KAI 차량 우선 납품·옵션 조건, 한 달 내 무료 모바일 내비 개발·배포 방침이 지급된다.",천민우는 김민재를 보호자로 받아들이고 천민정은 평생 충성을 약속한다. 김익수는 국내 경쟁자에서 태우·애플·구글·아마존 합작의 개발자로 들어오며 최재석·리사 수는 가족 보호를 제도화하는 동맹이 된다.,"태우는 천민우의 안전, 글로벌 영상·AI 추천·원자재·IIT·정당과 씽크윈의 내비 기술·데이터 사용권을 한 방벽으로 연결하고, 국민경제당은 38석 캐스팅보트를 가진다.","모바일 내비의 실제 완성·출시·택시 운행 데이터는 아직 지급되지 않았고, 미국 주택붕괴 보험금과 자율주행 대중 적용도 남는다. 216화부터는 김태중의 신사옥·샤롯 승계전·한전 부지라는 새 실물 압박이 열린다.","씽크윈이 기술·데이터 독점 사용을 허용하고 천민정이 한 달 개발과 전 통신사 무료 배포 계획을 세운 뒤, 김태중이 서울역 앞 낡은 본사를 보며 새 사옥 욕심을 처음 꺼낸다(L38750~L38905).","(1) 지배 목표가 정치·기술 방벽의 조건 확보에서 김태중의 신사옥 부지 확보로 바뀐다. (2) 주 장소와 상대가 선거판·미국 기업·인도 대학·씽크윈에서 서울역 본사·샤롯 진호균 일가·한전으로 옮겨 간다. (3) 모바일 내비는 215화에 완성되지 않았으며 그 열린 루프는 221화로 넘어가지만, 216화부터의 지배 압박은 알고리즘 개발이 아니라 토지·승계·공기업 이전이다.",0.96
ROOT-599,미국 정권이양을 HBM·SMR·가이아나·석탄·베트남 공급망으로 굳히다,599,610,599,610,12,김민재·데이비드·트럼프·바이든·천민정·한 부회장·현재 장 회장·최재석·김태중·모리슨·미아인,트럼프 비밀 베이스캠프·백악관·김포공항·태우그룹 본사·청와대·호주·가이아나·베트남 사이공은행,바이든 당선 뒤 트럼프의 소송·폭동을 막고 가이아나 100억 달러 대출·한국산 무기 길을 연 김민재가 HBM·SMR·메타버스 지분·호주 석탄·동해 LNG 저장고·사이공은행을 한 공급망으로 묶는다(L104593~L106590).,정권이 바뀐 미국의 양당 통로를 모두 지키면서 기술·에너지·방산·금융을 다음 전쟁에도 버틸 실물 체계로 만들 수 있는가.,"트럼프·바이든의 말뿐인 우호가 가이아나 방위, HBM·SMR, 호주 석탄 장기계약, 베트남 실세 체포와 정유·은행 거점으로 지급되는지를 보여 준다.","패배한 트럼프의 분노와 친환경 바이든의 유전 거부, 북한의 센트리언 해킹, 중국의 에너지 압박, 베트남 미아인의 불법대출·권력망이 차례로 같은 체계를 시험한다.",바이든에게 가이아나 방위와 기존 사업의 허가를 받은 뒤 북한 해킹 방어·호주 석탄·동해 LNG 저장고가 외교 약속을 실물 공급망으로 바꾼다.,"트럼프가 정권이양에 협조하고 바이든이 기존 사업·가이아나 무기수입을 허용한다. 메타버스 지분 40%를 현금화하면서 통제권을 남기고 북한 해킹을 막으며, 호주 석탄·가이아나 방산과 사이공은행 정리 조건을 확보해 미아인 세력을 제거한다.","트럼프는 패배 뒤 폭동·소송을 거두고 2024년 재도전을 약속받으며, 바이든·최재석·현재 장 회장·가이아나 정부는 태우의 방위·원전·에너지 거래에 의존하게 된다.","태우는 미국 양당 통로, 가이아나 방산·에너지 발판, HBM·SMR·메타버스 현금화, 호주 석탄·베트남 금융거점을 동시에 확보한다.","러시아·우크라이나 전선은 감시만 시작됐고, 611화 초 미아인 체포 확인 뒤에는 귀국한 김태중의 일과 명예를 되찾는 가족 과제가 남는다.","610화의 40조 원 불법대출·10조 원 비자금 공개로 미아인과 연계 엘리트가 무너지고, 611화 첫 장면의 체포 확인 뒤 김태중이 부산 축구장에서 협회장 도전을 말한다(L106420~L106781).",① 해외 정부·은행·해커를 상대한 공급망 구축이 미아인 체포와 정유 거점으로 결산된다. ② 주 상대와 장소가 트럼프·바이든·호주·가이아나·베트남에서 김태중·부산 축구장·축구협회로 교체된다. ③ 압박이 국가·산업 생존에서 은퇴한 가족의 역할과 명예 회복으로 바뀐다.,0.96
ROOT-611,베트남에서 돌아온 김태중의 작은 부탁을 받아 축구협회 권력을 되찾아 주다,611,614,611,614,4,"김민재, 김태중, 한 부회장, 축구협회 대의원들","부산 축구장, 태우 저택, 축구협회 선거장","협회장 선거표, 전용기·선수 지원안, 메타버스 지분. 611회 초반 미아인 체포를 확인한 뒤, 귀국한 김태중이 부산 경기장에서 다시 축구 일을 하고 싶다는 뜻을 드러낸다(106591~106781).",그룹에서 물러난 할아버지에게 명예와 살아갈 일을 되돌려 줄 수 있는가.,김태중이 17표로 축구협회장에 선출되고 중계권·선수 지원 개혁을 자기 이름으로 실행해 은퇴 뒤 역할을 되찾는 모습을 지급한다.,"축구협회 기존 세력과 대의원 표를 움직여야 하고, 김태중이 손자의 도움만으로 자리를 얻었다는 모양새도 피해야 한다(106782~107161).",김태중이 단순 후원이 아니라 국제 축구 인맥과 중계권 개혁을 직접 제시해 손자의 도움을 받는 은퇴자에서 후보자로 돌아온다.,김태중이 17표로 축구협회장에 선출되고 국제 축구 인맥·추가 구단·중계권 60억 원에서 300억 원 인상안이 기존 카르텔을 꺾는다.,"김태중은 보호받는 은퇴자에서 손자와 표·중계권·국제 인맥을 나누는 축구협회장으로 돌아오고, 조손의 생존 약속이 일상의 역할로 지급된다.",김태중이 축구협회장에 선출되고 태우는 중계권·선수 지원을 바꿀 공식 영향력을 얻는다.,614화 후반에 메타버스·HBM·중국 백신 문제가 열려 축구협회 당선만으로 국가 공급망 압박은 끝나지 않는다.,협회장 당선 축하가 끝난 뒤 중국의 백신·미국의 기술 압박이라는 국가급 의제가 화면을 차지한다(107186~107325).,① 큰 약속인 김태중의 복귀가 선거 결과로 비가역 결산된다. ② 지배 목표·상대·장소가 가족의 명예 회복과 축구협회에서 바이든·일본·중국 및 반도체·백신 외교로 교대한다. ③ 614회 자체가 두 선을 잇는 혼합 회차다.,0.96
ROOT-615,바이든 방한을 시작으로 일본 반도체와 중국 백신을 굴복시키고 수에즈 구조의 우선권까지 얻다,615,620,615,620,6,"김민재, 바이든, 최재석, 한 부회장, 리강, 베릴","청와대, 일본, 중국, 수에즈 운하, 금융타워","차량용 반도체, 변이 백신, 중국 부동산 공매도, 예인선·중장비, 로나 코인. 바이든의 한국 방문에서 김민재가 반도체 공급과 미국·한국의 이해를 맞바꾸는 협상에 들어간다(107326~107501).",세계 공급망의 병목을 쥔 태우가 미국·일본·중국과 해운까지 양보를 받아내며 다음 위기의 주도권을 선점할 수 있는가.,차량용 반도체·변이 백신·수에즈 운하라는 세 병목에서 일본·중국·운하 당국의 실제 양보와 TAM 우선권을 지급한다.,"일본에는 차량용 칩 공급 조건을, 중국에는 변이 백신과 부동산 하락 베팅을, 수에즈에는 돈을 직접 받지 않고 장기 우선권과 공사를 남기는 방식을 골라야 한다(107502~108223).","중국 변이 백신과 부동산 공매도 협상이 끝나기 전에 수에즈 봉쇄가 터져, 협상력의 시험대가 회의실에서 실제 운하 구조 현장으로 옮겨 간다.","일본의 차량용 반도체 거래와 중국의 변이 백신 양보를 받고, 수에즈를 조기 재개통해 TAM 우선 이용권과 확장공사를 얻는다.",바이든·리강·일본 정부와 수에즈 당국은 반도체·백신·예인 능력을 가진 김민재를 공급망 해결자로 인정하고 베릴은 로나 공매도의 대리자가 된다.,"태우는 반도체·백신 공급조건, TAM의 수에즈 우선권·확장공사, 중국 부동산 숏과 로나 공매도 진입권을 얻는다.","베릴이 건 로나 코인 공매도는 아직 결산되지 않았고, 중국 폭우·탄광 침수·곡물가 급등이 새 실물 위기로 들어온다.","로나 코인 가격 하락을 확인한 직후, 세계 폭우가 에너지·식량 대란을 부를 것이라는 새 위협이 명시된다(108330~108349).",① 620회에서 수에즈 구조 보상이 지급되고 병목 협상이 닫힌다. ② 압박의 성격이 외교·물류 협상에서 실제 폭우·탄광 침수·식량 부족으로 바뀐다. ③ 장소가 회의실과 수에즈에서 중국 재해 현장·국내 농지로 이동한다.,0.96
ROOT-621,중국 탄광 침수와 곡물가 폭등에 맞서 기업농·정당 정리·연변 자금망을 한 전시 공급망으로 묶다,621,630,621,630,10,"김민재, 한 부회장, 최재석, 유석훈, 리강, 이영한, 백두혈통 장남, 조지","중국 장저우, 제주, 청와대, 연변, 금융타워","비축 석탄, 스마트팜·위성, 자율주행차, 기업농 법안, 에버그란데 공매도, 비트코인·도박 자금. 중국의 기록적 폭우가 탄광과 운송로를 잠기게 하자 김민재가 구호와 비축 석탄 판매를 동시에 지시한다(108350~108390).","기후 쇼크가 식량·전력·정치 불안으로 번지기 전에 공급망과 집권세력, 북한 변수까지 자기 편의 방어선으로 만들 수 있는가.",폭우와 곡물가 상승을 제주 실증·기업농·석탄계약·정당 정리·북한 장남 자금선으로 바꾸는 공급망을 지급한다.,"스마트팜과 기업농은 법·농민 반발을 넘어야 하고, 최재석의 후계 구도에는 내부 배신자가 있으며, 중국 석탄난·에버그란데·북한 비자금은 서로 얽혀 있다(108524~109844).","기업농·스마트팜 문제가 국민경제당 배신자 제거와 에버그란데 공매도, 북한 장남 자금선으로 번지며 식량 방어가 정치·안보 방어로 확장된다.","제주 자율주행 실증, 국민경제당 배신자 제거, 중국 석탄 장기거래, 에버그란데 공매도 수익, 연변 돈주를 통한 북한 장남의 자금줄이 실제로 생긴다.","최재석은 배신자를 걷어 낸 뒤 후계선과 태우를 다시 묶고, 북한 장남은 이영한·연변 돈주를 통해 김민재의 비공식 협력자로 자리 잡는다.",태우와 정부는 석탄·기업농·자율주행·정당 인사·에버그란데 수익·북한 비공식 자금선을 함께 움직일 수 있게 된다.,"기업농을 향한 농민 반발은 남아 있고, 러시아의 3월 침공 시점이 확인되면서 금융타워 자본 절반을 거는 전쟁 비용이 열린다.","리강에게서 러시아의 3월 침공 시점을 확인하고 금융타워 자본 절반을 에너지에 걸며, 조지는 일본 공격을 위한 마지막 일을 받는다(109845~110005).",① 가능성으로만 다루던 전쟁이 구체적인 침공 시점과 자본 배치로 비가역화된다. ② 주 압박이 폭우·내부 정치·중국 재무위기에서 전쟁 전 전략자산 확보로 바뀐다. ③ 새 상대와 장소인 말리 쿠데타 세력·리튬광산·바그너 그룹이 631회부터 전면에 나온다.,0.96
ROOT-631,러시아 침공 시계를 보며 말리 리튬광산을 되찾고 기업농과 28GHz를 반발 속에서 밀어붙이다,631,636,631,636,6,"김민재, 한 부회장, 최재석, 로만, 프리고진, 이 상무","말리 리튬광산, 청와대, 태우 회의실","바그너 병력, 오미크론 자료, CNC 공작기계, 기업농 법안, 28GHz 통신망. 리강의 침공 정보 직후 말리 쿠데타 세력이 리튬광산을 빼앗자, 김민재가 MBS·로만을 거쳐 바그너를 투입한다(110006~110332).",전쟁과 팬데믹 종식이 동시에 다가오는 동안 미래 산업과 국내 식량·통신 기반을 반발보다 먼저 고정할 수 있는가.,바그너로 말리 리튬광산을 회수하고 반발 속 기업농 법안과 28GHz 유지를 고정해 전쟁 전 기반을 지급한다.,"바그너와 직접 유착한 흔적은 남기지 않아야 하고, 이 상무의 CNC 밀매는 북한 장남의 복수에 쓰이도록 방치하며, 기업농 법안은 농민 시위를 부른다(110333~110900).",말리 광산을 바그너로 되찾은 뒤 기업농 법안과 28GHz 유지가 시위·손실을 감수하는 국내 비가역 결정으로 바뀐다.,"바그너가 말리 리튬광산을 복구하고 국회가 기업농 법안을 통과시키며, 정부와 태우는 단기 손실에도 28GHz 통신망을 유지하기로 확정한다.","최재석은 기업농·28GHz의 정치 비용을 함께 지고, 로만·프리고진은 말리 광산을 되찾는 위험한 실행 동맹으로 태우와 연결된다.",말리 리튬광산이 복구되고 기업농 법안과 28GHz 유지가 되돌리기 어려운 국가 인프라 정책으로 고정된다.,"기업농 시위와 28GHz 단기 손실은 계속되며, 바그너를 쓴 흔적과 이 상무 CNC 밀매를 북한 장남에게 맡긴 위험이 남는다.","국가 인프라 회의가 끝나고 김태중이 과로하는 손자를 걱정하면서 EPL 구단이라는 사적 선물을 꺼낼 자리가 열린다(110955~111037, 다음 회 111038~111100).",① 장소·상대가 말리·청와대·농민 반발에서 저택·영국 축구계·김태중으로 바뀐다. ② 압박이 전쟁 대비 공공 인프라에서 할아버지의 보람과 가족의 복수·명예 회복으로 교대한다. ③ 635/636은 법 통과와 시위가 그대로 이어지므로 장 제목 변화만으로 나누지 않는다.,0.96
ROOT-637,김태중에게 리즈 유나이티드를 맡기고 북한 장남이 이 상무의 돈과 CNC를 빼앗게 하다,637,642,637,642,6,"김민재, 김태중, 데이비드, 안드레아, 홀란드, 이강임, 백두혈통 장남, 이 상무, 리규철","태우 저택, 영국 리즈, 베이징 올림픽, 연변 공장","구단 인수 옵션, 선수 계약서, CNC 공작기계, 위조지폐 감별기, 비트코인 계좌. 회의를 마친 김민재가 집에서 김태중의 걱정을 듣고, 은퇴 후 삶을 되돌려 주기 위해 리즈 유나이티드 인수를 선물로 제시한다(111038~111207).",회귀 뒤 지키려 한 가족에게 돈이 아니라 역할과 복수의 완결을 실제로 돌려줄 수 있는가.,김태중에게 리즈와 홀란드라는 새 일터를 주고 북한 장남이 이 상무의 CNC·비트코인을 빼앗는 가족·복수 보상을 함께 지급한다.,"구단주 안드레아에게 성적연동 옵션을 받아야 하고 EPL 승인과 선수 영입을 거쳐야 하며, 장남은 이 상무·중국 간부·북한 밀매망보다 강한 연줄을 증명해야 한다(111208~112015).","리즈 인수와 홀란드 영입이 김태중의 새 역할을 만들고, 연변에서는 장남이 이 상무의 CNC·비트코인을 빼앗아 가족 보상이 복수 결산으로 전환된다.",리즈 인수 구조와 홀란드 영입이 성사되고 김태중은 운영할 구단을 얻는다. 북한 장남은 위조지폐 감별기·해킹으로 이 상무의 CNC와 비트코인을 빼앗는다.,"김태중은 리즈 구단주라는 새 삶을 얻고, 북한 장남은 김민재가 마련한 틈을 이용해 이 상무를 무너뜨리는 독립 실행자로 성장한다.",가족은 EPL 구단과 홀란드라는 브랜드 자산을 얻고 북한 장남은 CNC·비트코인과 북중 연줄을 장악한다.,"리즈의 장기 성적과 북한 장남의 생존은 보장되지 않았고, 마지막 장면의 러시아 침공이 가족 보상을 국가 전쟁 비용으로 바꾼다.",장남의 작전 결과가 정리되는 바로 그때 러시아가 우크라이나를 침공해 가족선의 승리가 세계전쟁으로 끊긴다(112015~112067).,① 이 상무에 대한 큰 복수 약속이 재산·연줄 상실로 비가역 결산된다. ② 주 장소와 상대가 영국·연변의 가족 대리전에서 우크라이나 전선·유럽 정부·금융시장으로 바뀐다. ③ 압박도 개인 생존·명예에서 국가 전쟁·에너지·원자재 위기로 급변한다.,0.96
ROOT-643,러시아 침공 직후 정보전·간접 군수지원·니켈 마진콜 구제를 묶어 유럽 방산·원전 시장에 들어가다,643,648,643,648,6,"김민재, 천민정, 최재석, 데이비드, 시안","태우 본사, 우크라이나, 런던금속거래소, 동남아 정유소, 폴란드·루마니아","비밀 게임·플랫폼, 탄약, 니켈광산, LME 지급보증, 러시아산 원유. 침공 소식 뒤 김민재가 천민정의 게임·플랫폼을 통해 친우크라이나 여론을 만들고, 한국은 미국 보충판매 형식으로 탄약을 지원하게 한다(112068~112414).",직접 참전이나 제재 위반 없이 전쟁의 정보·원자재·에너지 병목을 유럽 진출권으로 바꿀 수 있는가.,니켈 마진콜 200억 달러 보증을 광산·LME 영향력으로 바꾸고 동유럽 방산·원전 진입권을 지급한다.,"정부의 중립 외양을 지키면서 탄약을 보내야 하고, 니켈 공매도로 파산 직전인 시안에게 200억 달러 보증을 서되 광산과 LME 영향력을 받아야 하며, 러시아 에너지는 동남아 정유를 거쳐야 한다(112415~112917).","시안의 니켈 마진콜을 200억 달러 보증으로 막는 대신 광산과 LME 영향력을 받아, 전쟁 지원이 유럽 산업 입장권으로 바뀐다.","시안에게 LME 마진콜 유예를 주는 대신 니켈광산과 시장 영향력을 받고 헤지펀드를 물리며, 폴란드·루마니아 방산·원전 협상과 유럽 에너지 공급선을 연다.","시안은 파산 직전 상대에서 광산과 LME 영향력을 넘긴 산업 동맹으로 바뀌고, 최재석·유럽 정부는 태우의 간접 지원을 신뢰한다.",태우는 니켈광산·LME 영향력·동유럽 방산·원전·유럽 에너지 공급선을 얻는다.,"러시아 제재를 우회한 에너지 공급과 유럽 전쟁은 계속되며, SVB의 200억 달러 채권 매각이 은행 연쇄위기를 예고한다.",유럽 전쟁 수확을 점검하던 중 SVB가 200억 달러 채권을 매각한다는 이상징후가 포착된다(113020~113086).,① 주 위협이 전쟁·니켈·에너지에서 은행의 유동성·예금 인출로 바뀐다. ② 상대와 장소가 유럽 정부·LME에서 파월·옐런·FDIC·미국 은행들로 교대한다. ③ 645/646은 시안 구제 대화가 그대로 이어지므로 분리하지 않는다.,0.96
ROOT-649,"SVB·시그니처·리퍼블릭·크레디트스위스를 헐값에 묶고 엔캐리와 유럽 계약, 로나 공매도 그물을 완성하다",649,660,649,660,12,"김민재, 한 부회장, 다이먼, 파월, 옐런, 조지, 베릴","미국 재무·금융 당국, 금융타워, 일본 금융계, 스위스, 폴란드·체코","SVB 채권, 1달러 인수안, 미 국채, 엔화 차입금, 크레디트스위스, 로나 코인 공매도. SVB의 채권 매각과 연쇄 뱅크런 가능성을 본 김민재가 이를 금융타워 통합 기회로 정하고 미국 당국 앞에 1달러 인수안을 낸다(113087~113408).","은행 파산을 구제한다는 명분으로 미국·스위스 금융기관과 일본 저금리 자금, 유럽 실물계약을 한 지배망에 넣을 수 있는가.",미국·스위스 은행을 사실상 1달러로 흡수하고 엔캐리·유럽 계약·로나 공매도판까지 금융타워 지배망으로 묶는다.,"예금 전액 보호와 미 국채 보유를 약속해야 하고, 거절한 은행에는 파산 본보기를 보여야 하며, 엔캐리 청산의 법적·시장 위험과 베릴을 향한 살해협박도 버텨야 한다(113409~114855).",금융타워 제안을 거부한 리퍼블릭은행의 파산을 본보기로 삼으면서 태우가 단순 구제자에서 세계 은행의 규율자로 지위를 바꾼다.,"SVB·시그니처·크레디트스위스를 사실상 1달러에 받고 리퍼블릭을 굴복시키며, 스위스·EU 참여와 폴란드 방산·체코 원전 계약을 얻고 로나 공매도 그물을 완성한다.","파월·옐런·스위스·EU는 금융타워를 최후 구제자로 인정하고, 베릴은 살해협박을 견딘 공매도 대리자에서 공개적으로 복권된다.",금융타워는 미국·스위스 은행과 미 국채·엔캐리·유럽 방산·원전을 연결하는 세계 구제 허브가 된다.,"미 국채·엔화 차입·인수 은행의 예금 보호 책임이 남고, 로나 99% 폭락과 베릴의 공개 복권은 661화 첫 장면까지 이월된다.","한 부회장이 로나 규제·공매도 준비와 베릴의 고통을 보고하고, 곧 무너질 순간을 기다린다(114950~114999).",① 661회 115000~115043행에서 로나 99% 폭락과 베릴의 공개적 복권으로 금융전 약속이 닫힌다. ② 그 뒤 지배 목표가 김태중의 동남아 식량·에너지 순방과 곡물카르텔 대응으로 바뀐다. ③ 주 인물도 한 부회장·미 금융당국에서 김태중·바이든·빈 살만·미국 농업 연맹으로 교대하므로 661회를 혼합 전환 회차로 둔다.,0.96
ROOT-661,"김태중이 동남아 수출예외를 받아 오고, 경기장과 바이든 방한을 지렛대로 곡물메이저 공격과 사우디 증산을 해결하다",661,668,661,668,8,"김민재, 김태중, 한 부회장, 바이든, 빈 살만, 테일러 스위프트","베트남·동남아, 태우 스타디움, 청와대, 금융타워","농산물·팜유 수출예외, 일본 3대 상사 지분, 로봇 물류, 한미 통화스와프, 미국 농업 연맹 자료, IRS 조사. 로나 붕괴로 베릴이 지옥에서 나오자, 김민재가 김태중에게 식량 수출을 막는 동남아 지도자들을 만나 달라고 부탁한다(115000~115169).",식량·원유 카르텔의 압박을 가족 원로의 인맥과 국가 정상외교로 깨고 한국만의 공급 예외를 확보할 수 있는가.,"김태중의 동남아 식량 예외, 바이든의 곡물메이저 조사, 빈 살만의 증산을 실제 외교 보상으로 지급한다.","베트남·팜유 생산국의 수출금지를 풀어야 하고, 미국 농업 연맹을 움직인 곡물메이저가 태우의 기업농을 공격하며, 바이든과 빈 살만 사이의 정치적 적대도 중재해야 한다(115170~116146).","김태중이 동남아 식량 수출예외를 받아 온 뒤 미국 농업 연맹의 시위 압박이 터지고, 바이든·빈 살만 중재가 가족 외교를 곡물·원유 카르텔 전쟁으로 키운다.","김태중이 동남아 농산물·팜유 수출예외를 받아 오고, 태우는 일본 상사망·한미 통화스와프·반도체 특별대우·MBS 증산안을 얻으며 바이든·IRS의 곡물메이저 조사를 끌어낸다.","김태중은 손자의 마지막 부탁을 수행하는 식량외교 특사로 복귀하고, 바이든과 빈 살만은 서로 대화하기 위해 김민재의 중재에 기대게 된다.","한국은 식량·팜유·원유 특별대우와 통화스와프를 얻고, 태우는 일본 상사망과 곡물 카르텔 조사권을 확보한다.","동남아 수출예외와 카르텔 조사는 임시 해법이며, 러시아산 원유·프리고진·사우디 PIF를 함께 다룰 제재와 정치 비용이 남는다.",곡물카르텔을 꺾은 보고 직후 제재로 급료가 막힌 로만과 러시아 인맥을 살릴 문제가 열린다(116274~116314).,① 식량카르텔이라는 주 상대와 공급 예외 약속이 IRS 압박으로 결산된다. ② 장소와 상대가 동남아·서울·워싱턴·리야드에서 튀르키예·러시아·바그너로 바뀐다. ③ 압박이 공개 정상외교에서 제재국 비밀자금·용병 통제로 전환된다.,0.96
