sequence,visible_label,start_line,end_line,status,fields_changed,evidence_lines,reason,before_after
501,501,87669,87841,PASS,"",prev L87659~L87668; hard L87669~L87841; next L87842~L87851,"현재 action·turn_or_reveal·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 하드 경계와 일치하며, 계획·계약 전 상태나 인접 화 결과를 완료로 선취하지 않는다.",""
502,502,87842,88030,PASS,"",prev L87832~L87841; hard L87842~L88030; next L88031~L88040,"현재 action·turn_or_reveal·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 하드 경계와 일치하며, 계획·계약 전 상태나 인접 화 결과를 완료로 선취하지 않는다.",""
503,503,88031,88181,PASS,"",prev L88021~L88030; hard L88031~L88181; next L88182~L88191,"현재 action·turn_or_reveal·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 하드 경계와 일치하며, 계획·계약 전 상태나 인접 화 결과를 완료로 선취하지 않는다.",""
504,504,88182,88346,PASS,"",prev L88172~L88181; hard L88182~L88346; next L88347~L88356,"현재 action·turn_or_reveal·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 하드 경계와 일치하며, 계획·계약 전 상태나 인접 화 결과를 완료로 선취하지 않는다.",""
505,505,88347,88514,PASS,"",prev L88337~L88346; hard L88347~L88514; next L88515~L88524,"현재 action·turn_or_reveal·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 하드 경계와 일치하며, 계획·계약 전 상태나 인접 화 결과를 완료로 선취하지 않는다.",""
506,506,88515,88679,EDIT,reader_promise;action;resistance_or_cost;ending_hook;closed_loops,prev L88505~L88514; hard L88515~L88679; next L88680~L88689,"현재 action·turn_or_reveal·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 하드 경계와 일치하며, 계획·계약 전 상태나 인접 화 결과를 완료로 선취하지 않는다. [MANAGER_FOLLOWUP] 시작 SHA 7053d49dc7025e48b56daa2b35458965918ffc570cd66be0f87f4239992581f8와 현재 화 hard line을 대조해 11개 narrative field 중 5개를 교정했다.",[MANAGER_FOLLOWUP] reader_promise=[중국으로 기술을 빼돌린 탑테크를 물증과 명동 집행력으로 공개 본보기로 만드는 약속.] => [중국으로 기술을 빼돌린 협력업체 관련자를 물증과 명동 집행력으로 공개 본보기로 만드는 약속.] || action=[천민정의 기술절도 증거로 탑테크와 중국 유출선을 이영한에게 넘긴다] => [천민정의 디스플레이 기술유출 증거와 관련자 명단을 이영한에게 넘긴다.] || resistance_or_cost=[탑테크 관련자는 불법자금을 숨겼고 합법적 기업인 태우가 직접 회수하면 수사·평판 위험이 생긴다.] => [관련자들은 불법자금을 숨겼고 합법기업인 태우가 직접 회수하면 수사·평판 위험이 생긴다.] || ending_hook=[악마의 미소를 지은 이영한이 탑테크 관련자들을 어떤 방식으로 무너뜨릴지가 걸린다.] => [악마의 미소를 지은 이영한이 기술유출 관련자들을 어떤 방식으로 무너뜨릴지가 걸린다.] || closed_loops=[탑테크·관련자 명단 확보와 이영한 투입 결정.] => [기술유출 관련자 명단 확보와 이영한 투입 결정] || [MANAGER_FOLLOWUP] reader_promise=[중국으로 기술을 빼돌린 탑테크를 물증과 명동 집행력으로 공개 본보기로 만드는 약속.] => [중국으로 기술을 빼돌린 협력업체 관련자를 물증과 명동 집행력으로 공개 본보기로 만드는 약속.] || action=[천민정의 기술절도 증거로 탑테크와 중국 유출선을 이영한에게 넘긴다] => [천민정의 디스플레이 기술유출 증거와 관련자 명단을 이영한에게 넘긴다.] || resistance_or_cost=[탑테크 관련자는 불법자금을 숨겼고 합법적 기업인 태우가 직접 회수하면 수사·평판 위험이 생긴다.] => [관련자들은 불법자금을 숨겼고 합법기업인 태우가 직접 회수하면 수사·평판 위험이 생긴다.] || ending_hook=[악마의 미소를 지은 이영한이 탑테크 관련자들을 어떤 방식으로 무너뜨릴지가 걸린다.] => [악마의 미소를 지은 이영한이 기술유출 관련자들을 어떤 방식으로 무너뜨릴지가 걸린다.] || closed_loops=[탑테크·관련자 명단 확보와 이영한 투입 결정.] => [기술유출 관련자 명단 확보와 이영한 투입 결정]
507,507,88680,88865,PASS,"",prev L88670~L88679; hard L88680~L88865; next L88866~L88875,"현재 action·turn_or_reveal·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 하드 경계와 일치하며, 계획·계약 전 상태나 인접 화 결과를 완료로 선취하지 않는다.",""
508,508,88866,89034,PASS,"",prev L88856~L88865; hard L88866~L89034; next L89035~L89044,"현재 action·turn_or_reveal·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 하드 경계와 일치하며, 계획·계약 전 상태나 인접 화 결과를 완료로 선취하지 않는다.",""
509,509,89035,89193,PASS,"",prev L89025~L89034; hard L89035~L89193; next L89194~L89203,"현재 action·turn_or_reveal·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 하드 경계와 일치하며, 계획·계약 전 상태나 인접 화 결과를 완료로 선취하지 않는다.",""
510,510,89194,89363,PASS,"",prev L89184~L89193; hard L89194~L89363; next L89364~L89373,"현재 action·turn_or_reveal·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 하드 경계와 일치하며, 계획·계약 전 상태나 인접 화 결과를 완료로 선취하지 않는다.",""
