"sequence","visible_label","arc_id","arc_phase","concrete_event","tension_1_10","reward_1_10","hook_1_10","information_weight","action_weight","relationship_weight","emotion_weight","material_or_status_weight","pacing_note"
"669","대망 669화","GA-C01","도입/약속","파두구의 2군단 보급 물자 집적소가 쿰부야 지지 장교들의 방화로 소실됐다는 사실이 드러난다.","8","5","9","9","5","7","7","8","2군단은 보급 부족과 병사 동요에 시달리고 보 시장까지 쿰부야 지지를 선언해 정부군의 패배 가능성이 높다. → 움부야 소장이 폐쇄된 톤코릴리 철광산을 새로운 보상 카드로 제시한다."
"670","대망 670화","GA-C01","전진","혁권이 코로마 대통령 앞에서 톤코릴리 철광산 절반과 맞바꾸는 조건으로 Mi-24 하인드 두 대의 지원을 제시한다.","8","7","9","8","7","8","7","10","톤코릴리는 원자재 가격 폭락과 합작사 파산으로 폐쇄됐고 코로마 정권이 패배하면 양도 계약도 효력을 잃는다. → 움부야는 하인드 두 대면 쿠데타군을 격파하고 프리타운을 되찾는 것이 시간문제라고 코로마를 압박한다."
"671","대망 671화","GA-C01","전진","코로마 대통령이 톤코릴리 철광산 지분 절반 양도 계약서에 직접 서명한다.","7","10","8","9","7","7","6","10","하인드는 도착 후 16시간 동안 재조립해야 하며 코로마가 축출되면 광산 양도 서류도 무가치해진다. → 오차돈 태일 정유 사장이 김성균 추대 대신 계열사 사장단의 집단 경영 체제를 제안한다."
"672","대망 672화","GA-C01","전진","김인철과 김성균이 태일 그룹 본사 복도에서 서로 후계 경쟁자임을 노골적으로 선언한다.","8","6","8","9","5","10","8","8","김성균은 그룹 내 기반과 다수 임원의 지지를 갖고 있으며 형제는 복도에서 서로 제거 의지를 드러낼 만큼 관계가 파탄 난다. → 러셀 CIA 국장이 러시아와 쿰부야를 견제하기 위해 블랙 래빗의 행동을 어떻게 다룰지 판단하려 한다."
"673","대망 673화","GA-C01","압박","포세이돈 함의 호위를 받은 오데사 13호가 틴타퍼 부두에서 2군단용 군수품을 하역한다.","9","8","9","8","9","4","6","9","틴타퍼는 프리타운에서 바다로 약 20킬로미터에 불과하고 방어 병력도 2개 중대뿐이라 쿠데타군의 공격에 노출돼 있다. → 쿰부야가 프리타운 여객 부두의 페리선을 이용한 타진 상륙안에 탄성을 터뜨린다."
"674","대망 674화","GA-C01","압박","Mi-24 하인드 두 대가 대통령 궁과 프리타운 여객선 터미널을 동시에 공습한다.","10","9","7","8","10","8","8","9","코로마는 추가 공격헬기와 민간 군사 기업 전력을 요구하지만 이는 이그제큐티브 아웃컴즈의 전쟁범죄 기억과 러시아·기니 개입 명분을 되살릴 수 있다. → 코로마가 건넨 세 묶음의 가죽 주머니 안에서 크기별 최상급 다이아몬드 원석이 드러난다."
"675","대망 675화","GA-C01","압박","움부야의 2군단이 마시아카를 점령하고 쿠데타군 3군단을 프리타운 방향으로 패주시킨다.","8","10","9","8","8","8","7","10","마시아카 전투 결과가 나오기 전까지 톤코릴리 지분은 정권 붕괴 위험에 묶여 있고 정덕진은 형제 싸움에 휘말릴 손실을 경계한다. → 김종원 회장 의식 불명 보도로 계열사 주식이 하한가를 기록하자 김성균이 정보 유출 경위를 추궁한다."
"676","대망 676화","GA-C01","전환","혁권이 스텐저에게 태일 그룹 공매도에 최대 5억 달러를 투입할 권한을 준다.","9","5","9","9","8","6","7","10","기존 위임금까지 합치면 약 10억 달러가 걸리며 공매도가 실패하면 손실이 눈덩이처럼 불어날 수 있다. → 배원태를 포함한 태일 증권 펀드 매니저들이 개장을 앞두고 쌓여 있는 매도 물량을 떠받치라는 비밀 지시를 받는다."
"677","대망 677화","GA-C01","전환","기관의 자동 손절매가 터지며 태일 증권의 매수 방어선이 붕괴하고 혁권 측이 태일 정유 지분 26%를 매집한다.","10","10","8","9","10","5","8","10","태일 증권이 수천억 원을 투입해 주가를 떠받치고 업틱룰도 적용되지만 기관과 개인의 투매가 이어지며 시장 전체가 극심한 혼란에 빠진다. → 태일 그룹 대책회의에서 김성균이 주가 회복 실패를 따지자 정덕진이 후계 불확실성도 원인이라고 맞선다."
"678","대망 678화","GA-C01","결산/다음 훅","태일 그룹 임원 표결에서 공동 경영안이 17대 13으로 통과된 뒤 톤코릴리의 채굴 가능 매장량이 약 11억 톤으로 보고된다.","8","9","8","10","6","9","8","10","김성균파는 김인철 측이 그룹 안정을 방해했다고 비난하고 외국인 투자자들은 즉각적인 정상화를 압박하며 형제 간 적대감이 극단으로 치닫는다. → 김덕현은 톤코릴리 파산의 결정타가 원자재 가격만이 아니라 PASL 반군의 휴전 파기와 광산 인근 전투였다고 밝힌다."
