arc_id,arc_name,start_sequence,end_sequence,start_label,end_label,episode_count,main_characters,main_locations,concrete_premise,central_question,promise,pressure_escalation,mid_turn,concrete_payoff,relationship_change,status_or_ability_change,residual_cost,next_arc_bridge,boundary_signals,confidence
PART-402,중국 숏 정치보험·삼진 승계와 메르스 긴급승인,402,410,402화,410화,9,김민재·한정훈·오희건·오용재·서정준·천민정·제리 왕,금융타워·오희건 병실·삼진바이오·센트리언 연구개발센터·음압병실·식약처,김민재가 중국 숏 수익의 일부를 차명 정치보험으로 돌리고 오희건의 삼진 승계 부탁을 바이오 합병으로 풀던 중 국내 메르스 첫 환자에 치료체계를 가동한다,삼진의 승계를 살리면서 중국 금융충격과 메르스 감염을 태우의 산업·의료 기반으로 흡수할 수 있는가,삼진의 생산망과 센트리언 치료역량을 결합해 경쟁 가문을 우군으로 만들고 실제 환자에게 값싼 치료제를 지급한다,오희건의 위중함과 분식회계 수사 위험이 승계를 압박하고 중국 평가절하·금융사 이탈·음압시설 비용·식약처 절차가 동시에 닥친다,정부가 센트리언 연구센터를 메르스 전담시설로 지정한 뒤 제리 왕이 용선료 절반 인하를 받아들이고 치료제 1차 임상도 성공한다,삼진바이오·물산 합병과 인슐린 생산 협력이 성립하고 메르스 치료제가 한국 최초 긴급사용승인을 받아 환자에게 2만 원으로 공급된다,오희건과 오용재는 태우를 경쟁자에서 승계를 맡길 우군으로 받아들이고 정부는 센트리언을 국가 방역의 실행 파트너로 대한다,센트리언은 연구회사에서 긴급사용승인 치료제를 보유한 글로벌 제약사로 올라서고 태우는 중국 정치보험과 해운 원가개선 수단을 함께 확보한다,FDA의 비만·당뇨 치료제 승인과 장기 팬데믹 보상은 남고 메르스 매출 부진 때문에 센트리언 주가는 단기 하락한다,410화 말 영국 EU 탈퇴 국민투표와 브렉시트 공매도가 다음 군자금 문제로 올라오고 411화부터 국민경제당 총선판이 시작된다,410화에서 메르스 치료제가 긴급사용승인과 저가 공급으로 결산된다; 411화에서 주 상대가 오희건·식약처에서 최재석·국민경제당으로 바뀐다; 목표가 환자 치료에서 원내 1당과 정권교체로 이동한다,0.96
PART-411,새만금·부산항 151석과 대통령 하야,411,426,411화,426화,16,김민재·최재석·한정훈·이영한·국민경제당 지도부·현직 대통령,새만금·군산 조선소·부산 신항·금융타워·청와대,김민재가 최재석에게 국민경제당의 원내 1당과 호남 승리를 요구하고 멈춘 새만금·군산 조선소·부산 신항을 일자리 공약과 50조 원 PF로 묶는다,기업의 실제 투자와 해운·주택 정책을 151석으로 바꾸고 청와대의 세무·사법 반격까지 대통령 하야로 되돌릴 수 있는가,새만금 착공과 부산 물류 재편을 국민에게 보여 주어 최재석이 정권을 잡을 제도적 길을 연다,지역 시민단체의 반발과 적자 해운사 인수비용이 커지고 총선 승리 뒤 청와대가 세무조사와 권력기관 압박으로 반격한다,국민경제당이 총선에서 151석을 얻자 김민재가 이영한의 탈세·범죄조직 자료를 공개 압박으로 전환해 현직 대통령의 퇴로를 막는다,국민경제당이 단독 과반을 차지하고 현직 대통령이 긴급 담화에서 사퇴해 조기 대통령 선거가 비가역적으로 열린다,최재석은 기업 후원을 받는 정치인에서 과반 정당의 실질 지도자로 올라서고 이영한은 명동 정보상에서 권력교체의 집행자로 신뢰받는다,국민경제당은 151석의 원내 1당이 되고 대통령 자리가 공석이 되면서 태우의 산업 공약이 국가정책 후보로 바뀐다,새만금·부산항 사업의 완공과 두 해운사의 흑자 전환은 남고 최재석은 아직 대통령에 당선되지 않았다,대통령 하야 뒤 60일 안에 치를 선거에서 김민재가 700조 원 반도체 도시를 최재석의 단일 승부수로 올린다,426화 마지막에 현직 대통령이 스스로 물러나 총선·퇴진 목표가 닫힌다; 427화에서 시간표가 60일 조기 대선으로 바뀐다; 지배 카드가 새만금·부산항에서 700조 원 반도체 도시로 교대한다,0.98
PART-427,700조 반도체 도시와 세 권력교체,427,435,427화,435화,9,김민재·최재석·한정훈·빈 살만·데이비드·현진해운·현재상선 채권단,대선 유세장·반도체 도시 예정지·금융타워·사우디 왕궁·영국 국민투표 시장,대통령 하야 뒤 김민재가 700조 원 반도체 도시를 최재석의 1번 공약으로 세우고 해운부채·브렉시트·빈 살만 숙청을 병렬 권력교체 판으로 묶는다,60일 조기 대선에서 최재석을 당선시키며 한국 해운과 영국 시장과 사우디 왕실의 변화까지 태우의 자산·신뢰로 회수할 수 있는가,반도체 생태계와 국가권력을 동시에 확보하고 세 나라의 정치변동에서 태우가 먼저 선택받는 우군이 된다,700조 원 조달과 인허가 설명이 필요하고 두 해운사의 8조 원 부채와 고가 용선료를 떠안아야 하며 브렉시트 공매도와 사우디 숙청은 실패 시 손실이 국가급이다,최재석이 대통령에 당선된 뒤 영국 국민투표에서 탈퇴 51.9퍼센트가 나오고 빈 살만이 왕족·관료 숙청을 실행한다,최재석의 대통령 당선과 브렉시트 공매도 승리가 확정되고 빈 살만은 1천억 달러가 넘는 자금을 회수해 김민재를 확실한 우군으로 인정한다,최재석과 김민재는 후원자·후보에서 국가정책을 함께 설계하는 대통령·재벌 동맹이 되고 빈 살만은 거래 상대에서 생존을 맡긴 친구로 바뀐다,태우는 대통령 직통선과 사우디 왕실 신뢰를 얻고 반도체 도시·해운 통합을 국가 규모로 추진할 지위를 확보한다,반도체 도시 완공과 해운 용선료 정상화는 남고 영국 탈퇴의 장기 충격과 사우디 권력 유지비용도 계속된다,436화에 제리 왕과 해외 선주 20명이 태우 협상장으로 들어오면서 정권 획득이 아니라 용선료와 해운 카르텔이 전면 문제가 된다,435화에서 한국 대선·브렉시트·사우디 숙청 결과가 모두 확인된다; 436화에서 장소가 선주 협상장으로 바뀐다; 지배 목표가 권력교체에서 국제 해운 원가와 동맹 진입으로 이동한다,0.97
PART-436,선주·2M 문턱을 트럼프 규제로 역전,436,450,436화,450화,15,김민재·제리 왕·세스팬 선주들·데이비드·트럼프·김진우·천민정·정영근·스티브,태우그룹 협상장·미국 대선 캠프·버클리·브로드 연구소·머스크 해운·애플 캠퍼스,제리 왕과 해외 선주 20명이 고가 용선료를 지키려 하자 김민재가 선복 60만 TEU와 일시불 자금을 내걸고 2M의 폐쇄적 해운질서를 미국 규제로 뒤집는다,용선료를 낮추는 데서 멈추지 않고 해운 카르텔의 가입장벽과 로보 노디스크 소송·인재 경쟁까지 태우가 규칙을 정하는 동맹으로 바꿀 수 있는가,현진·현재 해운을 살리고 머스크 해운 자산과 유전자 가위 연구진을 확보하며 미국 행정부가 태우의 국제시장 진입을 보호하게 만든다,선주들은 절반 인하 뒤에도 2M 가입을 막고 50억 달러를 요구하며 로보 노디스크는 소송하고 정영근은 내부 자료를 빼돌려 규제계획 노출을 위협한다,440화부터 트럼프 당선을 해운 규제의 조건으로 준비한 판이 444화 미국 대선 승리 뒤 실제 반독점 조치로 작동한다,용선료 인하와 독자 해운연합 발판을 얻고 버클리·브로드 연구진을 영입하며 머스크 해운의 선박 5척·북해 자산과 동맹 거래를 성립시킨다,트럼프는 선거 지원을 받는 후보에서 태우의 규제 방패가 되고 스티브는 김민재에게 건강 악화 뒤 애플을 맡기는 장기 신뢰를 건넨다,태우해운은 적자 인수기업에서 미국 규제가 밀어 주는 국제 선사로 올라서고 태우의 바이오 연구선은 유전자 가위 인재 기반을 얻는다,유전자 치료의 임상성과와 스티브 이후 애플 책임은 남고 정권 의존·소송·막대한 인수비용이 장기 비용으로 붙는다,애플 캠퍼스의 후계 부탁 뒤 451화부터 값싼 이더리온·택시 면허·무인공장이라는 비대칭 선점과 북한 해킹 대응으로 화면이 바뀐다,449화까지 미국 규제와 머스크 해운 거래가 용선료·2M 문제를 결산한다; 450화에서 스티브가 애플 후계를 부탁해 사람·플랫폼의 잔여 약속을 남긴다; 451화에서 상대와 물건이 거래소·이더리온·무인공장으로 교대한다,0.95
PART-451,이더리온·무인공장과 말레이시아 생존 변수,451,455,451화,455화,5,김민재·한정훈·천민정·강 대위·태우병원 의료진·백두혈통 장남 2호,태우 가상화폐 거래소·구형 반도체 공장·청와대·쿠알라룸푸르 공항·태우병원,김민재가 값싼 이더리온과 택시 면허를 모으고 구형 반도체 공장을 무인화하던 중 북한 해킹을 역추적해 말레이시아 공항 암살에서 백두혈통 장남을 살린다,미래 자산과 자동화 생산망을 미리 심으면서 CIA·중국·북한에 들키지 않고 북한 권력을 흔들 생존 변수를 남길 수 있는가,직접 충돌 없이 돈·공장·사람을 배치해 다음 기술시장과 북한 내부에 태우가 선택할 수 있는 비대칭 카드를 만든다,북한 해커가 거래소와 기업망을 노리고 전문 요원을 쓰면 국제 정보기관에 노출되며 VX 중독은 치료시간이 짧아 의료봉사 위장이 실패할 수 있다,453화 안에서 북한 해킹·미사일 논의가 쿠알라룸푸르 공항 암살 저지로 전환되고 강 대위의 민간망과 태우병원 의료진이 VX2 해독 절차를 실행한다,이더리온·택시 면허·무인공장 기반을 낮은 가격에 깔고 태우병원 의료진이 VX 중독의 2호를 살려 북한 내부의 장기 변수를 보존한다,강 대위는 보안 책임자에서 김민재의 국제 비밀작전을 자율 집행하는 동료가 되고 구조된 2호는 적대 가문의 표적에서 태우가 살린 잠재 우군으로 바뀐다,태우는 가상자산·무인생산 선점분과 북한 권력에 영향을 줄 생존 인물을 동시에 확보하지만 그 변수의 통제권은 아직 없다,2호가 실제 북한 권력을 흔들지는 미지수이고 이더리온·택시 면허·무인공장도 현금 수익을 지급하지 않은 채 장기 위험으로 남는다,작전팀이 말레이시아에서 철수한 뒤 456화에 빈 살만이 방한해 국부펀드 2천억 달러 운용 신뢰를 공개적으로 시험한다,455화에서 2호 구조와 작전팀 철수가 완료된다; 456화에서 장소와 상대가 쿠알라룸푸르·북한에서 한국의 빈 살만으로 바뀐다; 압박이 비밀 암살에서 거대 기금 수익률로 교대한다,0.92
PART-456,빈 살만·국민연금과 게임·통신망 증명,456,462,456화,462화,7,김민재·빈 살만·최재석·한정훈·손정우·MC소프트 경영진,청와대·금융타워·MC소프트·태우통신·미국-일본 해저케이블,왕세자가 된 빈 살만이 국부펀드 2천억 달러의 절반을 맡기려 하자 김민재가 MC소프트와 배틀 아레나·태우통신을 검증 가능한 첫 성과로 제시한다,왕세자의 사적 신뢰와 최재석이 맡긴 국민연금 20퍼센트를 실제 게임 수익과 세계 통신망 성과로 증명할 수 있는가,국부펀드와 국민 노후자금을 장기 운용할 자격을 얻고 콘텐츠·통신 인프라가 서로 수익을 만드는 구조를 세운다,빈 살만은 빠른 성과를 원하고 국민연금 고갈 위험이 최재석의 재선과 국민 노후를 압박하며 글로벌 플랫폼의 망 사용료 협상이 버틴다,MC소프트 지분 10억 달러 투자와 배틀 아레나 흥행이 첫 수익을 보이자 김민재가 구글·페이스북·아마존과 국제망 계약을 밀어붙인다,빈 살만의 투자와 국민연금 위탁을 받고 게임 흥행을 증명하며 미국-일본 해저케이블을 확보해 태우통신을 1티어 사업자로 올린다,빈 살만과 최재석은 김민재를 친분 있는 재벌에서 왕실자금과 국민 노후를 맡길 운용자로 받아들이고 손정우는 통신 인프라 동맹의 실행자가 된다,금융타워는 국부·연금 자금의 운용 주체가 되고 태우통신은 자체 국제망과 1티어 지위를 갖춘다,국민연금의 수십 년 수익률과 국부펀드 절반의 최종 위탁은 남고 6조 원 문화공간과 해저망 투자비도 회수 전이다,통신망 성과가 확인된 직후 463화 연구소가 JIS 인증 철강의 수십 년 품질조작을 찾아내며 전장이 일본 제조업으로 이동한다,462화까지 게임 수익과 국제 통신망이 첫 성과로 지급된다; 463화에서 장소가 연구소 실험실로 바뀐다; 압박이 수익률·망 계약에서 품질조작·리콜 위험으로 교대한다,0.97
PART-463,일본 품질조작과 러시아 공장·도시바 역인수,463,481,463화,481화,19,김민재·민정기·한정훈·장경준·사토 켄지·베릴·일본 자동차기업 연합·도시바 경영진,태우 연구소·러시아 자동차 공장·일본 자동차시장·도시바 협상장,연구소가 JIS 인증 철강과 부품의 장기 수치조작을 확인하자 김민재가 폭로 전에 한국 부품을 바꾸고 위험한 러시아 공장을 일본 연합에 넘긴 뒤 도시바 핵심자산까지 산다,일본 제조업의 조작 폭탄이 터지기 전에 태우의 생산망을 피신시키고 상대에게 러시아 위험을 전가한 뒤 폭락 자산을 합법적으로 확보할 수 있는가,태우자동차의 안전 신뢰와 점유율을 높이고 도시바 메모리·웨스팅하우스로 반도체·원전의 다음 성장축을 얻는다,매각 이유와 충돌시험 자료를 계약 전까지 숨겨야 하고 폭로 뒤 글로벌 리콜·일본 정부 축소·소송이 번지며 도시바 거래는 독점규제와 엔화 조달에 걸린다,일본 연합이 태우·카이·GM 러시아 공장을 사서 태우에 다시 임대하는 계약에 서명한 뒤 품질자료가 공개돼 상대가 스스로 위험을 떠안는다,일본 연합에 러시아 공장 위험을 넘기고 태우자동차의 신뢰·점유율을 높인 뒤 약 4조 5천5백억 엔에 도시바 메모리와 웨스팅하우스를 확보한다,일본 완성차는 태우를 인수 대상으로 보던 경쟁자에서 러시아 공장을 임대해 줄 종속 파트너가 되고 시장은 태우자동차를 안전 대안으로 재평가한다,태우는 메모리와 미국 원전기술을 함께 보유한 산업집단이 되고 도시바 잔여지분도 담보대출로 회수할 능력을 갖춘다,러시아 전쟁이 실제 터질 때까지 공장 위험은 잠복하고 리콜·소송과 도시바 담보부실을 관리해야 하며 우라늄 공급도 새로 확보해야 한다,도시바 계약을 마친 김민재가 카메코 우라늄 지분을 지시한 뒤 482화 연말 포트폴리오 회의에서 청나라 채권과 미중 무역전쟁을 준비한다,481화에서 도시바 메모리·웨스팅하우스 가격과 담보구조가 계약으로 닫힌다; 482화에서 시점과 장소가 연말 금융회의로 바뀐다; 압박이 품질·리콜에서 채권·유가·코인·주식으로 교대한다,0.98
PART-482,유전·코인 회수와 청나라 채권 5년 영업권,482,495,482화,495화,14,김민재·한정훈·워렌·손정우·리사·젝슨 황·리강·진량타이·트럼프,금융타워·가이아나·알래스카 유전·홍콩 협상장·대만 채권 소각 행사,2017년 말 김민재가 유전과 비트코인 고점 자금을 회수하면서 실효성 없어 보이는 청나라 채권과 엔비디아 지분을 모아 미중 무역전쟁의 입장권으로 바꾼다,유가·코인 수익을 미국과 중국 모두가 필요로 하는 금융카드와 AI 반도체 지분으로 바꾸어 어느 편에도 종속되지 않는 영업권을 얻을 수 있는가,엔비디아의 장기 지배력과 미국 보호를 얻고 청나라 채권을 중국에서 5년 자유영업권으로 현금화한다,유전 매각과 비트코인 숏은 타이밍이 틀리면 손실이 뒤집히고 엔비디아 지분은 여러 대주주에게 들키지 않게 모아야 하며 중국은 채권의 정치적 폭발력을 경계한다,2018년 7월 미중 무역전쟁이 시작된 뒤 트럼프의 보호를 확보한 김민재가 홍콩에서 리강에게 채권과 대만 소각행사를 한 묶음으로 제시한다,유전 매각대금과 코인 하락 수익을 거두고 손정우 담보분을 포함한 엔비디아 대량지분을 얻으며 중국 금융회사들의 5년 제한 없는 영업을 계약한다,트럼프는 금융투자자를 미국 기업의 보호자이자 우군으로 인정하고 리강은 김민재를 정치적 채권을 정리해 줄 협상 상대로 받아들인다,금융타워는 미중 양국의 보호와 중국 5년 영업권을 얻고 김민재는 AI 반도체 핵심기업의 실질 지배력을 넓힌다,미중 갈등과 엔비디아의 장기 폭등은 아직 진행 전이고 청나라 채권 거래의 정치적 후폭풍도 관리해야 한다,중국 계약 직후 데이비드가 니콜라 수소트럭 조작 증거를 보고해 496화부터 산업 공급망 재편이 시작된다,495화에서 청나라 채권의 용처와 중국 5년 영업권이 계약으로 지급된다; 496화에서 상대가 리강에서 김정권·대화그룹으로 바뀐다; 물건과 목표가 채권에서 니콜라 영상·희토류·반도체 소재로 교대한다,0.98
PART-496,니콜라 탈출금과 탈중국 생존 공급망,496,516,496화,516화,21,김민재·김정권·김성윤·김태중·쑤엉 푹·최재석·오용재·이영한·양진태·머스크·ASML 피터슨,새만금 화학단지·베트남 동파오 광산·태우병원·탑테크·미국 곡물지대·ASML·인도·베트남 팹,김민재가 대화그룹 부자에게 니콜라 조작 영상을 보여 손실을 피하게 하고 그 차익을 희토류·반도체 소재·식량·장비·통신으로 이어지는 탈중국 공급망에 투입한다,일본 수출규제와 중국의 희토류·기술절도·식량 카드가 오기 전에 가족·정부·동맹기업을 묶어 한국 산업이 멈추지 않을 원료-소재-장비-식량망을 완성할 수 있는가,니콜라 탈출자금을 새만금에 심고 베트남 광산·미국 곡물·ASML 장비·해외 팹을 연결해 다음 경제전과 팬데믹을 버틸 생존 기반을 만든다,베트남 희토류는 규제에 막히고 탑테크 임원은 500억 원 뇌물과 5조 원 피해 사이 법적 간극을 이용하며 곡물카르텔과 ASML 생산한계가 조달을 막는다,김태중이 쑤엉 푹과의 현지 인맥으로 동파오 규제를 풀고 탑테크 내부고발이 기술보호법 강화로 이어지면서 개인 작전이 국가 공급망 정책으로 커진다,대화그룹의 손실 회피와 새만금 증설을 이루고 베트남 7개 희토류 광산·마스크·음압병실·기술보호법·비테라 곡물망·ASML EUV와 DUV·해외 구형 팹을 확보한다,김정권 부자는 김민재를 경쟁 재벌에서 가문을 살린 우군으로 받아들이고 김태중은 은퇴한 조부에서 베트남 공급망을 푸는 현역 해결자로 돌아온다,태우와 한국은 희토류부터 반도체 장비·곡물·28GHz 구상까지 연결한 다층 생존망을 갖추고 기술유출 처벌능력도 높인다,공장 완공과 식량전쟁·팬데믹 성과는 미래 지급이고 해외 팹·위성망 투자비와 공급국 정치위험을 계속 떠안아야 한다,사전 조달이 갖춰진 직후 517화 일본 초계기 충돌이 들어와 준비단계가 실제 수출규제 전쟁으로 바뀐다,516화까지 희토류·법·곡물·ASML·통신의 주요 조달계약이 한 차례 갖춰진다; 517화에서 주 상대가 공급기업에서 일본 정부로 바뀐다; 목표가 준비에서 공개 수출규제의 철회로 이동한다,0.97
PART-517,일본 소재·금융전을 12나인과 오염수로 역전,517,540,517화,540화,24,김민재·한정훈·최재석·트럼프·손정우·에디·아키토·로만·리강·태우·삼진 연구진,청와대·태우·삼진 연구소·듀폰 한국공장·일본 금융시장·한중러 외교장,일본 초계기 충돌을 본 김민재가 소재를 두 배에서 열 배까지 비축하고 듀폰 공장·국산 불화수소·공매도·북한 밀수증거를 준비해 일본의 실제 수출규제와 금융공격을 맞는다,일본이 핵심 소재와 금융으로 한국 기업을 굴복시키기 전에 대체생산과 재고·증거·동맹을 가동해 규제를 철회시키고 일본 소재기업까지 한국으로 옮길 수 있는가,12나인 불화수소와 포토레지스트 생산망으로 한국 반도체를 살리고 일본의 규제·금융·오염수 카드를 역으로 산업이전과 외교 지렛대로 바꾼다,일본은 3개 핵심품목을 실제로 막고 공급사 채무와 금융시장을 공격하며 중국의 가짜 팹·일본 소재기업 이전·후쿠시마 자료는 공개시점이 어긋나면 역풍을 부른다,태우·삼진이 12나인 불화수소 양산과 70퍼센트 대체를 공개해 첫 규제를 철회시키지만 일본이 금융공격으로 전선을 바꾸어 100조 원 방어전과 한중러 오염수 압박이 이어진다,일본의 첫 수출규제를 물리치고 일본 소재기업 네 곳과 생산기반을 사우디 자금까지 써서 한국으로 옮기며 금융공격을 방어하고 오염수를 국제외교 의제로 만든다,최재석 정부와 태우·삼진은 지원받는 기업과 정부에서 경제전을 공동 지휘하는 동맹으로 굳고 일본 소재기업은 독점 공급자에서 한국 이전을 청하는 피보호자가 된다,한국은 불화수소 70퍼센트 대체와 6개월 내 전량대체 능력을 증명하고 태우는 소재·금융·외교를 함께 움직이는 국가급 주체가 된다,HBM·양자·AI 장기투자와 일본과의 완전한 정상화는 남고 100조 원 방어비와 기업이전 비용 및 대일 갈등의 후유증을 부담한다,한일 후속회의 도중 우한에서 정체불명 감염자료가 들어오고 541화부터 병원·센트리언이 바이러스와 싸운다,540화까지 규제철회·12나인 양산·일본 소재기업 이전이 지급된다; 541화에서 이동수와 우한 태우병원이 전면에 선다; 압박이 국가의 소재·금융 조치에서 감염·검체·진단속도로 바뀐다,0.99
