"sequence","visible_label","arc_id","arc_phase","concrete_event","tension_1_10","reward_1_10","hook_1_10","information_weight","action_weight","relationship_weight","emotion_weight","material_or_status_weight","pacing_note"
"251","262","M201","압박","미국 일정 뒤 귀국해 애플 주가 15% 상승을 확인했지만 통신 3사의 협의 파기 통보를 받고 정통부 차관에게 와이파이·WIPI·플랫폼 유통 반발을 캐물었다","8","5","9","5","5","5","5","5","압박: 통신 카르텔과 휴대폰 제조사들이 망·유통 지배력 상실을 두려워해 대화 자체를 끊었다 → 거부 원인을 특정하고 카트리나 복구 협업으로 대한통신을 개별 유인하기로 했다"
"252","263","M201","약속","알렉스 대사와 함께 남중현 대한통신 사장에게 카트리나 통신망 복구·미국 통신사 교류를 제시한 뒤 아이폰 초기 물량 독점 판매권을 얹었다","7","5","8","3","4","3","5","5","약속: 남중현은 100만 원대 단말기와 한국 통신 카르텔의 보복을 우려했다 → GL디스플레이 공급 관계와 글로벌 통신 연대를 언급해 거절 시 대한통신만 기회를 잃는 구도로 바꿨다"
"253","264","M201","전진","남중현이 10만 대 미달 시 독점권 해제·프로모션비 보전 조건으로 계약하고 대한통신은 보조금과 2년 할부까지 자체 부담했다","7","7","8","3","4","5","2","5","전진: 고가 단말 실패 시 남중현이 카르텔과 주주에게 책임을 져야 했다 → 일주일 만에 한국 사전예약 9만8천 대가 찍히자 대한통신이 방어에서 공격으로 전환했다"
"254","265","M201","보상","30만 명에 가까운 예약에 맞춰 넥스콘을 24시간 가동하고 출시 당일 예약 취소 100건 미만·웃돈 거래·애플 주가 하루 10% 상승을 확인했다","8","9","9","5","5","3","2","5","보상: 수율과 재고 위험을 감수해야 했고 GL·KST가 뒤늦게 판에 들어올 가능성도 관리해야 했다 → 대한통신이 장기 독점을 먼저 요구하고 GL그룹 2인자 고본진 부회장이 직접 찾아왔다"
"255","266","M201","여진/다음 훅","고본진을 집단 거부 책임으로 압박한 뒤 마케팅 전액·공격적 보조금·정통부 정리를 받아내고 3차 물량부터 대한통신과 공동 판매시키기로 했다","6","8","8","5","4","3","2","5","여진/다음 훅: GL은 애플 패널 공급 관계를 잃을 위험과 이미 넘어간 초기 독점권 사이에 끼어 있었다 → 단말 판매를 넘어 앱스토어 한국 50억 원·글로벌 1천억 원 매출과 네오마블·롤북 선점을 확인했다"
"256","267","M202","도입","최동석 삼진전자 사장에게 멀티터치·전력·배터리 특허 협의를 열어주되 자체 OS 고집을 확인하고 GL은 터치 피처폰만 준비 중임을 비교했다","6","5","9","5","5","5","2","4","도입: 삼진은 애플보다 빨리 따라잡으려 서두르면서도 외부 OS 의존을 자존심 문제로 여겼다 → 삼진이 거절한 미국 OS 기업이 안드로이드라는 사실을 찾아 앤디 루빈을 한국으로 불렀다"
"257","268","M202","보상","특허 유사성을 짚어 위험을 알린 뒤 루빈이 원한 4천만 달러보다 많은 5천만 달러와 경영권·무제한 연구비를 제시하고 구글 공동개발까지 연결했다","7","9","8","3","5","5","2","5","보상: 자금난과 제조사 불신에 몰린 루빈은 특허 지적이 헐값 인수 압박인지 의심했다 → 가격을 깎지 않고 오히려 올려 진심을 증명하자 루빈이 1년 내 완성도를 끌어올리겠다고 약속했다"
"258","269","M203","전환","에버베드·호텔·오피스를 묶어 팔되 모바일 운영과 데이터 공유권은 남기고 로버트슨에게 글로벌 경쟁입찰을 맡겼다","6","7","8","5","5","3","2","4","전환: 1년 더 보유하면 가격은 오르지만 붕괴 책임과 대규모 매각 지연 위험도 함께 커졌다 → 매입가 10배를 노리는 현금화와 데이터 영구 확보를 양립시키고 한국에서는 대현건설 매각 경쟁을 설계했다"
"259","270","M203","약속","한정원 대현그룹 회장의 강한 의사에도 자금력을 문제 삼고 장동준 대현중공업 회장에게 셰일가스 설비 수주라는 숨은 가치를 꺼냈다","7","5","8","3","4","5","2","5","약속: 대현그룹은 돈이 없고 대현중공업은 건설 경기와 에너지 개발 손실을 경계했다 → 왕 회장과의 약속·범대현가 우선매각을 명분으로 삼아 해외 매각 위협도 협상 카드로 만들었다"
"260","271","M203","보상","대현건설이 비용 부담 없이 미국 셰일가스 장비를 납품하게 해 장동준을 설득하고 대현자동차의 조급함까지 키워 4주 뒤 봉인입찰을 열었다","8","8","9","3","4","5","5","5","보상: 장동준은 지나치게 좋은 조건의 배후와 타이거펀드가 황금알을 포기하는 이유를 의심했다 → 금융자본의 직접 개발을 피하려는 정치적 이유를 설명해 의심을 지우고 언론 찌라시로 세 집안의 불안을 높였다"
"261","272","M203","압박","14조 원을 쓴 장동준과 분노한 장동구를 달랜 뒤 한정원의 저금리 조달 뒤에 이력 없는 홍콩 법인과 중국 자금이 있음을 추적했다","8","4","9","5","4","5","5","5","압박: 대현그룹 내부 자료 없이는 이면 계약과 경영권 상실 조건을 법적으로 증명하기 어려웠다 → 장동구가 옛 대현 충신 김재철 상무를 움직여 내부 확인과 고발을 맡겼다"
