"sequence","visible_label","title","start_line","end_line","entry_state","reader_promise","protagonist_goal","action","resistance_or_cost","turn_or_reveal","paid_reward","state_change_axis","state_change","ending_hook","closed_loops","opened_loops","arc_id","confidence"
"669","대망 669화","","94048","94183","코로마 대통령은 친위대를 잃고 파두구 보급 집적소까지 불타 연료와 소총탄이 부족한 2군단에 의존한다.","침몰 직전의 코로마 정권이 혁권에게 내놓을 마지막 거래 카드가 공개된다.","혁권은 코로마 측의 지불 능력과 프리타운 탈환 가능성을 확인해 거래 지속 여부를 결정하려 한다.","혁권은 다이아몬드 원석 계약금을 확인하고 하킴이 매수한 보급 장교의 정보로 파두구 방화와 3군단의 워털루 방어선 구축을 파악한다.","2군단은 보급 부족과 병사 동요에 시달리고 보 시장까지 쿰부야 지지를 선언해 정부군의 패배 가능성이 높다.","거래를 접기로 한 혁권을 움부야 소장이 숙소에서 따로 만나 톤코릴리 철광산을 거론한다.","코로마가 숨겨 둔 최상급 다이아몬드 원석으로 최소한의 대금 지급 능력이 확인된다.","돈","혁권의 결론이 거래 철회로 굳었다가 움부야의 비공개 광산 제안 앞에서 재검토 단계로 되돌아간다.","움부야 소장이 폐쇄된 톤코릴리 철광산을 새로운 보상 카드로 제시한다.","2군단이 쿠데타 직후부터 보급난을 겪은 원인은 파두구 집적소 방화로 밝혀진다.","움부야가 톤코릴리 광산으로 어떤 조건을 제안할지 남는다.; 혁권이 코로마 정권과 완전히 결별할지 다시 베팅할지 미정이다.","GA-C01","0.96"
"670","대망 670화","","94184","94313","움부야 소장은 파산해 폐쇄된 톤코릴리 철광산 지분 25%를 물품 대금과 별도로 넘기겠다고 제안한다.","혁권이 15억 달러 투자 이력이 있는 광산 지분을 받고 불리한 내전에 뛰어들 조건을 설계한다.","혁권은 패전하면 휴지가 될 광산 지분의 위험을 상쇄하면서 코로마 측에서 최대한 큰 대가를 끌어내려 한다.","혁권은 함단에게 예멘 화물의 두 배와 전투식량 10톤, 화물 트럭과 연료를 보름 안에 시에라리온으로 준비하라고 지시한 뒤 코로마에게 지분 50%를 요구한다.","톤코릴리는 원자재 가격 폭락과 합작사 파산으로 폐쇄됐고 코로마 정권이 패배하면 양도 계약도 효력을 잃는다.","혁권은 단순 보급을 넘어 Mi-24 하인드 공격헬기 두 대를 지원하겠다고 밝혀 협상장의 반발을 흥분으로 바꾼다.","위험한 거래를 되살릴 만한 톤코릴리 지분 25% 제안과 공격헬기를 활용한 협상 우위가 확보된다.","관계","혁권은 코로마와 관계를 끊으려던 방침을 버리고 보급품과 공격헬기로 전세 자체를 뒤집는 고위험 투자자로 전환한다.","움부야는 하인드 두 대면 쿠데타군을 격파하고 프리타운을 되찾는 것이 시간문제라고 코로마를 압박한다.","움부야가 꺼낸 톤코릴리 카드는 대금 외 지분 25% 양도 제안으로 구체화된다.; 혁권은 코로마 정권과의 거래를 계속하기로 결정한다.","코로마가 톤코릴리 지분 50% 요구를 수락할지 남는다.; Mi-24 하인드 두 대가 실제 전장에 투입될 수 있을지 남는다.","GA-C01","0.96"
"671","대망 671화","전화위복","94314","94434","코로마 대통령은 Mi-24 하인드의 화력에 매료됐지만 톤코릴리 지분 절반 양도를 최종 승인하지 않은 상태다.","광산 절반 계약이 실제 자산과 무기 수송으로 전환되고 태일 그룹의 후계 전쟁도 본격적으로 열린다.","혁권은 톤코릴리 지분 50%를 법적 서류로 확보하고 약속한 군수품과 공격헬기를 기한 안에 출항시키려 한다.","혁권은 코로마의 서명을 받아 광산 절반을 소유한 뒤 콘스탄차에서 AK-47 탄환 10만 발, 전투식량 1만 개와 분해 선적된 하인드 두 대를 점검한다.","하인드는 도착 후 16시간 동안 재조립해야 하며 코로마가 축출되면 광산 양도 서류도 무가치해진다.","서울의 태일 그룹 비상대책회의에서 김종원 회장의 의식 회복 가능성이 희박하다고 공개되며 김성균 단독 체제와 사장단 공동 체제가 충돌한다.","혁권은 수백만 달러 상당의 다이아몬드 계약금과 톤코릴리 철광산 지분 50%를 공식적으로 얻는다.","지위","폐쇄 광산을 둘러싼 구두 제안은 서명된 절반 소유권으로 바뀌고 태일 그룹은 김종원의 단독 지배에서 후계 경쟁 상태로 진입한다.","오차돈 태일 정유 사장이 김성균 추대 대신 계열사 사장단의 집단 경영 체제를 제안한다.","코로마는 톤코릴리 지분 50% 요구를 수락하고 양도 서류에 서명한다.; 함단은 공격헬기와 대규모 군수 화물을 기한 내 출항시킬 준비를 끝낸다.","김성균파와 김인철파 중 어느 쪽이 태일 그룹 비상 경영권을 차지할지 열린다.; 콘스탄차에서 출항할 하인드와 보급품이 시에라리온에 제때 도착할지 남는다.","GA-C01","0.96"
"672","대망 672화","","94435","94554","태일 그룹 임원들은 김성균 중심 체제와 사장단 공동 경영 체제로 양분됐고 김종원 회장의 빈자리는 장기화되고 있다.","태일가 형제의 공개 충돌, 혁권의 광산 계약 보관, 미국 정보기관의 개입 판단이 한꺼번에 진전된다.","김인철은 김성균의 경영권 승계를 저지하고 혁권은 톤코릴리 계약서와 다이아몬드를 안전하게 보관하려 한다.","김인철은 회의를 무산시킨 뒤 오차돈에게 중도 임원 회유를 지시하고, 혁권은 제네바 은행 개인 금고에 광산 계약서와 원석을 넣는다.","김성균은 그룹 내 기반과 다수 임원의 지지를 갖고 있으며 형제는 복도에서 서로 제거 의지를 드러낼 만큼 관계가 파탄 난다.","CIA는 블랙 래빗이 코로마에게 보급품과 하인드 두 대를 제공한다는 정보를 입수하고 시에라리온 전황에 미칠 효과를 평가한다.","김인철은 공동 경영안을 통해 김성균의 즉각적인 승계를 막고 혁권은 고가 자산을 제네바 VVIP 금고에 격리 보관한다.","지위","숨겨진 후계 경쟁은 공개적인 적대 관계로 바뀌고 혁권의 시에라리온 거래는 CIA 국장 보고선에 오를 만큼 국제 변수로 격상된다.","러셀 CIA 국장이 러시아와 쿰부야를 견제하기 위해 블랙 래빗의 행동을 어떻게 다룰지 판단하려 한다.","태일 그룹 첫 비상대책회의는 어느 경영안도 채택하지 못한 채 종료된다.; 톤코릴리 계약서와 다이아몬드 원석은 제네바 개인 금고에 보관된다.","김인철이 중도 성향 임원들을 얼마나 끌어올지 남는다.; CIA가 혁권의 내전 개입을 묵인할지 제동을 걸지 남는다.","GA-C01","0.96"
"673","대망 673화","","94555","94667","미국은 친러 성향 쿰부야보다 코로마의 집권 지속을 선호하고 혁권의 하인드 지원을 유리한 대리 변수로 본다.","오데사 13호의 군수품이 틴타퍼에 상륙하고 쿠데타군이 그 보급로를 끊기 위한 반격을 세운다.","혁권은 쿠데타군이 가까운 틴타퍼에서 화물을 안전하게 하역해 포트로코의 2군단에 전달하려 한다.","혁권은 포세이돈 함을 오데사 13호와 합류시켜 호위하고 5톤 트럭에 실은 보급품을 틴타퍼 부두에서 포트로코로 출발시킨다.","틴타퍼는 프리타운에서 바다로 약 20킬로미터에 불과하고 방어 병력도 2개 중대뿐이라 쿠데타군의 공격에 노출돼 있다.","쿰부야는 보급선 입항을 뒤늦게 알고 당황하지만 로사니는 페리선으로 타진에 병력을 보내 부두를 공격하자고 제안한다.","주브르급 공기부양선 포세이돈의 AK-630 대공포와 A-22 로켓 발사기 아래 첫 군수 화물 하역이 성공한다.","돈","고립과 물자 부족에 시달리던 2군단은 전투 지속 자원을 받기 시작하고 쿠데타군은 마시아카 결전 외에 틴타퍼 차단 작전까지 준비한다.","쿰부야가 프리타운 여객 부두의 페리선을 이용한 타진 상륙안에 탄성을 터뜨린다.","CIA는 직접 개입하지 않고 러시아만 막으며 블랙 래빗을 묵인하기로 한다.; 오데사 13호는 포세이돈 함과 합류해 틴타퍼 접안에 성공한다.","쿠데타군의 타진 상륙부대가 틴타퍼 보급로를 끊을 수 있을지 남는다.; 마시아카 북동쪽 로겔강 다리를 둘러싼 결전이 예고된다.","GA-C01","0.96"
"674","대망 674화","","94668","94778","쿰부야는 페리선으로 타진에 병력을 보내 틴타퍼 보급로와 2군단 측면을 동시에 위협하려 한다.","재조립된 Mi-24 하인드가 첫 실전을 치르고 코로마가 그 위력에 기대어 더 큰 군사 개입을 요구한다.","혁권은 하인드 두 대의 전과로 정부군의 사기를 높이되 외부 용병 확대가 불러올 정치적 위험은 차단하려 한다.","하인드 한 대는 대통령 궁을 기관포와 로켓으로 파괴하고 다른 한 대는 프리타운 여객선 터미널과 정박 선박을 침몰시킨다.","코로마는 추가 공격헬기와 민간 군사 기업 전력을 요구하지만 이는 이그제큐티브 아웃컴즈의 전쟁범죄 기억과 러시아·기니 개입 명분을 되살릴 수 있다.","혁권은 EO 사건을 직접 거론해 추가 용병 투입을 거부하고 2군단이 전쟁의 중심이어야 한다고 코로마를 설득한다.","프리타운 공습으로 쿠데타군 지휘부와 해상 수송 수단이 타격을 입고 코로마는 혁권에게 다이아몬드 잔금이 든 브리프 케이스를 내놓는다.","세계","쿠데타군의 틴타퍼 상륙 구상은 여객선 침몰로 무력화되고 코로마의 희망은 회복되지만 추가 용병 증강은 봉쇄돼 움부야의 지휘권이 유지된다.","코로마가 건넨 세 묶음의 가죽 주머니 안에서 크기별 최상급 다이아몬드 원석이 드러난다.","Mi-24 하인드 두 대는 재조립을 마치고 프리타운 첫 공습에 성공한다.; 페리선을 이용한 타진 상륙 계획은 여객선 터미널과 선박 파괴로 좌절된다.; 코로마는 추가 공격헬기 도입 요구를 철회한다.","하인드와 보급품을 얻은 2군단이 마시아카 결전에서 승리할지 남는다.; 움부야가 혁권의 정치적 배려를 어떻게 받아들일지 남는다.","GA-C01","0.96"
"675","대망 675화","","94779","94909","프리타운 공습으로 코로마의 자신감이 살아났고 혁권은 군수 계약 잔금인 다이아몬드 원석을 넘겨받는다.","시에라리온의 고위험 베팅이 실제 승전으로 결산되는 한편 김인철이 태일 그룹 권력전을 뒤흔들 비밀 공작을 실행한다.","혁권은 남은 보급품 인도를 끝내 투자 성과를 확정하고 김인철은 공동 경영안을 지지할 중도 임원을 확보하려 한다.","혁권은 추가 화물선 두 척의 틴타퍼 하역을 확인한 뒤 출국하고, 김인철은 정덕진을 포섭한 후 차민성에게 김종원 의식 불명 기사를 내보내라고 지시한다.","마시아카 전투 결과가 나오기 전까지 톤코릴리 지분은 정권 붕괴 위험에 묶여 있고 정덕진은 형제 싸움에 휘말릴 손실을 경계한다.","하킴은 움부야의 2군단이 마시아카를 점령하고 치명타를 입은 3군단이 프리타운으로 패주한다고 보고한다.","정부군 승리로 톤코릴리 지분의 실효성이 높아지고 혁권은 움부야의 신뢰와 코로마의 잔금까지 확보한다.","관계","정부군은 수세에서 프리타운 탈환을 눈앞에 둔 추격군으로 바뀌고 태일 그룹의 비공개 병세는 김인철의 지시로 공개 악재가 된다.","김종원 회장 의식 불명 보도로 계열사 주식이 하한가를 기록하자 김성균이 정보 유출 경위를 추궁한다.","코로마는 군수 계약의 다이아몬드 잔금을 지급한다.; 남은 보급 물자를 실은 화물선 두 척도 틴타퍼에 도착한다.; 2군단은 하인드 지원을 받아 마시아카 전투에서 승리한다.","패주한 쿠데타군이 프리타운에서 얼마나 버틸지 남는다.; 김인철이 의도적으로 터뜨린 병세 보도가 태일 그룹 경영 체제를 어떻게 바꿀지 열린다.","GA-C01","0.96"
"676","대망 676화","","94910","95033","김종원 의식 불명 보도로 태일 계열사 주식이 하한가를 기록하고 김성균 측은 비상 경영안 결정을 더 미룰 수 없게 된다.","혁권이 태일 그룹의 오너 리스크를 이용해 대규모 공매도와 지분 확보 작전에 착수한다.","혁권은 폭락 국면을 활용해 원하는 태일 그룹 지분을 싸게 확보하고 향후 경영권 개입 기반을 만들려 한다.","혁권은 스텐저 변호사에게 5억 달러까지 사용해 주력 계열사를 공매도하도록 승인하고 태일 증권은 본사 지시로 계열사 주가 방어 매수에 들어간다.","기존 위임금까지 합치면 약 10억 달러가 걸리며 공매도가 실패하면 손실이 눈덩이처럼 불어날 수 있다.","스텐저는 추가 3억 달러를 요청하지만 혁권은 오히려 5억 달러 한도를 허용해 공격 규모를 키운다.","스텐저가 지분 목표 달성 가능성을 확인하고 태일 측의 방어 자금이 분산된 취약한 시장 구도가 포착된다.","돈","혁권은 외부 관찰자에서 5억 달러의 실탄을 승인한 공매도 공격 주체로 바뀌고 태일 증권 직원들은 고객 수익보다 그룹 주가 방어를 강요받는다.","배원태를 포함한 태일 증권 펀드 매니저들이 개장을 앞두고 쌓여 있는 매도 물량을 떠받치라는 비밀 지시를 받는다.","김성균 측은 병세 공개 뒤 비상 경영 체제를 즉시 결정해야 한다는 압박을 인정한다.; 혁권은 공매도 자금 투입 여부를 5억 달러 승인으로 확정한다.","스텐저의 공매도가 태일 그룹 방어선을 무너뜨릴지 남는다.; 혁권이 폭락장에서 어느 계열사의 지분을 얼마나 확보할지 남는다.","GA-C01","0.96"
"677","대망 677화","톤코릴리Tonkolili 철광산","95034","95155","태일 증권은 그룹 주가 방어 매수를 준비하지만 개장 대기 물량과 외부 공매도 압력이 이미 방어 능력을 넘어선다.","공매도 전쟁의 승패와 혁권이 손에 넣을 태일 그룹 핵심 지분의 규모가 숫자로 결산된다.","혁권은 신원을 숨긴 채 태일 정유의 지배력 있는 지분을 저가 매집하고 현금 수익까지 확보하려 한다.","L&S코퍼레이션은 공매도와 기관 손절매를 연쇄시킨 뒤 세 헤지펀드와 케이맨 제도 여섯 페이퍼컴퍼니를 통해 태일 정유 주식을 분산 매입한다.","태일 증권이 수천억 원을 투입해 주가를 떠받치고 업틱룰도 적용되지만 기관과 개인의 투매가 이어지며 시장 전체가 극심한 혼란에 빠진다.","기관 전산 손절매로 수백만 주가 한꺼번에 쏟아지면서 태일의 방어선이 붕괴하고 하루 손실만 1천억 원을 넘긴다.","혁권은 태일 정유 지분 26%와 약 1억 달러의 현금 수익을 얻어 그룹 경영권에 개입할 발판을 마련한다.","돈","태일 그룹은 시가총액 10조 원 이상을 잃고 방어에 실패한 반면 혁권은 순환출자 핵심 계열사의 대주주급 지분을 은밀히 확보한다.","태일 그룹 대책회의에서 김성균이 주가 회복 실패를 따지자 정덕진이 후계 불확실성도 원인이라고 맞선다.","5억 달러 한도의 공매도 작전은 태일 측 방어를 무너뜨리며 성공한다.; 혁권의 목표 지분은 태일 정유 26%로 확정된다.; 공격 주체의 흔적은 헤지펀드와 페이퍼컴퍼니 명의로 은폐된다.","혁권이 태일 정유 26%를 언제 경영권 개입에 사용할지 남는다.; 주가 폭락 책임을 둘러싼 김성균파와 김인철파의 최종 표결이 다가온다.","GA-C01","0.96"
"678","대망 678화","","95156","95270","태일 그룹은 10조 원이 넘는 주가 손실과 후계 불확실성 속에서 김성균 단독 체제와 사장단 공동 체제 중 하나를 선택해야 한다.","태일 그룹 권력전의 첫 공식 승패가 결정되고 혁권이 받은 톤코릴리 절반 지분의 실질 가치가 드러난다.","김인철은 공동 경영안을 통과시켜 김성균의 승계를 막고 혁권은 톤코릴리 광산의 매장량과 재가동 경제성을 확인하려 한다.","김인철은 정덕진·오차돈과 확보한 표로 2안을 밀어붙이고, 혁권은 김덕현이 제출한 톤코릴리 평가 보고서에서 매장량과 개발비를 검토한다.","김성균파는 김인철 측이 그룹 안정을 방해했다고 비난하고 외국인 투자자들은 즉각적인 정상화를 압박하며 형제 간 적대감이 극단으로 치닫는다.","표결 결과가 17대 13으로 나오면서 사장단 공동 경영 체제가 확정되고 김성균은 회의장을 박차고 나간다.","김인철은 후계 확정을 저지하고 세력을 넓힐 시간을 벌며 혁권은 톤코릴리에 추정 38억 톤, 채굴 가능 약 11억 톤의 철광석이 있음을 확인한다.","지위","태일 그룹은 김성균 단독 승계 대신 계열사 사장단 공동 경영으로 전환되고 혁권의 광산 지분은 막연한 담보에서 대규모 노천광산 자산으로 재평가된다.","김덕현은 톤코릴리 파산의 결정타가 원자재 가격만이 아니라 PASL 반군의 휴전 파기와 광산 인근 전투였다고 밝힌다.","태일 그룹 비상 경영안은 17대 13 표결로 사장단 공동 체제로 확정된다.; 김인철은 김성균의 즉각적인 후계자 등극을 저지한다.; 톤코릴리 철광산의 매장량과 노천 채굴 조건이 1차 평가된다.","박상빈이 공동 경영 체제를 뒤집고 반대 임원들을 숙청할 방안을 마련할지 남는다.; 내전이 진정된 뒤 톤코릴리 철도와 페펄 항구를 활용해 광산을 재가동할 수 있을지 남는다.; 혁권이 김인철의 세력 확대를 직접 견제할지 남는다.","GA-C01","0.96"
