sequence,visible_label,arc_id,arc_phase,concrete_event,tension_1_10,reward_1_10,hook_1_10,information_weight,action_weight,relationship_weight,emotion_weight,material_or_status_weight,pacing_note
1,"1화","E01","도입","1996년 백범으로 깨어난 회귀자가 졸부 부모와 700억 재산 및 망나니 이력을 복원하다 결혼 최후통첩을 받는다",6,6,8,4,1,2,2,1,"세계·가족·재산을 넓게 깐 뒤 아버지의 결혼 요구로 생활형 목표를 급히 세운다"
2,"2화","E01","약속","백범이 결혼을 조건으로 300억 투자와 판교 땅 매입을 받아내고 평행세계의 미묘한 차이를 확인한다",7,7,7,3,1,2,1,3,"돈줄 차단 압박을 협상 보상으로 바꾸되 미래 지식의 불확실성을 끝에 남긴다"
3,"3화","E01","전진","안소미의 무시를 끊고 강남 마담뚜의 평가를 바꿔 심은혜와 맞선한다",6,6,7,2,2,3,1,2,"굴욕적인 첫 상대를 짧게 털고 중매인의 목격 반응을 통해 혼처 수준을 상승시킨다"
4,"4화","E01","압박","백범과 심은혜가 파락호 과거와 수감 가족·1억 빚을 서로 고백한다",7,5,9,4,1,3,2,0,"상호 결함 공개를 길게 머물러 30분 청혼이 감정적으로 납득될 기반을 만든다"
5,"5화","E01","전환","두 사람이 돈과 판사 꿈의 동맹으로 청혼·혼인신고를 끝내고 부모에게 등본을 내민다",8,9,8,2,2,3,1,2,"맞선에서 혼인까지 과감히 압축해 기존 우유부단 평판을 결단력 보상으로 뒤집는다"
6,"6화","E01","보상","은혜의 증언으로 부모가 안심하고 300억을 지급하며 대법관 주례 결혼식이 열린다",7,10,9,2,1,3,2,2,"결혼·자금·법조 인맥을 연속 지급한 뒤 사과 박스 뇌물 오해로 즉시 다음 고비를 연다"
7,"7화","E01","여진/다음 훅","사과만 든 박스를 연 백범이 강동우의 사과와 바둑 초대를 얻고 신혼 관계를 굳힌다",6,9,6,1,2,4,2,1,"오해의 긴장을 짧은 물건 반전으로 풀고 평판과 관계 보상을 오래 맛보게 한다"
8,"8화","E02","도입","300억 증여세를 둘러싼 부자 협상에서 판교 땅·담보대출·선우재단 구상이 이어진다",6,6,8,3,1,3,1,2,"청렴한 아버지의 저항이 자금 증폭을 단순 치트가 아닌 가족 신뢰 시험으로 만든다"
9,"9화","E02","약속","백범이 5년 10조와 독립유공자 지원을 약속해 아버지의 600억 운용 동의를 얻는다",7,8,7,3,1,3,2,1,"거액 금융 설명 사이에 아버지의 고맙다는 말을 두어 재산보다 관계 지급을 크게 잡는다"
10,"10화","E02","전진","백영기와 손위 처남 사건을 분석해 여당 의원의 경찰 압력을 확인하고 호형호제한다",7,7,8,4,1,3,1,1,"사건 정보와 법조 인맥을 한 만남에서 함께 진전시키며 정치 상대를 구체화한다"
11,"11화","E02","전진","재심을 대선 뒤로 미룬 백범이 10억 자문료로 야당·사채시장 연결과 로펌 대표 면담을 산다",7,7,8,4,1,2,1,2,"법률 의뢰가 투자 제안으로 뒤집히는 갑을 전환을 회차 종반의 추진력으로 쓴다"
12,"12화","E02","압박","태평양 대표 앞에서 한보·어음·외환 만기를 근거로 7개월 뒤 국가부도를 예고한다",8,5,8,6,0,1,1,2,"설명 비중이 크지만 대표의 거절과 의심을 촘촘히 끼워 논쟁의 긴장을 유지한다"
13,"13화","E02","보상","IMF·적대적 인수합병 시나리오로 대표를 설득해 태평양 파트너십과 은행 연결을 얻는다",8,10,7,4,1,2,1,2,"거시 예측을 악수라는 목격 가능한 결산으로 환전하고 백호 호칭으로 평판 상승을 찍는다"
14,"14화","E03","도입","VIP 병실의 장모를 위로하고 재심·은석 치료·은철 지원을 약속해 가족 권한을 얻는다",6,7,7,2,1,4,3,0,"자기 정체 불안 뒤 장모의 눈물과 손잡기에 머물러 사위 역전의 정서를 먼저 지급한다"
15,"15화","E03","압박","백범과 부모의 신장 불일치 뒤 교수의 이식 순번 유혹을 백범이 부드럽게 거절한다",8,7,8,4,1,2,3,0,"생명 압박과 도덕 선택을 길게 끌어 망나니 기대와 반대되는 자기 절제의 목격을 만든다"
