sequence,visible_label,title,start_line,end_line,entry_state,reader_promise,protagonist_goal,action,resistance_or_cost,turn_or_reveal,paid_reward,state_change_axis,state_change,ending_hook,closed_loops,opened_loops,arc_id,confidence
204,"204화","메타버스(4)",49124,49345,"203화에서 가짜 드론 충돌과 시민단체의 자작극 증거가 대형 전광판으로 공개됐고 김장욱은 수사망을 피해 도주한다.","드론 공작의 배후를 현실 처벌보다 더 확실히 치운 뒤 진짜 메타버스 사업으로 넘어간다.","김장욱을 재기 불가능한 곳에 격리하고 서광수에게 가상세계 구축의 핵심 조건을 정하게 한다.","김장욱을 납치해 오창건이 있는 무인도로 보내고 세운메타버스 5천 명의 업무를 점검한 뒤 VR 기기·데이터센터·경제 체제를 의제로 올린다.","언론·경찰·검찰의 추적만으로는 도주한 김장욱을 즉시 잡기 어렵고 메타버스는 기존 게임 업데이트만으로 완성되지 않는다.","서광수가 VR 기기와 대규모 데이터센터, 독자 경제 시스템을 요구하고 조도겸이 비트코인을 통화로 채택한다.","김장욱은 돈과 권력이 통하지 않는 섬에 떨어지고 세운전자 VR 개발·글로벌 데이터센터·비트코인 경제라는 실행선이 열린다.","적대 제거·사업·능력","드론 반대 공작의 피해자에서 배후를 격리한 통제자로, 막연한 게임 회사에서 물리 장치와 통화를 가진 메타버스 설계자로 이동한다.","200명 미래혁신팀의 조악한 VR을 마법으로 실제 감각 수준까지 끌어올려야 한다.","김장욱의 도주와 드론 자작극 배후 처리","VR 동기화·데이터센터·경제 체제 구축",S05-A01,high
205,"205화","환상(1)",49346,49602,"세운전자 미래혁신팀 200명이 만든 VR은 멀미가 날 만큼 현실감이 떨어지고 세계 서비스를 위한 전력·냉각 시설도 없다.","환상 마법이 VR 감각과 해저 데이터센터라는 두 기술 장벽을 실제 시제품으로 바꾼다.","안전한 몰입형 VR과 태풍에도 버티는 데이터센터를 증명하고 세운메타버스의 물리 기반을 만든다.","VR 기기에 일루젼·힙노시스를 각인해 노르웨이 숲의 냄새와 촉감까지 재현하되 동기화율을 낮추고, 부산 컨테이너에 방어·무게·토네이도 마법을 써 2시간 태풍 시험을 한다.","완전 동기화는 현실과 구분되지 않아 정신 안전을 해치고 12개 국내 후보지와 해외 센터에는 막대한 전력·냉각 비용이 든다.","마법 VR이 너무 사실적이어서 오히려 동기화율을 제한해야 하고 마법 컨테이너는 대형 태풍을 견뎌 해저 배치가 가능해진다.","연구팀은 불가능해 보이던 VR을 분석할 과제를 얻고 12개 국내 센터 전부와 글로벌 해저센터, 판교 30층 사옥 구축안이 확정된다.","능력·기술·사업·인정","환상·최면은 개인 기만 마법에서 안전 조절 가능한 VR 엔진으로, 방어 마법은 해저 인프라 기술로 확장된다.","서광수의 조직은 도시·게임·브랜드·세계 콘텐츠를 5천 명으로 채워야 한다.","VR 감각 시제품과 해저 데이터센터 내구 시험","메타버스 콘텐츠 세계와 첫 인간 효용 증명",S05-A02,high
206,"206화","환상(2)",49603,49822,"판교 30층 사옥과 5천 명 조직은 갖췄지만 월드팀은 현실·판타지 세계 데이터를 사람 손으로 만들기 벅차다.","위성·0호기·외부 게임사가 빈 세계를 채우고 VR이 의식 있는 식물인간에게 두 번째 삶을 준다.","알파 버전을 완성하고 현실에서 움직이지 못하는 사람에게 메타버스의 인간적 가치를 입증한다.","외부 게임사에 플랫폼을 열고 0호기가 위성 자료로 세계 도시·랜드마크와 중세 판타지 데이터를 173시간에 올리게 한 뒤 3년째 식물인간인 축구스타 데이비슨에게 완전 동기화 VR을 씌운다.","월드팀의 업무 과부하와 100명 알파 테스터를 설득할 서사가 필요하고 데이비슨 실험은 실패 시 500만 파운드를 지급해야 하는 고위험 시도다.","몸은 움직이지 못해도 의식은 메타버스에 온전히 들어오며 데이비슨이 병상 곁 아버지의 말을 기억하고 있음을 밝힌다.","데이비슨과 아버지 파커가 가상세계에서 서로를 알아보고 대화를 시작해 메타버스의 두 번째 삶 약속이 실제 장면이 된다.","능력·관계·사업·감정","위성 데이터는 배경 제작 자동화로, 완전 동기화 VR은 게임기가 아니라 의식·가족 재회의 매개로 격상된다.","파커가 직접 VR에 접속한 부자 재회와 이를 세계에 알릴 홍보 구조가 남는다.","알파 세계 데이터 병목과 데이비슨 의식 확인","부자 재회·홍보 모델·글로벌 플랫폼 제휴",S05-A02,high
207,"207화","환상(3)",49823,50024,"데이비슨과 파커가 메타버스에서 만났지만 실험의 지속성과 세계 홍보, 대규모 베타 운영은 아직 확보되지 않았다.","가족의 네 시간 재회를 정식 계약과 세계적 신뢰, 5천 명 베타 열기로 환전한다.","데이비슨 부자의 두 번째 삶을 보장하고 롤북·OTT 홍보망과 베타 이용자 기반을 확보한다.","500만 파운드 가방을 홍보모델 계약금으로 바꾸고 부자 모두에게 접속권을 주며, 18억 이용자의 롤북 회장 마이크에게 메타버스를 체험시켜 홍보·SNS 연계를 제안한다.","식물인간을 광고에 이용한다는 위험과 10만 명 신청 대비 5천 명 슬롯, 80만 원 헬멧·500만 원 캡슐 가격이 진입 장벽이다.","마이크가 직접 두 번째 삶의 가치를 체감해 글로벌 홍보를 약속하고 직원들은 자발적으로 야근하며 베타를 완성한다.","파커는 눈물로 아들을 다시 안고 데이비슨은 축구를 하며, 베타 신청 10만 명과 인플루언서 호평이 만들어진다.","관계·인정·사업·지위","파커는 보호자에서 아들과 함께 사는 이용자로, 서광수는 인수된 경영자에서 100% 비상장 독점 플랫폼의 핵심 파트너로 인정받는다.","한국 정식 출시에서 대규모 동시접속·부동산·비트코인 경제를 실제로 굴려야 한다.","데이비슨 실험과 알파 효용·롤북 홍보 제휴","한국 출시·이용자 경제·독점 유지",S05-A02,high
208,"208화","독점(1)",50025,50224,"베타 호평 뒤 VR 예약이 5천만 건으로 폭증했지만 콘텐츠는 서울·뉴욕·파리와 중세 세계 20%뿐이다.","제한된 세계를 70만~98만 동시접속, 상점·부동산·비트코인으로 작동하는 경제권으로 만든다.","한국 출시를 안정화하고 접속 수요를 수익과 교육·일자리 구조로 전환한다.","VR 2천만 대를 생산하고 한국에 100만 대를 풀며 서울역 상점, 스타벅스 커피 2천 원과 매출 50%·건물 이용료 20%, 원룸 10만 원·고급아파트 200만 원 이상의 임대 모델을 연다.","첫날 70만 접속과 주간 최대 98만 이용자가 몰리고 미성년자의 수업 거부·직장 이탈·중고 VR 4~10배 폭등 같은 사회 비용이 발생한다.","비트코인이 며칠 만에 100만 원의 세 배가 되고 조도겸은 미성년자 수업시간 접속 제한과 유명 강사의 무료 교육 콘텐츠를 동시에 도입한다.","가상 상점·부동산·일자리가 실제 돈을 만들고 글로벌 예약 7천만 건이 쌓여 북미·유럽 출시가 확정된다.","사업·경제·사회·지위","메타버스는 체험판에서 주거·소비·교육·노동이 도는 플랫폼으로, 비트코인은 투기 자산에서 내부 통화로 이동한다.","북미·유럽 동시 출시와 세계 단위 콘텐츠·인력·서버 확장이 기다린다.","한국 정식 출시와 초기 경제 가동","북미·유럽 3천만 동시접속과 글로벌 독점",S05-A03,high
209,"209화","독점(2)",50225,50431,"한국 성공 직후 북미·유럽이 열리며 동시접속자가 3천만 명을 넘고 조직과 아바타 공급이 병목이 된다.","세계 이용자를 3D 스캔·게임·가상 노동으로 붙잡는 동안 적은 곡물 독점을 준비한다.","메타버스의 글로벌 수익원을 다각화하고 경쟁자가 넘볼 수 없는 규모를 만든다.","한국 32곳·북미 60곳·세계 200곳 이상의 3D 스캔 시설을 열어 무료 스캔과 10만~700만 원 편집을 팔고 직원 2천 명을 추가 채용한다.","가상생활 때문에 현실 직장을 그만두는 이용자가 생기고 가격을 급히 올리면 반발할 수 있으며 외부에서는 조민우와 대부가 러시아·우크라이나 밀 독점을 모의한다.","스캔 시설 한 곳이 하루 200명·평균 1억 원, 전체 하루 200억 원을 만들고 조민우는 대부에게 비트코인 수익과 국제 인맥을 인정받는다.","세운메타버스는 한국 8천 명을 포함한 글로벌 조직과 일일 수백억 매출 기반을 얻지만 곡물 카르텔이라는 보이지 않는 적선이 열린다.","사업·규모·적대·인정","가상 플랫폼의 독점이 숫자로 굳어지고 조민우도 대부의 실행자이자 세계 곡물 독점자로 지위가 올라가 양측 규모가 함께 커진다.","콘텐츠 과금과 비트코인 지배력을 더 키우는 동시에 조민우의 매도 공격을 견뎌야 한다.","북미·유럽 출시와 3D 스캔 사업화","랜덤박스 수익·비트코인 공격·곡물 독점",S05-A03,high
210,"210화","독점(3)",50432,50652,"출시 두 달 만에 이용자 1억 명·동시접속 6천만 명이지만 콘텐츠 절반도 풀지 않은 상태에서 새 과금이 필요하다.","한 이용자의 자전거 소망이 초희귀 비행기 당첨과 일일 200억 원 매출로 폭발한다.","랜덤박스 과금을 도입해 독점 수익을 드래곤 하트 성장으로 연결한다.","10만 원 상자에 2천 종 이상, 중복 10회 제한, 비행기 확률 0.00000001%를 설정하고 이동이 불편한 중년 이용자의 첫 구매 장면을 따라간다.","최악의 경우 원하는 물건에 약 20억 원이 들고 확률 과금의 도박성·불평등성이 관계·사회 비용으로 남는다.","자전거를 바라던 남성이 첫 상자에서 20~30억 원 가치의 비행기를 뽑아 축복과 과금 욕구를 동시에 보여 준다.","첫날 200억 원·둘째 날 오전 100억 원, 월 최소 6천억 원 매출 전망이 생기고 드래곤 하트는 아직 8서클 직전에서 버틴다.","사업·물질·능력·적대","메타버스 매출은 전자 계열사를 따라잡는 수준에서 초대형 현금 엔진으로 바뀌고 조민우는 최대 비트코인 보유자가 조도겸임을 알아차린다.","중국·러시아의 비트코인 금지와 대부 측 대량 매도가 통화 독점을 공격한다.","글로벌 출시 수익화와 랜덤박스 흥행","비트코인 가격 방어와 8서클 개방",S05-A03,high
211,"211화","위기는 곧 기회(1)",50653,50863,"중국·러시아가 비트코인 채굴·거래 금지를 발표해 가격이 하루 8% 떨어지고 메타버스 통화 신뢰가 흔들린다.","보유량 450만 개·35%라는 규모와 세운 제품 결제를 이용해 공격을 성장 기회로 바꾼다.","비트코인 가격을 방어하고 2억 이용자 시대의 광고 사업을 연다.","백두빌딩 창립멤버 회의에서 보유량 약 13조 원을 공개하고 세운 제품의 비트코인 결제를 허용한 뒤 VR 체험장·저가형 기기와 랜드마크·로그인·포탈 광고를 설계한다.","황연우·김건웅도 불안정 통화 추가 매입에 반대하고 가격 방어 실패 시 메타버스 경제와 13조 원 자산이 함께 무너진다.","세운 상품이라는 실물 사용처가 붙자 한 달 뒤 가격이 안정·상승하고 15초 로그인 광고는 1회 20원, 2억 이용자면 최소 40억 원이 된다.","비트코인은 금지 충격을 버티고 메타버스는 이용자 데이터 기반 광고 플랫폼까지 확장된다.","경제·사업·관계·인정","창립멤버가 숨겨진 35% 지분을 공유받아 위험을 함께 판단하고 조도겸은 방어자에서 통화의 실질 중앙은행 역할로 이동한다.","일일 300억 원대 수익과 8서클 개방을 직원·정치·국방 보상으로 전환해야 한다.","중국·러시아 비트코인 공격과 가격 안정","광고 매출·직원 보너스·8서클·정치 프로젝트",S05-A04,high
212,"212화","위기는 곧 기회(2)",50864,51080,"광고주 500곳 이상과 랜덤박스 일일 200억 원이 붙어 메타버스 일일 매출이 300억 원을 넘는다.","1조 원급 월매출이 8서클, 전 직원 현금 보상, 지역 마탑과 차기 대통령 설계로 환전된다.","성과를 직원에게 분배하고 새 8서클 능력을 전국·정치 프로젝트의 기반으로 배치한다.","1만6천 직원에게 각 2천만 원, 서광수 100억 원, 임원 30억 원, 부서·팀장 10억 원 추가와 전원 연봉 5% 인상을 지시하고 부산·광주·대전 최고층 비아파트 세 곳을 마탑 후보로 고른다.","현금 보상만 3천억 원을 넘고 9서클은 훨씬 먼 목표이며 마탑 세 곳에는 수조 원대 매입비와 지역 정치 조율이 든다.","드래곤 하트가 8서클을 열어 헬파이어·볼케이노·매스 텔레포트·그랜드 실드·컨트롤 웨더와 마탑 세 곳 권한을 준다.","직원 계좌에 예고 없는 거액 보상이 들어갈 준비가 되고 서광수의 기여가 100억 원으로 인정되며 윤경영에게 6년 잔류를 청하는 비밀 회동이 열린다.","능력·물질·관계·정치","직원은 과로하는 인력에서 성과를 공유하는 동료로, 조도겸은 8서클 마법사이자 전국 마탑·대선 구도를 설계하는 주체로 올라선다.","조기 탄핵과 선거를 실제 승리로 바꿀 한국형 미사일 방어의 증거가 필요하다.","메타버스 월매출·직원 보상·8서클 개방","윤경영 대선·미사일 방어·세 지역 마탑",S05-A04,high
213,"213화","위기는 곧 기회(3)",51081,51284,"조도겸은 1년 뒤 조기 탄핵·대선을 예고했지만 윤경영의 대중 명분과 안보 실적이 없다.","THAAD 논란을 8서클 공간 마법과 서울 도로 전체의 거대 마법진으로 뒤집는다.","북한 미사일을 폭발 없이 제거할 한국형 방어 체계를 한 달 안에 완성한다.","감시 마법을 위성에 넣어 동아시아·러시아를 보는 군사위성 30기를 쓰고 0호기 3초 궤도계산, 포탈·아공간 요격, 서울 도로 차선 80%를 마법진 선으로 활용하는 설계를 만든다.","1회 요격에 마정석 2만 개가 들고 도로가 끊긴 건물은 매입·철거해야 하며 도시 전체 차선 재도색은 정치·물류 부담이 크다.","0호기가 3일 만에 설계를 완성하고 황연우가 서울시를 동원해 골렘 도색차 50대 이상으로 야간 공사를 시작한다.","상업용 위성과 도시 도로가 미사일 방어망으로 재해석되고 윤경영은 기자회견에서 한국 독자 체계를 약속할 근거를 얻는다.","능력·국방·정치·협업","황연우는 정보 지원자에서 수도 전체 공사를 실행하는 정치 파트너로, 0호기는 비서에서 국가 방어 계산 핵심으로 격상된다.","언론의 조롱과 지지율 7% 하락을 실제 미사일 요격 한 번으로 반전시켜야 한다.","한국형 방어체계 설계와 서울 마법진 공사","북한 미사일 실전 요격과 윤경영 인정",S05-A04,high
