sequence,visible_label,arc_id,arc_phase,concrete_event,tension_1_10,reward_1_10,hook_1_10,information_weight,action_weight,relationship_weight,emotion_weight,material_or_status_weight,pacing_note
1,1화,ARC-001,도입,양혜원이 과소비·투잡·사망보험금을 압박하고 강산은 결혼의 불행을 자각한다.,5,2,7,medium,low,high,high,low,생활 모욕을 누적해 이혼 사이다의 필요량을 충분히 만든다.
2,2화,ARC-001,전환,허준수·차지혜가 숨은 아들 강산을 논의하는 동안 강산은 양혜원의 이혼 요구를 수락한다.,7,5,8,high,medium,high,high,medium,혈통 정보와 이혼 결단을 교차해 관계 파탄을 신분 역전의 예고로 바꾼다.
3,3화,ARC-001,보상,"재산이 아니라 양혜원의 빚만 확인되어 이혼이 끝나고, 법원 밖에서 강산은 5억대 시계와 희귀 오토바이를 받는다.",5,9,9,high,medium,high,high,high,이혼 확정 직후 고가 선물을 붙여 손실 없는 결별과 신분 역전을 한 장면에 결산한다.
4,4화,ARC-001,여진/다음 훅,강산은 양혜원에게 허준수의 아들임을 밝히고 재결합을 거절한 뒤 자유를 만끽한다.,4,9,7,high,medium,high,high,high,전처 후회 사이다를 닫되 금고와 승계 지시로 개인 이혼극을 재벌 서사로 넓힌다.
5,5화,ARC-002,도입,허준수는 차지혜에게 후계 판단용 일기를 맡기고 강산은 자신의 삶에 아버지의 숨은 개입이 있었음을 되짚는다.,5,4,8,high,low,high,high,medium,설명 비중이 높지만 곧 닥칠 승계와 비밀자산의 씨앗을 구체적으로 심는다.
6,6화,ARC-002,압박,양혜원이 뒤쫓는 가운데 트럭이 중앙선을 넘어 강산의 오토바이를 들이받고 각성 메시지가 발동한다.,10,1,10,medium,high,medium,high,medium,이혼 사이다 직후 고의 충돌을 배치해 안전감 자체를 뒤집는 절단점이다.
7,7화,ARC-002,전환,한 달 만에 깨어난 강산은 커리어 스캔과 미래 역사 일지를 얻고 양혜원의 적대적 속내를 확인한다.,8,5,8,high,medium,high,high,medium,생존 보상에 곧바로 시스템 강제와 전처 악의를 붙여 능력을 공짜 선물로 만들지 않는다.
8,8화,ARC-002,전진,강산은 전처를 병실에서 내보내고 허준수의 법적 친자 인정으로 공식 후계자가 된다.,7,5,8,high,medium,high,medium,high,법적 보상을 주되 가족 대화의 살의를 병치해 상속이 곧 위험임을 유지한다.
9,9화,ARC-002,약속,강산은 허준수와 가까워지고 운전자 자백을 듣지만 시스템으로부터 전 재산 달러 전환 명령을 받는다.,7,4,9,high,medium,high,high,high,부자 관계의 온기를 잠깐 준 뒤 목숨을 건 투자 지시로 경제 재기 축을 점화한다.
10,10화,ARC-002,보상,강산은 고통에 밀려 1억을 달러로 바꾸고 돌리 사건을 확인해 IMF 미래 정보의 신뢰성을 확보한다.,6,7,7,high,medium,medium,medium,high,능력 검증을 즉시 돈의 행동으로 환산해 경제 재기 약속을 실물화한다.
11,11화,ARC-003,도입,강산이 불참한 대양항공 전용기가 추락해 허준수 일가가 모두 사망하고 강산만 유일 상주가 된다.,10,2,10,high,medium,high,high,high,생존 보상을 가족 몰살로 상쇄해 상속 승리를 아직 사이다로 소비하지 못하게 한다.
12,12화,ARC-003,전진,차지혜는 장례식장에서 강산의 법적 아들·유일 상속자 자격을 공개해 허광호를 상주 자리에서 밀어낸다.,8,4,8,high,medium,high,high,high,장례의 정서 압박 속에서 법적 한 문장으로 첫 지위 사이다를 지급한다.
13,13화,ARC-003,압박,강산이 여섯 영정을 지키는 사이 허광호·박수철·고모부·허지훈이 각자 지분과 외부 자금을 계산한다.,8,2,9,high,medium,high,high,high,행동보다 위협 배치를 늘리되 여섯 영정 이미지로 정보량을 감정적 중심에 묶는다.
14,14화,ARC-003,전환,시스템 패널티에 몰린 강산은 빈소에서 허광호를 탐욕스러운 숙부로 공개 질타하고 상속권을 지키겠다고 결심한다.,9,8,8,medium,high,high,high,high,장례 압박을 선언형 사이다로 터뜨려 강산의 지배 목표를 분명히 바꾼다.
15,15화,ARC-003,전진,강산은 허광호를 계속 눌러 세우고 대통령에게 허준수의 경제적 역할을 이어 달라는 부탁을 받는다.,8,6,7,medium,medium,high,high,high,숙부 제압의 반복을 대통령 인정으로 격상해 보상 규모를 키운다.
16,16화,ARC-003,보상,상복 입고 빈소에 들어온 양혜원을 강산이 끌어내고 차지혜가 전처의 지위를 공개적으로 잘라 낸다.,7,8,7,medium,high,high,high,medium,무거운 장례·승계 서사 사이에 전처 응징 사이다를 짧고 직접적으로 지급한다.
17,17화,ARC-003,여진/다음 훅,조갑수가 빈소에서 강산을 위로하고 그의 대현전자 성과를 재평가하자 강산은 처음으로 허준수를 위해 눈물 흘린다.,6,6,7,medium,low,high,high,medium,외부 총수의 계산과 진심을 겹쳐 감정 여진과 다음 기업 동맹을 함께 준비한다.
18,18화,ARC-003,여진/다음 훅,장례를 끝낸 강산은 태양은행 금고로 향하고 허광호는 차지혜 좌천과 사장단 회의를 동시에 추진한다.,8,3,10,high,medium,high,high,high,장례 루프를 닫자마자 금고와 쿠데타를 병렬 배치해 쉬지 않고 다음 전쟁으로 넘긴다.
19,19화,ARC-004,도입,"금고의 편지가 강산을 후계자로 지명하고, 강산은 좌천된 차지혜를 개인 비서실장으로 즉시 영입한다.",8,8,9,high,high,high,high,high,유언의 감정 보상을 고용 행동으로 바로 바꿔 승계전의 엔진을 건다.
