sequence,visible_label,arc_id,arc_phase,tension_1_10,reward_1_10,hook_1_10,information_weight,action_weight,relationship_weight,emotion_weight,material_or_status_weight,ribbon_rationale,source_lines
1,1화,DCA-N01,N01·걸프전 100억 달러와 SAVE 월가 자립,9,6,8,0.20,0.25,0.20,0.20,0.15,고시원 죽음·17세 회귀·시계 폭로·김태중의 100만 달러가 연달아 벌어져 행동과 상실·회복 감정에 오래 머문다.,L1~L255
5,5화,DCA-N01,N01·걸프전 100억 달러와 SAVE 월가 자립,8,7,9,0.18,0.31,0.28,0.11,0.12,왕실 보석 절도를 막아 살만의 약속을 얻고 2억 달러 원유 포지션을 잡아 행동과 왕실 관계가 앞선다.,L930~L1168
6,6화,DCA-N01,N01·걸프전 100억 달러와 SAVE 월가 자립,9,9,6,0.13,0.27,0.19,0.12,0.29,이라크 침공 뒤 20억 달러가 확정되고 네 직원이 SAVE로 이동해 자산과 조직 지위가 큰 봉우리를 만든다.,L1169~L1387
7,7화,DCA-N01,N01·걸프전 100억 달러와 SAVE 월가 자립,7,6,9,0.22,0.26,0.25,0.08,0.19,35억 원 보너스와 월가 21명 채용 뒤 유가 공매도를 집행해 인재 조직과 다음 포지션에 체류한다.,L1388~L1608
8,8화,DCA-N01,N01·걸프전 100억 달러와 SAVE 월가 자립,7,9,7,0.17,0.26,0.24,0.08,0.25,유가 청산 100억 달러와 D.E 인재 13명 이탈이 겹쳐 현금 보상·영입 행동·제프리 대면이 균형을 이룬다.,L1609~L1815
9,9화,DCA-N01,N01·걸프전 100억 달러와 SAVE 월가 자립,6,6,9,0.24,0.15,0.32,0.17,0.12,제프리는 냅킨에 그린 재투자 선순환을 보고 합류하지만 혹독한 운영 방식과 성과보수 조건에서 곧바로 한정훈과 부딪힌다. 첫 설득의 들뜸이 새 조직 내부의 갈등으로 식어 인재 영입의 비용을 남긴다.,L1816~L2017
10,10화,DCA-N01,N01·걸프전 100억 달러와 SAVE 월가 자립,7,7,6,0.27,0.22,0.30,0.08,0.13,"리라화 다음 표적을 맞힌 김민재가 조지에게 모든 통화전쟁 동맹과 파운드 공격 60억 달러 공동투자를 받아 내고, 남은 40억 달러를 독자 운용할 자율성을 얻는다. 조지·짐의 대학 추천서는 써 주겠다는 약속일 뿐 원본 수령 전이므로 관계 보상과 문서 지급을 분리한다.",L2018~L2167
11,11화,DCA-N01B,N01B·하버드·공직자 펀드와 태우 귀환 준비,7,7,6,0.21,0.20,0.31,0.20,0.08,하버드 합격으로 김태중을 기쁘게 한 뒤 대선 출마를 막고 재단 허락을 받아 조손 관계와 감정이 길다.,L2168~L2352
14,14화,DCA-N01B,N01B·하버드·공직자 펀드와 태우 귀환 준비,8,8,9,0.29,0.25,0.23,0.08,0.15,클린턴·푸틴 지원과 30억 달러 지급 뒤 조지의 프랑화 배신 계획을 읽어 정보와 다음 대응 훅이 강하다.,L2677~L2851
21,21화,DCA-N02,N02·창원 장부와 명동 4천억 절단,9,7,10,0.16,0.28,0.27,0.20,0.09,태우를 버릴 수 있다는 배수진으로 김태중과 충돌해 감사본부장 자리를 얻고 고베 지진 훅으로 급전한다.,L4010~L4174
24,24화,DCA-N02,N02·창원 장부와 명동 4천억 절단,6,6,7,0.22,0.25,0.35,0.10,0.08,정수철이 고립시키려 한 윤일섭을 오히려 승진시키고 창원 직속 TF를 세운다. 한 사람을 살리는 인사 결정이 기존 감사선과 다른 독립 수사조직으로 굳어진다.,L4562~L4738
29,29화,DCA-N02,N02·창원 장부와 명동 4천억 절단,7,6,8,0.24,0.20,0.36,0.12,0.08,이준수의 변명과 명동 오만을 노출해 사장단 마음을 돌리고 CT 법인장을 들여 관계 전환에 오래 머문다.,L5470~L5654
31,31화,DCA-N02,N02·창원 장부와 명동 4천억 절단,6,5,7,0.20,0.18,0.31,0.18,0.13,이선일이 이준수를 거두고 47명 징계가 확정된 뒤 사장단이 연구소 유배를 모의해 관계 후폭풍과 다음 훅이 높다.,L5819~L6005
32,32화,DCA-N03,N03·이노폰과 박진훈 축출,5,7,8,0.28,0.18,0.31,0.08,0.15,연구소 독립성과 20명 채용권을 확보한 뒤 후쿠다를 직접 만난다. 조직의 빈칸을 채울 첫 인재 앞에서 조건표가 사람의 선택 문제로 바뀐다.,L6006~L6176
34,34화,DCA-N03,N03·이노폰과 박진훈 축출,6,7,7,0.24,0.20,0.39,0.08,0.09,박준일·장학생·조나단을 50명 특허팀에 묶고 폰 디자인 경쟁을 시작한다. 연구소의 빈자리가 이름 있는 사람과 팀으로 채워지며 기술개발이 실제 조직의 속도를 얻는다.,L6343~L6525
36,36화,DCA-N03,N03·이노폰과 박진훈 축출,6,7,9,0.27,0.17,0.35,0.08,0.13,아마존 지분을 점검하고 구디너프 성과를 받은 뒤 잡스 복귀를 제안해 인재 관계와 기술 정보에 머문다.,L6685~L6859
40,40화,DCA-N03,N03·이노폰과 박진훈 축출,8,7,8,0.18,0.26,0.34,0.13,0.09,기술과 규모를 두고 김태중과 부딪친 끝에 박진훈에게 팀·공장·자금 전권을 받아낸다. 말싸움의 승리가 독립 개발조건으로 바뀌지만 박진훈과의 권력 충돌은 더 선명해진다.,L7391~L7563
41,41화,DCA-N03,N03·이노폰과 박진훈 축출,6,5,7,0.30,0.21,0.31,0.07,0.11,에이스 30명·이석준을 직속으로 묶고 이선일의 태우전자 주식 수집을 확인해 조직 관계와 지분 정보가 앞선다.,L7564~L7753
43,43화,DCA-N03,N03·이노폰과 박진훈 축출,5,7,7,0.18,0.20,0.32,0.07,0.23,황영철에게 개발비 10억 원과 지분대금 98억 원을 지급해 49퍼센트를 얻으므로 계약 관계와 자산 보상이 크다.,L7934~L8120
45,45화,DCA-N03,N03·이노폰과 박진훈 축출,9,7,9,0.18,0.39,0.18,0.17,0.08,톰슨 특허 매입 직후 태우건설·병원을 밀어 삼풍 붕괴 구조에 들어가 긴박한 행동과 생존 감정이 솟는다.,L8295~L8488
50,50화,DCA-N03,N03·이노폰과 박진훈 축출,8,7,9,0.25,0.34,0.20,0.10,0.11,"강 대위의 보고로 우성일이 이노폰 자료를 기자에게 넘기는 영상과 음성 녹음이 이미 확보된다. 1면 허위기사에 SAVE 반박자료와 한국·미국·독일 동시 검증을 맞붙이는 리듬이라, 증거 지급 뒤 공개 시연의 성패가 훅으로 남는다.",L9210~L9397
