sequence,visible_label,start_line,end_line,status,fields_changed,evidence_lines,reason,before_after
251,251,44722,44903,PASS,"",prev L44712~L44721; hard L44722~L44903; next L44904~L44913,"현재 action·turn_or_reveal·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고, 계획·계약 전 상태나 인접 화의 구체 결과를 선취하지 않는다.",""
252,252,44904,45072,PASS,"",prev L44894~L44903; hard L44904~L45072; next L45073~L45082,"현재 action·turn_or_reveal·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고, 계획·계약 전 상태나 인접 화의 구체 결과를 선취하지 않는다.",""
253,253,45073,45227,EDIT,action;turn_or_reveal;ending_hook;opened_loops,prev L45063~L45072; hard L45073~L45227; next L45228~L45237,"현재 action·turn_or_reveal·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고, 계획·계약 전 상태나 인접 화의 구체 결과를 선취하지 않는다. [MANAGER_FOLLOWUP] 시작 SHA 7053d49dc7025e48b56daa2b35458965918ffc570cd66be0f87f4239992581f8와 현재 화 hard line을 대조해 11개 narrative field 중 4개를 교정했다.",[MANAGER_FOLLOWUP] action=[전기차를 걱정하는 김태중 회장에게 장기 선점 논리를 설명해 믿음을 얻고 한 팀장·데이비드에게 연체율·파산율·평가등급 괴리를 보고받아 라구람 라잔 접촉을 지시한다.] => [전기차를 걱정하는 김태중에게 장기 선점 논리를 설명해 믿음을 얻고 한 팀장·데이비드에게 연체율·파산율·평가등급 괴리를 보고받아 부동산 버블을 경고한 라잔 접촉을 지시한다.] || turn_or_reveal=[지역 연방준비은행과 IMF 출신 라잔도 부동산 버블을 경고했다는 사실이 확인되고 라잔이 현재 미국에 있음이 드러난다.] => [지역 연방준비은행과 IMF 출신 라잔도 2005년부터 부동산 버블을 경고했고 현재 미국에 있음이 확인된다.] || ending_hook=[미국 부동산 붕괴를 2005년부터 경고한 라잔을 영입하러 간다.] => [2005년부터 미국 부동산 붕괴를 경고한 라잔을 만나 SAVE의 다음 책임자로 영입할 수 있는가?] || opened_loops=[라잔 영입과 월가 붕괴 대응 조직 구축 루프] => [라잔 첫 면담·영입; 월가 붕괴 대응 조직 구축] || [MANAGER_FOLLOWUP] action=[전기차를 걱정하는 김태중 회장에게 장기 선점 논리를 설명해 믿음을 얻고 한 팀장·데이비드에게 연체율·파산율·평가등급 괴리를 보고받아 라구람 라잔 접촉을 지시한다.] => [전기차를 걱정하는 김태중에게 장기 선점 논리를 설명해 믿음을 얻고 한 팀장·데이비드에게 연체율·파산율·평가등급 괴리를 보고받아 부동산 버블을 경고한 라잔 접촉을 지시한다.] || turn_or_reveal=[지역 연방준비은행과 IMF 출신 라잔도 부동산 버블을 경고했다는 사실이 확인되고 라잔이 현재 미국에 있음이 드러난다.] => [지역 연방준비은행과 IMF 출신 라잔도 2005년부터 부동산 버블을 경고했고 현재 미국에 있음이 확인된다.] || ending_hook=[미국 부동산 붕괴를 2005년부터 경고한 라잔을 영입하러 간다.] => [2005년부터 미국 부동산 붕괴를 경고한 라잔을 만나 SAVE의 다음 책임자로 영입할 수 있는가?] || opened_loops=[라잔 영입과 월가 붕괴 대응 조직 구축 루프] => [라잔 첫 면담·영입; 월가 붕괴 대응 조직 구축]
254,254,45228,45387,PASS,"",prev L45218~L45227; hard L45228~L45387; next L45388~L45397,"현재 action·turn_or_reveal·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고, 계획·계약 전 상태나 인접 화의 구체 결과를 선취하지 않는다.",""
255,255,45388,45569,PASS,"",prev L45378~L45387; hard L45388~L45569; next L45570~L45579,"현재 action·turn_or_reveal·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고, 계획·계약 전 상태나 인접 화의 구체 결과를 선취하지 않는다.",""
256,256,45570,45726,PASS,"",prev L45560~L45569; hard L45570~L45726; next L45727~L45736,"현재 action·turn_or_reveal·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고, 계획·계약 전 상태나 인접 화의 구체 결과를 선취하지 않는다.",""
257,257,45727,45913,EDIT,state_change;closed_loops;opened_loops,prev L45717~L45726; hard L45727~L45913; next L45914~L45923,L45727~L45913은 신화은행의 주간 출시 약속과 초안 검토까지다. 실제 상품 출시·계약 전이므로 은행이 이미 환율 도박꾼이 됐다는 완료 상태와 첫 상품 승인 닫힘을 되돌렸다.,"state_change=[은행이 안전한 딜러에서 환율에 베팅한 도박꾼으로 내려오고 한 팀장은 국내 금융권 복귀 명분을 쌓는다.] => [정태섭이 주간 상품 출시와 초안 검토를 약속해 신화은행을 환율 베팅의 문턱에 세우고, 한 팀장은 국내 금융권 복귀 명분을 쌓는다. 실제 KIKO 상품 출시·계약은 아직 전이다.] || closed_loops=[KIKO 가입자 설득과 첫 은행 상품 승인 루프] => [KIKO 가입자 설득; 신화은행의 주간 출시 약속과 상품 초안 검토] || opened_loops=[전 은행권 보험 판돈 확대와 환율 급등 결산 루프] => [신화은행 KIKO 실제 출시·계약; 전 은행권 보험 판돈 확대; 환율 급등 결산]"
258,258,45914,46075,PASS,"",prev L45904~L45913; hard L45914~L46075; next L46076~L46085,"현재 action·turn_or_reveal·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고, 계획·계약 전 상태나 인접 화의 구체 결과를 선취하지 않는다.",""
259,259,46076,46253,EDIT,action;paid_reward;closed_loops,prev L46066~L46075; hard L46076~L46253; next L46254~L46263,"현재 action·turn_or_reveal·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고, 계획·계약 전 상태나 인접 화의 구체 결과를 선취하지 않는다. [MANAGER_FOLLOWUP] 시작 SHA 7053d49dc7025e48b56daa2b35458965918ffc570cd66be0f87f4239992581f8와 현재 화 hard line을 대조해 11개 narrative field 중 3개를 교정했다.",[MANAGER_FOLLOWUP] action=[천민정에게 사투리·다국어 통역·방범을 지원하는 픽시2와 바둑 AI를 보고받고 스타크 AI를 용산 프로게이머 이벤트전에 투입한다.] => [천민정에게 차세대 스마트 셋톱박스와 바둑 AI 진행을 보고받고 스타크 AI를 용산 프로게이머 이벤트전에 투입한다.] || paid_reward=[천민정의 연구가 연구실을 벗어나 상용 픽시2와 대중 앞의 인간-AI 대결로 진입한다.] => [천민정의 연구가 연구실을 벗어나 차세대 스마트 셋톱박스 준비와 대중 앞 인간-AI 대결로 진입한다.] || closed_loops=[픽시2·게임 AI 개발 루프] => [차세대 스마트 셋톱박스·게임 AI 개발점검] || [MANAGER_FOLLOWUP] action=[천민정에게 사투리·다국어 통역·방범을 지원하는 픽시2와 바둑 AI를 보고받고 스타크 AI를 용산 프로게이머 이벤트전에 투입한다.] => [천민정에게 차세대 스마트 셋톱박스와 바둑 AI 진행을 보고받고 스타크 AI를 용산 프로게이머 이벤트전에 투입한다.] || paid_reward=[천민정의 연구가 연구실을 벗어나 상용 픽시2와 대중 앞의 인간-AI 대결로 진입한다.] => [천민정의 연구가 연구실을 벗어나 차세대 스마트 셋톱박스 준비와 대중 앞 인간-AI 대결로 진입한다.] || closed_loops=[픽시2·게임 AI 개발 루프] => [차세대 스마트 셋톱박스·게임 AI 개발점검]
260,260,46254,46423,PASS,"",prev L46244~L46253; hard L46254~L46423; next L46424~L46433,"현재 action·turn_or_reveal·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고, 계획·계약 전 상태나 인접 화의 구체 결과를 선취하지 않는다.",""
