sequence,visible_label,title,start_line,end_line,entry_state,reader_promise,protagonist_goal,action,resistance_or_cost,turn_or_reveal,paid_reward,state_change_axis,state_change,ending_hook,closed_loops,opened_loops,arc_id,confidence
280,280,도움을 가장한 협박 (5),49611,49802,리먼 파산 직후 금융허브 사업은 정부 쇼라는 불신을 깨뜨릴 공개 증거가 필요하다.,조지 소로스·다이먼·워렌 버핏을 태우 본사 무대에 세워 국민 여론과 건설 허가를 단번에 뒤집는다.,한국 이전 약정을 실제 세계 금융 거물의 말로 증명해 한전 부지 개발을 승인받는다.,금융허브 비전을 발표한 뒤 퀀텀·CITI·버크셔 대표를 차례로 공개하고 버핏이 한국 지점 개설과 태우증권·자동차·IT·철강·부품 투자를 직접 선언하게 한다.,추상 선언에는 기자 반응이 미지근하고 정부는 행사 주도권을 탐내며 청와대와의 소통 부족을 탓한다.,빅데이터상 찬성 여론이 급등하고 국민경제당이 청와대보다 먼저 당론 지지를 선언하며 대통령실장이 한전 부지 허가를 확약한다.,김민재의 계약은 국민이 믿는 공개 약속으로 바뀌고 금융허브는 초당 지지·정부 인허가를 모두 얻는다.,지위·정치·사업,태우는 정부의 홍보 도구가 아니라 세계 금융인을 실제로 움직이는 국가 프로젝트 설계자로 대중 앞에 인정받는다.,대통령실장은 한전 부지 허가를 약속하면서도 태우가 만든 무대의 공을 청와대와 나누라고 요구한다.,국민 신뢰 확보와 허가 명분 루프,버핏 자동차 투자·금융허브 착공 루프,DCA-N26,0.95
283,283,가랑이가 찢어지는 뱁새 (2),50136,50295,원달러 환율이 마침내 1400원을 넘어 국내 은행의 KIKO 보험금 15조 원이 지급 조건에 들어간다.,은행과 태우의 갑을을 뒤집고 코코아뱅크 규제를 즉시 철회시키는 구체 권력 보상을 준다.,정부 개입 전에 9조 원 태우 지분의 대가와 인터넷은행의 안전판을 확보한다.,김민재가 뒤에서 압박하고 한정훈이 20% 보상안을 거절하며 은행의 협력 요구와 코코아뱅크 규제 시도를 모순으로 몰아세운다.,금융사들은 세계위기를 명분으로 80% 할인과 태우 지분 포기를 요구하고 정부가 은행 붕괴를 우려해 압박할 시간도 다가온다.,정태섭이 코코아뱅크와 태우 관계를 몰랐다고 둘러대며 규제 회동을 즉시 철회하고 본협상은 한정훈에게 넘어간다.,코코아뱅크가 견제 없이 5대 은행급으로 성장할 보호막을 얻고 태우는 15조 청구권을 협상 자산으로 유지한다.,돈·지위·사업,한정훈은 월가의 숨은 실무자에서 국내 은행 대표들을 소집하는 증권사 사장으로 완전히 역전된다.,"IIT 캠퍼스를 둘러보던 김민재에게 청와대가 연락하고, 태우의 도움이 필요한 호출인지 확인할 차례가 된다.",환율 조건 충족과 코코아뱅크 규제 루프,청와대 긴급 호출·보험금 대체자산 협상,DCA-N26,0.95
286,286,가랑이가 찢어지는 뱁새 (5),50615,50766,한미 500억 달러 통화스와프가 체결되어 환율이 하루 10% 이상 내리고 코스피가 반등한다.,국가위기 방어의 성과를 미래산업 특별법·탄소감축 인센티브·국민경제당 성장으로 환전한다.,AI·전기차·로봇 규제를 풀고 전기차 친화 환경정책과 장기 정치 방파제를 만든다.,최재석과 비밀 회동해 여야 거래용 탄소감축 법안을 설계하고 국민경제당 청년정치인 SNS 육성을 약속하며 천민정의 AOS 게임 ‘리그 오브 챔피언스’ 한·미 베타를 승인한다.,정권 친화 이미지가 생기면 위험하고 야당은 미래산업법을 막을 수 있으며 최재석은 경기지사 공약을 지키기 전 대권 도전을 꺼린다.,국민경제당이 미래산업법을 주도하고 환경법으로 야당 체면을 세우는 초당 통과 경로가 생기며 태우IT에 장기 캐시카우 게임이 완성된다.,태우의 협상은 500억 달러 국가 안전판·미래산업 법제·차세대 정치인 육성·신작 게임으로 다중 결실을 낸다.,세계·정치·기술,회귀 지식으로 위기를 독식하는 단계에서 대한민국 전체의 외환·법·인재 기반을 강화하는 총수 역할로 폭이 넓어진다.,천민정이 리그 오브 챔피언스의 한국어 보완과 한·미 베타테스트를 곧바로 시작한다.,통화스와프·규제 완화 거래 루프,미국 자동차사 인수와 미래산업 상용화 루프,DCA-N26,0.95
290,290,기브 앤 테이크 (4),51251,51425,현진해운은 조 회장 사망 뒤 추영희와 아주버니 조영호의 경영권 분쟁·세계 해운 불황으로 현금이 급하다.,지금은 위험한 선박을 5~10년 뒤 호황기의 태우 수출망으로 바꾸는 장기 자산 선점을 보여 준다.,현진해운이 버티는 동안 선박 가치 10%만 빌려주고 파산 시 선박·부동산을 모두 얻는다.,추영희와 20년 무이자·부동산 100%·선박 10% 담보자금 조건에 합의하고 한정훈에게 2~3년 뒤 조선소 경매 선박도 45% 이하에서 사도록 준비시킨다.,추영희는 대마불사를 믿고 한정훈은 10년 불황·해운 적자를 우려하며 태우도 당장 이자 수익이 없다.,현진해운이 불황을 대신 견디고 파산할 때 태우가 대형선단을 흡수해 태우상사 자원과 그룹 수출의 다음 호황을 독식하는 구조가 만들어진다.,태우는 금융·자동차뿐 아니라 장기 물류 주권까지 선점하고 김태중이 귀국해 미국 출장 동안 그룹을 맡겠다고 한다.,자원·관계·사업,김민재의 위기 수확은 즉시 돈뿐 아니라 5~10년 뒤 공급망 병목을 푸는 선박·해운 기반으로 장기화된다.,김태중의 든든한 위임 아래 오바마 취임식과 미국 자동차 협상을 위해 장기 출국한다.,현진해운 경영권 방어 자금 루프,선박 귀속·해운 호황과 미국 자동차 인수 루프,DCA-N27,0.95
296,296,연합의 힘 (5),52303,52474,데이비드는 타미플루 공동생산권을 얻었지만 바이러스 권위자 김정우는 한국행을 망설인다.,AI와 바이오를 결합할 사람·권리·생산기반을 한꺼번에 묶어 미래 팬데믹까지 대비한다.,김정우를 센트리언 연구진으로 영입해 치료제 국산화 속도를 높인다.,김정우를 한식당에서 직접 만나 전폭 지원과 AI로 10년 연구를 5년으로 줄이는 비전을 제시하고 센트리언 서정준과 연결한다.,과학자는 기업의 구호보다 연구 자율성과 실제 인프라를 중시하고 당시 AI 바이오 융합은 낯선 발상이다.,독감 변이를 데이터로 먼저 감지했다는 실증과 한국 바이오 발전 약속에 김정우가 합류한다.,타미플루 권리·세계급 연구자·제약 생산사가 하나의 감염병 대응 축으로 결합된다.,인재·기술·생존,미국 자동차 연합의 힘을 사람·AI·제약사가 연합하는 바이오 모델로 반복한다.,태미플루 생산권을 받은 서정준과 연구자 김정우가 처음 마주해 한국 감염병 대응팀의 실행 속도가 시험대에 오른다.,신종 독감 대응 기반,AI 바이오 상용화·차기 팬데믹,DCA-N27,0.95
299,299화,로켓 (3),52804,52960,애플카 시제품과 급속충전 기술이 양산 직전 단계다.,애플 팬덤·정부 충전망·문화콘텐츠를 묶어 낯선 전기차와 OTT를 주류로 만든다.,충전 인프라 지원을 확보하고 백선 시상식의 OTT 배척을 깨뜨린다.,태우·TDK 급속충전기와 보조금 계획을 점검하고 정치권 청문회 요구를 정면 수용한 뒤 봉 감독의 아카데미 수상을 지켜본다.,양산은 연말 이후이고 국책사업 독점 공격과 국내 영화계의 OTT 거부가 남아 있다.,봉 감독의 외국어영화상 수상이 회귀 전보다 10년 앞당겨져 OTT의 작품성을 증명한다.,태우의 전기차·OTT 모두 소비자 인식 전환을 받을 명분을 얻는다.,기술·문화·지위,산업 보고와 시상식 생중계를 붙여 제품 혁신과 문화 혁신을 같은 패턴으로 읽게 한다.,김민재가 봉호준의 수상 직후 맥주를 내려놓고 조간신문과 아침 뉴스의 반응을 확인하려 한다.,봉 감독 수상,전기차 보조금·OTT 제도권 편입,DCA-N27,0.95
300,300,로켓 (4),52961,53125,아카데미 수상으로 태우엔터 주가와 그룹 이미지가 급등한다.,문화 명성을 실물 시설과 글로벌 게임대회라는 지속 플랫폼으로 전환한다.,OTT 배척을 끝내고 리그 오브 챔피언스 e스포츠 판을 만든다.,아이맥스 시설 600억 원 지원과 신사옥 홍보를 결정하고 천민정에게 이용자 스킨 판매로 상금을 조성하는 세계대회를 제안한다.,문화 투자는 직접 수익이 약하고 게임 매출만으로 100억 원 상금을 내기 어렵다.,태우 지원과 크라우드형 스킨 판매를 합쳐 우승상금 약 200억 원 대회를 설계한다.,태우엔터의 수상 효과가 극장·OTT·게임을 아우르는 문화 영향력으로 확장된다.,문화·사업,600억 시설과 200억 상금처럼 보상을 숫자로 보여 주되 천민정의 열정으로 정서 온도를 높인다.,천민정은 대회 전용 스킨 판매와 태우 지원을 합친 세계대회를 라스베이거스에서 열겠다고 들뜬다.,OTT 배척 약화,글로벌 e스포츠 대회·대회 전용 스킨 판매,DCA-N27,0.95
301,301,로켓 (5),53126,53287,천민정의 바둑 AI 승률은 96%이고 여러 프로젝트가 공개 직전이다.,완벽주의를 경계하며 AI·로켓·신종플루 세 미래산업의 타이밍을 동시에 잡는다.,AI 공개와 스페이스X 성공을 앞당기고 타미플루를 최대 생산한다.,10시간 회의로 AI 공개와 e스포츠를 밀어붙이고 머스크의 로켓 발사 성공을 축하한 뒤 센트리언에 주야 2교대 생산을 지시한다.,신종플루는 아직 팬데믹 선언 전이고 기존 약품 계약을 깨면 위약금이 든다.,스페이스X가 실패론을 깨고 발사에 성공하며 타미플루 수요가 세계적으로 급증한다.,태우의 미래 포트폴리오가 지상 이동·AI·우주·바이오로 분기한다.,기술·사업·생존,세 개의 성공 신호를 빠르게 연결해 위기 수확 다음 단계의 규모를 키운다.,WHO 팬데믹 선언이 무료 광고가 될 전망이다.,스페이스X 발사 실패론,팬데믹·타미플루 수확,DCA-N27,0.95
305,305,발악하다 (4),53794,53959,팬데믹 선언 후 각국이 타미플루를 구하지만 센트리언 생산능력은 한계다.,미리 확보한 권리의 가치를 공장 인수로 확장해 짧은 수요 창을 독식한다.,GMP 공장을 가진 사천리제약을 최대한 빨리 인수한다.,사천리그룹의 LNG 발전소 욕심을 미끼로 두 회장 중 이장덕에게 제약 매각 의사를 받아낸다.,생산 공장은 즉시 늘릴 수 없고 인수 목적이 드러나면 가격이 폭등한다.,500억 원 현금 매각과 발전사업 참여 가능성에 이 회장이 유 회장 설득까지 맡는다.,태우는 치료제 권리에서 생산설비까지 수직계열화할 길을 연다.,돈·사업·생존,세계 공포를 공장 케파라는 구체적 병목으로 좁혀 인수전 긴장을 만든다.,공동회장 유 회장이 LNG 조건을 더 세게 협상한다.,타미플루 초기 생산,사천리제약 인수·LNG 동맹,DCA-N28,0.95
307,307,재조합 (1),54118,54288,신임 미국 대사 캐서린이 타미플루 대량 공급을 요청한다.,치료제 폭리를 전기차 보조금·충전망이라는 장기 시장으로 재조합한다.,미국의 전기차 구매 장벽과 공공시설 설치 규제를 낮춘다.,현금 대신 1·2차 구매보조금과 주요 도시 충전소 허가·협조를 요구하고 센트리언 보안 현장을 점검한다.,미국 세금으로 외국 기업 차량을 돕는 반발과 제약 자료 보안 구멍이 있다.,미국이 조건을 수용하고 천민정이 보안 점검 중 AI 제약 접목 가능성을 먼저 발견한다.,팬데믹 수익이 전기차 정책 자산으로 바뀌고 AI 바이오가 자생 프로젝트가 된다.,정치·기술·사업,국가 협상과 공장 현장을 한 회차에 묶어 가치 재조합의 연쇄를 보인다.,천민정이 변이 바이러스 치료제 개발에 뛰어든다.,미국 타미플루 공급,AI 변이 치료제·미국 충전망,DCA-N28,0.95
