sequence,visible_label,title,start_line,end_line,entry_state,reader_promise,protagonist_goal,action,resistance_or_cost,turn_or_reveal,paid_reward,state_change_axis,state_change,ending_hook,closed_loops,opened_loops,arc_candidate,confidence
"109","ⓚ남자의 길 109화","27. 비탈리 밀로노프","12814","12949","피케의 수술은 끝났고 대호가드는 왕국원과 광성회가 숨은 시화호 농장을 찾았다.","강혁이 피를 흘린 대가를 왕국원에게 직접 치르게 한다.","왕국원을 꺾고 부하를 건드린 책임을 묻는다.","농장 경비를 돌파해 왕국원을 주먹으로 압도하고 목을 졸라 죽이려 든다.","왕국원을 죽이면 중국 삼합회와 전면전이 날 수 있고 차문호와 이경식이 몸으로 막는다.","강혁은 살해 직전 멈추지만 왕국원이 다시는 대들지 못할 공포를 새긴다.","피케가 살아났고 왕국원은 강혁 앞에 무너진다.","대결·권력","피해자였던 강혁이 인천 암흑가의 우위를 몸으로 확정한다.","왕국원을 살려둔 뒤 삼합회와 후속 정산을 해야 한다.","피케 생존과 왕국원 소재 추적","광성회 처리와 경찰·삼합회 반응","M01 시화호 농장에서 왕국원을 꺾고 광성회 전쟁을 닫다","high"
"110","ⓚ남자의 길 110화","","12950","13063","왕국원은 강혁에게 제압됐지만 광성회 사건의 시체와 경찰 수사가 남아 있다.","폭력의 승리를 조직·공권력의 결산으로 굳힌다.","광성회 뿌리를 거두고 사건을 덮어 국내 기반을 지킨다.","왕국원의 어깨를 부수고 광성회 한국 거점을 넘겨받은 뒤 서울 한정식집에서 고지현 경찰청장에게 1억원 무기명 채권 두 장을 건넨다.","중국인 다수 사망 사건은 언론과 외교 문제로 번질 수 있다.","경찰은 사건을 중국 선원들의 술자리 난투로 처리하기로 한다.","광성회 전쟁이 공적으로 봉합되고 인천·차이나타운 흡수 길이 열린다.","권력·결산","강혁의 힘이 주먹에서 경찰과 합법 사업망까지 넓어진다.","삼합회 수장 송사천이 강혁의 처리 방식을 검토한다.","왕국원 응징과 광성회 사건 은폐","송사천의 판단과 흡수한 구역의 운영","M01 시화호 농장에서 왕국원을 꺾고 광성회 전쟁을 닫다","high"
"111","ⓚ남자의 길 111화","","13064","13179","송사천은 왕국원 복수를 포기했고 대호가드는 인천과 차이나타운을 합법 경비망으로 흡수했다.","끝난 국내 전쟁이 더 큰 국제 임무로 전환된다.","불법 이권을 버리고 가족과 조직을 안정시킨 뒤 새 제안을 판별한다.","사채·마약은 거절하고 경비 사업만 넓힌 뒤 아버지와 늦은 밤 소주를 마시고 발크의 호출을 받는다.","아버지에게 숨긴 삶과 CIA가 제시한 러시아 핵탄두 임무가 동시에 강혁을 압박한다.","발크는 비탈리 밀로노프가 훔친 소련 핵탄두를 이란에 팔기 전에 없애 달라고 한다.","광성회 후속 보복 없이 국내 기반과 부자 관계의 온기를 얻는다.","진로·가족","국내 조직 보스의 국면이 블라디보스토크 핵무기 추적자로 바뀐다.","핵탄두와 레드 마피아 수장 밀로노프를 상대해야 한다.","광성회·삼합회 보복 위험과 인천 운영 원칙","CIA 핵탄두 회수 의뢰","M02 핵탄두를 좇아 일심회와 야쿠보프를 포섭하다","high"
"112","ⓚ남자의 길 112화","","13180","13313","CIA는 밀로노프 제거와 핵탄두 회수를 요구하지만 위험에 비해 보상이 불분명하다.","강혁이 목숨값을 흥정하고 블라디보스토크 판을 읽는다.","임무의 대가를 확보한 뒤 현지 세력 지도를 만든다.","80억달러 중동 무기 거래 수수료에서 최소 1억달러를 요구하고 현대호텔에서 라이언의 자료를 검토한다.","핵탄두 위치는 모르고 밀로노프의 레드 마피아는 현지 경찰과 군까지 얽혀 있다.","강혁은 북한 탈북자 조직 일심회가 쓸 수 있는 내부 전력임을 포착한다.","CIA가 고액 보상 조건을 받아들이며 작전의 경제적 명분이 선다.","계약·정보","모호한 청부가 보상과 현지 포섭 대상이 있는 작전으로 구체화된다.","일심회를 실제로 장악할 수 있는지 시험해야 한다.","핵탄두 임무 수락 조건","일심회 포섭과 밀로노프 정보 확보","M02 핵탄두를 좇아 일심회와 야쿠보프를 포섭하다","high"
"113","ⓚ남자의 길 113화","","13314","13441","강혁은 일심회를 병력 후보로 골랐지만 박종석 일행은 낯선 외부인을 경계한다.","말보다 주먹과 처우로 탈북자들의 목소리를 얻는다.","일심회의 실력을 확인하고 자신을 따를 이유를 만든다.","탈북자 술집을 찾아 박종석과 조직원들을 혼자 제압하되 치명상은 피하고 미래를 제안한다.","굶주림과 차별에 익숙한 일심회는 약속을 쉽게 믿지 않는다.","강혁은 죽이지 않는 압도적 실력과 동료로 대하겠다는 태도로 박종석의 경계를 흔든다.","일심회가 협상 테이블에 앉고 강혁의 지휘 가능성이 열린다.","대결·포섭","적대하던 탈북자 무리가 잠재적 동료로 바뀐다.","주거·신분·가족까지 포함한 구체적 보상이 필요하다.","일심회 전투력 시험","탈북자 80명의 고용 조건","M02 핵탄두를 좇아 일심회와 야쿠보프를 포섭하다","high"
"114","ⓚ남자의 길 114화","28. 습격","13442","13560","박종석과 일심회는 강혁의 제안을 들을 준비는 됐지만 러시아에서의 신분과 가족 생계가 걸림돌이다.","강혁이 버려진 사람들을 실제 전력으로 만드는 계약을 보여준다.","일심회 80명을 안전한 신분과 조직 충성으로 묶는다.","아파트·가족 지원·러시아 신분증을 약속하고 벌목 캠프에서 훈련시키며 위조 여권 비용 200만달러를 댄다.","큰 선투자와 배신 위험을 감수해야 하고 러시아 권력의 후원이 없다.","박종석은 강혁이 말뿐인 고용주가 아님을 확인하고 일심회 전체를 맡긴다.","80명의 현지 전력과 이들의 충성 기반을 확보한다.","의리·조직","떠돌이 일심회가 대호가드식 지휘·보상 체계에 편입된다.","밀로노프와 대립하는 러시아 지휘관 야쿠보프를 끌어들여야 한다.","일심회 포섭 조건","야쿠보프 동맹 협상","M02 핵탄두를 좇아 일심회와 야쿠보프를 포섭하다","high"
"115","ⓚ남자의 길 115화","","13561","13669","일심회 병력은 생겼지만 핵탄두 정보와 현지 공권력 방패는 여전히 없다.","강혁이 CIA가 숨기는 정보 대신 러시아 내부 적대관계를 이용한다.","야쿠보프를 밀로노프 제거와 사할린 사업의 공동 이해로 묶는다.","라이언의 정보 거절을 받아친 뒤 유리 야쿠보프를 만나 사할린 가스 이권 20퍼센트와 현금을 제안한다.","야쿠보프는 외국인 범죄자의 약속을 믿을 이유가 없고 밀로노프와 맞서면 정치적 위험이 크다.","강혁은 밀로노프 제거가 야쿠보프의 권력 확대와 사할린 이익을 동시에 준다고 판을 바꾼다.","야쿠보프가 협상에 본격적으로 응한다.","동맹·사업","고립된 외부 작전이 러시아 군 권력과 사할린 사업을 축으로 한 연합으로 변한다.","야쿠보프의 최종 수락과 첫 타격이 남는다.","현지 후원자 탐색","야쿠보프 계약과 밀로노프 사업장 습격","M02 핵탄두를 좇아 일심회와 야쿠보프를 포섭하다","high"
"116","ⓚ남자의 길 116화","","13670","13790","야쿠보프는 이익 구조를 들었지만 아직 병력과 권력을 실제로 내놓지 않았다.","거래가 말에서 피 묻은 공동 작전으로 넘어간다.","야쿠보프의 보호 아래 밀로노프의 외곽부터 무너뜨린다.","50만달러와 사할린 이권 20퍼센트를 확정하고 밀로노프 사업장 다섯 곳을 동시에 친다.","첫 습격부터 약 20명의 사상자가 나고 레드 마피아의 보복이 시작된다.","야쿠보프가 CIA의 7억달러 보상보다 큰 실물 사업을 보고 강혁 편에 선다.","러시아 군 권력의 묵인과 첫 타격 성공을 얻는다.","동맹·전쟁","포섭 준비 국면이 레드 마피아와의 공개적인 소모전으로 전환된다.","밀로노프의 자금·마약망을 더 깊게 끊어야 한다.","야쿠보프 동맹 성립","밀로노프 사업망 연쇄 타격","M02 핵탄두를 좇아 일심회와 야쿠보프를 포섭하다","high"
"117","ⓚ남자의 길 117화","","13791","13925","다섯 사업장이 맞았지만 밀로노프의 핵심 수익과 핵탄두는 건재하다.","강혁이 전리품을 나누며 적의 돈줄을 직접 태운다.","일심회의 충성을 굳히고 코카인 창고 책임자를 생포한다.","압수한 11만달러를 박종석에게 전부 나눠주고 수산시장 코카인 창고를 습격해 콜차크와 50kg을 잡는다.","CIA는 핵탄두만 재촉하고 창고 노동자까지 적으로 만들면 민심과 정보가 끊긴다.","강혁은 돈 받고 일한 노동자들을 풀어주고 핵심 책임자만 붙잡는 선을 긋는다.","일심회는 보상의 공정성을 체감하고 밀로노프의 코카인 거점을 빼앗는다.","의리·자금","고용된 병력이 전리품을 공유하는 전우 집단으로 가까워진다.","콜차크 심문과 창고 파괴 뒤 밀로노프의 반격이 열린다.","첫 사업장 타격","코카인 유통망 차단과 핵탄두 위치","M03 밀로노프의 돈줄을 태우고 절벽 저택에서 핵탄두를 빼내다","high"
"118","ⓚ남자의 길 118화","","13926","14064","콜차크와 코카인 50kg을 잡았지만 창고 자체가 남아 있으면 밀로노프가 복구할 수 있다.","돈줄을 불태운 대가로 추격이 인물의 가족까지 파고든다.","코카인 유통 거점을 돌이킬 수 없게 없애고 다음 정보를 지킨다.","수산시장 창고와 마약을 불태워 유통로를 끊고 일심회 연락망을 재정비한다.","밀로노프가 경찰과 조직원을 풀어 방문 기록과 가족 관계까지 뒤진다.","병든 부모를 찾아간 유정우가 미행 끝에 붙잡힌다.","밀로노프의 핵심 수익로 하나가 완전히 소실된다.","전쟁·관계","사업장 공격의 비용이 익명 조직이 아니라 유정우 개인과 부모에게 전가된다.","유정우 고문과 부모 인질 위기가 닥친다.","코카인 창고 파괴","유정우 구출과 가족 보호","M03 밀로노프의 돈줄을 태우고 절벽 저택에서 핵탄두를 빼내다","high"
"119","ⓚ남자의 길 119화","","14065","14202","유정우가 붙잡혀 고문당하고 그의 부모까지 밀로노프 손에 들어갔다.","강혁이 기지를 버릴지 사람을 구할지 선택한다.","추적을 피하면서 부모와 부하를 포기하지 않는다.","호텔과 은신처를 비우고 증거를 정리한 뒤 인질 때문에 방어 대신 선제공격을 택한다.","경찰 체포영장이 떨어지고 유정우는 고문 끝에 위치를 말해 부모까지 위험해진다.","강혁은 안전한 철수보다 무고한 부모를 살릴 공격을 선택한다.","주도권을 잃기 전에 일심회가 다시 움직일 명분과 방향을 얻는다.","선택·의리","생존 우선 작전이 부하 가족을 구하기 위한 책임 전쟁으로 바뀐다.","낡은 술집과 밀로노프 쪽 인질망을 쳐야 한다.","은신처 노출 대응","유정우 부모 구출과 톨레바 접촉","M03 밀로노프의 돈줄을 태우고 절벽 저택에서 핵탄두를 빼내다","high"
"120","ⓚ남자의 길 120화","29. 함정","14203","14349","경찰과 밀로노프가 포위망을 좁히고 유정우 가족의 생사가 걸려 있다.","구출전이 뜻밖의 인재 영입으로 보상된다.","인질을 빼내고 밀로노프 조직 안쪽을 아는 전투원을 얻는다.","탈북 여성부터 구한 뒤 옛 술집을 급습해 톨레바를 쓰러뜨리고 죽이는 대신 영입한다.","톨레바는 강한 적이고 CIA 정보원 보체크 쪽에는 별도의 함정이 깔린다.","밀로노프에게 버려질 수 있는 톨레바가 강혁의 처우와 힘을 보고 편을 바꾼다.","여성을 구하고 현지 사정에 밝은 톨레바를 전력으로 얻는다.","구출·포섭","인질 대응이 적 간부를 동료로 바꾸는 역포섭으로 확장된다.","보체크와 CIA 알파팀이 밀로노프의 덫으로 들어간다.","술집 인질 구출","보체크 함정과 톨레바의 충성 검증","M03 밀로노프의 돈줄을 태우고 절벽 저택에서 핵탄두를 빼내다","high"
"121","ⓚ남자의 길 121화","","14350","14483","강혁은 톨레바를 얻었지만 CIA는 보체크의 정보만 믿고 벌목장으로 들어간다.","정보전의 오판이 어떤 대가를 부르는지 보여준다.","CIA의 실패를 확인하고 핵탄두 작전의 지휘권을 가져온다.","강혁은 별도 경로를 유지하며 라이언과 돌먼의 움직임을 살핀다.","보체크가 붙잡힌 채 미끼가 되고 알파팀 15명이 매복에 들어가 전멸한다.","CIA의 정예팀과 정보원이 한꺼번에 사라져 강혁만 남은 실행축이 된다.","무리한 CIA 작전의 실패로 강혁의 독자 노선이 정당화된다.","정보·주도권","CIA가 주도하던 핵 회수 작전의 무게중심이 강혁 쪽으로 이동한다.","경매 전에 절벽 저택을 직접 쳐야 한다.","보체크 정보의 진위","핵탄두 경매와 CIA 지원 조건","M03 밀로노프의 돈줄을 태우고 절벽 저택에서 핵탄두를 빼내다","high"
"122","ⓚ남자의 길 122화","","14484","14603","알파팀 15명이 전멸했고 핵탄두 경매 시간은 다가온다.","강혁이 실패한 CIA에 구체적 대가를 받아내고 난공불락 저택을 겨눈다.","절벽 저택 진입 수단과 장기 사업 보상을 동시에 확보한다.","비스토이와 80명을 톨레바 지휘에 붙이고 CIA에 콜롬비아 야노스 3·4·5광구를 요구한다.","저택은 절벽과 경비망으로 둘러싸였고 CIA는 추가 희생을 꺼린다.","핵탄두가 절벽 저택에 있다는 정보가 확정되고 CIA가 강혁의 조건을 받아들인다.","톨레바의 독립 타격대와 야노스 광구 약속을 얻는다.","계약·작전","응급 구원이 장기 석유 자산과 결부된 주인공 주도 작전으로 변한다.","이란 측 경매와 공중 침투가 임박한다.","CIA 지원 재협상","절벽 저택 핵탄두 탈취","M03 밀로노프의 돈줄을 태우고 절벽 저택에서 핵탄두를 빼내다","high"
"123","ⓚ남자의 길 123화","30. 탈취","14604","14731","핵탄두는 절벽 저택에 있고 이란 구매자와 여러 세력이 경매에 모였다.","정면 난전과 하늘 침투가 동시에 터진다.","거래가 끝나기 전에 핵탄두를 손에 넣는다.","박종석이 정문에서 대규모 교란을 벌이는 동안 강혁과 돌먼이 패러글라이더로 지붕에 착륙한다.","마호메트가 1억5천만달러와 운송비 300만달러로 낙찰받아 즉시 반출하려 한다.","지상 공격은 미끼이고 실제 탈취조는 지붕에서 내부를 찌른다.","경매장을 기습할 위치와 몇 분의 결정적 시간을 얻는다.","대결·작전","포위된 저택이 외부 공성전과 내부 침투전으로 갈라진다.","저택 안 총격전에서 핵탄두를 확보해야 한다.","경매 구매자 확정","핵탄두 실물 확보와 밀로노프 탈출","M03 밀로노프의 돈줄을 태우고 절벽 저택에서 핵탄두를 빼내다","high"
