sequence,visible_label,arc_id,arc_phase,concrete_event,tension_1_10,reward_1_10,hook_1_10,information_weight,action_weight,relationship_weight,emotion_weight,material_or_status_weight,pacing_note
1,1,A01,도입,"아, 안돼! — 서울특별시 영등포구 여의도동.",5,5,6,3,3,2,2,4,도입: “어서 피해!” 굳어 있는 모녀를 옆으로 세게 밀쳐낸 김광섭은 여전히 속력을 줄이지 않고 그대로 덮쳐오는 BMW를 보며 질끈 눈을 감았다.
2,2,A01,약속,억만장자가 되신 걸 축하드립니다. — 커튼이 두껍게 쳐진 어두운 호텔 객실 안.,5,6,6,3,3,2,2,4,약속: “어떻게든 알게 되실 텐데 미리 알리는 것이 낫겠지…….” 석원은 약간 멋쩍은 표정으로 입가를 감싸면서 끙 소리를 냈다.
3,3,A01,약속,어. 얼마라고? — 높다란 담장으로 둘러싸인 커다란 저택들이 모여 있는 부촌 한쪽.,5,5,6,3,3,2,2,4,약속: 대신 비용이 조금 더 들어갈 텐데…….” “그건 상관없어요.” “그렇다면야 문제없습니다” 랜든은 맥주를 쭉 들키면서 자신만만하게 웃었다.
4,4,A01,전진,탐욕스러운 먹잇감. — 차량들이 오가는 넓은 대로변에 지하 3층 지상 20층 규모로 지어진 대흥 그룹 본사가 자리 잡고 있었다.,5,5,6,3,3,2,2,4,전진: “한때는 거친 초원을 호령했던 사자였을지 몰라도 힘이 빠지고 늙어 버린 지금은 탐욕스러운 하이에나들의 먹잇감에 불과할 뿐이지.” 곧 영국을 덮치게 될 거대한 폭풍우에 그 역시 뛰어들 계획이었다.
5,5,A01,전진,"이런 제안을 거절하는 게 바보 멍청이 아니겠습니까. — 커피를 한 모금 마시며 월스트리트 저널 기사를 마저 읽고 있을 때, 회색 정장을 입은 랜든이 라운지 카페로 들어와 다가왔다.",5,5,6,3,3,2,2,4,전진: ‘정말 알 수 없는 사람이야.’ 랜든은 티 나지 않게 고개를 절레 흔들고는 조심스럽게 숟가락을 내려놨다.
6,6,A01,전진,수용하기 어렵다면 이번 계약은 없던 걸로 하죠. — 미국 매사추세츠주 케임브리지.,5,6,6,3,3,2,2,4,전진: 석원은 내심 코웃음을 쳤으나 겉으론 전혀 티를 내지 않고 미소를 지으며 폴슨이 내민 손을 맞잡았다.
7,7,A01,압박,미안하지만 이건 필요 없을 것 같네요. — 그 자리에서 양측 변호사들이 조건을 수정한 새 계약서를 만들자 석원은 내용을 확인하곤 바로 서명했다.,5,6,6,3,3,2,2,4,압박: 하긴 조금만 생각해보면 영란은행의 취약점을 알아차릴 수 있을 테니 어쩌면 당연한 일이겠지.] “그래서 영란은행이 가드를 더 단단히 올리기 전에 시합 종을 울리려고 합니다.” 그러자 짧게 침묵하던 해밀턴이 이내 건조하게 말했다.
8,8,A01,압박,1.4800달러에 거래 체결됐습니다. — 마포대로 한쪽 편에 우뚝 세워져 있는 20층 높이의 대흥 그룹 본사로 검은색 벤츠 대형 세단 한 대가 미끄러지듯 들어와 멈춰 섰다.,5,6,6,3,3,2,2,4,압박: [파운드당 1.4800달러에 거래 체결됐습니다.] 석원은 그 말에 짙은 미소를 지었다.
9,9,A01,전환,"내가 아무리 겜돌이지만 그건 너무 나갔다. — 다음날, 영국 런던 다우닝가 11번지.",5,5,6,3,3,2,2,4,전환: 눈에 보이지도 않을 정도의 빠른 속도로 조이스틱을 돌려대며 버튼을 누르던 그 실력이 다시 부활할 때였다.
10,10,A01,전환,계속 홀드(hold)해 줘요. — 살로몬 브라더스(Salomon Brothers) 본사 트레이딩 플로어.,5,5,6,3,3,2,2,4,전환: “……룸메 지금이라도 바꾸면 안 되나.” 나 쟤랑 있기 싫어.
11,11,A01,보상,이거 심상치가 않은데요. — “어류겐!” “라데꾸!” 퍼퍽!,5,5,6,3,3,2,2,4,보상: “그래요.” [알겠습니다.] 대답을 들은 석원은 휴대폰을 귀에 댄 채 긴장감에 바짝 마른 입술을 혀로 적셨다.
12,12,A01,여진/다음 훅,검은 수요일(Black Wednesday) — 살로몬 브라더스(Salomon Brothers) 본사 트레이딩 플로어.,5,5,6,3,3,2,2,4,여진/다음 훅: “공식 발표 전에 프랑스와 독일 총리에게 미리 언질을 해 줘야 할 테니 전화를 연결해주게.” “예.” 아이작 총리는 ERM 탈퇴를 발표함과 동시에 자신의 정치 생명도 끝날 것을 직감하고는 허탈한 기분으로 머리 위 천정을 올려다봤다.
13,13,A02,도입,"아니 석원이 이 녀석은 그럼 얼마나 번 거야. — 그날 저녁, 영국 런던 다우닝가 11번지.",5,5,6,3,3,2,2,4,도입: 아니 석원이 이 녀석은 그럼 얼마나 번 거야.”
14,14,A02,약속,역시 날 닮아서 배짱이 두둑해. — 마포 대흥그룹 본사.,5,5,6,3,3,2,2,4,약속: 하지만 엔진 소리에 안 들리는 건지 아니면 그냥 무시하는 건지 몰라도 앞에 탄 로이는 아무런 대답도 하지 않고 계속 스쿠터를 몰면서 어딘가로 급하게 달려갔다.
15,15,A02,약속,원하는 대로 금방 끝내줄 테니까. 어서 앉기나 해. — 요란한 엔진소리를 내며 내달린 로이는 하버드 광장에 위치한 펍(Pub) 앞에 스쿠터를 멈춰 세웠다.,5,6,6,3,3,2,2,4,약속: “억만장자가 되신 걸 축하드립니다.”
16,16,A02,전진,정말 난 놈은 난 놈이군. — [억만장자가 되신 걸 축하드립니다.] 카페테리아 야외 테이블에 앉아 통화하던 석원은 입가에 희미한 미소를 지으며 말했다.,5,7,6,3,3,2,2,4,전진: “고작 투자 한 번에 이 정도 수익이라…….정말 난 놈은 난 놈이군.”
17,17,A02,전진,녀석. 이제 정말 다 컸군. — 자정이 지난 늦은 밤.,5,5,7,3,3,2,2,4,전진: 혹시 감기라도 걸렸냐?” “됐으니까 어서 출발이나 해.” 석원이 스쿠터 뒤에 걸터앉아 재촉하자 로이는 머리를 갸웃거리면서도 순순히 시동을 걸었다.
