sequence,visible_label,source_lines,note_status,score_status,ribbon_status,boundary_status,next_source_lines,before_note,after_note,retained_scores,retained_ribbon,source_readback,boundary_readback
3,3화,L498~L722,EDIT,PASS,PASS,PASS,L723~L929,"홍콩 법인을 빌리고 수익 1퍼센트 보너스·실패 위로금·비밀유지 위약금을 명시한 계약을 체결한 뒤 보험·공매도 중심 3안을 선택한다. 독자는 현장 실행에 가장 오래 머문다. 실제 지급은 다음에 한정된다: 성과보수·비밀유지 계약과 보험·공매도 중심 3안 집행 지시를 확정하고, 김태중에게 다국어 실력을 증명해 검정고시와 하버드·스탠퍼드 도전을 승인받는다.","220억 원 홍콩법인 계약과 닛케이 보험·공매도 3안 선택이 앞쪽의 금융 긴장을 끌고, 뒤쪽에서는 김태중 앞에서 세 외국어 신문을 읽어 검정고시와 해외대학 허락을 받아낸다. SAT 교재를 꺼내는 마지막 동작은 지급된 허락을 외환위기 전 입사 계획으로 곧장 잇는다.",T8/R5/H6,0.27/0.29/0.17/0.09/0.18,"홍콩 법인을 빌리고 수익 1퍼센트 보너스·실패 위로금·비밀유지 위약금을 명시한 계약을 체결한 뒤 보험·공매도 중심 3안을 선택한다; 지급=성과보수·비밀유지 계약과 보험·공매도 중심 3안 집행 지시를 확정하고, 김태중에게 다국어 실력을 증명해 검정고시와 하버드·스탠퍼드 도전을 승인받는다; 마지막=검정고시 책 대신 SAT 교재를 꺼내 외환위기 3년 전 입사 계획을 본격화한다",현재 화 하드 경계와 다음 화 진입을 수동 대조; 다음 화 최초 고유명·수단·지급을 after_note에 남기지 않음
25,25화,L4739~L4931,EDIT,PASS,PASS,PASS,L4932~L5107,"환수금 10퍼센트·감사팀 내부비리 30퍼센트 성과금과 최우수 인사고과를 공표하고 윤일섭·강인식을 공조시켜 박권흠 공장장을 면담한다. 독자는 사건의 조건과 확인 정보에 가장 오래 머문다. 실제 지급은 다음에 한정된다: 채용 뇌물 2천만~4천만 원·노조 상납 증거, 감사팀 분열의 씨앗, 창원 공장 실권 구조를 얻는다.","환수금 10퍼센트·내부비리 30퍼센트 성과금 공지가 감사팀의 침묵을 깨고 윤일섭과 강인식을 움직인다. 박권흠 면담에서 채용 뇌물 2천만~4천만 원과 명동 돈 4천억 원에 묶인 창원공장 실권이 드러나며, 후반의 구조 폭로가 더 긴 잔상을 남긴다.",T7/R5/H8,0.36/0.18/0.25/0.11/0.10,"환수금 10퍼센트·감사팀 내부비리 30퍼센트 성과금과 최우수 인사고과를 공표하고 윤일섭·강인식을 공조시켜 박권흠 공장장을 면담한다; 지급=채용 뇌물 2천만~4천만 원·노조 상납 증거, 감사팀 분열의 씨앗, 창원 공장 실권 구조를 얻는다; 마지막=명동 차입금을 갚기 전까지 김태중도 손쓸 수 없는 창원 공장의 실권을 어떻게 되찾을 것인가?",현재 화 하드 경계와 다음 화 진입을 수동 대조; 다음 화 최초 고유명·수단·지급을 after_note에 남기지 않음
38,38화,L7041~L7213,EDIT,PASS,PASS,PASS,L7214~L7390,"한일은행 대출 회수와 삼풍그룹 회사채·주식 처분을 지시한 뒤 대가로 이선일 보유 5퍼센트와 명동 전체 태우전자 지분 약 15퍼센트를 1,500억 원에 모아 달라고 한다. 독자는 사건의 조건과 확인 정보에 가장 오래 머문다. 실제 지급은 다음에 한정된다: 명동의 태우전자 지분 수집 약속·외환위기 정보 동맹과 김태중에게 휴대폰 시장 미끼를 던질 가족 대화를 얻는다.","한일은행·삼풍 붕괴 정보를 건넨 대가로 이선일의 5퍼센트와 명동의 태우전자 지분 약 15퍼센트를 1,500억 원에 모으는 거래를 오래 맞춘다. 집으로 돌아온 뒤 폴더폰을 김태중에게 보여 줄 성과이자 사장 취임 카드로 정하는 짧은 가족 장면이 다음 목표를 연다.",T7/R6/H7,0.31/0.24/0.20/0.08/0.17,"한일은행 대출 회수와 삼풍그룹 회사채·주식 처분을 지시한 뒤 대가로 이선일 보유 5퍼센트와 명동 전체 태우전자 지분 약 15퍼센트를 1,500억 원에 모아 달라고 한다; 지급=명동의 태우전자 지분 수집 약속·외환위기 정보 동맹과 김태중에게 휴대폰 시장 미끼를 던질 가족 대화를 얻는다; 마지막=폴더폰이 잡스를 애플로 돌리고 김민재를 태우전자 사장에 앉힐 제품이라는 목표가 명시된다",현재 화 하드 경계와 다음 화 진입을 수동 대조; 다음 화 최초 고유명·수단·지급을 after_note에 남기지 않음
50,50화,L9210~L9397,EDIT_MANAGER_REDTEAM_STAGE,EDIT_MANAGER_REDTEAM_STAGE,EDIT_MANAGER_REDTEAM_STAGE,PASS,L9398~L9578,박진훈이 우성일에게 거짓 결함 자료와 돈을 건네 박 기자에게 전달하게 하자 강인식이 사진·녹취를 확보하고 김민재가 3국 공개 시연을 준비한다. 독자는 현장 실행에 가장 오래 머문다. 실제 지급은 다음에 한정된다: SAVE의 반박 자료와 돈 전달 사진·녹취를 확보해 허위보도를 뒤집을 수단을 갖춘다.,"강 대위의 보고로 우성일이 이노폰 자료를 기자에게 넘기는 영상과 음성 녹음이 이미 확보된다. 1면 허위기사에 SAVE 반박자료와 한국·미국·독일 동시 검증을 맞붙이는 리듬이라, 증거 지급 뒤 공개 시연의 성패가 훅으로 남는다.",8/7/9,0.25/0.34/0.20/0.10/0.11,"박진훈이 우성일에게 거짓 결함 자료를 기자에게 넘기게 하자 강 대위 쪽이 전달 장면 영상과 음성 녹음을 확보한다. 1면 기사가 나온 뒤 김민재는 SAVE 반박자료를 제시하고 한국·미국·독일 동시 이벤트를 준비한다. | 지급: 우성일의 자료 전달 영상·음성 녹음, SAVE의 허위결함 반박자료, 한국·미국·독일 공개 이벤트 계획을 확보한다.",현재 화 L9210~L9397 안의 표면만 사용
51,51화,L9398~L9578,EDIT,PASS,PASS,PASS,L9579~L9758,타임스퀘어·강남·독일에서 이노폰 1천 대 이상을 체험시키고 우성일의 공작 시인과 박 기자의 돈·거짓 자료 기사화 약속을 받아낸다. 독자는 현장 실행에 가장 오래 머문다. 실제 지급은 다음에 한정된다: 1천 대 이상 실물 검증과 정정·고발로 이어질 우성일·박 기자의 협조 약속을 얻는다.,"타임스퀘어·강남·독일에서 이노폰 1천 대 이상을 동시에 만지게 하는 공개 실험이 빠르게 이어진다. 결함이 재현되지 않자 우성일이 공작을 시인하고 박 기자도 받은 돈을 기사화하겠다고 돌아서지만, 실제 정정 지면은 아직 남겨 둔다.",T8/R8/H8,0.16/0.38/0.24/0.10/0.12,타임스퀘어·강남·독일에서 이노폰 1천 대 이상을 체험시키고 우성일의 공작 시인과 박 기자의 돈·거짓 자료 기사화 약속을 받아낸다; 지급=1천 대 이상 실물 검증과 정정·고발로 이어질 우성일·박 기자의 협조 약속을 얻는다; 마지막=박 기자가 약속한 정정과 돈 기사가 실제 지면에 실려 판매와 사장단 판단을 돌릴 수 있는가?,현재 화 하드 경계와 다음 화 진입을 수동 대조; 다음 화 최초 고유명·수단·지급을 after_note에 남기지 않음
53,53화,L9759~L9940,EDIT,PASS,PASS,PASS,L9941~L10126,김태중에게 태우전자 지분을 상속받아 만장일치로 사장에 취임한 뒤 현재그룹 장 회장의 자금난을 듣고 SAVE 자금으로 차입을 유도할 미끼를 던진다. 독자는 인물의 선택과 관계 변화에 가장 오래 머문다. 실제 지급은 다음에 한정된다: 태우전자 지분과 사장 직위를 동시에 받아 생산·인사·투자 결정을 직접 책임질 수 있게 된다.,"김태중의 지분 상속과 이사회 만장일치로 태우전자 사장 자리가 한꺼번에 지급되어 조손 승인과 지위 상승이 가장 무겁다. 후반의 현재그룹 자금난과 SAVE 차입 미끼는 이미 받은 경영권 다음에 붙는 새 위험일 뿐, 태우 지분 회수 결과까지 나아가지는 않는다.",T6/R10/H7,0.13/0.17/0.28/0.14/0.28,김태중에게 태우전자 지분을 상속받아 만장일치로 사장에 취임한 뒤 현재그룹 장 회장의 자금난을 듣고 SAVE 자금으로 차입을 유도할 미끼를 던진다; 지급=태우전자 지분과 사장 직위를 동시에 받아 생산·인사·투자 결정을 직접 책임질 수 있게 된다; 마지막=SAVE 차입 미끼가 현재그룹의 자금 위기를 더 키울 것인가?,현재 화 하드 경계와 다음 화 진입을 수동 대조; 다음 화 최초 고유명·수단·지급을 after_note에 남기지 않음
56,56화,L10327~L10491,EDIT,PASS,PASS,PASS,L10492~L10663,"격분한 다이먼에게 독립 금융회사와 전권을 약속해 영입하고 애플 이사회에 잡스 복귀안을 올린다. 독자는 인물의 선택과 관계 변화에 가장 오래 머문다. 실제 지급은 다음에 한정된다: 잡스와 이사들의 찬성 전환, 다이먼·우성자동차 판돈, 태우전자의 이노폰 생산 계약을 얻는다.","웨일에서 모욕당한 다이먼에게 독립 금융회사와 전권을 내밀어 영입하고, 곧바로 애플 이사회에서 잡스 복귀 표를 모은다. SAVE의 3년 뒤 주가 보증이 이사들을 돌려세운 뒤 넥스트 인수금 5억 달러의 부담 주체가 미지급 질문으로 남는다.",T6/R9/H8,0.19/0.18/0.40/0.12/0.11,"격분한 다이먼에게 독립 금융회사와 전권을 약속해 영입하고 애플 이사회에 잡스 복귀안을 올린다; 지급=잡스와 이사들의 찬성 전환, 다이먼·우성자동차 판돈, 태우전자의 이노폰 생산 계약을 얻는다; 마지막=자금이 부족한 애플 대신 누가 넥스트 인수금 5억 달러를 부담하고 어떤 권리를 가져갈 것인가?",현재 화는 넥스트 인수금 5억 달러의 부담 주체까지만 열며 소프트웨어 권리는 다음 화 소유
57,57화,L10492~L10663,EDIT,PASS,PASS,PASS,L10664~L10840,SAVE가 넥스트 5억 달러 인수금을 내고 미래 소프트웨어 권리를 받아 잡스를 애플 CEO로 복귀시킨 뒤 다이먼이 태우중공업 지분 구조를 검토한다. 독자는 인물의 선택과 관계 변화에 가장 오래 머문다. 실제 지급은 다음에 한정된다: NEXT 5억 달러 계약·잡스 CEO 복귀·미래 소프트웨어 권리와 다이먼이 짚은 태우 지분의 취약성을 얻는다.,SAVE가 넥스트 인수금 5억 달러를 내고 미래 소프트웨어 권리를 챙기는 계약으로 잡스의 CEO 복귀를 결산한다. 귀국 뒤 다이먼이 태우중공업의 그룹 27퍼센트·김태중 개인 10퍼센트 지분을 훑는 후반은 축하보다 적대인수 설계에 빠르게 무게를 옮긴다.,T6/R8/H9,0.19/0.22/0.31/0.07/0.21,SAVE가 넥스트 5억 달러 인수금을 내고 미래 소프트웨어 권리를 받아 잡스를 애플 CEO로 복귀시킨 뒤 다이먼이 태우중공업 지분 구조를 검토한다; 지급=NEXT 5억 달러 계약·잡스 CEO 복귀·미래 소프트웨어 권리와 다이먼이 짚은 태우 지분의 취약성을 얻는다; 마지막=김태중에게 들키지 않고 취약한 계열사 지분부터 모아 부채 사업을 떼어낼 수 있는가?,현재 화 하드 경계와 다음 화 진입을 수동 대조; 다음 화 최초 고유명·수단·지급을 after_note에 남기지 않음
60,60화,L11025~L11199,EDIT,PASS,PASS,PASS,L11200~L11399,살만에게 표트르 대제의 검을 주고 귀국해 아크만 명의로 태우 중소계열사 3곳을 적대인수한다. 독자는 인물의 선택과 관계 변화에 가장 오래 머문다. 실제 지급은 다음에 한정된다: 살만과의 관계 진전과 아크만 명의 중소 계열사 세 곳의 경영권을 얻는다.,"살만에게 표트르 대제의 검을 건네 아람코 협력의 온도를 올린 뒤, 아크만 명의로 태우 중소계열사 세 곳의 경영권을 실제 가져온다. 다이먼이 비리 자료를 지렛대로 제안하는 끝에서는 가족을 다치지 않게 하면서 남은 지분을 얻어야 한다는 제약이 승리감을 눌러 준다.",T6/R8/H8,0.18/0.26/0.31/0.08/0.17,살만에게 표트르 대제의 검을 주고 귀국해 아크만 명의로 태우 중소계열사 3곳을 적대인수한다; 지급=살만과의 관계 진전과 아크만 명의 중소 계열사 세 곳의 경영권을 얻는다; 마지막=가족을 보호하면서도 비리 자료를 어디까지 써서 남은 지분을 가져올 수 있는가?,현재 화 하드 경계와 다음 화 진입을 수동 대조; 다음 화 최초 고유명·수단·지급을 after_note에 남기지 않음
82,82화,L15041~L15242,EDIT,PASS,PASS,PASS,L15243~L15431,잡스와 냅스터 조기 출현을 논의하는 동안 김태중이 뜻밖에 전경련 회장으로 추대된다. 독자는 인물의 선택과 관계 변화에 가장 오래 머문다. 실제 지급은 다음에 한정된다: 전경련 회장단이 김태중을 차기 회장으로 미는 일제 추대안과 정부 빅딜 창구가 될 가능성을 얻는다.,"잡스와 냅스터를 먼저 띄우는 음원전략 논의는 비교적 짧고, 재계 총수들이 침묵한 김태중을 차기 전경련 회장으로 일제히 추대하는 반전이 후반을 차지한다. 정부 빅딜 창구가 될 가능성은 열리지만 당사자의 수락은 아직 들리지 않는다.",T5/R7/H7,0.28/0.16/0.34/0.12/0.10,잡스와 냅스터 조기 출현을 논의하는 동안 김태중이 뜻밖에 전경련 회장으로 추대된다; 지급=전경련 회장단이 김태중을 차기 회장으로 미는 일제 추대안과 정부 빅딜 창구가 될 가능성을 얻는다; 마지막=일제 추천을 받은 김태중이 차기 전경련 회장직을 실제로 받아들일 것인가?,현재 화 하드 경계와 다음 화 진입을 수동 대조; 다음 화 최초 고유명·수단·지급을 after_note에 남기지 않음
