arc_id,arc_name,start_sequence,end_sequence,start_label,end_label,episode_count,main_characters,main_locations,concrete_premise,central_question,promise,pressure_escalation,mid_turn,concrete_payoff,relationship_change,status_or_ability_change,residual_cost,next_arc_bridge,boundary_signals,confidence
"RA-001","명예의 전당에서 탬파 계약 시점으로","1","3","1화","3화","3","윤주혁, 권창규, 문창진, 앤드류 프리드먼.","명예의 전당 헌액식, 한국 고교 야구부, 봉황대기, 탬파베이 레이스 계약선.","타자로 명예의 전당에 오른 노년의 주혁이 탬파와 계약한 고교 시절로 회귀해, 실패했던 투수 커리어와 망가진 관계를 다시 선택할 기회를 얻는다.","건강한 어깨와 전생의 타격 경험을 지키면서 투수의 꿈으로 다시 출발할 수 있는가.","완성된 타자의 기억과 젊고 건강한 투수의 몸이 한 선수 안에서 결합한다.","회귀 직후 어깨 상태를 확인해야 하고, 감독의 과다 투구 요구를 거부한 탓에 봉황대기에서는 마운드에 서지 못한다.","권창규의 포구로 어깨가 정상임을 확인한 주혁이 투구량 통제권을 되찾고 타격만으로 전국대회를 지배한다.","봉황대기 압도적 타격으로 앤드류 프리드먼의 관심을 받고, 탬파 조직이 투수뿐 아니라 타자 가능성까지 보게 만든다.","권창규는 몸 상태를 함께 검증하는 첫 조력자가 되고, 주혁은 문창진의 혹사 지시를 거부하며 감독-선수 권력에서 자기 몸의 통제권을 회수한다.","은퇴한 명예의 전당 타자에서 건강한 고교 투수 유망주로 회귀하고, 전국대회 최고 타자라는 새 평가를 더한다.","실전 투구 증거와 변화구가 없고, 한국 고교 환경에서 어깨를 다시 혹사할 위험이 남는다.","주혁은 미국 입단 전 상위 타자를 상대로 투구를 검증하기 위해 베네수엘라 겨울리그로 향한다.","봉황대기 종료로 한국 고교 경기 목표가 닫힌다; 4화부터 카라카스 프로 불펜 합류와 변화구 실전 검증이라는 새 시공간·역할이 시작된다.","high"
"RA-002","베네수엘라 불펜과 첫 투타 반전","4","11","4화","11화","8","윤주혁, 필립 모리스, 카라카스 코칭스태프, 호르헤 페르난데스.","베네수엘라 겨울리그, 레오네스 델 카라카스, 티그레스 델 아라과.","패스트볼 외 실전 무기가 부족한 주혁이 카라카스 유급 불펜으로 뛰며 프로 타자와 긴 이닝을 상대로 몸·구위·회복력을 검증한다.","강속구 하나로 프로 경기를 버티고, 필요할 때 전생의 타격까지 팀 승리에 연결할 수 있는가.","낯선 겨울리그에서 패전 처리 등판이 투타 겸업 탄생의 무대로 뒤집힌다.","첫 등판의 긴장, 11점 차 패전 경기의 롱릴리프, 6이닝 투구 뒤 104마일 마무리를 상대하는 대타 임무가 연속된다.","필립과 다시 우정을 쌓은 주혁이 11대0 경기에서 팀 분위기를 되살리고 6이닝을 책임진다.","104마일 공을 홈런으로 쳐 11대10까지 추격하고, 겨울리그 성적으로 프로 경쟁력·속도 조절 능력·변화구 보완 과제를 모두 확보한다.","필립 모리스는 낯선 팀 동료에서 전생의 가장 소중한 친구이자 현재의 첫 동료로 복원된다.","고교 유망주에서 승리와 롱릴리프를 맡는 프로 불펜으로 올라서고, 투수에게서 투타 겸업 가능성이 공개된다.","패스트볼 의존도가 높고, 타격 성과도 한 타석뿐이라 선발로 쓰일 두 번째 구종이 필요하다.","탬파 조직은 주혁을 AA 몽고메리 훈련과 메이저리그 스프링캠프 경쟁으로 옮긴다.","겨울리그 일정과 성적 정리가 11화에서 끝난다; 12화부터 미국 AA 훈련·가족 관계 회복·선발 변화구 장착이라는 새 목표가 시작된다.","high"
"RA-003","몽고메리 변화구 수련과 스프링캠프 경쟁","12","22","12화","22화","11","윤주혁, 윤상현, 임혜정, 필 브랫, 필립 모리스, 조 매든, 제이크 로드리게스, 이시카와 테츠야.","몽고메리 비스킷스 훈련장, 탬파베이 스프링캠프, 양키스·피츠버그·필라델피아·보스턴 시범경기.","가족과 달라진 태도로 작별한 주혁이 과거 코치 필 브랫에게 체인지업을 복원하고 초청 선수로 5선발 자리를 겨룬다.","패스트볼·체인지업과 타격을 실제 메이저리그 캠프에서 증명해 마이너를 건너뛸 수 있는가.","전생의 기술 기억이 체인지업, 경기 운영, 타격 판단으로 빠르게 환원되고 옛 인연들도 더 이른 시점에 복원된다.","커브는 미완성이고 25인 로스터 자리는 제한되며, 제이크의 도발과 보스턴전 마지막 시험까지 연속 평가를 받는다.","90마일 체인지업을 한 달 만에 완성해 캠프 초청을 받고, 조 매든에게 당해 선발 진입을 공개 목표로 선언한다.","시범경기 무실점 투구와 464피트 반대 방향 홈런, 제이크 상대 투타 우위를 쌓아 마이너 없이 25인 로스터에 든다.","부모와 첫 관계 회복을 시작하고, 필 브랫은 기술 스승으로, 필립은 미래가 달라진 동료로, 매든은 파격을 시험하는 감독으로 자리 잡는다.","패스트볼 단일 자원에서 고속 체인지업을 가진 선발 후보가 되고, 초청 선수에서 정식 메이저리거로 승격된다.","약한 커브와 불명확한 정규시즌 보직, 투타 능력을 함께 쓸 운영 방식이 남는다.","개막 로스터에 든 주혁은 트로피카나 필드에서 구원·6선발 대기로 첫 메이저리그 시즌을 시작한다.","보스턴전까지 스프링캠프 평가가 끝나 25인 로스터가 확정된다; 23화는 개막일 클럽하우스·정규시즌 데뷔라는 새 무대와 보직으로 전환한다.","high"
"RA-004","메이저리그 데뷔와 6선발 대기","23","27","23화","27화","5","윤주혁, 조 매든, 브라이언 무어, 레이첼 데이비스, 웨이드 데이비스, 마르코스.","트로피카나 필드, 탬파베이 레이스, 볼티모어 오리올스전.","개막 로스터 신인 주혁이 구원과 6선발 대기 역할을 받아들이고, 무사 만루 데뷔 위기부터 빅리그 신뢰를 쌓는다.","불확정 보직에서도 즉시 결과를 내 선발 기회를 자기 것으로 만들 수 있는가.","꿈의 무대에 감격한 신인이 가장 가혹한 데뷔 위기를 지우며 빠르게 팀 안에 자리를 얻는다.","무어와의 낯선 생활, 무사 만루 첫 등판, 매일 준비해야 하는 불펜 일정과 기존 선발의 부상·부진이 겹친다.","애덤 존스부터 시작한 무사 만루를 막고 역전승의 승리 투수가 되며 레이첼과 첫 인터뷰를 한다.","6경기 7이닝 무실점·1승 2홀드를 쌓고, 웨이드 데이비스 수술과 마르코스 부진 속 첫 정규 선발로 지명된다.","무어는 별명을 붙이고 집을 드나드는 팀 주장으로 가까워지며, 레이첼은 커리어를 기록하는 현지 기자로 처음 연결된다.","정규시즌 무등판 신인에서 위기용 불펜 카드, 다시 공식 메이저리그 선발로 역할이 두 차례 상승한다.","선발 투구 수 배분, 쿠어스 필드 적응, 타격 능력을 정규 역할로 인정받는 문제가 남는다.","주혁은 첫 선발지 쿠어스 필드로 이동해 선발 운영과 메이저리그 첫 타격을 동시에 시험한다.","27화에서 대기 보직이 첫 선발 지명으로 명시적으로 끝난다; 28화부터 쿠어스 원정 선발 경기와 타석 참여라는 새 경기 계약이 열린다.","high"
"RA-005","쿠어스 첫 선발과 지명타자 시험","28","32","28화","32화","5","윤주혁, 조 매든, 브라이언 무어, 마쓰자카 다이스케, 키겔.","쿠어스 필드·콜로라도전, 보스턴 레드삭스전, 탬파베이 지명타자 자리.","첫 정규 선발에 나선 주혁이 투구뿐 아니라 메이저리그 첫 타석을 홈런으로 만들자, 탬파가 그를 보스턴전 지명타자로 시험한다.","선발 성공과 우연처럼 보이는 홈런을 반복 가능한 투타 전력으로 증명할 수 있는가.","한 선수가 쿠어스에서 경기를 던져 이기고, 보스턴에서는 배트로 상대 선발을 끌어내린다.","고지대 첫 선발, 키겔의 몸쪽 공, 마쓰자카의 변화구와 베테랑 라인업의 조건부 신뢰를 통과해야 한다.","6이닝 무실점 12K와 메이저리그 첫 타격 홈런이 전국적 화제가 되어 매든이 지명타자 기용을 검토한다.","보스턴전 2타수 2안타 3타점 1볼넷으로 마쓰자카를 강판시키고, 팀이 필요할 때 최우선 공격 카드가 되는 합의를 얻는다.","매든은 주혁을 선발 대체재가 아니라 라인업 설계 자원으로 보기 시작하고, 베테랑 동료들도 타격 기용을 지지한다.","불펜 출신 첫 선발에서 6이닝 무실점 투수로, 투수 타자에서 메이저리그 지명타자 후보로 격상된다.","상시 타격 출전은 체력과 선발 준비를 해칠 수 있어 주혁 스스로 조건부 출전을 택한다.","다음 클리블랜드 선발에서 추신우와 만나 개인 승부가 빈볼·보복·팀 관계의 문제로 커진다.","보스턴전 지명타자 시험이 32화의 구체 성적과 조건부 합의로 결산된다; 33화부터 새 상대 클리블랜드·추신우·보복구 갈등이 중심 사건이 된다.","high"
"RA-006","클리블랜드 보복전과 팀 결속","33","39","33화","39화","7","윤주혁, 추신우, 카를로스 페냐, 에반 롱고리아, 브라이언 무어, 필립 모리스, 셸리 던컨, 로베르토 산타나.","클리블랜드 인디언스 시리즈, 탬파베이 클럽하우스, 주혁의 집.","추신우와 첫 대결한 주혁이 연속 머리 사구와 벤치클리어링을 겪으며 개인 기록보다 동료 보호·타선 공백·관계 회복을 책임진다.","보복 감정에 휩쓸리지 않으면서도 팀을 지키고 투타로 시리즈를 가져올 수 있는가.","한국인 스타 간 대결이 충돌, 홈런 내기, 상대 버릇 포착, 형·동생 화해를 거쳐 클럽하우스 결속으로 바뀐다.","시즌 첫 피홈런, 연속 머리 사구, 우발적으로 추신우를 친 죄책감, 페냐·롱고리아 공백과 전날 97구 투구가 겹친다.","벤치클리어링 뒤에도 주혁이 다음 날 지명타자를 자원하고 페냐와 홈런 내기로 침체한 팀을 깨운다.","산타나의 코 만지는 버릇을 읽어 홈런과 경기 MVP를 얻고 클리블랜드를 스윕하며, 추신우에게 사과해 연락처와 형 관계를 얻는다.","추신우는 맞상대에서 한국인 선배로, 페냐는 동료에서 장난과 믿음을 주고받는 파트너로, 무어와 필립은 사생활·기술 고민을 맡기는 가까운 동료가 된다.","차분한 신인 선발에서 동료를 위해 역할을 넓히고 상대의 미세한 버릇까지 읽는 팀 중심 선수로 바뀐다.","보복 상황의 감정 위험, 선발 다음 날 출전 피로, 필립의 타격 문제와 주혁 자신의 구종 확장이 남는다.","시카고 원정에서 주혁은 필립의 어깨 열림을 교정하고 자신도 새 투구 패턴과 투심을 개발한다.","클리블랜드 스윕과 추신우 화해가 팀 간 갈등을 닫는다; 40화부터 화이트삭스 원정·필립 타격 교정·네 번째 구종 개발이라는 새 훈련과 경기 과제가 시작된다.","high"
"RA-007","선발 패턴 확장과 스스로 만든 승리","40","46","40화","46화","7","윤주혁, 필립 모리스, 조 매든, 폴 코너코, 그레고리 마틴.","시카고 화이트삭스전, 볼티모어전, 뉴욕 양키스전, 탬파베이 불펜·타선.","주혁이 필립의 타격 문제를 돕는 동시에 자신의 구속·구질·심리 패턴을 확장하고, 득점 지원이 없는 날에는 직접 홈런까지 쳐 승리를 만든다.","리그의 분석과 빈약한 득점 지원을 새 패턴·투심·타격으로 넘어설 수 있는가.","강속구만이 아니라 타자의 기대와 공의 질을 조종하고, 필요하면 경기의 유일한 득점까지 스스로 생산한다.","코너코에게 피홈런을 맞고 그레고리와 심리전을 벌이며, 화이트삭스전 동점 지연과 볼티모어전 무득점, 양키스 장타선을 연달아 만난다.","화이트삭스전 승리를 지킨 뒤 시즌 26이닝 무볼넷을 쌓고 네 번째 무기 투심 개발에 들어간다.","볼티모어전 7과 3분의 2이닝 무실점 9K와 결승 홈런으로 1대0을 만들고, 양키스전에서는 초반 강속구 각인 뒤 체인지업으로 타이밍을 무너뜨린다.","필립과의 우정이 응원에서 구체적 타격 교정으로 깊어지고, 매든은 주혁의 자율적 경기 설계를 더 신뢰한다.","세 구종 신인에서 투심을 개발하는 네 구종 선발로, 화제성 투타 선수에서 한 경기 승리를 혼자 닫는 에이스로 성장한다.","투심은 아직 실험 단계이고, 임시 지명타자 기용을 장기 운영으로 바꾸려면 체력·보직 합의가 필요하다.","올스타 휴식 동안 투심을 완성한 주혁은 플로리다전에서 이를 공개하고 매든의 정식 투타 겸업 제안을 받는다.","양키스전에서 구속 각인-체인지업 전환이라는 선발 패턴 실험이 결산된다; 47화부터 완성한 투심 공개와 정규 지명타자 계약이라는 능력·보직 변화가 시작된다.","high"
"RA-008","정식 투타 겸업과 10승-10홈런","47","57","47화","57화","11","윤주혁, 조 매든, 필립 모리스, 브라이언 무어, 카를로스 페냐, 윤상현, 앤드류 프리드먼.","탬파베이 레이스, 플로리다·토론토·미네소타·에인절스·디트로이트·텍사스·보스턴전.","완성한 투심으로 다섯 번째 승리를 거둔 주혁이 정규 지명타자까지 맡아 투수 승수와 타자 홈런을 동시에 두 자릿수로 올리고 팀을 지구 우승으로 이끈다.","정식 투타 겸업의 체력·부상·불펜 변수를 견디며 현대 야구 최초의 10승-10홈런과 지구 우승을 함께 얻을 수 있는가.","매 경기의 홈런·무실점·위기 탈출이 장기 누적되어 베이브 루스 이후 끊긴 기록과 포스트시즌 진출로 겹친다.","정규 지명타자 병행, 무사 만루 불운, 세 선발의 피홈런 학습, 부상과 투구 수 제한, 텍사스전 불펜 승리 소멸이 기록 달성을 흔든다.","플로리다전 7과 3분의 1이닝 무실점 뒤 정식 투타 겸업을 받아들이고, 토론토전 그랜드슬램과 연속 선발승으로 역할을 성적으로 고정한다.","10승 뒤 에릭 크리스의 스플리터를 시즌 10호 홈런으로 만들어 현대 야구 첫 10승-10홈런을 달성하고, 11승 3패 평균자책점 2.31·타율 0.355 12홈런으로 동부지구 우승을 확정한다.","매든은 상황별 카드가 아니라 중심 타순·선발을 함께 맡기는 감독이 되고, 무어·페냐·필립은 기록 도전과 복귀를 함께 축하하며, 아버지 윤상현도 미국에서 아들의 성공을 직접 지켜본다.","네 구종 선발이자 정규 지명타자로 공식화되고, 10승-10홈런을 쓴 국제적 스타·신인왕 선두·지구 우승팀 핵심이 된다.","불펜 의존과 제한 투구 수로 루스 승수 추격은 좌절되고, 짧은 휴식의 포스트시즌 투타 병행이 기다린다.","ALDS 1차전에서 주혁은 클리프 리와 텍사스를 상대로 지명타자·주자·선발 역할을 연속 수행한다.","정규시즌 최종전과 동부지구 우승·개인 시즌 기록이 57화에서 확정된다; 58화부터 ALDS라는 단기전 규칙과 텍사스 상대 시리즈 목표가 시작된다.","high"
"RA-009","텍사스 ALDS 원맨 분투와 탈락","58","64","58화","64화","7","윤주혁, 필립 모리스, 카를로스 페냐, 데이비드 프라이스, 클리프 리, C.J. 윌슨, 블라디미르 게레로.","트로피카나 필드, 텍사스 레인저스와의 아메리칸리그 디비전시리즈.","지구 우승팀 탬파가 텍사스와 ALDS를 치르는 동안 주혁은 대주자·중심타자·2차전 선발을 오가며 시리즈를 혼자 붙든다.","한 선수의 압도적 투타 성적이 흔들리는 선발진과 타선 구조를 넘어 팀을 다음 라운드로 올릴 수 있는가.","1차전 동점포, 2차전 압도적 선발승, 3차전 장타가 연속되는 포스트시즌 원맨 쇼와 그 한계를 함께 보여 준다.","1차전 프라이스 실점과 8대7 패배, 이틀 간격 출전, 페냐 부상, C.J. 윌슨과 동료 선발 붕괴가 주혁에게 매 경기 해결을 요구한다.","1차전 패배 뒤 주혁이 2차전 7과 3분의 2이닝 무실점 14K로 9대0 승리를 만들어 시리즈를 원점으로 돌린다.","3차전 2타점 2루타와 12구 승부 끝 2점 홈런으로 5대5까지 만들지만 팀은 탈락하고, 개인은 17타석 13타수 8안타 2홈런 7타점 6득점 5볼넷을 남긴다.","페냐와 필립은 주혁에게 득점 지원과 타순 신뢰를 주지만, 동료들의 기여만으로 시리즈 전체를 지탱하기 어렵다는 팀 관계의 한계가 드러난다.","신인왕 후보에서 단기전 14K 선발승과 고타율을 동시에 남긴 포스트시즌 에이스로 올라선다.","개인 최고 성적에도 팀 탈락을 막지 못한 무력감과 로스터 전력의 한계가 남는다.","시즌이 끝난 주혁은 한국으로 돌아가 가족·에이전시 계약을 바로잡고 광저우 대표팀에 합류한다.","ALDS 탈락으로 메이저리그 팀 시즌이 공식 종료된다; 65화부터 한국 귀국·가족 화해·국내 에이전시 선별이라는 장소와 목표가 전환된다.","high"
"RA-010","귀국과 믿을 계약, 대표팀 준비","65","67","65화","67화","3","윤주혁, 윤상현, 임혜정, 김창섭, 박성현, 황영수, 추신우.","한국의 주혁 본가, 라온 에이전시, 부산 훈련 시설, 광저우 대표팀 합류선.","포스트시즌 탈락 뒤 귀국한 주혁이 전생에서 가족과 이미지를 망친 황영수를 피하고 작은 라온과 신뢰 중심 계약을 맺는다.","메이저리그 성공을 지킬 국내 관계망을 새로 고르고 국가대표 일정으로 안전하게 넘어갈 수 있는가.","회귀 지식이 경기뿐 아니라 가족 표현, 계약 상대 선별, 매니저 채용을 바꾸어 커리어 기반을 보호한다.","황영수의 독단 계약·광고 선금 문제가 숨어 있고, 작은 라온은 스타를 관리할 운영 인력이 부족하며 대표팀 일정도 임박한다.","주혁의 라온 선택으로 황영수의 계획이 막히고, 김창섭이 경험 많은 박성현을 영입해 전담 매니저로 붙인다.","박성현과 형·동생 신뢰를 만들고 추신우의 조언, 부산 훈련 시설, 24인 국가대표 자리를 확보한다.","부모에게 처음 사랑을 말해 가족 관계를 복원하고, 황영수 대신 김창섭·박성현을 커리어 동반자로 선택하며 추신우와 선후배 연결을 강화한다.","귀국한 개인 스타에서 국내 관리 체계를 갖춘 국가대표 우완투수로 이동한다.","라온은 여전히 작은 조직이고, 국가대표에서 실제 보직과 국제대회 성과는 아직 정해지지 않았다.","신인왕 발표 직후 주혁은 광저우 대표팀에서 대만을 상대하며 금메달 임무에 들어간다.","박성현 전담·대표팀 24인 합류로 국내 계약 정비가 끝난다; 68화부터 신인왕 공식 수상과 광저우 국제대회 경기라는 새 커리어·팀 목표가 열린다.","high"
