arc_id,arc_name,start_sequence,end_sequence,start_label,end_label,episode_count,main_characters,main_locations,concrete_premise,central_question,promise,pressure_escalation,mid_turn,concrete_payoff,relationship_change,status_or_ability_change,residual_cost,next_arc_bridge,boundary_signals,confidence
"S03-A01","35 대 30 부회장 선출전",103,107,"103화","107화",5,"조도겸·조문홍·조도훈·라칼·칼리안·김정웅·0호기","세운 본사·백두빌딩·아부다비 칼리안 저택·외할머니 식당·주주총회장","조문홍의 사고 뒤 두 아들이 세운그룹 후계자를 주주투표로 정하고 라칼과 칼리안의 중동 자금까지 표 대결에 들어온다.","조도겸은 25조 원 규모 자금전과 암살·해킹을 견디고 형보다 많은 표를 얻을 수 있는가?","마법 방탄복을 자금과 표로 바꾸고 가족 식탁의 승복 약속을 공식 부회장 호칭으로 결산한다.","라칼의 10조 원 지원에 이어 개인주주 여론전·재방파 100명 습격·김정웅 배신·화물차 암살·100곳 이상 투표 해킹이 겹친다.","칼리안이 방탄복 시연 뒤 10조 원을 당일 송금하고 조도겸은 체인 라이트닝·어스 메모리로 암살조와 배신 대주주를 제압한다.","주주투표 35% 대 30% 승리 뒤 조문홍이 직접 손을 들어 주고 조도겸 부회장이라고 부른다.","칼리안은 단순 투자자가 아니라 채권자이자 친구가 되고 조문홍은 막내를 공개 후계자로 인정하며 조도훈과는 승복 불가능한 적대가 굳어진다.","조도겸은 6서클 광역 전격마법을 얻고 20대 세운그룹 부회장으로 올라선다.","칼리안에게 진 10조 원과 라칼·조도훈의 복수 위험이 남는다.","부회장 지위를 현금흐름으로 바꾸기 위해 세운전자 사장을 겸임하고 마법 가전 사업에 들어간다.","범위 경계: 첫 표제가 전면전(2)여서 실제 시작은 102화 이전과 병합 검토가 필요함; 확대: 언론전에서 물리적 암살·해킹전으로 압력이 변함; 종료: 35 대 30이라는 정량 결산과 부회장 호칭이 지급되고 다음 날 새 직무가 시작됨","medium"
"S03-A02","마법 가전으로 여는 세운전자",108,109,"108화","109화",2,"조도겸·이동일·오민규·황연우·김건웅·칼리안","세운전자 사장실·가전 연구라인·국내 매장","막 부회장이 된 조도겸이 칼리안의 10조 원을 갚기 위해 조도훈 파벌이 남은 국내 가전 3위 세운전자를 직접 맡는다.","하루 만에 만든 마법 각인 가전 다섯 종을 실제 매출과 연간 상환 재원으로 전환할 수 있는가?","옛 적의 90도 인사와 공기청정기·냉장고·에어컨·세탁기·건조기의 시장 성과를 함께 지급한다.","조도훈계 임원진과 낮은 국내 순위에 더해 다섯 제품 로열티만으로는 연 1조 원 상환액이 부족하다.","프로즌 포그·퓨리피케이션·클린·드라이를 제품에 각인해 프리미엄 라인을 만들고 바이러스 제거 성능으로 소비자 선택을 바꾼다.","두 달 만에 판매량이 50% 늘고 국내 점유율 30% 진입 전망과 DK 연 2천억 원 로열티가 생긴다.","이동일을 포함한 기존 임원들이 조도겸을 부회장님으로 대하며 취임 권력이 조직 안에서 가시화된다.","조도겸은 부회장 겸 세운전자 사장으로 적진을 접수하고 세운전자는 프리미엄 가전 강자로 재평가된다.","연 2천억 원 로열티는 10조 원 원금의 연 1조 상환에 부족하고 해외 인지도도 낮다.","칼리안의 중동 연회 판로와 세운음향의 선행 스마트폰 특허로 확장한다.","시작: 부회장 선출 다음 날 직무·장소가 세운전자 사장실로 바뀜; 전개: 후계 표 경쟁 대신 다섯 제품 상용화가 목표가 됨; 종료: 판매량 50%·점유율 30%라는 수치가 지급되고 중동·스마트폰 과제가 열린다.","high"
"S03-A03","중동 주문과 스마트폰 법전",110,111,"110화","111화",2,"조도겸·칼리안·오민규·조문홍·미국 대사","아부다비 칼리안 저택·세운음향 기술관·세운 본사","가전의 해외 판로를 찾던 조도겸이 칼리안의 왕족 인맥과 세운음향의 8년 선행 특허를 묶어 스마트폰 사업을 시작한다.","중동 주문을 따내는 동시에 배터리·통신법 장벽을 넘어 매지션 출시 기반을 만들 수 있는가?","왕족 주문·선행 특허·아버지의 경영 인정을 한 묶음으로 보상한다.","세운 휴대폰 매출이 미국 스마트폰 때문에 급락하고 3대 통신사와 로비 정치인이 와이파이폰 출시를 막는다.","칼리안 연회 약속으로 공기청정기 30만 대 주문을 만든 뒤 터치·디자인·잠금 특허가 A플보다 앞섰음을 연구진에게 공개한다.","배터리 성능을 30% 올리고 조문홍·미국 대사를 움직여 미국 정부의 FTA 위반 검토 발표까지 끌어낸다.","조문홍이 막내를 부회장으로 선출하길 잘했다고 말하며 부자는 법 개정 목표를 함께 미는 팀이 된다.","세운전자·세운음향 합작 스마트폰이 내년 초 출시 가능한 사업으로 바뀌고 조도겸은 국제 여론전 지위를 얻는다.","법은 아직 개정 전이고 통신 카르텔의 보복과 A플 유사성 의혹이 남는다.","단말기 자급제 통과와 샌프란시스코 매지션 공개로 이어진다.","시작: 장소가 국내 가전라인에서 칼리안 저택·세운음향 기술관으로 이동하고 목표가 스마트폰으로 바뀜; 중간: 제품 병목이 통신법 정치전으로 확대됨; 종료: 아버지의 직접 인정과 미국 정부 공식 발표가 나오고 다음 화가 법 시행·발표회로 전환된다.","high"
"S03-A04","매지션 특허 역전",112,113,"112화","113화",2,"조도겸·0호기·코일 이전의 세운 연구진·CT통신·A플 관계자·미국 언론","샌프란시스코 매지션 발표장·미국 여론장","단말기 자급제를 연 조도겸이 지문 인식과 0호기 기반 음성 AI를 갖춘 매지션을 공개하자 A플 기술 도용 의혹이 제기된다.","이름 없는 한국 기업이라는 불신을 8년 특허와 실물 기록으로 뒤집어 세계 주문을 받을 수 있는가?","제품 시연의 기립박수 뒤 도용 공격까지 선행 특허·실물 5대로 역전해 판매 폭발을 준다.","CT통신은 국내 제조사 보복을 감수하고 미국 관계자·해외 커뮤니티는 세운의 선행 기술을 조작이라고 공격한다.","세운음향 특허증·8년 연구 영상·4년 전 한정 제작 스마트폰 5대를 현장에서 공개해 모방 의혹의 시간축을 뒤집는다.","2008년 1월 자급제가 시행되고 100만 대 선주문·연 1천만 대 목표·DK 월 900억 원 로열티가 생긴다.","통신사·미국 고객과 새 동맹이 열리고 세운 연구진은 변방 개발자에서 A플과 맞서는 원천기술 보유자로 인정받는다.","세운전자는 세계 스마트폰 혁신기업으로 재평가되고 조도겸은 0호기 AI를 공개 제품에 연결한다.","A플과 특허 공방 가능성이 남고 해외 인지도를 맡을 세계적 얼굴이 필요하다.","케임브리지의 코일 박사를 세운전자 CTO로 영입하는 간판 Arc로 넘어간다.","시작: 법 개정 준비가 실제 시행일·글로벌 제품 발표로 전환됨; 중간: 발표 성공 직후 도용 의혹이라는 반대 방향 압력이 발생함; 종료: 100만 대 선주문과 월 900억 로열티로 결산되고 다음 목표가 세계적 간판 영입으로 명시된다.","high"
"S03-A05","코일 박사의 두 팔",114,115,"114화","115화",2,"조도겸·코일 박사·황연우·김건웅·세운전자 연구진","케임브리지·세운전자 연구소·CES 무대","해외 신뢰가 부족한 세운전자가 세계적 석학 코일에게 생각을 음성으로 바꾸는 헤드셋과 마법 기계팔을 보여 준다.","돈으로 움직이지 않는 코일을 실제 연구 동료로 만들고 그의 명성을 제품 판매로 연결할 수 있는가?","30년 교수직을 떠난 CTO 영입·CES 기립박수·두 번째 기계팔·창립멤버 승진을 함께 지급한다.","코일은 원리를 숨긴 기술을 홍보해야 하는 데 자존심이 상하고 내부 연구진도 핵심 원리를 설명하지 못한다.","마인드 리딩 헤드셋을 통해 코일의 생각을 목소리로 바꾸자 코일이 기술 곁에 있기 위해 CTO 계약에 서명한다.","CES 뒤 매지션 월 200만 대·연 2천만 대 전망과 월 1천억 원대 로열티가 생기고 황연우·김건웅은 상무가 된다.","코일은 광고용 간판에서 핵심 동료로 들어오고 황연우·김건웅은 창립멤버에서 정식 상무 호칭을 얻는다.","코일은 양팔 기계장치를 얻고 세운전자는 세계적 CTO를 보유한 기술기업이 된다.","코일은 설명되지 않는 동력원에 대한 불신을 품고 조도겸은 마정석 비밀을 어디까지 공개할지 선택해야 한다.","마정석 일부 공개를 계기로 코일을 세운스페이스 동업자로 격상하고 DK통신 인수에 나선다.","시작: 문제의 초점이 제품 판매에서 특정 인물 코일 영입으로 이동함; 중간: 악수·CTO 계약으로 관계가 전환됨; 종료: CES 매출 수치와 상무 승진이 지급되는 동시에 코일의 기술 불신이 다음 Arc의 직접 발단이 된다.","high"
"S03-A06","DK통신과 위성망의 씨앗",116,119,"116화","119화",4,"조도겸·코일 박사·황연우·조주영·0호기·조민우","세운전자 연구소·거제 조선소·일본 직통 해저망·서울 자율주행 노선·세운건설 사장실","코일의 기술 불신을 풀기 위해 마정석과 수만 위성 와이파이 비전을 일부 공개한 조도겸이 지역 통신사 7개를 묶어 DK통신을 세운다.","적자 지역 통신사를 자체 해저망·위성·기지국·세운 계열 고객을 가진 4위 도전자로 만들 수 있는가?","비밀 공유로 얻은 코일의 신뢰와 마법 인프라가 실제 가입자·주가·아파트 통신망으로 환전되는 연쇄 보상이다.","월 수십억 적자·2조5천억 해저망 견적·위성 매각 뇌물 위험에 이어 메이저 3사가 지자체·환경단체·가격 담합으로 기지국을 막는다.","800억 원 중고 케이블선을 선박 골렘으로 바꾸고 대한통신 위성·주파수를 확보한 뒤 코일의 무인 전기차 알파 서울 주행으로 대중 인지도를 만든다.","조주영이 세운그룹의 미래가 부회장님 손에 달렸다고 말하며 층간소음 사일런트 기술과 맞바꿔 세운건설 아파트 통신망을 연다.","코일은 간판에서 비밀을 공유한 우주 동업자로 바뀌고 조주영은 조도겸에게 무조건 따르겠다는 충성을 직접 표현한다.","DK통신은 지역사 묶음에서 국제 해저망·위성 독점권·계열 고객을 가진 4위권 도전자가 되고 조도겸은 인비지빌리티를 개방한다.","불법 금괴 거래의 수사 위험과 메이저 3사의 치킨게임이 남으며 낮은 서클 개방은 7서클 진입을 늦춘다.","2008년 금융위기 기억으로 2조 원 하락 베팅을 걸어 통신전과 우주사업 자금을 마련한다.","시작: 코일의 불신 장면이 마정석 공개·통신사 인수 계약으로 전환됨; 확대: 사내 기술 문제가 해저망·위성·지자체 카르텔 전쟁으로 커짐; 종료: 조주영의 직접 인정과 세운건설망 확보 뒤 가격전·대규모 자금 문제가 남고 다음 화가 2008년 투자로 시작된다.","high"
"S03-A07","서브프라임 8조 결산",120,122,"120화","122화",3,"조도겸·홍 사장·황연우·김건웅·칼리안·0호기","백두빌딩·미국 금융시장·DK통신 해저망·창립멤버 파티장","2008년 노래로 금융위기를 떠올린 조도겸이 DK 유동자금 2조 원을 모기지 파산보험과 리먼브라더스 공매도에 건다.","통신 카르텔의 물리 공격을 버티면서 미래 지식을 10조 원 부채와 우주 자금을 해결할 현금으로 바꿀 수 있는가?","리먼 파산의 8조 원 수익과 창립멤버 세 사람의 각 100억 원 성과급 파티를 지급한다.","대한통신 금괴 수사와 메이저 3사의 기지국 염산 테러가 겹치고 미국 4대 금융사 파산을 믿기 어려운 내부 의심도 있다.","해양 골렘으로 경쟁사 공용 해저케이블을 끊어 DK망만 정상인 일주일을 만들고 점유율 4위까지 오른다.","8조 원 수익을 1조 상환·4조 세운주식·3조 우주사업에 배치하고 홍 사장·황연우·김건웅에게 각각 100억 원을 준다.","홍 사장에 대한 신뢰가 2조 원 전권 위임으로 확인되고 창립멤버들은 피고용인이 아니라 현금 보상을 공유한 전우가 된다.","DK는 4위 통신사와 8조 원 투자 수익을 가진 조직으로 커지고 칼리안 원금의 첫 1조 상환 재원이 생긴다.","카르텔 전쟁은 끝나지 않았고 우주 규제 해제도 필요하며 마지막에 조문홍을 노린 칼잡이가 등장한다.","도재방의 습격과 조문홍의 죽음이 금융 승리의 분위기를 끊고 유산·회장 승계 Arc를 연다.","시작: 통신 인프라 목표에서 특정 날짜의 미국 금융 베팅으로 중심 목표가 바뀜; 중간: 기지국 테러와 해저케이블 보복이 투자 대기 구간을 압축함; 종료: 리먼 파산·8조 원·100억 원씩이라는 수치 보상 뒤 조문홍 습격 훅이 새 가족 위기를 연다.","high"
"S03-A08","조문홍의 유산과 회장 상석",123,124,"123화","124화",2,"조도겸·조문홍·조도훈·조도영·도재방·세운 사장단","세운 본사 앞·조문홍 장례식장·세운 본사 사장단 회의실·조문홍 저택","도재방의 칼을 방탄복으로 막은 조문홍이 다음 날 갑작스럽게 사망하고 유언으로 막내에게 30% 지분·저택·회장직을 남긴다.","조도겸은 아버지의 죽음과 8조 원 상속세·구세대 사장단 불신을 감당하고 실제 회장 자리를 차지할 수 있는가?","1만 명 장례·유언 공개·사장단의 일제 기립과 회장님 호칭으로 세대 승계를 장면화한다.","막대한 상속세와 세운생명·카드 파벌의 노골적 무시가 회장 취임 직후 동시에 덮친다.","DK 보유 세운주식을 매도해 주가를 낮추는 상속세 전략과 반대 계열사 매각을 첫 사장단 회의에서 선언한다.","상속세 전망이 8조 원에서 3조 원대로 낮아지고 모든 사장이 일어나 조도겸 회장에게 고개를 숙인다.","아버지와 아들의 관계는 유언으로 최종 인정되며 남은 사장단은 어린 후계자를 시험하는 집단에서 회장에게 복종하는 조직으로 바뀐다.","조도겸은 부회장에서 세운그룹 회장·30% 지분 상속인·아버지 저택의 주인이 된다.","조문홍 상실의 정서적 비용과 3조 원대 세금·매각 계열사 후속처리가 남는다.","회장 권한과 매각 자금 2조 원을 세운스페이스 창립·한미 미사일 지침 개정에 투입한다.","시작: 창립멤버 파티에서 조문홍 습격·사망·장례라는 가족 사건으로 톤이 급전환됨; 중간: 유언이 부회장 경쟁을 회장 승계로 종결함; 종료: 사장단 기립·회장님 호칭·상속세 수치가 결산되고 다음 목표가 세운스페이스로 명시된다.","high"
"S03-A09","미사일 지침을 사는 대선 베팅",125,126,"125화","126화",2,"조도겸·칼리안·존 데스타·오바마·로버트 국방장관·코일 박사","미국 대선 인맥 접촉처·세운스페이스 기자회견장·세운 본사","민간 로켓을 막는 한미 미사일 지침을 풀기 위해 조도겸이 미국 차기 정권에 선거자금·공장·코일 지지연설·방탄 장비를 묶어 건다.","한국 재벌 회장이 미국 대선 결과를 이용해 민간 고체연료·우주사업 규제를 실제로 흔들 수 있는가?","차기 권력 핵심의 개정 약속과 코일 앞에서 연 1조 원 우주투자를 선언하는 인정 장면을 지급한다.","현 정부 통로가 막혀 있고 2천억 선거자금·2조 미국 공장 등 거액을 걸어야 하며 약속과 실제 법 개정 사이 시차가 있다.","오바마 당선 직후 존 데스타가 내년 초 지침 개정과 로버트 국방장관 유임을 직접 알려 온다.","세운스페이스·연 1조 원 투자가 공개되고 세운 주가가 상한가로 반전하며 DK통신 가입자도 늘어난다.","코일과 조도겸은 숨긴 기술의 고용 관계를 넘어 우주라는 꿈과 조 단위 자본을 교환하는 동업자로 굳어진다.","조도겸은 미국 차기 권력과 직통하는 국제 협상자가 되고 세운스페이스는 공식 계열사로 출범한다.","지침은 아직 발효 전이고 실제 로켓 기술·발사대·추가 7서클 매출이 부족하다.","OTT 현금화·세운조선 구원·실제 고체연료 허가를 거쳐 돌산도 우주센터로 간다.","시작: 회장 취임 뒤 첫 외부 목표가 미국 대선·미사일 지침으로 명확히 교체됨; 중간: 당선 결과와 존 데스타 전화로 협상 가능성이 확인됨; 종료: 기자회견·상한가·공식 계열사라는 공개 보상 뒤 OTT와 실제 개정이 별도 과제로 열린다.","high"
"S03-A10","OTT·세운조선·고체연료",127,129,"127화","129화",3,"조도겸·마이크·정철인·칼리안·조민우·0호기·오바마","롤북 협상장·거제 세운조선 해양플랜트 현장·피시방 채굴망·한미 정상 브리핑","세운스페이스 자금을 벌려던 조도겸이 롤북과 OTT를 만들고 파산 위기의 세운조선 해양플랜트까지 직접 구하면서 미사일 지침 발효를 기다린다.","미디어와 조선이라는 두 사업을 동시에 살리고 우주개발의 법적 출발선까지 받을 수 있는가?","메이저 저작권 확보·세운조선 월급과 납기 회복·우리의 희망이라는 호칭·고체연료 허가 환호를 연속 지급한다.","OTT에는 2조 원이 필요하고 세운조선은 5조 수주가 파산을 부르며 해양플랜트 200곳 각인·15곳 골렘화의 현장 비용이 크다. 조민우는 별도 비트코인 경쟁을 시작한다.","0호기와 마법으로 80개 모듈 절반을 제때 출항시키자 정철인 사장이 조도겸을 우리 세운조선의 희망이라 부른다.","오바마 방한 브리핑에서 민간 고체연료 허가가 확인되고 조도겸이 두 팔을 들며 세운 주가도 상승한다.","정철인과 소외 계열사 직원들은 젊은 회장을 구조조정자가 아니라 생존을 돌려준 구원자로 인정하고 마이크는 글로벌 사업 파트너가 된다.","세운조선 납기 능력이 복구되고 조도겸은 실제 민간 로켓을 시작할 법적 자격과 OTT 저작권망을 얻는다.","잔여 모듈·LNG선 수주와 7서클까지 추가 20조 원 매출이 남고 조민우의 비트코인 채굴이 경쟁선으로 열린다.","여수 돌산도 센터의 국제 인력과 러시아 발사대·엔진 확보로 우주사업이 물리적 제작 단계에 들어간다.","시작: 대선 협상에서 OTT 현금화·거제 조선 현장으로 인물과 장소가 이동함; 중간: 정철인의 희망 호칭과 절반 출항이 조선 위기를 결산함; 종료: 고체연료 허가라는 제도적 종결 신호와 돌산도·러시아 기술이라는 다음 장소가 동시에 제시된다.","high"
