arc_id,start_sequence,end_sequence,pacing_reading,avg_tension,avg_reward,avg_hook,peak_tension_sequence,peak_tension_label,peak_tension_event,peak_tension_score,peak_reward_sequence,peak_reward_label,peak_reward_event,peak_reward_score,peak_hook_sequence,peak_hook_label,peak_hook_event,peak_hook_score,avg_information,avg_action,avg_relationship,avg_emotion,avg_material_or_status
DCA-N01,1,10,"파텍필립 폭로와 계좌 지급은 빠르게 통과하고, 독자가 오래 머무는 곳은 한정훈 팀이 실제 주문을 넣고 수익 숫자를 확인하는 거래실이다. 10화는 추천서 원본이 아니라 조지·짐의 작성 약속과 40억 달러 운용여력으로 첫 관계·물질 봉우리를 만든다.",7.50,6.80,7.50,1,1화,김택훈 앞에서 17세답게 행동하고 김태중 생일연회에서 납품가를 호소하는 협력업체 사장의 10억 원 파텍필립 시계를 폭로한다.,9,6,6화,유가가 하루 만에 두 배 뛰자 30달러 매도를 지시하고 장수영의 미래 배신을 기억한 뒤 김태중에게 전담팀 동행 미국 유학을 설득한다.,9,5,5화,한정훈에게 사표와 미국 법인 설립을 지시하고 사우디에서 어린 무함마드 빈 살만과 놀며 살만에게 왕실 보석 절도범 끄리앙끄라이를 고발한다.,9,0.220,0.245,0.231,0.113,0.191
DCA-N01B,11,15,"공직자 펀드와 학업 성과는 짧게 쌓고, 김태중의 식탁 환대에서 관계 호흡을 늦춘다. 마지막 배터리 자료 전달은 계약이 아니라 다음 산업선의 작은 훅으로만 작동한다.",6.60,7.20,7.20,14,14화,데이비드에게 클린턴 1천만 달러·푸틴 500만 달러 지원을 맡기고 하버드 조기졸업용 7인 대필·기출 분석팀을 둔 뒤 SAVE에서 조지와 영국 공격을 정산한다.,8,14,14화,데이비드에게 클린턴 1천만 달러·푸틴 500만 달러 지원을 맡기고 하버드 조기졸업용 7인 대필·기출 분석팀을 둔 뒤 SAVE에서 조지와 영국 공격을 정산한다.,8,14,14화,데이비드에게 클린턴 1천만 달러·푸틴 500만 달러 지원을 맡기고 하버드 조기졸업용 7인 대필·기출 분석팀을 둔 뒤 SAVE에서 조지와 영국 공격을 정산한다.,9,0.254,0.220,0.262,0.128,0.136
DCA-N02,16,31,부품·장부·계좌를 하나씩 대조하는 조사 구간이 길고 징계 숫자는 말미에 몰린다. 해고 자체보다 노동자 반응과 김태중의 승인에 시간을 써 첫 기업복수의 납득을 만든다.,7.06,6.12,7.62,21,21화,`좋은 게 좋은 것`이라는 김태중 논리에 태우 몰락의 원인을 말하고 자신을 공신을 자를 이방원에 비유하며 지원을 끊겠다는 협박에도 독립 성공 능력으로 맞선다.,9,23,23화,"파생계약을 120억 달러와 애플·포드 각 20퍼센트 지분에 넘기고, 다섯 감사팀장에게 창원 비리 윗선을 찾으라 압박하며 정수철의 이준수 동창 관계와 아파트 세 채를 확인한다.",8,21,21화,`좋은 게 좋은 것`이라는 김태중 논리에 태우 몰락의 원인을 말하고 자신을 공신을 자를 이방원에 비유하며 지원을 끊겠다는 협박에도 독립 성공 능력으로 맞선다.,10,0.238,0.265,0.247,0.113,0.137
DCA-N03,32,52,연구소의 부족한 부품과 생산압박을 오래 체류한 뒤 재고·주문 숫자가 보상으로 터진다. 박진훈 퇴장은 제품 성공 뒤 짧게 배치돼 기술 승리가 복수보다 먼저 보인다.,6.81,6.81,7.76,45,45화,"로마네콩티와 사례금으로 톰슨 임원을 설득해 특허를 총 100억 원에 매입하고, 붕괴 소식 직후 대통령실과 조율해 크레인·중장비·의료진 전면 지원을 제안한다.",9,52,52화,정정기사 뒤 이노폰 30만 대를 즉시 팔고 미국 30만·유럽 10만·한국 10만 주문 속에 박진훈을 축출한다,10,36,36화,제프리의 아마존 지분 49퍼센트와 지원을 재확인하고 구디너프에게 5억 달러 연구 성과·5퍼센트 지분을 주며 TDK 상용화를 계획한 뒤 데이비드가 잡은 채식식당 미팅에 나간다.,9,0.237,0.265,0.248,0.094,0.156
DCA-N04,53,71,지분·차입·조선 계약의 정보량이 큰 구간이라 회의는 압축하고 실제 도장과 제품팀 이동에서 멈춘다. 71화는 디지털케이스 양도·50억 원 지급 약속과 세계화 동의를 주되 공식 발령은 다음 실행으로 남긴다.,6.68,7.05,7.74,68,68화,국민연금·명동·은행 지분으로 찬성 30% 대 반대 25%를 만들어 매각안을 통과시킨 뒤 CES에 슬라이드폰·가전·엠피맨을 전시하고 스티브에게 엠피맨을 건넨다,9,53,53화,김태중에게 태우전자 지분을 상속받아 만장일치로 사장에 취임한 뒤 현재그룹 장 회장의 자금난을 듣고 SAVE 자금으로 차입을 유도할 미끼를 던진다,10,57,57화,SAVE가 넥스트 5억 달러 인수금을 내고 미래 소프트웨어 권리를 받아 잡스를 애플 CEO로 복귀시킨 뒤 다이먼이 태우중공업 지분 구조를 검토한다,9,0.209,0.228,0.283,0.101,0.179
DCA-N05,72,77,"자동차 판매 숫자는 빠르게 지급하고, 음원·HTS·전자상거래 담당자를 묶는 조직회의에 시간을 배분한다. 77화의 자유출퇴근은 작은 관계 보상 뒤 외환위기 훅을 세운다.",5.67,6.83,7.17,72,72화,사장급 기획본부장이 되어 루마니아산 태우차 중국 판매를 설계하고 쩡훙친을 만난다,6,75,75화,중국 판매 2만 대·월 5천 대 실적으로 포드·태우·상하이자동차 3자 합작을 타결한다,8,73,73화,쩡훙친의 아들 안전과 체면을 지켜 중국 판매 허가·관세 우대를 받고 포드 합작안을 꺼낸다,8,0.255,0.217,0.303,0.068,0.157
DCA-N06,78,86,환율·부채표는 촘촘히 설명하되 실제 체류는 김태중이 차입방향을 바꾸는 순간과 외화가 계좌에 들어오는 영수증에 둔다. 애플 반등은 다음 인수전으로 속도를 붙인다.,6.44,7.33,7.67,79,79화,SAVE 150억 달러와 퀀텀 자금을 태국에 걸고 이선일의 한보 부도 정리를 확인한 뒤 계속 기업을 사려는 김태중 앞에서 대한민국이 부도난다고 선언한다,8,84,84화,환율 정점에 아람코 자금 100억 달러를 옮겨 태우 모든 부채를 갚고 SS오일 지분을 협상한다,9,84,84화,환율 정점에 아람코 자금 100억 달러를 옮겨 태우 모든 부채를 갚고 SS오일 지분을 협상한다,9,0.246,0.208,0.278,0.090,0.179
DCA-N07,87,90,채권단 가격싸움은 빠르게 압축하고 곤의 조건·권한 대화를 길게 둔다. 자동차 소유권과 경영자 영입이 지급된 직후 고연진과의 짧은 첫 맞선이 다음 관계 질문만 연다.,5.75,7.50,8.00,88,88화,카이자동차 채권단에 현금 3조5천억 원을 달러로 제시해 현재자동차의 출자전환안을 압도한다,7,88,88화,카이자동차 채권단에 현금 3조5천억 원을 달러로 제시해 현재자동차의 출자전환안을 압도한다,8,88,88화,카이자동차 채권단에 현금 3조5천억 원을 달러로 제시해 현재자동차의 출자전환안을 압도한다,9,0.218,0.210,0.282,0.072,0.218
DCA-N07B,91,95,승계 욕망을 확인하는 대화가 중심이고 자산목록은 교환표처럼 짧게 지나간다. 95화의 지분·법인 권리가 물질 보상을 주고 건설 수주공백으로 결을 바꾼다.,5.80,7.00,6.80,91,91화,고연진에게 장녀 승계를 부추기고 아이돌 팬덤을 겨냥한 방송 3사 베리뮤직 후원을 지시한다,6,93,93화,애국 펀드가 일주일 만에 3조를 모으자 백화점 매각설을 흘려 CL이 먼저 협상하게 만든다,8,94,94화,고승택에게 태우카드·백화점과 CL통신·배터리 교환 및 현재그룹 견제 이익을 제시해 합의를 끌어낸 뒤 스타벅스 한국법인 50대50 독점안을 준비한다,8,0.228,0.228,0.294,0.064,0.186
DCA-N07C,96,97,"96화는 7%·40년·컨소시엄 구조를 설계하는 협상에 머물고, 97화에서 9호선만 서명계약으로 지급된다. 거가대교와 태우건설 주 시공은 구체안을 얻었어도 계약 전이라 다음 훅이 된다.",6.00,6.50,7.50,96,96화,장수영이 외부 자금 없이는 수주가 불가능하다고 하자 SAVE·퀀텀 7퍼센트의 비밀 민자 컨소시엄을 설계한다,6,97,97화,조지에게 퀀텀 명칭과 지분 7% 투자를 받아 컨소시엄을 세우고 정부와 9호선 3조5천억 원·30년 MRG·요금결정·운영 계약에 날인한다. 9호선 확장 변경과 거가대교 1조9천억 원 전액투자·40년 운영안은 다이먼에게 협상하라고 지시한다.,8,96,96화,장수영이 외부 자금 없이는 수주가 불가능하다고 하자 SAVE·퀀텀 7퍼센트의 비밀 민자 컨소시엄을 설계한다,8,0.260,0.230,0.190,0.060,0.260
