sequence,visible_label,title,entry_state,reader_promise,protagonist_goal,action,resistance_or_cost,turn_or_reveal,paid_reward,state_change_axis,state_change,ending_hook,closed_loops,opened_loops,arc_candidate,confidence
"1","1화","법보다 주먹(완전판)! 1화","2025년의 박동철은 마산에서 늙어 가는 삼류 조폭으로 최문탁의 호출을 받는다.","밑바닥 인생에 마지막 서울 진출 기회가 떨어진다.","최문탁이 부른 뜻과 자신이 치를 대가를 파악한다.","황제 룸살롱에서 홍대 나이트와 클럽 운영 지시를 받고 부하들에게 서울행을 알린다.","썩은 동아줄 은 실장 계파였던 전력과 이유 없는 특혜가 동철을 불안하게 한다.","월드타워의 조 회장이 어린 시절 붕어빵을 준 동철을 친구로 기억해 최문탁에게 보호를 부탁했음이 드러난다.","동철은 아무 희생 없이 홍대 사업장을 받아 25년 만에 서울로 올라간다.","지위","마산의 변두리 행동대장에서 최문탁이 보호하는 홍대 업장 관리자로 격상된다.","선물의 배후를 모른 채 늦은 성공의 허무를 느끼며 홀로 걷는다.","최문탁의 갑작스러운 호출과 업장 배정","조 회장의 정체와 보호 이유; 선물의 대가","홍대 업장이라는 늦은 선물","high"
"2","2화","법보다 주먹(완전판)! 2화","서울 진출을 받고도 조폭 인생을 후회한 동철이 밤길을 걷는다.","후회뿐인 삶을 실제로 다시 선택할 기회가 열린다.","조폭이 아닌 새 인생을 얻는다.","ARS의 인생 초기화 질문에 1번을 누르고 싱크홀에 추락한 뒤 고3 교실에서 깨어난다.","상황을 이해하지 못한 채 학생주임에게 맞고 전교 꼴등이라는 과거와 마주한다.","열아홉 살 마산 고교 시절로 돌아왔고 예전 친구 조명득도 곁에 있음을 확인한다.","동철은 두 번째 삶과 대학 진학이라는 선택지를 얻는다.","세계","2025년의 늙은 조폭에서 고3 박동철로 시간이 되감긴다.","교실에 난입한 복학생 김수용이 학교 통 박동철에게 도전한다.","인생 초기화 선택; 회귀 여부 확인","회귀의 주체와 규칙; 대학 진학; 김수용의 도전","인생 리셋과 전교 꼴등의 대학 선언","high"
"3","3화","법보다 주먹(완전판)! 3화","회귀 첫날 김수용이 명득을 걷어차고 학교 통 자리를 요구한다.","전생의 주먹을 쓰되 과거의 폭군과 다른 선택을 한다.","학교 폭력을 청산하고 대학에 갈 출발점을 만든다.","김수용을 한 번에 제압하고 피해 학생에게 보호비를 받지 않겠다고 사과한 뒤 학생주임에게 공부법을 묻는다.","전교 꼴등의 학력과 이미 뜯은 거액의 보호비 때문에 경찰 고발과 소년원행이 임박했다.","학생주임이 과목 1등들에게 배우고 삥 뜯은 돈을 전부 돌려주면 신고를 보류하겠다고 마지막 기회를 준다.","교실은 김수용의 공포에서 벗어나고 동철은 검사라는 첫 꿈을 입 밖에 낸다.","관계","폭군인 학교 통이 피해 학생에게 사과하고 학생주임의 갱생 대상이 된다.","전교 꼴등 박동철이 검사가 되겠다고 선언한다.","김수용의 도전","보호비 반환; 대학·검사 진학; 창원 통과의 싸움","보호비를 토해 내고 검사가 되기","high"
"4","4화","법보다 주먹(완전판)! 4화","학생주임은 검사의 꿈을 비웃지 않고 갱생을 돕겠다고 한다.","주먹 대신 엉덩이로 버텨 공부하는 동철의 첫 실천을 본다.","공부할 교사와 생활 규율을 확보한다.","조명득에게 각 과목 1등들을 정중히 데려오게 하고 교내 금연을 선포하며 선도부장을 맡는다.","과목 1등들은 학교 통의 호출을 협박으로 오해하고 동철은 기초조차 알아보지 못한다.","학생주임이 선배들의 필기 노트를 주고 동철을 선도부장으로 세워 매일 아침 등교를 강제한다.","동철은 첫 야자에서 시간 가는 줄 모르고 수학 공식을 외우는 성취감을 맛본다.","능력","공부를 전혀 하지 않던 동철에게 과목별 또래 교사와 규칙적인 학습 루틴이 생긴다.","열 시까지 몰입한 동철 곁에서 명득은 만화책을 베고 잔다.","공부 조력자 모집; 선도부 임명","보호비 반환 자금; 전교 꼴등의 성적 상승","선도부 완장과 어린 선생들","high"
"5","5화","법보다 주먹(완전판)! 5화","첫 야자를 마친 동철은 보호비 반환 자금을 마련해야 한다.","과거의 폭력을 선한 주먹으로 갚으며 새로운 평판을 만든다.","아이들에게 돌려줄 돈을 구하고 밤길의 피해를 막는다.","명득과 귀가하다 불량 학생들에게 끌려가는 여학생을 구하기 위해 싸워 제압한다.","피해자를 돕고도 집단 폭행 가해자로 몰려 경찰서에 갈 위험을 감수한다.","구한 여학생이 마산 3대 얼짱 최은희이며 사건의 핵심 증언자임을 뒤늦게 기억한다.","최은희는 성폭행 위기에서 구출되고 동철의 주먹은 처음으로 타인을 지키는 데 쓰인다.","관계","동철과 최은희 사이에 생명의 빚과 목격자 관계가 생긴다.","경찰 조사에서 최은희가 무엇을 증언할지가 동철의 운명을 가른다.","최은희 구출","정당방위 인정; 보호비 반환금 마련","최은희 구출과 경찰행","high"
"6","6화","법보다 주먹(완전판)! 6화","동철과 명득은 수갑을 찬 채 경찰서에서 최은희와 가해자 측 조사를 받는다.","돈과 법을 믿는 가해자들을 상대로 응징의 판을 뒤집는다.","전과 없이 풀려나고 최은희 사건을 제대로 결산한다.","학생주임과 부모들 앞에서 사실관계를 버티며 명득이 깔아 둔 합의 협상을 지켜본다.","변호사 최우철의 아들 최영만을 포함한 가해자들은 돈과 법률 지식으로 사건을 덮으려 한다.","가해자 부모가 성폭행 미수보다 깽값으로 폭행을 합의하자고 나오며 법의 편향이 노골화된다.","동철 일행은 피해자가 아닌 구조자로 인정받고 가해자 측 돈을 역으로 받을 기회를 잡는다.","세계","동철은 법이 가진 자와 아는 자에게 유리하게 작동하는 현실을 체감한다.","법으로 안 되면 남은 것은 주먹뿐이라는 작품의 행동 원리가 선명해진다.","구조 행위의 정당성 확인","합의금 액수; 최우철의 뒤끝; 법과 주먹의 사용법","최은희 사건과 죽은 법","high"
"7","7화","법보다 주먹(완전판)! 7화","최우철 부자는 혐의를 부정하며 합의로 사건을 끝내려 한다.","명득의 재치와 동철의 위압으로 가진 자에게 비용을 물린다.","합의금을 받아 보호비를 돌려줄 재원을 마련하고 보복을 차단한다.","명득이 1천만 원을 제시하자 이를 현금으로 받아내고 동철은 최우철과 세 가해자를 따로 압박한다.","최우철은 법을 아는 변호사라 뒤끝을 남기고 동철도 폭행 전력 때문에 조심해야 한다.","명득이 처음부터 보호비 반환액을 계산해 합의금 1천만 원을 노렸음이 드러난다.","가해자들은 겁을 먹고 사건은 일단락되며 동철은 반환 자금을 손에 넣는다.","돈","성폭행 미수 가해자 측의 돈 1천만 원이 피해 학생들에게 돌려줄 자금으로 전환된다.","최우철에게 함구를 약속받지만 그의 원한 어린 시선은 남는다.","경찰서 합의; 보호비 반환 재원","최우철의 보복 가능성; 실제 반환 작업","천만 원짜리 역합의","high"
"8","8화","법보다 주먹(완전판)! 8화","법적 맹점을 체감한 동철이 합의금을 들고 아버지와 귀가한다.","가족에게 사람이 되고 공부로 미래를 바꾸는 동철의 진심을 지급한다.","아버지의 신뢰를 되찾고 공부를 지속한다.","비 맞는 아버지에게 우산을 씌우고 사과한 뒤 밤새 공부하며 암기 전략을 세운다.","ARS의 정체는 여전히 알 수 없고 전교 꼴등의 기초와 수면 부족이 발목을 잡는다.","마산역에서 명득이 노숙자들에게 라면을 돌리는 숨은 얼굴과 학교에서 보이던 것과 다른 눈빛이 드러난다.","아버지에게 처음 잘했다는 말을 듣고 동철은 사람 노릇을 하겠다는 가족 보상을 받는다.","관계","아버지와의 서먹한 관계가 사과와 인정으로 한 단계 회복된다.","교무실에 혼자 남은 동철 앞에 모의고사 수학 시험지가 놓여 양심을 시험한다.","아버지의 인정","ARS의 목적; 명득의 과거; 시험지 유혹","우산 아래의 화해와 시험지","high"
"9","9화","법보다 주먹(완전판)! 9화","동철은 모의고사 시험지를 훔쳐볼 수 있는 교무실에 홀로 남아 있다.","갱생이 말뿐인지 행동으로 증명하고 피해 학생들에게 돈을 돌려준다.","정직한 공부와 보호비 청산을 동시에 시작한다.","서랍과 시험지를 건드리지 않고 교문 선도에 나선 뒤 명득과 보호비 장부를 대조한다.","반환해야 할 총액이 1천만 원을 넘어 합의금만으로 부족하다.","시험지는 학생주임이 일부러 둔 갱생 시험이었고 동철이 유혹을 이겨내자 서울대 가능성을 진지하게 본다.","학생주임의 신뢰를 얻고 학교 양아치들도 선도부 동철의 말에 순응한다.","관계","학생주임이 감시 대상 동철을 기적의 제자로 보기 시작한다.","반환 부족액을 어떻게 벌지와 명득이 교무실 컴퓨터를 왜 고치는지가 남는다.","시험지 절도 유혹","보호비 전액 반환; 자금 부족 해결","양심 시험과 천만 원 넘는 장부","high"
"10","10화","법보다 주먹(완전판)! 10화","창원 통 이창명이 학교까지 찾아와 동철과의 공개 결투를 요구한다.","수백 학생이 목격하는 싸움에서 주먹의 전설과 미래 선택을 건다.","과거 조폭 진입로를 끊고 공부할 자유를 얻는다.","조퇴를 받아 운동장으로 나가고 ARS의 승자·패자 선택을 거부한 채 이창명과 맞붙는다.","은 실장이 승자를 스카우트하려 지켜보고 있으며 공개 군중 앞에서 패하면 학교 통 지위를 잃는다.","젊은 최문탁은 은 실장이 학생 승자를 히트맨으로 쓰려는 의도를 읽고 자기 살길을 모색한다.","동철은 긴 리치를 로우킥으로 공략하며 조폭 경험의 우위를 보여준다.","능력","고3의 젊은 몸과 전생 싸움 기술이 결합돼 이창명을 통제할 수 있게 된다.","첫 로우킥 뒤 이창명과의 본격 결투가 이어진다.","창원 통의 도전 수락","싸움의 승패; 은 실장의 스카우트; ARS 선택의 의미","운동장 공개 결투","high"
