sequence,visible_label,arc_id,arc_phase,concrete_event,tension_1_10,reward_1_10,hook_1_10,information_weight,action_weight,relationship_weight,emotion_weight,material_or_status_weight,pacing_note
"167","167화","M01","도입","난전 상인이 금난전권 폐지의 혜택을 체감한 직후 박호가 화약 재고 600근과 월 유황 700근 부족을 보고한다.","6","5","7","5","2","2","4","4","민생 보상을 충분히 머문 뒤 군수 병목으로 급전환한다."
"168","168화","M01","약속","도현이 이완·장 총관에게 비밀 밀수를 명하고 김근행·임지혁 일행이 부산포를 거쳐 나가사키에 잠입한다.","7","4","7","4","4","3","3","4","청·막부 기밀 위험을 설명한 뒤 작전 인선을 빠르게 진행한다."
"169","169화","M01","압박","김근행과 임지혁이 사이토에게 1차 5천 근, 연내 추가 5천 근의 금수품 거래를 요구한다.","7","3","8","4","3","4","3","5","나가사키 풍경을 짧게 보여 준 후 위험과 이윤의 협상에 집중한다."
"170","170화","M01","전환","사이토가 천일염 등가교환에 굴복하고 도현은 송시열의 반대를 깨며 수원·평양 도로와 3년 양전을 확정한다.","7","7","6","5","3","4","4","5","해외 거래 결산 뒤 국내 정책 대결을 길게 배치해 국가 규모 상승을 겹친다."
"171","171화","M01","전진","도로 임금의 상평통보 지급 계획과 코자에몬의 유황 수락 보고에 이어 김근행이 호세 마누엘의 범선을 산다.","6","7","8","5","3","4","3","5","정책 설명에서 유곽·선박 거래로 장소와 재미를 전환한다."
"172","172화","M01","압박","마누엘 선원까지 1년 고용하고 지도·자재를 모으던 김근행 일행을 켄이치로가 추적한다.","7","6","8","4","4","4","3","5","획득 보상을 연속 지급하되 감시자가 붙어 과욕의 비용을 올린다."
"173","173화","M01","위기","혼다와 지도 거래 중 켄이치로 일당이 덮치자 김근행·김덕생이 전원을 베고 야간 탈출을 명한다.","9","7","9","2","5","3","5","4","첩보 거래가 즉시 다대일 검투와 탈출 시한으로 폭발한다."
"174","174화","M01","보상","요르카호가 밤중 나가사키를 빠져나오고 가덕도에서 이토의 유황 5천 근을 소금과 교환한다.","7","9","6","3","5","4","4","5","야간 출항의 잔여 긴장 뒤 실물 유황 인도와 정기거래 합의에 충분히 머문다."
"175","175화","M02","여진/재도입","만호봉 탐광·염전 증설·군제와 통상 성과가 1646년 설 시장 번영으로 나타난 뒤 먹구름이 다가온다.","4","8","7","5","2","3","4","5","전 Arc의 국가 보상을 넓게 결산하며 다음 참사를 대비한 평온을 길게 깐다."
"176","176화","M02","발단","왜구가 거제 다섯 마을에서 300명을 살해·납치하자 도현이 대마도 정벌을 선포한다.","9","3","9","3","5","2","5","4","어촌 일상에서 참상으로 급락한 뒤 왕의 분노와 대전 선언으로 밀어붙인다."
"177","177화","M02","약속","도현이 원정을 북벌 위장으로 설명하고 비변사를 직할 참모기관으로 바꿔 1만3천 동원안을 세운다.","7","7","7","5","3","3","3","5","전쟁의 숨은 목적과 군제 개혁을 촘촘히 설명하되 민간 선박 위탁으로 보상한다."
"178","178화","M02","압박","흑치영·임경업이 지휘를 맡는 동안 소요 요시나리는 겐지로 체포와 막부 친서 청원을 동시에 보낸다.","7","5","8","4","3","4","4","4","중전의 흑임자죽으로 호흡을 늦춘 뒤 양국 지휘부의 준비를 교차한다."
"179","179화","M02","전환","도현이 겐지로를 효시하고 대마도·막부 사신을 물리치며 대마도 영유권과 전쟁 불사를 선언한다.","8","7","8","5","3","4","5","5","외교 회유와 협박을 연달아 꺾어 상륙 외의 퇴로를 닫는다."
"180","180화","M03","도입","도현이 백성의 천세 속에 임경업에게 보검을 내리고 원정군이 한산도로 집결한다.","7","8","8","3","4","4","5","5","출정 의식과 민심을 충분히 보여 준 뒤 대마도의 해전 선택으로 전환한다."
"181","181화","M03","전진","최영희가 보급선을 떼어 놓고 신형 판옥선의 장거리 일제포격으로 세키부네를 부순다.","9","7","9","3","5","2","5","5","첫 해전의 공포를 병사 시점으로 머문 뒤 훈련·사거리 우세를 반복 검증한다."
"182","182화","M03","보상","학익진·궁수 곡사·거북선 충각으로 적 함대 100여 척 중 40척 미만만 달아난다.","10","10","8","2","5","2","5","5","전술마다 다른 실물 피해를 보여 주며 압도적 승리에 긴 호흡을 쓴다."
"183","183화","M03","전진","흑치영이 새소리로 가베이의 매복을 간파하고 이관이 적장을 베어 이즈하라 상륙로를 연다.","8","8","8","3","5","3","4","4","패잔 장면과 상륙 절차를 거친 뒤 짧고 결정적인 매복전으로 속도를 올린다."
"184","184화","M03","압박","임경업이 화포를 기다리고 구로야마가 소씨 가문 보존을 위해 백기 협상을 자청한다.","7","5","8","4","3","4","5","4","전투 뒤 지휘 판단과 성 내부 갈등에 머물며 최종 선택을 압박한다."
"185","185화","M03","결산","항복 조건을 거부한 요시나리의 성을 천자총통·불화살로 허물고 흑치영이 수뇌를 베어 봉황기를 건다.","10","10","8","2","5","3","5","5","최후통첩에서 장시간 포격·돌격·천수각 결투까지 단계적으로 최고조를 만든다."
"186","186화","M04","여진/전환","도성 백성이 승전보에 환호한 뒤 박노가 청의 양자강 도하 준비를 전하고 도현이 뻐꾸기 계획을 승인한다.","7","9","9","5","2","3","5","5","승리의 민심 보상을 길게 누린 직후 북방의 더 큰 위협으로 축을 바꾼다."
"187","187화","M04","전진","남해도·고송성 개칭과 조선인 노예 400명 구출 뒤 이에미쓰가 미무라를 담판 사절로 보낸다.","7","8","8","4","3","4","4","5","점령 행정의 구체 영수증을 쌓고 막부 내부 계산으로 협상 압력을 만든다."
"188","188화","M04","보상","박노가 대조선 무역·통신사를 미끼로 대마도 영유권을 인정받는 협정서를 체결한다.","8","10","6","5","2","5","4","5","공개 충돌과 야간 비공개 거래를 대비시킨 뒤 국제 승인에 충분히 머문다."
