sequence,visible_label,title,start_line,end_line,entry_state,reader_promise,protagonist_goal,action,resistance_or_cost,turn_or_reveal,paid_reward,state_change_axis,state_change,ending_hook,closed_loops,opened_loops,arc_id,confidence
1,1,신입사원 (1),1,226,Arc 진입: IMF로 팀이 해체되는 순간 고졸 신입 이정후가 기어 감응으로 고장 장비를 고치고 카메라폰 특허를 묶어 회사의 현금으로 바꾼다.,"작동하는 발명에서 특허 등록, 대기업 판매, 개인 계좌 입금까지 첫 능력 증명 사슬을 보여 준다.",학벌과 직급이 없는 신입의 감각을 등록 특허와 현금 매출로 증명한다.,IMF로 특허팀이 무너지는 날 이정후가 홀로 남아 고장 난 연구 장비를 분해·수리한다.,팀원 대다수가 퇴사했고 고졸 신입에게는 직급도 매뉴얼도 없다.,부품의 맞물림이 감각으로 읽히자 멈춘 장비가 다시 작동한다.,폐기 직전 장비를 즉시 복구해 잔류할 실무 명분을 번다.,능력,허드렛일 신입이 팀이 의존할 수 있는 문제 해결자로 처음 보인다.,수리 감각을 카메라폰 특허로 바꿀 수 있는지가 열린다.,폐기 직전 장비를 즉시 복구해 잔류할 실무 명분을 번다.,수리 감각을 카메라폰 특허로 바꿀 수 있는지가 열린다.,E001,high
2,2,신입사원 (2),227,491,전회 확정 상태: 허드렛일 신입이 팀이 의존할 수 있는 문제 해결자로 처음 보인다.,"작동하는 발명에서 특허 등록, 대기업 판매, 개인 계좌 입금까지 첫 능력 증명 사슬을 보여 준다.",학벌과 직급이 없는 신입의 감각을 등록 특허와 현금 매출로 증명한다.,이정후가 카메라폰 구조를 다섯 건의 특허로 나누고 남은 팀원들과 시제품을 만든다.,등록 전 아이디어는 보호받지 못하고 인력도 장비도 부족하다.,도면과 작동물이 함께 나오면서 강동주가 즉시 출원·매각에 착수한다.,잔류금 500만 원과 다섯 건짜리 협상 가능한 특허 묶음을 확보한다.,능력,막연한 감각이 대기업에 제시할 시제품·명세서로 물질화된다.,삼진전자와 GL전자 중 누가 더 비싸게 살지가 다음 승부가 된다.,잔류금 500만 원과 다섯 건짜리 협상 가능한 특허 묶음을 확보한다.,삼진전자와 GL전자 중 누가 더 비싸게 살지가 다음 승부가 된다.,E001,high
3,3,신입사원 (3),492,688,전회 확정 상태: 막연한 감각이 대기업에 제시할 시제품·명세서로 물질화된다.,"작동하는 발명에서 특허 등록, 대기업 판매, 개인 계좌 입금까지 첫 능력 증명 사슬을 보여 준다.",학벌과 직급이 없는 신입의 감각을 등록 특허와 현금 매출로 증명한다.,강동주가 카메라폰 시제품을 들고 삼진전자와 GL전자를 번갈아 압박한다.,대기업은 무명 팀의 미등록 기술 가격을 낮추려 하고 거래가 새면 경쟁사가 선점할 수 있다.,두 회사의 경쟁심을 가격 지렛대로 삼아 특허 다섯 건을 한 묶음으로 만든다.,삼진전자에 카메라폰 특허 다섯 건을 60억 원에 매각한다.,사업,이정후의 첫 발명이 회사 장부에 찍히는 60억 매출로 증명된다.,회사 매출 가운데 신입과 잔류 팀원에게 얼마가 돌아갈지가 걸린다.,삼진전자에 카메라폰 특허 다섯 건을 60억 원에 매각한다.,회사 매출 가운데 신입과 잔류 팀원에게 얼마가 돌아갈지가 걸린다.,E001,high
4,4,신입사원 (4),689,919,전회 확정 상태: 이정후의 첫 발명이 회사 장부에 찍히는 60억 매출로 증명된다.,"작동하는 발명에서 특허 등록, 대기업 판매, 개인 계좌 입금까지 첫 능력 증명 사슬을 보여 준다.",학벌과 직급이 없는 신입의 감각을 등록 특허와 현금 매출로 증명한다.,특허 등록을 마친 뒤 이정후가 동생에게 야구방망이를 사 주고 은행 ATM에서 보상 계좌를 확인한다.,성과 배분 관행이 없고 고졸 신입이 거액을 받을 것이라는 확신도 없다.,강동주가 판매대금을 약속한 비율대로 팀에 직접 배분한다.,"이정후 21억 원, 동료 열 명 합계 9억 원이 실제 계좌에 입금된다.",돈,월급을 걱정하던 신입이 숫자로 확인되는 21억 자산가이자 팀의 보상 기준이 된다.,첫 성공이 우연인지 가릴 일곱 건의 후속 휴대폰 특허가 시작된다.,"이정후 21억 원, 동료 열 명 합계 9억 원이 실제 계좌에 입금된다.",첫 성공이 우연인지 가릴 일곱 건의 후속 휴대폰 특허가 시작된다.,E001,high
5,5,신입사원 (5),920,1101,전회 확정 상태: 월급을 걱정하던 신입이 숫자로 확인되는 21억 자산가이자 팀의 보상 기준이 된다.,"작동하는 발명에서 특허 등록, 대기업 판매, 개인 계좌 입금까지 첫 능력 증명 사슬을 보여 준다.",학벌과 직급이 없는 신입의 감각을 등록 특허와 현금 매출로 증명한다.,이정후가 휴대폰 특허 일곱 건을 더 만들고 현금 대신 일부 회사 지분을 택하며 박 교수에게 C 언어를 배운다.,아이디어를 직접 구현할 코딩 능력이 없고 동료들은 현금과 지분 사이에서 선택해야 한다.,"동료들은 현금을, 이정후는 장기 지분을 골라 서로 다른 위험 선호를 분리한다.","후속 특허 포트폴리오와 넥핀 지분, 박 교수의 개인 지도를 동시에 얻는다.",능력,일회성 보너스 수령자에서 회사 성장에 베팅한 기술 주주로 바뀐다.,2.4GHz 잡음을 해결할 블루투스 헤드셋 개발이 새 시험이 된다.,"후속 특허 포트폴리오와 넥핀 지분, 박 교수의 개인 지도를 동시에 얻는다.",2.4GHz 잡음을 해결할 블루투스 헤드셋 개발이 새 시험이 된다.,E001,high
6,6,왜 작동하지? (1),1102,1299,Arc 진입: 이정후가 블루투스 헤드셋을 만들고 대학생 SNS 롤북을 열어 발명과 플랫폼이라는 두 성장축을 동시에 세운다.,"코딩 학습, 작동 시제품, 사용자 유입, 동료 공동 투자로 능력이 팀의 반복 엔진이 되는 과정을 지급한다.",특허 보너스를 재투자할 공동 자금과 스스로 확장되는 온라인 서비스를 만든다.,이정후가 C를 밤새 익혀 블루투스 헤드셋과 소음 제거 회로를 직접 구현한다.,2.4GHz 간섭과 초보 코딩 때문에 연결은 끊기고 잡음이 반복된다.,기어 감응으로 오류 지점을 짚어 코드와 회로를 함께 고친다.,잡음 없이 작동하는 블루투스 시제품을 완성하고 델 노트북·세탁기 같은 작업 환경도 산다.,능력,특허 아이디어만 내던 신입이 소프트웨어까지 손대는 시제품 개발자로 확장된다.,동료들이 배터리 차단 문제를 스스로 특허로 바꿀 수 있는지가 시험된다.,잡음 없이 작동하는 블루투스 시제품을 완성하고 델 노트북·세탁기 같은 작업 환경도 산다.,동료들이 배터리 차단 문제를 스스로 특허로 바꿀 수 있는지가 시험된다.,E002,high
7,7,왜 작동하지? (2),1300,1510,전회 확정 상태: 특허 아이디어만 내던 신입이 소프트웨어까지 손대는 시제품 개발자로 확장된다.,"코딩 학습, 작동 시제품, 사용자 유입, 동료 공동 투자로 능력이 팀의 반복 엔진이 되는 과정을 지급한다.",특허 보너스를 재투자할 공동 자금과 스스로 확장되는 온라인 서비스를 만든다.,팀원들이 블루투스 배터리 자동 차단 특허를 제안하고 이정후와 함께 제품 묶음을 완성한다.,성과가 이정후 한 사람에게만 귀속되면 팀의 자발성이 꺼질 수 있다.,강동주가 동료 발명도 같은 보상 규칙으로 처리해 제안자를 실소유자로 세운다.,블루투스 보너스가 팀원마다 4천만 원씩 지급되고 박 교수도 이정후의 학습 속도를 인정한다.,관계,동료들은 보조 인력에서 스스로 특허와 보너스를 만드는 공동 발명자로 올라선다.,GL전자에서 매각을 후회하며 팀 전체를 빼내려는 움직임이 시작된다.,블루투스 보너스가 팀원마다 4천만 원씩 지급되고 박 교수도 이정후의 학습 속도를 인정한다.,GL전자에서 매각을 후회하며 팀 전체를 빼내려는 움직임이 시작된다.,E002,high
8,8,왜 작동하지? (3),1511,1687,전회 확정 상태: 동료들은 보조 인력에서 스스로 특허와 보너스를 만드는 공동 발명자로 올라선다.,"코딩 학습, 작동 시제품, 사용자 유입, 동료 공동 투자로 능력이 팀의 반복 엔진이 되는 과정을 지급한다.",특허 보너스를 재투자할 공동 자금과 스스로 확장되는 온라인 서비스를 만든다.,GL의 고 부장과 장 부장이 카메라폰 특허 매각을 후회하며 넥핀 인력 회수안을 짜는 사이 이정후는 TV·라디오 휴대폰과 DMB 구조를 구상한다.,옛 대기업은 인사권과 위약금으로 동료를 흔들 수 있고 새 방송망은 시장이 아직 없다.,외부 영입 위협과 무관하게 다음 세대 휴대폰 기능을 선점하는 쪽으로 개발 방향을 돌린다.,DMB·멀티미디어 휴대폰이라는 후속 특허 파이프라인을 먼저 잡는다.,능력,이정후의 시야가 단일 블루투스 제품에서 이동형 미디어 규격으로 넓어진다.,기술 밖에서 사용자를 직접 모을 대학생 서비스 롤북이 태동한다.,DMB·멀티미디어 휴대폰이라는 후속 특허 파이프라인을 먼저 잡는다.,기술 밖에서 사용자를 직접 모을 대학생 서비스 롤북이 태동한다.,E002,high
9,9,왜 작동하지? (4),1688,1924,전회 확정 상태: 이정후의 시야가 단일 블루투스 제품에서 이동형 미디어 규격으로 넓어진다.,"코딩 학습, 작동 시제품, 사용자 유입, 동료 공동 투자로 능력이 팀의 반복 엔진이 되는 과정을 지급한다.",특허 보너스를 재투자할 공동 자금과 스스로 확장되는 온라인 서비스를 만든다.,이정후가 대학 인증형 SNS 롤북을 밤새 만들고 김동원의 인맥으로 캠퍼스에 퍼뜨린다.,광고비도 브랜드도 없고 서버는 개인 수준이며 낯선 학생들이 가입할 이유가 약하다.,잘생긴 김동원의 실제 친구망과 대학 소속 인증이 초기 신뢰를 대신한다.,롤북이 여러 대학으로 자생 확산하고 블루투스 성과금도 팀 계좌에 반영된다.,사업,이정후는 특허 판매자와 별개로 사용자를 직접 가진 플랫폼 창업자가 된다.,급증한 트래픽과 동료 보너스를 공동 투자 구조로 묶을 필요가 생긴다.,롤북이 여러 대학으로 자생 확산하고 블루투스 성과금도 팀 계좌에 반영된다.,급증한 트래픽과 동료 보너스를 공동 투자 구조로 묶을 필요가 생긴다.,E002,high
10,10,왜 작동하지? (5),1925,2118,전회 확정 상태: 이정후는 특허 판매자와 별개로 사용자를 직접 가진 플랫폼 창업자가 된다.,"코딩 학습, 작동 시제품, 사용자 유입, 동료 공동 투자로 능력이 팀의 반복 엔진이 되는 과정을 지급한다.",특허 보너스를 재투자할 공동 자금과 스스로 확장되는 온라인 서비스를 만든다.,이정후와 강동주가 동료 보너스를 한 계좌에 모아 투자하는 구조를 만들고 특허 지원 인력 확대를 협의한다.,개인별 판단으로 돈이 흩어질 수 있고 지원팀이 커지면 기존 보상 약속이 희석될 우려가 있다.,강동주가 특허 배분율은 건드리지 않은 채 지원 조직만 붙이겠다고 약속한다.,동료 전원이 참여할 공동 투자 틀과 대량 특허 생산을 위한 지원팀 증원이 확정된다.,조직,이정후의 성과 배분 방식이 개인 보너스에서 팀 공동 자본 운용 규칙으로 발전한다.,공동계좌 규모와 세라·드림라인 IPO 배정이 실제 첫 투자로 이어진다.,동료 전원이 참여할 공동 투자 틀과 대량 특허 생산을 위한 지원팀 증원이 확정된다.,공동계좌 규모와 세라·드림라인 IPO 배정이 실제 첫 투자로 이어진다.,E002,high
