sequence,visible_label,arc_id,arc_phase,concrete_event,tension_1_10,reward_1_10,hook_1_10,information_weight,action_weight,relationship_weight,emotion_weight,material_or_status_weight,pacing_note
1,1,E001,도입,IMF로 특허팀이 무너지는 날 이정후가 홀로 남아 고장 난 연구 장비를 분해·수리한다. → 폐기 직전 장비를 즉시 복구해 잔류할 실무 명분을 번다.,5,3,6,4,5,2,2,3,도입: 부품의 맞물림이 감각으로 읽히자 멈춘 장비가 다시 작동한다. 결과 허드렛일 신입이 팀이 의존할 수 있는 문제 해결자로 처음 보인다.. 끝에서 수리 감각을 카메라폰 특허로 바꿀 수 있는지가 열린다.
2,2,E001,확장,이정후가 카메라폰 구조를 다섯 건의 특허로 나누고 남은 팀원들과 시제품을 만든다. → 잔류금 500만 원과 다섯 건짜리 협상 가능한 특허 묶음을 확보한다.,6,5,7,4,5,2,2,3,확장: 도면과 작동물이 함께 나오면서 강동주가 즉시 출원·매각에 착수한다. 결과 막연한 감각이 대기업에 제시할 시제품·명세서로 물질화된다.. 끝에서 삼진전자와 GL전자 중 누가 더 비싸게 살지가 다음 승부가 된다.
3,3,E001,압박,강동주가 카메라폰 시제품을 들고 삼진전자와 GL전자를 번갈아 압박한다. → 삼진전자에 카메라폰 특허 다섯 건을 60억 원에 매각한다.,8,4,8,4,4,3,2,5,압박: 두 회사의 경쟁심을 가격 지렛대로 삼아 특허 다섯 건을 한 묶음으로 만든다. 결과 이정후의 첫 발명이 회사 장부에 찍히는 60억 매출로 증명된다.. 끝에서 회사 매출 가운데 신입과 잔류 팀원에게 얼마가 돌아갈지가 걸린다.
4,4,E001,반전,"특허 등록을 마친 뒤 이정후가 동생에게 야구방망이를 사 주고 은행 ATM에서 보상 계좌를 확인한다. → 이정후 21억 원, 동료 열 명 합계 9억 원이 실제 계좌에 입금된다.",9,7,8,3,3,2,2,5,반전: 강동주가 판매대금을 약속한 비율대로 팀에 직접 배분한다. 결과 월급을 걱정하던 신입이 숫자로 확인되는 21억 자산가이자 팀의 보상 기준이 된다.. 끝에서 첫 성공이 우연인지 가릴 일곱 건의 후속 휴대폰 특허가 시작된다.
5,5,E001,결산·전환,"이정후가 휴대폰 특허 일곱 건을 더 만들고 현금 대신 일부 회사 지분을 택하며 박 교수에게 C 언어를 배운다. → 후속 특허 포트폴리오와 넥핀 지분, 박 교수의 개인 지도를 동시에 얻는다.",7,9,9,4,5,2,2,3,"결산·전환: 동료들은 현금을, 이정후는 장기 지분을 골라 서로 다른 위험 선호를 분리한다. 결과 일회성 보너스 수령자에서 회사 성장에 베팅한 기술 주주로 바뀐다.. 끝에서 2.4GHz 잡음을 해결할 블루투스 헤드셋 개발이 새 시험이 된다."
6,6,E002,도입,이정후가 C를 밤새 익혀 블루투스 헤드셋과 소음 제거 회로를 직접 구현한다. → 잡음 없이 작동하는 블루투스 시제품을 완성하고 델 노트북·세탁기 같은 작업 환경도 산다.,5,3,6,4,5,2,2,3,도입: 기어 감응으로 오류 지점을 짚어 코드와 회로를 함께 고친다. 결과 특허 아이디어만 내던 신입이 소프트웨어까지 손대는 시제품 개발자로 확장된다.. 끝에서 동료들이 배터리 차단 문제를 스스로 특허로 바꿀 수 있는지가 시험된다.
7,7,E002,확장,팀원들이 블루투스 배터리 자동 차단 특허를 제안하고 이정후와 함께 제품 묶음을 완성한다. → 블루투스 보너스가 팀원마다 4천만 원씩 지급되고 박 교수도 이정후의 학습 속도를 인정한다.,6,5,7,2,3,5,4,2,확장: 강동주가 동료 발명도 같은 보상 규칙으로 처리해 제안자를 실소유자로 세운다. 결과 동료들은 보조 인력에서 스스로 특허와 보너스를 만드는 공동 발명자로 올라선다.. 끝에서 GL전자에서 매각을 후회하며 팀 전체를 빼내려는 움직임이 시작된다.
8,8,E002,압박,GL의 고 부장과 장 부장이 카메라폰 특허 매각을 후회하며 넥핀 인력 회수안을 짜는 사이 이정후는 TV·라디오 휴대폰과 DMB 구조를 구상한다. → DMB·멀티미디어 휴대폰이라는 후속 특허 파이프라인을 먼저 잡는다.,8,4,8,4,5,2,2,3,압박: 외부 영입 위협과 무관하게 다음 세대 휴대폰 기능을 선점하는 쪽으로 개발 방향을 돌린다. 결과 이정후의 시야가 단일 블루투스 제품에서 이동형 미디어 규격으로 넓어진다.. 끝에서 기술 밖에서 사용자를 직접 모을 대학생 서비스 롤북이 태동한다.
9,9,E002,반전,이정후가 대학 인증형 SNS 롤북을 밤새 만들고 김동원의 인맥으로 캠퍼스에 퍼뜨린다. → 롤북이 여러 대학으로 자생 확산하고 블루투스 성과금도 팀 계좌에 반영된다.,9,7,8,4,4,3,2,5,반전: 잘생긴 김동원의 실제 친구망과 대학 소속 인증이 초기 신뢰를 대신한다. 결과 이정후는 특허 판매자와 별개로 사용자를 직접 가진 플랫폼 창업자가 된다.. 끝에서 급증한 트래픽과 동료 보너스를 공동 투자 구조로 묶을 필요가 생긴다.
10,10,E002,결산·전환,이정후와 강동주가 동료 보너스를 한 계좌에 모아 투자하는 구조를 만들고 특허 지원 인력 확대를 협의한다. → 동료 전원이 참여할 공동 투자 틀과 대량 특허 생산을 위한 지원팀 증원이 확정된다.,7,9,9,4,4,4,2,4,결산·전환: 강동주가 특허 배분율은 건드리지 않은 채 지원 조직만 붙이겠다고 약속한다. 결과 이정후의 성과 배분 방식이 개인 보너스에서 팀 공동 자본 운용 규칙으로 발전한다.. 끝에서 공동계좌 규모와 세라·드림라인 IPO 배정이 실제 첫 투자로 이어진다.
11,11,E003,도입,"동료들이 10억, 이정후가 10억을 넣어 20억 공동계좌를 만들고 타이거가 별도 30억을 얹어 세라·드림라인 공모주를 배정한다. → 팀 20억의 첫 투자 포지션과 타이거 30억 후속 자금, 유망 공모주 물량을 확보한다.",5,3,6,3,3,3,2,5,도입: 강동주가 타이거 자금을 같은 판에 넣어 정보와 이해관계를 공동화한다. 결과 특허팀이 월급 집단에서 자기 자본을 함께 굴리는 투자 공동체로 바뀐다.. 끝에서 주가 변동 속에서도 PDA 특허 대량 생산을 감당해야 한다.
12,12,E003,확장,이정후가 먼저 PDA 특허 20건을 설계한 뒤 목표를 50건으로 늘리고 20명 지원팀에 업무를 쪼갠다. → PDA 특허 20건의 선행 묶음과 50건 확장 체계를 세운다.,6,5,7,4,4,4,2,4,확장: 개인이 전부 쓰는 대신 지원팀을 공정처럼 배치해 발명 속도를 유지한다. 결과 이정후의 발명 능력이 20명 조직이 반복 실행하는 생산 라인으로 전환된다.. 끝에서 롤북 서버 비용과 운영 인력을 누가 책임질지가 당장 문제가 된다.
13,13,E003,압박,롤북 서버가 버티지 못하자 이정후가 연 4천만 원 서버비와 연구실 인건비를 직접 부담하고 법률 보호를 요청한다. → 롤북 서버를 증설하고 연구실 인력을 유급화하며 IP 보호 체계를 확보한다.,8,4,8,4,4,3,2,5,압박: 정부 돈을 거절하고 자기 자본·타이거 법무로 독립성을 지키는 선택을 한다. 결과 동아리 서비스가 비용과 고용 계약을 가진 독립 사업으로 한 단계 올라선다.. 끝에서 대량 저장을 가능하게 할 미니 HDD 특허와 외주 생산이 필요해진다.
14,14,E003,반전,이정후가 미니 HDD 핵심 특허 네 건을 만들고 강동주 자금으로 외주 개발사에 시제품 공정을 맡긴다. → 미니 HDD 네 건의 권리와 외주 시제품 제작 라인을 확보한다.,9,7,8,4,5,2,2,3,반전: 특허 소유와 제작 공정을 분리해 핵심 권리는 넥핀에 두고 생산 능력만 빌린다. 결과 휴대폰 기능 발명자가 저장장치 공급망까지 설계하는 부품 사업자로 넓어진다.. 끝에서 GL의 집단 영입 제안이 실제로 동료 일곱 명에게 도착한다.
15,15,E003,결산·전환,GL이 복귀 보너스와 넥핀 잔류금 반환 조건을 내밀자 제안을 받은 동료 일곱 명이 공동 대응한다. → 영입 대상 일곱 명 전원이 GL 복귀를 거절하고 공동 투자 주가도 반등한다.,7,9,9,2,3,5,4,2,결산·전환: 이정후가 붙잡기 전에 동료들이 현재 보상·지분 구조를 비교해 스스로 잔류를 선택한다. 결과 동료 충성도가 말이 아니라 더 큰 대기업 제안을 포기한 선택으로 증명된다.. 끝에서 급성장한 특허팀을 독립 회사 넥핀으로 재편하는 인사안이 열린다.
16,16,E004,도입,기존 조직을 독립 법인 넥핀으로 바꾸고 차 사장을 세우며 이정후는 USB·잠금장치 후속 특허를 낸다. → 동료마다 1억 원 보너스를 받고 넥핀이라는 독립 브랜드와 새 특허군을 얻는다.,5,3,6,3,3,5,3,5,도입: 차 사장이 발명자 보상 원칙을 유지한 채 경영 실무를 맡는 분업이 성립한다. 결과 임시 특허팀이 사장·브랜드·보상 규칙을 가진 회사가 되고 이정후는 핵심 기술 주주로 자리 잡는다.. 끝에서 롤북도 광고와 거래로 자체 현금흐름을 만들어야 한다.
17,17,E004,확장,이정후가 롤북에 대학 인증 기반 지역 중고시장·신뢰점수·동네 광고를 붙인다. → 중고거래가 실제로 돌고 지역 광고 파일럿에 유료 수요가 붙는다.,6,5,7,4,4,3,2,5,확장: 실명 대학·지역 관계망을 신뢰 담보로 써 기존 포털과 다른 거래 이유를 만든다. 결과 롤북이 친목 사이트에서 신뢰 데이터와 거래 의도를 가진 생활 플랫폼으로 바뀐다.. 끝에서 넥핀 브랜드를 세계 고객 앞에 놓을 컴덱스 참가가 결정된다.
18,18,E004,압박,넥핀이 자체 로고 상품을 만들고 차 사장·김동원·이정후가 라스베이거스 컴덱스 출전을 준비한다. → 컴덱스 부스와 해외 고객을 만날 공식 참가 자격을 확보한다.,8,4,8,3,3,5,3,5,압박: 국내 하청 이름을 숨기지 않고 넥핀 브랜드를 전면에 내세우는 선택을 한다. 결과 넥핀이 대기업 뒤의 특허 공급자에서 자기 이름으로 전시하는 회사가 된다.. 끝에서 롤북을 정식 회사로 만들고 출장 전에 운영 기반을 맡길 사람이 필요하다.
19,19,E004,반전,롤북 지역 광고가 매진되자 연구실 졸업생을 채용하고 라디오·채팅·투표·포인트·스킨 기능을 정식 서비스에 넣는다. → 롤북 정식 사무실·채용 인력·매진 광고 매출을 얻고 잡스와 게이츠의 사인을 목표로 잡는다.,9,7,8,4,4,4,2,4,반전: 광고 매출을 인력과 기능에 재투자해 창업자 부재에도 굴러가는 팀을 만든다. 결과 개인 프로젝트가 월급 받는 직원과 제품 로드맵을 가진 회사로 전환된다.. 끝에서 컴덱스의 텅 빈 부스에서 누가 먼저 넥핀 가치를 알아볼지가 남는다.
20,20,E004,결산·전환,컴덱스에서 방문객이 없는 넥핀 부스를 지키며 이정후가 직접 특허 시제품을 설명한다. → 애플 라이선스와 이정후 개인 영입 제안을 동시에 받는다.,7,9,9,3,3,5,3,5,결산·전환: 스티브 잡스가 저장장치·인터페이스 특허를 알아보고 먼저 부스를 찾아온다. 결과 해외에서 외면받던 회사가 세계적 제품 책임자가 직접 협상하려는 기술 공급자로 인정된다.. 끝에서 잡스의 독점 요구에 어떤 로열티 구조로 답할지가 열린다.
21,21,E005,도입,"이정후가 잡스에게 미니 HDD·USB 독점과 다중 인터페이스 사용권을 묶어 제안하고 강동주가 요율을 협상한다. → 애플 판매액의 첫 2년 5%, 이후 3% 로열티 조건을 확보한다.",5,3,6,4,4,3,2,5,도입: 초기 성공 보상을 크게 받고 장기 확산 뒤 요율을 낮추는 계단식 조건을 제시한다. 결과 넥핀 특허가 일회 매각품에서 애플 판매와 함께 커지는 장기 수익권으로 바뀐다.. 끝에서 빌 게이츠가 나타나 인수와 UI 독점을 더 큰 금액으로 제안한다.
22,22,E005,확장,"게이츠의 회사 인수·UI 독점 제안을 거절하고 MS와 비독점 연구개발 계약을 새로 짠다. → 연구비 100만 달러, 최소 200만 달러, 추가 로열티와 넥핀 브랜딩을 따낸다.",6,5,7,4,4,3,2,5,확장: 소유권 대신 연구비·최소보장·로열티·제품 표기를 항목별로 분리한다. 결과 이정후가 두 빅테크에 기술을 팔면서도 회사와 IP 주도권을 보존한다.. 끝에서 롤북의 자금·법률·미국 진출을 위해 강동주 지분 투자를 협상한다.
