sequence,visible_label,title,start_line,end_line,entry_state,reader_promise,protagonist_goal,action,resistance_or_cost,turn_or_reveal,paid_reward,state_change_axis,state_change,ending_hook,closed_loops,opened_loops,arc_id,confidence
"127","127화","면죄부 (1)","26274","26496","타이거펀드 한국지부가 수상한 항공·보험 공매도를 포착한다","정후가 재난 징후를 돈과 정치적 안전망으로 바꾼다","사건 전에 합법적 행동 여지를 확보한다","마이크와 부시 재선에 2천만 달러를 후원하고 칼 로브에게 이상 거래를 보고한다","근거가 정황뿐이고 선행 매매는 테러 연루 의심을 부른다","칼 로브가 보고를 신뢰하며 사실상 거래 면죄부를 준다","40억 달러 현금으로 항공·보험·여행 업종 200억 달러 숏을 구축한다","정치적 신뢰","월가의 관찰자에서 백악관이 정보를 듣는 파트너로 이동한다","맨해튼 부동산까지 노리던 순간 9·11이 현실이 된다","사전 허가 확보","시장 폐쇄 뒤 포지션을 어떻게 회수할지","M101","high"
"128","128화","면죄부 (2)","26497","26674","9·11로 미국 증시가 닫히고 200억 달러 숏이 묶인다","재난 수익을 약탈이 아닌 시장 방어 영수증으로 세탁한다","백악관과 장기 동맹을 만들 방식으로 포지션을 전환한다","숏 청산 뒤 미국 자산을 매수하겠다며 칼 로브에게 1천억 달러 신디케이트론을 요청한다","대출 규모가 전례 없고 타이거펀드 전 자산을 담보로 걸어야 한다","정후는 단기 이익보다 정부와 함께 반등을 만드는 쪽을 택한다","칼 로브가 은행 인센티브와 정책 지원을 약속한다","책임 범위","공매도 투자자에서 국가 시장 방어의 공동 설계자로 바뀐다","은행들이 실제로 1천억 달러를 내줄지가 남는다","재난 직후 전략 전환","초대형 대출 승인과 매수 집행","M101","high"
"129","129화","면죄부 (3)","26675","26866","백악관 지원은 얻었지만 현금 조달 계약이 비어 있다","정치적 약속이 은행의 실제 돈으로 지급된다","시장 재개 전에 1천억 달러 화력을 확정한다","칼 로브·마이크가 은행단을 묶고 넥핀·롤북·대현반도체 지분까지 담보 목록에 올린다","연 4% 이자와 핵심 자산의 담보 위험을 감수한다","백악관 세제·규제 지원이 은행의 공포를 수익 기회로 바꾼다","1천억 달러 이상 신디케이트론이 승인되고 숏 청산에서 약 50억 달러를 번다","자본 통제력","한국지부가 1천억 달러급 시장 작전을 지휘할 수 있게 된다","재개장한 시장에서 헤지펀드의 추가 공매도가 몰려든다","대출 조달","하락을 멈출 대규모 현물 매수","M101","high"
"130","130화","면죄부 (4)","26867","27096","항공·보험·여행 주가가 공포 매도와 공매도에 눌린다","정후의 매수 자체가 시장의 바닥 신호가 된다","하락 업종을 떠받쳐 공매도 세력을 역으로 가둔다","50억 달러를 미끼로 사고 정부 지원 발표에 맞춰 사흘간 400억 달러를 투입한다","민간 펀드 하나로는 공포와 매도 물량을 다 받기 어렵다","구제금융·세금 감면·테러 보험 발표가 타이거펀드 매수와 겹친다","항공·보험·여행주의 매도 속도가 둔화되고 반전 조건이 마련된다","시장 영향력","거래 참가자에서 가격 방향을 만드는 앵커 투자자로 격상된다","결정타로 워런 버핏의 이름이 떠오른다","초기 매수 방어","버핏의 동참과 숏 스퀴즈","M101","high"
"131","131화","면죄부 (5)","27097","27304","반등 구조는 갖췄지만 시장이 믿을 상징이 부족하다","세계 최고 투자자의 신뢰가 정후의 작전에 붙는다","버핏을 항공·보험 반등 연합에 끌어들인다","오마하에서 재보험 자본 100억 달러와 별도 투자 50억 달러를 제안한다","버핏에게 위험 업종을 사야 할 명분과 장기 수익을 동시에 증명해야 한다","버핏이 정후의 애플·아마존·엔비디아 투자 이력을 알아보고 구조를 수락한다","버핏의 자본과 공개 신뢰가 반등 연합에 합류한다","외부 인정","정후의 판단이 월가 원로가 검증한 투자 판단으로 승격된다","버핏의 공개 발언 뒤 시장 반응이 남는다","버핏 영입","반등 수익 실현과 대출 상환","M101","high"
"132","132화","전리품 (1)","27305","27517","타이거펀드·정부·버핏 연합이 시장 반등 직전 대기한다","대담한 시장 방어가 현금과 명성으로 결산된다","반등 수익을 확정하고 1천억 달러 빚을 안전하게 닫는다","버핏 연설 뒤 숏 스퀴즈를 만들고 1천250억 달러 장부를 은행에 1천300억 달러로 넘긴다","대규모 매각은 가격을 무너뜨릴 수 있어 은행에 추가 상승분을 양보한다","다우 4%와 대상 업종 8% 반등이 공매도 청산을 폭발시킨다","약 300억 달러를 실현하고 대출을 상환한 뒤 은행과 이익을 나눈다","수익·신뢰","재난 수익자가 아니라 미국 시장을 살린 우군이라는 지위를 얻는다","현금 전리품을 부동산 증권과 산업 인수로 환전하려 한다","9·11 시장 방어와 대출 상환","에버베드 상품화와 ASML·대현건설 투자","M101","high"
"133","133화","전리품 (2)","27518","27683","시장 방어 뒤 현금 200억 달러와 성장주 100억 달러가 남는다","전리품이 새 금융상품과 반도체 우선권으로 증식한다","부동산 매입 자금을 회수 가능한 상품으로 만든다","에버베드 채권을 AAA 6%·BBB 12%·하위 20%로 쪼개 은행에 제시한다","장기 부동산을 팔기 좋은 증권으로 바꾸려면 신용 구조를 설득해야 한다","칼 로브가 백악관 감사패와 대현반도체의 EUV 컨소시엄 참여 기회를 가져온다","은행 수요와 ASML 접근권을 동시에 확보한다","사업 영역","시장 매매 수익이 구조화금융과 반도체 산업 진입권으로 전환된다","필립스·ASML 지분 협상과 직원 보상이 기다린다","시장 방어의 정치 보상","EUV 장비 우선권과 전리품 배분","M102","high"
"134","134화","전리품 (3)","27684","27896","ASML은 기술은 있으나 자금과 고객 확신이 부족하다","정후가 돈뿐 아니라 장비 우선 공급권을 사 온다","EUV 생태계와 한국지부 보상 체계를 동시에 고정한다","필립스 보유 ASML 15%를 사고 10억 달러로 5%를 추가 취득하며 20억 달러 장비 우선권을 제안한다","장기 불확실 기술에 거액을 묻고 성과급 분배 기준도 정해야 한다","ASML은 지분 투자보다 확정 구매 약속을 더 가치 있게 본다","EUV 장비 우선권과 5억 달러·타이거펀드 10%·한국지부 200억 달러 재량을 받는다","능력·보상","정후가 단순 지부장보다 투자위원회와 산업 배치권을 가진 핵심으로 올라선다","한국 귀국 뒤 부실 대기업 인수 후보가 열린다","ASML 접근과 개인·조직 보상","대현건설 구조조정","M102","high"
"135","135화","전리품 (4)","27897","28074","대현건설은 7조 원 부채와 연 3천800억 원 적자에 묶여 있다","월가 전리품이 한국 산업과 고용을 살리는 인수 자금이 된다","채권단과 정부 모두 거부하기 힘든 완전 인수안을 만든다","채권 30% 감면 뒤 3조 원 매입과 4조9천억 원 상환을 제시한다","부실 규모와 오너 일가·채권단 이해가 얽혀 정상 가격 협상이 어렵다","정후는 싼 인수보다 부채 전액 정리로 경영 주도권을 산다","채권단이 타이거펀드의 구조를 검토할 협상장이 열린다","조직 지배력","금융 수익을 국내 건설 대기업 통제권으로 바꿀 단계에 들어선다","청와대가 대형 외국계 인수를 승인할지가 관건이다","인수 조건 설계","정부 SOC 물량과 고용 명분","M102","high"
"136","136화","전리품 (5)","28075","28255","채권단 조건은 매력적이지만 정부는 외국계의 기간산업 지배를 경계한다","정후가 공공 주문과 고용으로 정책 반대를 뒤집는다","청와대 승인을 받아 대현건설을 실제 계열사로 편입한다","10년 SOC 물량·고용 유지·부채 상환을 묶고 장동현에게 우선 재매입권과 야구단 권리를 준다","정치적 특혜 논란과 기존 오너의 체면을 동시에 관리해야 한다","정부는 재정 부담 없이 건설사를 살리고 오너는 복귀 선택권을 얻는다","대현건설·야구단·산업용지까지 타이거펀드가 인수한다","조직·지위","정후의 영향권이 금융·IT에서 건설과 프로야구로 넓어진다","인수한 회사 안의 파벌과 납품 비리를 정리해야 한다","대현건설 인수 승인","이사회 파벌 해체와 신규 아파트 전략","M102","high"
