arc_id,start_sequence,end_sequence,start_line,end_line,main_characters,main_locations,character_evidence,location_evidence,source_sha256
DCA-N01,1,10,1,2167,"김민재, 김태중, 태우, 한정훈, 제프리, 데이비드, 조지, 살만, 장수영, 웨이, 로만, 강민","경제연구소, 태우, 미국, 태우증권, 한국, SAVE, 일본, 월가, 사우디, 퀀텀펀드",김민재<=김민재(4); 김태중<=할아버지(132); 태우<=태우(87); 한정훈<=한정훈(48); 제프리<=제프리(44); 데이비드<=데이비드(18); 조지<=조지(13); 살만<=살만(11); 장수영<=장수영(8); 웨이<=웨이(8); 로만<=로만(6); 강민<=강민(2),경제연구소<=경제연구소(2); 태우<=태우(87); 미국<=미국(47); 태우증권<=태우증권(36); 한국<=한국(28); SAVE<=SAVE(25); 일본<=일본(24); 월가<=월가(21); 사우디<=사우디(19); 퀀텀펀드<=퀀텀펀드(17),66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
DCA-N01B,11,15,2168,3024,"김민재, 김태중, 태우, 데이비드, 제프리, 조지, 푸틴, 부시, 로만, 김택훈, 한정훈, 구글","김포공항, 경제연구소, 국회, 태우, 미국, 한국, 월가, SAVE, 하버드, 러시아",김민재<=김민재(4); 김태중<=할아버지(70); 태우<=태우(41); 데이비드<=데이비드(23); 제프리<=제프리(17); 조지<=조지(8); 푸틴<=푸틴(8); 부시<=부시(3); 로만<=로만(3); 김택훈<=김택훈(1); 한정훈<=한정훈(1); 구글<=구글(1),김포공항<=김포공항(2); 경제연구소<=경제연구소(1); 국회<=국회(1); 태우<=태우(41); 미국<=미국(37); 한국<=한국(26); 월가<=월가(20); SAVE<=SAVE(17); 하버드<=하버드(11); 러시아<=러시아(11),66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
DCA-N02,16,31,3025,6005,"김민재, 태우, 이 상무, 김태중, 강 대위, 사장단, 이준수, 한지혜, 주영미, 애플, 조지, 서우태","태우 본사, 강 대위 사무실, 베트남 공장, 태우자동차 공장, 회장실, 태우, 감사팀, 명동, 일본, 한국",김민재<=김민재(37); 태우<=태우(170); 이 상무<=이 상무(132); 김태중<=할아버지(68); 강 대위<=강 대위(56); 사장단<=사장단(47); 이준수<=이준수(15); 한지혜<=한지혜(15); 주영미<=주영미(15); 애플<=애플(15); 조지<=조지(14); 서우태<=서우태(11),태우 본사<=태우그룹 본사(2); 강 대위 사무실<=강 대위의 사무실(2); 베트남 공장<=베트남 공장(1); 태우자동차 공장<=태우자동차 공장(1); 회장실<=회장실(1); 태우<=태우(170); 감사팀<=감사팀(105); 명동<=명동(80); 일본<=일본(32); 한국<=한국(30),66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
DCA-N03,32,52,6006,9758,"김민재, 태우, 박진훈, 김태중, 스티브, 애플, 조나단, 데이비드, 사장단, 우성일, 후쿠다, 박준일","부천 공장, 회장실, 강 대위 사무실, 태우, 태우전자, 미국, 한국, 애플, 일본, 명동",김민재<=김민재(16); 태우<=태우(325); 박진훈<=박진훈(105); 김태중<=할아버지(103); 스티브<=스티브(67); 애플<=애플(59); 조나단<=조나단(27); 데이비드<=데이비드(26); 사장단<=사장단(25); 우성일<=우성일(21); 후쿠다<=후쿠다(16); 박준일<=박준일(12),부천 공장<=부천 공장(4); 회장실<=회장실(4); 강 대위 사무실<=강 대위의 사무실(1); 태우<=태우(325); 태우전자<=태우전자(178); 미국<=미국(79); 한국<=한국(62); 애플<=애플(59); 일본<=일본(34); 명동<=명동(32),66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
DCA-N04,53,71,9759,13225,"김민재, 태우, 김태중, 애플, 다이먼, 스티브, 데이비드, 오강철, 강 대위, 살만, 조지, 아크만","강 대위 사무실, 회장실, 태우, 태우전자, 애플, 한국, 태우조선, SAVE, 미국, 태우중공업",김민재<=김민재(14); 태우<=태우(441); 김태중<=할아버지(180); 애플<=애플(109); 다이먼<=다이먼(72); 스티브<=스티브(51); 데이비드<=데이비드(28); 오강철<=오강철(28); 강 대위<=강 대위(27); 살만<=살만(20); 조지<=조지(16); 아크만<=아크만(16),강 대위 사무실<=강 대위의 사무실(9); 회장실<=회장실(3); 태우<=태우(441); 태우전자<=태우전자(160); 애플<=애플(109); 한국<=한국(88); 태우조선<=태우조선(77); SAVE<=SAVE(60); 미국<=미국(59); 태우중공업<=태우중공업(58),66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
DCA-N05,72,77,13226,14342,"김민재, 태우, 김태중, 기획실장, 데이비드, 쩡훙친, 제프리, 조지, 우성일, 후쿠다, 하재원, 애플","회장실, 태우 본사, 국회, 강 대위 사무실, 태우자동차 공장, 중국, 태우, 한국, 루마니아, 미국",김민재<=김민재(4); 태우<=태우(108); 김태중<=할아버지(39); 기획실장<=기획실장(24); 데이비드<=데이비드(19); 쩡훙친<=쩡훙친(15); 제프리<=제프리(14); 조지<=조지(4); 우성일<=우성일(2); 후쿠다<=후쿠다(2); 하재원<=하재원(1); 애플<=애플(1),회장실<=회장실(4); 태우 본사<=태우그룹 본사(3); 국회<=국회(1); 강 대위 사무실<=강 대위의 사무실(1); 태우자동차 공장<=태우자동차 공장(1); 중국<=중국(114); 태우<=태우(108); 한국<=한국(29); 루마니아<=루마니아(22); 미국<=미국(19),66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
DCA-N06,78,86,14343,15983,"김민재, 태우, 김태중, 스티브, 애플, 조지, 다이먼, 기획실장, 살만, 사장단, 압둘라, 후쿠다","회장실, 국회, 강 대위 사무실, 태우, 한국, 일본, 미국, 월가, 사우디, 애플",김민재<=김민재(2); 태우<=태우(103); 김태중<=할아버지(93); 스티브<=스티브(29); 애플<=애플(18); 조지<=조지(10); 다이먼<=다이먼(7); 기획실장<=기획실장(7); 살만<=살만(6); 사장단<=사장단(6); 압둘라<=압둘라(5); 후쿠다<=후쿠다(4),회장실<=회장실(7); 국회<=국회(5); 강 대위 사무실<=강 대위의 사무실(2); 태우<=태우(103); 한국<=한국(88); 일본<=일본(32); 미국<=미국(26); 월가<=월가(25); 사우디<=사우디(21); 애플<=애플(18),66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
DCA-N07,87,90,15984,16721,"김민재, 태우, 김태중, 데이비드, 애플, 다이먼, 카를로스 곤, 사장단, 우성일, 고연진, 로만, 강 대위","회장실, 강 대위 사무실, 태우, 한국, 태우전자, 미국, 애플, SAVE, 태우조선, 전경련",김민재<=김민재(3); 태우<=태우(54); 김태중<=할아버지(38); 데이비드<=데이비드(16); 애플<=애플(14); 다이먼<=다이먼(7); 카를로스 곤<=카를로스 곤(6); 사장단<=사장단(5); 우성일<=우성일(3); 고연진<=고연진(3); 로만<=로만(2); 강 대위<=강 대위(2),회장실<=회장실(2); 강 대위 사무실<=강 대위의 사무실(1); 태우<=태우(54); 한국<=한국(36); 태우전자<=태우전자(19); 미국<=미국(15); 애플<=애플(14); SAVE<=SAVE(6); 태우조선<=태우조선(4); 전경련<=전경련(4),66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
DCA-N07B,91,95,16722,17615,"김민재, 태우, 김태중, 고승택, 우성일, 박만덕, 애플, 데이비드, 고연진, 기획실장, 후쿠다, 카를로스 곤","청와대, 회장실, 태우, 한국, 태우증권, 태우전자, 미국, 애플, CL카드, 일본",김민재<=김민재(4); 태우<=태우(118); 김태중<=할아버지(30); 고승택<=고승택(17); 우성일<=우성일(9); 박만덕<=박만덕(9); 애플<=애플(6); 데이비드<=데이비드(5); 고연진<=고연진(4); 기획실장<=기획실장(3); 후쿠다<=후쿠다(1); 카를로스 곤<=카를로스 곤(1),청와대<=청와대(1); 회장실<=회장실(1); 태우<=태우(118); 한국<=한국(29); 태우증권<=태우증권(23); 태우전자<=태우전자(18); 미국<=미국(8); 애플<=애플(6); CL카드<=CL카드(5); 일본<=일본(5),66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
DCA-N07C,96,97,17616,17953,"김민재, 태우, 다이먼, 조지, 데이비드, 장수영, 김태중, 샌디 웨일, 사장단, 로만, 강 대위","청와대, 강 대위 사무실, 태우, 태우건설, 한국, SAVE, 월가, 거가대교, 지하철 9호선, 미국",김민재<=FIRST_PERSON_EXCEPTION(0); 태우<=태우(26); 다이먼<=다이먼(18); 조지<=조지(15); 데이비드<=데이비드(12); 장수영<=장수영(9); 김태중<=할아버지(5); 샌디 웨일<=샌디 웨일(2); 사장단<=사장단(1); 로만<=로만(1); 강 대위<=강 대위(1),청와대<=청와대(2); 강 대위 사무실<=강 대위의 사무실(1); 태우<=태우(26); 태우건설<=태우건설(20); 한국<=한국(20); SAVE<=SAVE(12); 월가<=월가(10); 거가대교<=거가대교(9); 지하철 9호선<=지하철 9호선(6); 미국<=미국(4),66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
