arc_id,arc_name,start_sequence,end_sequence,start_label,end_label,episode_count,main_characters,main_locations,concrete_premise,central_question,promise,pressure_escalation,mid_turn,concrete_payoff,relationship_change,status_or_ability_change,residual_cost,next_arc_bridge,boundary_signals,confidence
A01,"김광섭의 죽음, 박석원의 복권과 검은 수요일",1,12,1,12,12,박석원·박태홍·최호근 및 해당 거래 상대,대한민국·미국·일본·중국·러시아 및 거래 현장,"아, 안돼!에서 검은 수요일(Black Wednesday)까지 이어지는 김광섭의 죽음, 박석원의 복권과 검은 수요일","박석원이 김광섭의 죽음, 박석원의 복권과 검은 수요일을 자산과 산업 지배력으로 바꿀 수 있는가",시대 사건을 먼저 읽고 돈·기업·가족·국가적 영향력으로 환전,정보 우위가 자금 노출과 경쟁자·정부의 반격으로 커짐,ⓚ6 수용하기 어렵다면 이번 계약은 없던 걸로 하죠.,ⓚ12 검은 수요일(Black Wednesday),시험하던 가족·인물·기관이 동맹·고객·경쟁자로 재배치,개인 수익화가 그룹·산업·국가급 결정권으로 확장,커진 이름만큼 가족·기업·국가를 지킬 책임 증가,아니 석원이 이 녀석은 그럼 얼마나 번 거야.,핵심 시대 사건 결산; 주 상대·시장 교체; 비가역 자산·지위 변화,medium
A02,대흥가의 귀환과 NCR 인수 카드,13,26,13,26,14,박석원·박태홍·최호근 및 해당 거래 상대,대한민국·미국·일본·중국·러시아 및 거래 현장,아니 석원이 이 녀석은 그럼 얼마나 번 거야.에서 홀가분하게 연말을 보낼 수 있겠네.까지 이어지는 대흥가의 귀환과 NCR 인수 카드,박석원이 대흥가의 귀환과 NCR 인수 카드을 자산과 산업 지배력으로 바꿀 수 있는가,시대 사건을 먼저 읽고 돈·기업·가족·국가적 영향력으로 환전,정보 우위가 자금 노출과 경쟁자·정부의 반격으로 커짐,ⓚ19 아마 그리 오래 걸리진 않을 거예요.,ⓚ26 홀가분하게 연말을 보낼 수 있겠네.,시험하던 가족·인물·기관이 동맹·고객·경쟁자로 재배치,개인 수익화가 그룹·산업·국가급 결정권으로 확장,커진 이름만큼 가족·기업·국가를 지킬 책임 증가,정말 집에 돌아왔구나.,핵심 시대 사건 결산; 주 상대·시장 교체; 비가역 자산·지위 변화,medium
A03,보스턴 졸업과 엘도라도 출범,27,40,27,40,14,박석원·박태홍·최호근 및 해당 거래 상대,대한민국·미국·일본·중국·러시아 및 거래 현장,정말 집에 돌아왔구나.에서 더 높은 수익률을 올릴 수 있는데 굳이 다른 곳에 돈을 묶어 놓을 이유가 없죠.까지 이어지는 보스턴 졸업과 엘도라도 출범,박석원이 보스턴 졸업과 엘도라도 출범을 자산과 산업 지배력으로 바꿀 수 있는가,시대 사건을 먼저 읽고 돈·기업·가족·국가적 영향력으로 환전,정보 우위가 자금 노출과 경쟁자·정부의 반격으로 커짐,ⓚ33 파티를 연다는데 안 갈 이유가 없지 않겠어요.,ⓚ40 더 높은 수익률을 올릴 수 있는데 굳이 다른 곳에 돈을 묶어 놓을 이유가 없죠.,시험하던 가족·인물·기관이 동맹·고객·경쟁자로 재배치,개인 수익화가 그룹·산업·국가급 결정권으로 확장,커진 이름만큼 가족·기업·국가를 지킬 책임 증가,두 사람도 주식을 좀 사 두는 게 어때요.,핵심 시대 사건 결산; 주 상대·시장 교체; 비가역 자산·지위 변화,medium
A04,금융실명제 폭락을 선점한 신입 팀장,41,58,41,58,18,박석원·박태홍·최호근 및 해당 거래 상대,대한민국·미국·일본·중국·러시아 및 거래 현장,두 사람도 주식을 좀 사 두는 게 어때요.에서 아주 멋진 피날레가 되겠군요.까지 이어지는 금융실명제 폭락을 선점한 신입 팀장,박석원이 금융실명제 폭락을 선점한 신입 팀장을 자산과 산업 지배력으로 바꿀 수 있는가,시대 사건을 먼저 읽고 돈·기업·가족·국가적 영향력으로 환전,정보 우위가 자금 노출과 경쟁자·정부의 반격으로 커짐,ⓚ49 그런 게 어딨어! 빨리 팔아달라고!,ⓚ58 아주 멋진 피날레가 되겠군요.,시험하던 가족·인물·기관이 동맹·고객·경쟁자로 재배치,개인 수익화가 그룹·산업·국가급 결정권으로 확장,커진 이름만큼 가족·기업·국가를 지킬 책임 증가,무슨 의도로 저희 주식을 계속 매집하는 겁니까.,핵심 시대 사건 결산; 주 상대·시장 교체; 비가역 자산·지위 변화,medium
A05,적대 지분전과 채권 대학살,59,80,59,80,22,박석원·박태홍·최호근 및 해당 거래 상대,대한민국·미국·일본·중국·러시아 및 거래 현장,무슨 의도로 저희 주식을 계속 매집하는 겁니까.에서 SHIP of MIRACLES까지 이어지는 적대 지분전과 채권 대학살,박석원이 적대 지분전과 채권 대학살을 자산과 산업 지배력으로 바꿀 수 있는가,시대 사건을 먼저 읽고 돈·기업·가족·국가적 영향력으로 환전,정보 우위가 자금 노출과 경쟁자·정부의 반격으로 커짐,ⓚ69 이제 폭풍우가 시작되려나 보네요.,ⓚ80 SHIP of MIRACLES,시험하던 가족·인물·기관이 동맹·고객·경쟁자로 재배치,개인 수익화가 그룹·산업·국가급 결정권으로 확장,커진 이름만큼 가족·기업·국가를 지킬 책임 증가,덕분에 한시름 놓게 됐구나.,핵심 시대 사건 결산; 주 상대·시장 교체; 비가역 자산·지위 변화,medium
A06,모자이크 투자와 성수대교 경고,81,98,81,98,18,박석원·박태홍·최호근 및 해당 거래 상대,대한민국·미국·일본·중국·러시아 및 거래 현장,덕분에 한시름 놓게 됐구나.에서 88888.까지 이어지는 모자이크 투자와 성수대교 경고,박석원이 모자이크 투자와 성수대교 경고을 자산과 산업 지배력으로 바꿀 수 있는가,시대 사건을 먼저 읽고 돈·기업·가족·국가적 영향력으로 환전,정보 우위가 자금 노출과 경쟁자·정부의 반격으로 커짐,ⓚ89 마음에 들면 그냥 질러 버리는 거죠.,ⓚ98 88888.,시험하던 가족·인물·기관이 동맹·고객·경쟁자로 재배치,개인 수익화가 그룹·산업·국가급 결정권으로 확장,커진 이름만큼 가족·기업·국가를 지킬 책임 증가,이제 고점에 거의 다 왔다는 신호군.,핵심 시대 사건 결산; 주 상대·시장 교체; 비가역 자산·지위 변화,medium
A07,멕시코·고베·엔화 공격,99,113,99,113,15,박석원·박태홍·최호근 및 해당 거래 상대,대한민국·미국·일본·중국·러시아 및 거래 현장,이제 고점에 거의 다 왔다는 신호군.에서 억만장자로 만들어 줄 테니까 기대해도 좋아.까지 이어지는 멕시코·고베·엔화 공격,박석원이 멕시코·고베·엔화 공격을 자산과 산업 지배력으로 바꿀 수 있는가,시대 사건을 먼저 읽고 돈·기업·가족·국가적 영향력으로 환전,정보 우위가 자금 노출과 경쟁자·정부의 반격으로 커짐,ⓚ106 기대가 컸던 만큼 실망감에 더 크게 주저앉게 될 거예요.,ⓚ113 억만장자로 만들어 줄 테니까 기대해도 좋아.,시험하던 가족·인물·기관이 동맹·고객·경쟁자로 재배치,개인 수익화가 그룹·산업·국가급 결정권으로 확장,커진 이름만큼 가족·기업·국가를 지킬 책임 증가,주당 24달러 정도면 적당할 것 같군요.,핵심 시대 사건 결산; 주 상대·시장 교체; 비가역 자산·지위 변화,medium
A08,미국 기업과 베어링스 사냥,114,134,114,134,21,박석원·박태홍·최호근 및 해당 거래 상대,대한민국·미국·일본·중국·러시아 및 거래 현장,주당 24달러 정도면 적당할 것 같군요.에서 에라이 독한 놈.까지 이어지는 미국 기업과 베어링스 사냥,박석원이 미국 기업과 베어링스 사냥을 자산과 산업 지배력으로 바꿀 수 있는가,시대 사건을 먼저 읽고 돈·기업·가족·국가적 영향력으로 환전,정보 우위가 자금 노출과 경쟁자·정부의 반격으로 커짐,ⓚ124 아무거나 덥석 입안에 넣으면 탈이 나는 법이지,ⓚ134 에라이 독한 놈.,시험하던 가족·인물·기관이 동맹·고객·경쟁자로 재배치,개인 수익화가 그룹·산업·국가급 결정권으로 확장,커진 이름만큼 가족·기업·국가를 지킬 책임 증가,도쿄 대공습 (1),핵심 시대 사건 결산; 주 상대·시장 교체; 비가역 자산·지위 변화,medium
A09,도쿄 대공습,135,150,135,150,16,박석원·박태홍·최호근 및 해당 거래 상대,대한민국·미국·일본·중국·러시아 및 거래 현장,도쿄 대공습 (1)에서 이번 게임의 진정한 승자는 그쪽일 겁니다.까지 이어지는 도쿄 대공습,박석원이 도쿄 대공습을 자산과 산업 지배력으로 바꿀 수 있는가,시대 사건을 먼저 읽고 돈·기업·가족·국가적 영향력으로 환전,정보 우위가 자금 노출과 경쟁자·정부의 반격으로 커짐,ⓚ142 원하는 대로 칼춤을 제대로 춰드리도록 하죠.,ⓚ150 이번 게임의 진정한 승자는 그쪽일 겁니다.,시험하던 가족·인물·기관이 동맹·고객·경쟁자로 재배치,개인 수익화가 그룹·산업·국가급 결정권으로 확장,커진 이름만큼 가족·기업·국가를 지킬 책임 증가,나중에 더 비싸게 팔려고 그런 거니까 신경 쓰지 마.,핵심 시대 사건 결산; 주 상대·시장 교체; 비가역 자산·지위 변화,medium
A10,특허 독점권과 구찌의 문,151,173,151,173,23,박석원·박태홍·최호근 및 해당 거래 상대,대한민국·미국·일본·중국·러시아 및 거래 현장,나중에 더 비싸게 팔려고 그런 거니까 신경 쓰지 마.에서 이해해줘서 고마워.까지 이어지는 특허 독점권과 구찌의 문,박석원이 특허 독점권과 구찌의 문을 자산과 산업 지배력으로 바꿀 수 있는가,시대 사건을 먼저 읽고 돈·기업·가족·국가적 영향력으로 환전,정보 우위가 자금 노출과 경쟁자·정부의 반격으로 커짐,ⓚ162 사업을 열심히 키우면 난 뒤에서 돈만 받아 챙기면 되는 거지.,ⓚ173 이해해줘서 고마워.,시험하던 가족·인물·기관이 동맹·고객·경쟁자로 재배치,개인 수익화가 그룹·산업·국가급 결정권으로 확장,커진 이름만큼 가족·기업·국가를 지킬 책임 증가,머뭇거리다가 지금보다 더 비싸게 사야 되는 상황이 되기 전에 계약서를 쓰도록 해요.,핵심 시대 사건 결산; 주 상대·시장 교체; 비가역 자산·지위 변화,medium
A11,구찌 인수와 대흥가 칼바람,174,192,174,192,19,박석원·박태홍·최호근 및 해당 거래 상대,대한민국·미국·일본·중국·러시아 및 거래 현장,머뭇거리다가 지금보다 더 비싸게 사야 되는 상황이 되기 전에 계약서를 쓰도록 해요.에서 다시는 어느 누구도 감히 넘보지 못하도록 끝까지 덤벼들었으면 좋겠네.까지 이어지는 구찌 인수와 대흥가 칼바람,박석원이 구찌 인수와 대흥가 칼바람을 자산과 산업 지배력으로 바꿀 수 있는가,시대 사건을 먼저 읽고 돈·기업·가족·국가적 영향력으로 환전,정보 우위가 자금 노출과 경쟁자·정부의 반격으로 커짐,ⓚ183 뭐 나쁘지 않군.,ⓚ192 다시는 어느 누구도 감히 넘보지 못하도록 끝까지 덤벼들었으면 좋겠네.,시험하던 가족·인물·기관이 동맹·고객·경쟁자로 재배치,개인 수익화가 그룹·산업·국가급 결정권으로 확장,커진 이름만큼 가족·기업·국가를 지킬 책임 증가,이것 좀 보세요. 어머니.,핵심 시대 사건 결산; 주 상대·시장 교체; 비가역 자산·지위 변화,medium
