sequence,source_lines,result,changed_fields,absence_claim_check,current_fact_check,note
5,L930~L1168,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
12,L2353~L2512,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
18,L3403~L3587,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
22,L4175~L4371,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
46,L8489~L8672,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
50,L9210~L9397,EDIT_CURRENT_FACT_RECOVERY,protagonist_goal;action;paid_reward;state_change;closed_loops,PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
56,L10327~L10491,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
74,L13605~L13786,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
81,L14871~L15040,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
96,L17616~L17784,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
99,L18128~L18314,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
103,L18839~L19009,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
143,L26108~L26283,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
154,L28006~L28171,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
161,L29176~L29348,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
177,L32081~L32276,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
191,L34605~L34776,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
192,L34777~L34942,EDIT_CURRENT_FACT_RECOVERY,protagonist_goal;action;resistance_or_cost;turn_or_reveal;paid_reward;state_change;ending_hook;opened_loops,PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
194,L35137~L35343,EDIT_CURRENT_FACT_RECOVERY,action;resistance_or_cost;ending_hook;opened_loops,PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
221,L39738~L39888,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
223,L40045~L40202,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
230,L41259~L41447,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
243,L43451~L43611,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
253,L45073~L45227,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
259,L46076~L46253,EDIT_CURRENT_FACT_RECOVERY,action;paid_reward;closed_loops,PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
264,L46932~L47106,EDIT_CURRENT_FACT_RECOVERY,resistance_or_cost;opened_loops,PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
309,L54454~L54614,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
327,L57488~L57633,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
331,L58139~L58329,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
334,L58666~L58839,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
335,L58840~L59004,EDIT_CURRENT_FACT_RECOVERY,paid_reward;state_change,PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
341,L59812~L59973,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
347,L60801~L60982,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
348,L60983~L61166,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
351,L61506~L61665,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
381,L66743~L66910,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
382,L66911~L67084,EDIT_CURRENT_FACT_RECOVERY,protagonist_goal;action,PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
391,L68452~L68641,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
394,L68991~L69182,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
399,L69891~L70053,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
414,L72491~L72663,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
415,L72664~L72834,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
419,L73360~L73524,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
433,L75754~L75944,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
445,L77842~L78035,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
453,L79277~L79459,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
506,L88515~L88679,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
513,L89697~L89854,EDIT_CURRENT_FACT_RECOVERY,ending_hook;opened_loops,PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
514,L89855~L90022,EDIT_CURRENT_FACT_RECOVERY,reader_promise;protagonist_goal;action;turn_or_reveal;paid_reward;state_change;ending_hook;opened_loops,PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
522,L91201~L91367,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
531,L92761~L92938,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
541,L94487~L94679,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
568,L99285~L99462,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
