sequence,visible_label,title,start_line,end_line,entry_state,reader_promise,protagonist_goal,action,resistance_or_cost,turn_or_reveal,paid_reward,state_change_axis,state_change,ending_hook,closed_loops,opened_loops,arc_id,confidence
126,126화,폭풍전야 (5),22970,23156,현 건설의 유동성 위기와 애플 저가 매수기가 겹친다,명동 자금과 채권 압박이 두 미래 자산으로 돌아올지 보여 준다,애플 지분 매집선을 넓히고 현 건설의 정부 보증을 끊는다,명동 원로와 이영한에게 애플 주식 매집·1년 뒤 재매수·은행 인수 기회를 약속하고 현 건설 첫 부도를 압박한다,정부 보증과 현 그룹의 버티기가 부도를 늦춘다,태우의 채권단 공개 접근에 현 그룹이 먼저 거래를 고민한다,애플 저가 매집망과 현 건설 협상 주도권을 얻는다,금융·협상,명동 자금이 민재의 장기 자산 사냥에 합류한다,현 그룹이 무엇을 내놓고 건설을 살릴지 선택해야 한다,명동 원로와의 투자 동맹,현 건설 매각 조건,DCA-N12,0.97
127,127화,아쉬운 쪽 (1),23157,23305,정부 지원이 끊긴 현 건설은 최대 채권자 SAVE에 매달린다,달러 채권이 재벌 총수의 선택까지 강제하는 장면을 지급한다,현 건설 가격을 끝까지 끌어올리고 반도체 분리 조건을 만든다,SAVE의 달러 채권을 앞세워 현 건설 처분을 다이먼에게 맡기고 장경준이 감당할 최고가를 요구한다,장경준의 구제 거절과 채권단의 손실 공포가 맞선다,최대 채권자 지위가 현 건설의 생사 결정권으로 바뀐다,현 반도체를 분리해 받을 강제력이 생긴다,채권·지배,태우가 현 그룹 구조조정의 결정권자가 된다,장영주가 경쟁 재벌에게 입찰 포기를 부탁해야 한다,현 건설의 정부 의존,현 반도체 분리 매각,DCA-N12,0.97
128,128화,아쉬운 쪽 (2),23306,23477,현 건설 입찰을 살리려면 경쟁 총수들이 빠져야 한다,장영주의 굴욕이 태우의 반도체 기회로 전환되는지를 본다,현 반도체 분리안을 채권단의 공식 해법으로 굳힌다,채권단 회의에서 현 반도체 분리를 밀고 장영주가 경쟁 총수들에게 현 건설 입찰 포기를 호소하게 한다,16조 원 부채와 그룹 해체 공포가 장영주를 압박한다,장영주가 김태중에게 그룹을 살려 달라고 직접 청한다,태우가 현 반도체 인수 조건을 고를 위치에 오른다,관계·협상,현 그룹과 태우의 갑을 관계가 뒤집힌다,부채 많은 반도체를 어떤 가격과 조건으로 받을지가 남는다,현 건설 경쟁입찰,현 반도체 인수 협상,DCA-N12,0.98
129,129화,아쉬운 쪽 (3),23478,23644,장영주가 현 반도체를 떠넘기려 하지만 민재는 급함을 숨긴다,반도체 인수와 승계 방어를 한 판에서 준비하는 계산을 보여 준다,협상 우위를 지키면서 태우 지분과 퀄컴 주식을 싼값에 모은다,장영주의 요청을 즉답하지 않고 현 건설 거래와 승계를 엮은 뒤 태우 주식 매입·소각과 퀄컴 저가매수를 준비한다,아이폰 일정은 급하지만 조급함을 보이면 부채 조건이 불리해진다,반도체 협상과 그룹 지분 방어가 하나의 자금 배치로 묶인다,태우 지배력과 스마트폰 특허 투자 기반이 두꺼워진다,승계·투자,민재가 인수자이자 최대주주로 설 자리를 넓힌다,미국 정치권과 애플에서 공장·물량 약속을 받아야 한다,현 반도체 요청 접수,미국 수요처와 정치 방패,DCA-N12,0.97
130,130화,아쉬운 쪽 (4),23645,23831,현 반도체를 살리려면 미국 공장 명분과 장기 고객이 필요하다,100억 달러 약속이 백악관과 애플을 동시에 움직이는 거래를 지급한다,부시의 비개입과 애플 반도체 독점 수요를 확보한다,부시 당선자에게 지정 지역 100억 달러 공장을 약속하고 잡스에게 성능·물량을 맞춘 독점 공급을 제안한다,미국 정치 개입 위험과 애플의 까다로운 납기 조건이 걸린다,공장 약속이 정치 방패가 되고 아이폰이 반도체 고정 수요처가 된다,현 반도체 인수 후 살릴 외부 수요와 보호선을 얻는다,정치·계약,태우의 반도체 계획이 미국 일자리와 애플 공급망에 연결된다,채권단이 부채를 얼마나 탕감할지가 마지막 가격 싸움이다,미국 비개입 약속과 애플 수요처,현 반도체 채무조정,DCA-N12,0.98
131,131화,아쉬운 쪽 (5),23832,24029,애플 일정이 다가오지만 채권단은 현 반도체 손실을 떠넘기려 한다,조급함을 숨긴 협상으로 부채를 크게 깎는 보상을 준다,인수 뒤 감당할 채무를 최대한 줄인다,급한 사정을 감춘 채 채권단과 현 반도체 부채 65% 탕감을 확정한다,채권단의 회수 욕심과 아이폰 생산 시한이 동시에 압박한다,채권단이 대규모 손실을 인정하고 탕감안에 도장을 찍는다,차세대 생산기지를 할인된 채무로 편입할 수 있게 된다,채무·인수,현 반도체가 감당 가능한 인수 대상으로 바뀐다,정식 인수와 수율 회복을 맡길 기술 리더가 필요하다,채무 탕감 협상,현 반도체 정상화,DCA-N12,0.98
132,132화,대폭락 (1),24030,24220,채무 조건은 정리됐지만 현 반도체의 낮은 수율과 세금 부담이 남는다,공식 인수와 S급 기술자 배치가 추락한 공장을 되살릴 출발점이 된다,태우 반도체를 출범시키고 유석재에게 수율 회복 권한을 준다,11월 21일 인수를 공식화하고 유석재를 책임자로 세운 뒤 흑자 전 세금 감면을 요구한다,누적 부실과 정부의 특혜 논란이 정상화를 가로막는다,철수 가능성을 내비친 협상 카드가 세제 지원을 끌어낸다,태우 반도체와 기술 지휘선이 공식 출범한다,직책·제조,유석재가 실패한 공장을 되살릴 책임자가 된다,대만 파운드리 인재를 더해 수율과 공정을 나눠 맡겨야 한다,현 반도체 인수,수율 회복과 공동 경영,DCA-N12,0.98
133,133화,대폭락 (2),24221,24408,태우 반도체는 출범했지만 상속과 공동 경영 인사는 아직 진행 중이다,승계 비용을 낮추면서 두 기술 축을 세우는 준비 과정을 보여 준다,상속을 서두르고 유석재·웨이의 공동 부사장 체제를 예고한다,낮은 주가를 이용해 상속 절차를 진행하고 상속 종료 뒤 유석재와 웨이를 공동 부사장으로 임명할 계획을 알린다,상속세와 제조·파운드리 조직의 균형이 부담이다,완료 전인 승계와 인사를 공개해 두 기술 리더의 역할을 고정한다,승계와 반도체 공동 경영의 실행 일정이 잡힌다,승계·직책,상속과 공동 부사장 임명이 확정된 계획으로 넘어간다,CES 아이폰 공개가 태우 반도체 수요를 시험한다,상속·인사 방향 결정,상속 완료와 CES 시장 검증,DCA-N12,0.94
134,134화,대폭락 (3),24409,24613,반도체 인사와 상속이 진행되는 동안 아이폰이 CES 무대에 오른다,태우의 선행 투자가 300만 대 대기 수요로 증명되는 보상을 준다,아이폰 공개 반응과 태우 부품·지분 가치의 반등을 확인한다,1월 9일 CES에서 잡스가 음악·OTT·록키를 담은 아이폰을 공개하고 300만 대 대기 수요를 확인한다,새 기기에 대한 시장 불신과 폭락한 애플 주가가 시험대다,관객 반응과 예약 수요가 스마트폰 전환을 현실로 만든다,애플 주가와 태우 반도체 수요 회복의 근거를 얻는다,시장·자산,아이폰이 실험 제품에서 세계 수요를 가진 상품으로 바뀐다,미국 취임식 이후 정치 관계와 국내 공격 조짐을 살펴야 한다,아이폰 공개와 수요 검증,정치 방패와 국내 견제,DCA-N12,0.98
135,135화,대폭락 (4),24614,24799,민재는 부시 취임식 참석으로 이름을 알렸지만 별도 공장 협상은 하지 않았다,미국 홍보 효과와 국내 정적의 움직임이 중국 일정으로 이어진다,취임식 효과를 확인하고 윤현길·장수영의 공격에 대비해 중국 선을 다진다,부시 취임식 참석 뒤 윤현길 측의 수사 모의를 파악하고 중국의 쩡홍친을 만나러 간다,국내 정치 공격과 미국 행사 뒤 과도한 친미 인상이 부담이다,미국 인지도보다 국내 수사 위험이 더 급한 문제로 떠오른다,중국 사업과 정치 인맥을 보강할 다음 이동선이 열린다,정치·외교,민재의 시선이 미국 홍보에서 중국 성장축과 국내 방어로 옮겨 간다,쩡홍친이 연결할 자동차·텐센트 기회를 확인해야 한다,부시 취임식 참석,중국 동맹과 윤현길 수사 대응,DCA-N12,0.95
136,136화,대폭락 (5),24800,24980,중국 자동차 사업이 연 100% 가까이 성장하고 쩡홍친의 인맥이 열린다,자동차 성공을 모바일 게임 유통망으로 확장하는 결산을 준다,텐센트와 지배 가능한 합작을 만들고 한국 게임을 아이폰으로 옮긴다,마화명과 텐센트 합작 지분 51%를 구성하고 한국 게임사에 아이폰 게임 개발을 주문한다,중국 판호·현지 인맥과 아직 작은 모바일 게임 수요가 위험이다,자동차 동맹이 게임·메신저 사업의 현지 진입권으로 번진다,중국 게임 유통망과 모바일 게임 선점권을 확보한다,지분·플랫폼,태우가 중국 자동차를 넘어 모바일 콘텐츠의 문지기가 된다,귀국 뒤 윤현길의 김태중 겨냥 수사가 시작된다,텐센트 합작과 개발 지시,김태중 구속 위기,DCA-N12,0.98
137,137화,닭장 (1),24981,25166,중국 모바일 게임판을 연 직후 윤현길의 회계·뇌물 수사가 김태중을 겨눈다,해외 사업 보상이 가족 구속 위기로 뒤집히는 압박을 준다,수사 시간을 벌고 윤현길을 역으로 잡을 자료망을 가동한다,게임사에 개발 유인을 제시하다 김태중 구속 위험을 듣고 지연전과 비리 자료 수집을 명한다,검찰·국세청 동시 압박과 조부의 신병 위험이 크다,수사의 표적과 시간표를 읽고 국제 인맥을 증거 수집망으로 바꾼다,윤현길을 공격할 미국·중국·러시아 자료 수집이 시작된다,가족·정치,민재가 사업가에서 조부를 지킬 방어자로 전환한다,장영주 장례식과 푸틴 방문 때 증거가 모인다,수사 의도 파악,윤현길 비리 증거,DCA-N13,0.98
138,138화,닭장 (2),25167,25375,김태중 구속을 막으려면 윤현길보다 강한 국제 증거가 필요하다,장례식에 모인 권력자들이 정적의 약점으로 바뀌는 역전을 지급한다,윤현길의 비리를 여러 나라에서 모아 반응을 시험한다,장영주 장례식에 온 푸틴과 중국·미국 인맥에게서 자료를 받아 가장 약한 건부터 언론에 흘린다,자료를 한꺼번에 쓰면 배후가 드러나고 수사가 격화될 수 있다,약한 기사 하나에도 윤현길 진영이 희생양을 찾기 시작한다,상대 반응을 보며 단계적으로 압박할 증거 우위를 얻는다,정보·권력,윤현길이 공격자에서 약점을 숨기는 피의자로 바뀐다,그가 어떤 측근을 버릴지 지켜봐야 한다,다국적 증거 확보,희생양 선택과 내부 균열,DCA-N13,0.98
139,139화,닭장 (3),25376,25549,첫 기사 뒤 윤현길은 측근을 버릴지 고민하고 장영준은 이간질 메모를 보낸다,협박과 메모 공개가 적 진영에 균열을 내는 과정을 보여 준다,주강태를 압박하고 장경준과의 오해를 미리 차단한다,돈 사진·영상·장부로 주강태를 협박한 뒤 장영준의 윤현길·장경준 접촉 메모를 장경준에게 보여 준다,주강태는 아직 윤현길에게 돌아가고 현 그룹의 불신도 남아 있다,측근 이탈은 일어나지 않지만 윤현길 진영과 현 그룹 모두 경계한다,윤현길 측의 약점과 이간질 시도가 공개된다,정보·관계,적 조직이 붕괴하지는 않았으나 서로를 의심하는 상태가 된다,장수영이 희생양 지목을 받아들일지 결정한다,장경준과의 오해 차단,주강태·장수영의 선택,DCA-N13,0.94
140,140화,닭장 (4),25550,25727,장경준과의 오해는 풀렸고 윤현길은 축출된 장수영에게 책임을 떠넘기려 한다,버려진 배신자가 정적의 퇴로를 막는 아이러니를 지급한다,장수영이 희생양이 되지 못하게 자기 생존을 걸게 한다,장경준과 관계를 정리하고 장수영이 윤현길을 찾아가 희생양 지목을 거부하게 만든다,장수영의 원한과 윤현길의 권력이 다시 결탁할 위험이 있다,장수영은 공멸용 보험 때문에 윤현길 편에 서지 않는다,윤현길이 책임을 떠넘길 마지막 퇴로를 잃는다,복수·관계,과거 배신자가 민재의 의도대로 정적을 압박하는 변수로 바뀐다,태우 수사 결과와 민재의 직접 대면이 남는다,장수영 희생양 계획 저지,윤현길 항복 여부,DCA-N13,0.98
