sequence,visible_label,title,start_line,end_line,entry_state,reader_promise,protagonist_goal,action,resistance_or_cost,turn_or_reveal,paid_reward,state_change_axis,state_change,ending_hook,closed_loops,opened_loops,arc_id,confidence
"151","151화","","38019","38256","complete","IMF 실사단을 망나니식 역감시로 제압한다","호텔 비밀회의의 의도와 배후를 잡는다","국제호텔 객실과 아래층을 선점하고 안기부 도청을 이중 감시한다","IMF와 안기부가 백범의 38개 구제기업과 개인 자산을 캐고 있다","전두성 경호팀 보고로 감시자가 오히려 완전히 노출된다","상대의 회의·동선을 선점한 정보 우위","평판|능력","철없는 졸부가 아닌 국가급 방첩 플레이어로 갱신된다","호텔 회의를 공개적으로 깨뜨릴 방법을 준비한다","IMF 동향 파악","회의 폭로 작전","M01","high"
"152","152화","","38257","38482","complete","졸부의 기부가 세금 회피가 아니라 제도로 증명된다","선우·관순재단의 정당성과 지속 재원을 세운다","두 재단에 각 1조 원을 출연하고 그룹 순익 10%와 외부감사를 약속한다","기자들은 상속·증여세 회피와 이미지 세탁을 의심한다","백범이 결산 공개와 무관용 회계감사를 먼저 제시한다","기자들의 탄성과 박수 및 고귀한 기업인 보도","평판|가족","조부와 누이 이름이 공적 유산으로 전환되고 세무 프레임이 약해진다","국세청 세무조사가 취소될 조짐이 선다","재단 자금 출처 의혹","재단 운영과 정치권 반응","M01","high"
"153","153화","","38483","38775","complete","여론과 건물 소유권을 이용해 IMF의 밀실을 무너뜨린다","호텔 회의를 대중 앞에 끌어낸다","국제호텔 28% 주주 권한으로 화재경보와 스프링클러를 작동시킨다","실사단은 객실 안에 숨고 여당 대선후보는 백범을 자기편으로 끌어들이려 한다","젖은 IMF 인사들이 기자 카메라 앞에 쏟아져 나온다","국세청 조사 철회와 11% 호감도 및 언론 주도권","평판|권력","망나니의 소동이 투명성 공격으로 읽히며 정치적 몸값이 오른다","대선후보 측 접촉이 본격화된다","호텔 비밀회의 폭로","정치권 선택 압박","M01","high"
"154","154화","","38776","39061","complete","과거의 흑막 이신과 백범이 세대 동맹을 시험한다","이신에게 경제전쟁 동업을 제안한다","성북동 고택을 찾아가 국가·자본을 함께 움직이자고 설득한다","이신은 자신 때문에 이미 1조 원을 썼다며 이익을 증명하라고 요구한다","백범이 과거의 자기 자신과 협상하듯 이신의 욕망을 정확히 찌른다","적대적 감시가 조건부 협상으로 바뀐다","관계|권력","이신이 제거 대상이 아니라 잠재 동업자로 이동한다","나우루 70억 달러 운용안이 시험대로 오른다","이신과의 첫 정면 대화","동업 조건과 과거 인연","M01","high"
"155","155화","","39062","39292","complete","허황한 70억 달러 계획이 국가 구제와 이익으로 연결된다","이신의 자본·정치 네트워크를 끌어낸다","나우루 자금의 한국 2년 투자와 사하라 녹지화 구상을 제시한다","이신은 호텔을 태워버리겠다는 백범의 배포와 수익 근거를 시험한다","이신이 백범 조부를 알고 있었다며 들꽃 기억을 꺼낸다","이신의 흥미와 사업 동맹 가능성","관계|재산","거래 협상이 조부 세대의 미해결 인연으로 깊어진다","이신과 조부의 과거가 무엇인지 열린다","이신의 이익 조건","조부 독립운동 비밀","M01","high"
"156","156화","","39293","39536","complete","백범 가문의 숨은 관계가 현재의 보호망으로 되돌아온다","이신의 신뢰와 조부의 진실을 확보한다","김찬을 고택에 데려가 과거 부대의 기억을 환기하고 사하라 계획을 재설명한다","김찬은 전쟁 후유증으로 어린아이처럼 반응하고 이신은 죄책감에 흔들린다","이신이 백범 조부를 형님이라 불렀고 김찬이 소대장을 알아본다","혈연 밖 가족의 복원과 이신의 정서적 항복","가족|관계","김찬·이신·백범이 조부의 빚으로 묶인 유사가족이 된다","이신이 동맹 여부를 결정하려 한다","조부 인연 확인","달 동맹 결단","M01","high"
"157","157화","","39537","39828","complete","오래된 흑막이 백범의 국가급 기획에 올라탄다","이신을 완전한 우군으로 만든다","나우루·사하라·정치 폭로의 역할을 나누고 서로를 달로 부르기로 한다","총풍 공작이 터지고 정권 내부가 흔들려 동맹의 위험이 커진다","이신이 백범을 범이라 부르며 달 동맹을 수락한다","정치·정보·자본을 묶은 후견 네트워크","관계|권력","이신의 어둠과 백범의 자본이 상호 보완하는 체제로 굳어진다","대통령이 백범을 막을 수 없는 망나니로 주목한다","이신 설득","총풍 이후 정권 재편","M01","high"
"158","158화","","39829","40125","complete","가문의 빚과 임신한 아내를 먼저 챙기는 선택이 정치 제안을 이긴다","조비·김찬과 은혜의 안전을 지킨다","이신에게 가족 보호를 부탁하고 여당 후보 접촉 대신 은혜와 분식집으로 간다","IMF팀 철수와 여당 내부의 대통령 축출 움직임이 동시에 벌어진다","이신이 과거 백범 부친의 재개발·토지 문제도 조용히 도왔음을 밝힌다","은혜가 잠든 채 기대는 친밀감과 후견 관계의 확정","가족|관계","정치권의 도구가 되기보다 남편·가장이라는 기준이 앞선다","여당 후보의 지지 요구를 직접 거절해야 한다","조비·김찬 보호","대선후보 거절","M01","high"
"159","159화","","40126","40372","complete","권력보다 임신한 아내를 택한 망나니가 국가자본 협상으로 건너간다","여당 후보를 거절하고 나우루 계약을 마무리한다","아내가 한국의 미래를 품었다며 정치 지원을 거절한 뒤 나우루로 향한다","수행원과 정치권은 30대 재벌이 대권 거래를 차버린 데 당황한다","이신의 월드컴 투자가 12억 달러에서 30억 달러로 뛰고 아마존도 항복 직전이다","가족 우선 평판과 이신의 실현된 수익","가족|재산","정치 거부가 손실이 아니라 더 큰 국제 자산으로 보상된다","나우루 대통령이 70억 달러 운용 조건을 내민다","대선 지지 거절","나우루 국부기금 계약","M02","high"
"160","160화","","40373","40680","complete","침몰하는 섬의 돈을 대륙 개조의 씨앗으로 바꾼다","나우루의 70억 달러를 장기 운용한다","해수면 상승 위험과 사하라 이주·녹지화 비전을 대통령에게 설명한다","나우루는 원금과 고수익을 원하고 이신은 조비의 정체와 백범의 빚을 의심한다","나우루 대통령이 20% 조건을 타진하며 백범의 세계관에 흔들린다","국가 정상과 대등하게 협상하는 위상","재산|평판","졸부의 투기가 국가 생존 프로젝트로 규모가 갱신된다","재무장관 아들이 별도 조건을 들고 나온다","블랙홀 상장 기대","나우루 계약 세부조건","M02","high"
