sequence,visible_label,title,start_line,end_line,entry_state,reader_promise,protagonist_goal,action,resistance_or_cost,turn_or_reveal,paid_reward,state_change_axis,state_change,ending_hook,closed_loops,opened_loops,arc_id,confidence
"1","효종 1화","시간을 뛰어넘어","1","121","사학과 4학년 강도현이 백민훈 교수의 중국 발표를 돕고 졸업논문 자료를 찾으려 베이징에 도착한다.","효종을 연구하던 현대 청년이 역사 속으로 들어갈 계기가 열린다.","베이징 대학 서고에서 효종 관련 1차 자료를 찾아 논문을 완성한다.","리홍장과 장예의 도움으로 외부인 금지 서고에 들어갈 약속을 얻는다.","백민훈의 발표 준비와 외국인 열람 제한 때문에 조사 시간이 짧다.","효종의 청나라 볼모 생활을 논문 주제로 삼았다는 사실이 제시된다.","리홍장의 인맥으로 미정리 서고 출입권을 얻는다.","세계","도현이 효종 연구를 위해 금지된 자료실까지 접근한다.","미정리 고서 더미 속에 효종의 흔적이 있을 가능성이 열린다.","백민훈 발표 보조 임무가 끝난다.","서고 탐색과 효종 자료 발견 루프가 열린다.","E01","high"
"2","효종 2화","효종 2화","122","225","도현이 장예의 허락 아래 베이징 대학 미정리 서고를 탐색한다.","옥빛 반지와 정체불명의 일기가 효종 시대로 이어진다.","효종과 조선이 적힌 낡은 일기의 정체를 확인한다.","골동품 거리에서 옥빛 반지를 사고 서고에서 효종의 것으로 보이는 일기를 읽는다.","촬영과 반출이 금지됐고 고어체 자료가 뒤섞여 있어 진위를 확인하기 어렵다.","반지가 빛나는 가운데 잠든 도현이 낯선 중국식 침상에서 봉림대군으로 깨어난다.","효종의 일기로 추정되는 희귀 자료와 시간 이동의 직접 체험이 지급된다.","세계,지위","현대 대학생 강도현의 의식이 1637년 봉림대군 이호의 몸으로 이동한다.","칠현이 그를 마마라 부르고 바깥에는 현대 건물이 하나도 없다.","현대 베이징에서 효종 자료를 찾는 루프가 시간 이동으로 결산된다.","1637년 심양에서 봉림대군으로 살아남는 루프가 열린다.","E01","high"
"3","효종 3화","여긴 어디?","226","398","도현은 일주일 동안 자신이 1637년 심양의 봉림대군 이호라는 현실을 받아들였다.","미래 지식을 가진 봉림대군이 볼모 생활과 예정된 전쟁에 적응한다.","낯선 관저와 시대를 파악하고 갇힌 생활에서 잠시 벗어난다.","건망증을 핑계 삼아 주변을 익히고 김덕술에게 받은 여진 복장으로 칠현과 개구멍을 빠져나가 저자에 간다.","얼굴과 예법을 모르는 데다 호위 없이 잠행하면 발각되거나 위해를 당할 수 있다.","시간 이동 과정에서 봉림대군의 신분과 1637년이라는 연도가 확정된다.","왕족의 안전한 신분과 심양 저자를 직접 볼 자유가 지급된다.","지위,관계","도현이 봉림대군의 삶을 현실로 받아들이고 칠현을 첫 측근으로 삼는다.","심양 저자에서 처음 보는 풍속과 사람들을 마주한다.","시간 이동 여부를 의심하던 루프가 현실 수용으로 닫힌다.","볼모 생활 적응과 저자 탐색 루프가 열린다.","E02","high"
"4","효종 4화","효종 4화","399","517","도현과 칠현이 심양 시장의 음식과 풍경을 구경한다.","현대적 윤리를 가진 왕자가 병자호란 피해자를 외면하지 않는다.","노예 경매에 나온 조선인 어린 남매를 뚱보 상인에게서 구한다.","금원보를 내보이고 은자 서른 냥을 불러 소연·기철 남매를 낙찰받는다.","노예제가 일상인 시대 인식과 남매를 노리는 상인의 경쟁, 칠현의 반대가 걸린다.","경매품이 한복을 입은 평안도 초산 출신 전쟁고아임이 드러난다.","소연과 기철의 소유권을 확보해 성적 착취와 노예 생활에서 떼어 낸다.","돈,관계","도현이 왕자의 비상금을 백성 구출에 쓰고 남매의 보호자가 된다.","남매가 부모 이야기에 울음을 터뜨린다.","뚱보 상인에게 남매가 팔릴 위기가 닫힌다.","남매의 가족사와 향후 처우 루프가 열린다.","E02","high"
"5","효종 5화","효종 5화","518","673","도현은 객잔에서 초산 남매의 부모 실종과 납치 경위를 듣는다.","한 사람을 구한 선택이 조선 백성과 청군 문제를 보는 국가적 시선으로 확장된다.","소연·기철을 안심시키고 관저에서 살아갈 길을 마련한다.","남매에게 식사를 배불리 먹이고 궁인 여부를 보류한 채 함께 관저로 데려가기로 한다.","남매는 노예 생활의 공포로 도현도 경계하고 궁인이 되면 기철은 내시가 될 수 있다.","정백기 우록이 심양 대로를 유린하고 내년 만리장성 원정 소문이 사실로 제시된다.","남매가 굶주림에서 벗어나 도현과 칠현을 믿기 시작한다.","관계,세계","도현의 사적 구제가 청의 폭력과 예정된 전쟁에 대한 문제의식으로 바뀐다.","칠현이 청군의 내년 대규모 원정을 말해 도현이 분노한다.","남매의 당장 굶주림과 매매 위험이 닫힌다.","청군 원정 대비와 남매의 새 삶 루프가 열린다.","E02","high"
"6","효종 6화","첫 출정","674","773","정백기와 전쟁 소문을 본 도현이 관저로 돌아와 예정된 출정을 두려워한다.","피할 수 없는 전쟁을 개인 수련과 생존 능력으로 바꾸기 시작한다.","전장에 끌려가도 스스로 목숨을 지킬 무예를 익힌다.","김덕술에게 선무도를 청하고 호흡법·가부좌·마보 수련을 즉시 시작한다.","현대인 도현은 칼싸움 경험이 없고 출정 시점도 임박했다.","시간 이동으로 영체와 임독양맥이 정화돼 첫 호흡부터 소주천과 단전 축기를 이룬다.","김덕술도 모르는 비정상적으로 빠른 내공 성취를 얻는다.","능력","도현이 생존을 두려워하는 볼모에서 선무도 수련자로 전환된다.","김덕술이 가장 기초인 마보 자세를 시킨다.","전쟁을 피해 갈 수 있다는 기대가 닫힌다.","속성 무예 완성과 첫 출정 루프가 열린다.","E03","high"
"7","효종 7화","효종 7화","774","900","도현이 선무도 마보와 호흡을 반복하며 기초를 닦는다.","천재적 흡수력으로 전장에 통할 무예와 궁술을 빠르게 갖춘다.","짧은 기간 안에 형·검술·축기를 실전 수준으로 끌어올린다.","고통을 견뎌 매일 수련하고 한 달 안에 형과 검술을 펼치며 소현세자 앞에서 실력을 보인다.","마보의 근육통과 기초 기간, 아직 약한 근력과 실전 경험 부족이 남는다.","도현의 성장 속도가 내금위 위사들까지 다시 훈련하게 만들고 도르곤 원정 동행 명령이 전해진다.","소현세자에게 인정받고 관저의 무예 수련 열풍을 만든다.","능력,관계","도현의 전투 능력과 소현세자의 신뢰가 동시에 상승한다.","소현세자가 청군 산해관 원정에 두 형제가 동행해야 한다고 알린다.","선무도 입문과 기초 적응 루프가 닫힌다.","실전 원정 준비와 형제 생존 루프가 열린다.","E03","high"
"8","효종 8화","효종 8화","901","1037","장씨 부인은 죽은 숙신공주의 기억과 심양 생활 때문에 방 안에서 수심에 잠겨 있다.","도현의 백성 구호와 수련이 가족 관계 회복과 전쟁 준비를 함께 움직인다.","소연·기철에게 안전한 역할을 주고 출정 전 궁술을 익힌다.","소연 남매를 장씨 부인의 처소에 보내고 박태철에게 각궁을 배워 첫 화살부터 과녁 중앙을 맞힌다.","장씨 부인의 상실감과 도현의 짧은 훈련 기간, 임박한 출정이 압박한다.","소연이 숙신공주를 떠올리게 해 장씨 부인이 다시 웃고, 도현의 초인적 집중력이 궁술에도 나타난다.","소연은 수예를 배울 길을 얻고 도현은 신궁 가능성을 인정받는다.","관계,능력","도현·장씨 부부의 거리와 남매의 불안이 줄고 도현의 원거리 전투력이 생긴다.","이틀 뒤 도르곤 정백기 원정에 동행하라는 명이 확정된다.","남매의 관저 내 첫 거처와 역할 문제가 일부 닫힌다.","첫 전장 생환과 장씨 부인과의 관계 회복 루프가 열린다.","E03","high"
"9","효종 9화","효종 9화","1038","1168","산해관 원정 전날 도현은 소현세자가 준 장검을 닦으며 긴장한다.","볼모 왕자가 청군의 기동전과 약소국의 현실을 몸으로 배운다.","소현세자와 함께 살아서 돌아오고 청군의 실제 전략을 파악한다.","장씨가 지어 준 호랑이 무복을 입고 열다섯 위사와 출정해 승마 고통을 견디며 청군 목표가 산해관 배후임을 예측한다.","장거리 승마 상처와 청군의 경멸, 왕자 체면 때문에 수레로 피할 수 없다.","도현의 역사 지식대로 도르곤 군이 산해관 직공 대신 만리장성 취약부와 배후 군현을 유린한다.","장씨의 사랑과 소현세자의 신뢰, 청군 작전 예측의 적중이 지급된다.","관계,세계","도현이 관저의 보호받는 왕자에서 전쟁 행군을 버티는 왕자로 바뀐다.","팔기군이 성을 함락하고 주민 학살·약탈을 시작한다.","출정 여부와 청군 목표 추정 루프가 닫힌다.","학살 목격과 첫 실전 루프가 열린다.","E03","high"
"10","효종 10화","효종 10화","1169","1285","팔기군이 함락한 군현에서 노약자를 죽이고 주민을 노예로 잡아간다.","청의 폭력을 목격한 도현이 굴욕 속에서도 조선의 몫과 존엄을 받아낸다.","소현세자의 체면을 지키고 청의 과도한 공물 요구를 공개적으로 지적한다.","도르곤의 연회에서 사발로 술을 마신 뒤 대국의 포용을 요구해 전리품 양도를 끌어낸다.","도르곤과 팔기 장수들 앞에서 속국 왕자가 반발하면 목숨과 외교 관계가 위험하다.","도르곤이 분노 대신 도현의 담력을 인정해 자기 몫 전리품을 두 왕자에게 준다.","금은보석·비단·도자기 등 짐수레 네 대 분량 전리품을 받고 소현세자의 존엄도 지킨다.","돈,지위,관계","도현이 도르곤에게 눈에 띄는 조선 왕자로 각인되고 개인 자본을 얻는다.","산해관의 오삼계가 오만 명을 내보내 도르곤 군과 결전을 준비한다.","도르곤의 공개 모욕과 전리품 요구 루프가 결산된다.","청·명 야전 결전과 도르곤 관계 루프가 열린다.","E03","high"
