sequence,visible_label,arc_id,field,source_lines,next_source_lines,candidate_status,result,before_provenance,before,after,boundary_evidence
1,1화,DCA-N01,entry_state,L1~L255,L256~L497,NONE,PASS,manager-followup immutable SHA 7053d49dc7025e48b56daa2b35458965918ffc570cd66be0f87f4239992581f8,태우그룹 부도 뒤 20년을 빈곤과 복수 집착 속에 버틴 김민재가 고시원에서 각혈하며 죽는다.,태우그룹 부도 뒤 20년을 빈곤과 복수 집착 속에 버틴 김민재가 고시원에서 각혈하며 죽는다.,현재 화 하드 경계와 일치
1,1화,DCA-N01,reader_promise,L1~L255,L256~L497,NONE,PASS,manager-followup immutable SHA 7053d49dc7025e48b56daa2b35458965918ffc570cd66be0f87f4239992581f8,17세로 돌아온 재벌 3세가 가족과 그룹을 지키고 배신자들에게 복수할 두 번째 기회를 얻는다.,17세로 돌아온 재벌 3세가 가족과 그룹을 지키고 배신자들에게 복수할 두 번째 기회를 얻는다.,현재 화 하드 경계와 일치
1,1화,DCA-N01,protagonist_goal,L1~L255,L256~L497,NONE,PASS,manager-followup immutable SHA 7053d49dc7025e48b56daa2b35458965918ffc570cd66be0f87f4239992581f8,김태중의 사랑받는 손자로 다시 자리 잡고 회귀와 신상명세서 능력을 감춘 채 첫 위기를 처리한다.,김태중의 사랑받는 손자로 다시 자리 잡고 회귀와 신상명세서 능력을 감춘 채 첫 위기를 처리한다.,현재 화 하드 경계와 일치
1,1화,DCA-N01,action,L1~L255,L256~L497,NONE,PASS,manager-followup immutable SHA 7053d49dc7025e48b56daa2b35458965918ffc570cd66be0f87f4239992581f8,김택훈 앞에서 17세답게 행동하고 김태중 생일연회에서 납품가를 호소하는 협력업체 사장의 10억 원 파텍필립 시계를 폭로한다.,김택훈 앞에서 17세답게 행동하고 김태중 생일연회에서 납품가를 호소하는 협력업체 사장의 10억 원 파텍필립 시계를 폭로한다.,현재 화 하드 경계와 일치
1,1화,DCA-N01,resistance_or_cost,L1~L255,L256~L497,NONE,PASS,manager-followup immutable SHA 7053d49dc7025e48b56daa2b35458965918ffc570cd66be0f87f4239992581f8,부모를 잃고 할아버지마저 잃었던 죄책감과 실패 기억이 남아 있으며 미성년이라 그룹 경영에 직접 개입할 수 없다.,부모를 잃고 할아버지마저 잃었던 죄책감과 실패 기억이 남아 있으며 미성년이라 그룹 경영에 직접 개입할 수 없다.,현재 화 하드 경계와 일치
1,1화,DCA-N01,turn_or_reveal,L1~L255,L256~L497,NONE,PASS,manager-followup immutable SHA 7053d49dc7025e48b56daa2b35458965918ffc570cd66be0f87f4239992581f8,회귀와 함께 얼굴만 보면 이름·소속·특이사항·업무 능력이 뜨는 신상명세서 능력이 생겼음이 드러난다.,회귀와 함께 얼굴만 보면 이름·소속·특이사항·업무 능력이 뜨는 신상명세서 능력이 생겼음이 드러난다.,현재 화 하드 경계와 일치
1,1화,DCA-N01,paid_reward,L1~L255,L256~L497,NONE,PASS,manager-followup immutable SHA 7053d49dc7025e48b56daa2b35458965918ffc570cd66be0f87f4239992581f8,협력업체 사장의 기만을 걷어 내 연회를 지키고 김태중에게 100만 달러 스위스 계좌를 입학 선물로 받는다.,협력업체 사장의 기만을 걷어 내 연회를 지키고 김태중에게 100만 달러 스위스 계좌를 입학 선물로 받는다.,현재 화 하드 경계와 일치
1,1화,DCA-N01,state_change,L1~L255,L256~L497,NONE,PASS,manager-followup immutable SHA 7053d49dc7025e48b56daa2b35458965918ffc570cd66be0f87f4239992581f8,김민재와 김태중의 조손 관계가 회복되고 10억 원대 종잣돈과 인재 판별 능력이 확보된다.,김민재와 김태중의 조손 관계가 회복되고 10억 원대 종잣돈과 인재 판별 능력이 확보된다.,현재 화 하드 경계와 일치
1,1화,DCA-N01,ending_hook,L1~L255,L256~L497,NONE,PASS,manager-followup immutable SHA 7053d49dc7025e48b56daa2b35458965918ffc570cd66be0f87f4239992581f8,통장 속 돈이 100만 원이 아니라 100만 달러라는 김태중의 말로 첫 자금 게임을 연다.,통장 속 돈이 100만 원이 아니라 100만 달러라는 김태중의 말로 첫 자금 게임을 연다.,현재 화 하드 경계와 일치
1,1화,DCA-N01,closed_loops,L1~L255,L256~L497,NONE,PASS,manager-followup immutable SHA 7053d49dc7025e48b56daa2b35458965918ffc570cd66be0f87f4239992581f8,김민재의 죽음과 회귀 여부; 생일연회 훼방꾼 처리,김민재의 죽음과 회귀 여부; 생일연회 훼방꾼 처리,현재 화 하드 경계와 일치
