sequence,visible_label,start_line,end_line,status,fields_changed,evidence_lines,reason,before_after
1,1화,1,255,PASS,"",hard L1~L255; next L256~L265,현재 action·turn·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고 인접 화의 구체 결과를 선취하지 않는다.,""
2,2화,256,497,PASS,"",prev L246~L255; hard L256~L497; next L498~L507,현재 action·turn·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고 인접 화의 구체 결과를 선취하지 않는다.,""
3,3화,498,722,EDIT,paid_reward,prev L488~L497; hard L498~L722; next L723~L732,계획·검토·계약 전 상태를 실행·지급 완료와 분리했다.,"paid_reward=[공격적 포트폴리오가 즉시 집행되고 김태중에게 다국어 실력을 증명해 검정고시와 하버드·스탠퍼드 도전을 승인받는다.] => [성과보수·비밀유지 계약과 보험·공매도 중심 3안 집행 지시를 확정하고, 김태중에게 다국어 실력을 증명해 검정고시와 하버드·스탠퍼드 도전을 승인받는다.]"
4,4화,723,929,PASS,"",prev L713~L722; hard L723~L929; next L930~L939,현재 action·turn·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고 인접 화의 구체 결과를 선취하지 않는다.,""
5,5화,930,1168,EDIT,reader_promise,prev L920~L929; hard L930~L1168; next L1169~L1178,현재 action·turn·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고 인접 화의 구체 결과를 선취하지 않는다. [MANAGER_FOLLOWUP] 시작 SHA 7053d49dc7025e48b56daa2b35458965918ffc570cd66be0f87f4239992581f8와 현재 화 hard line을 대조해 11개 narrative field 중 1개를 교정했다.,[MANAGER_FOLLOWUP] reader_promise=[미래 전쟁을 돈과 국가급 인맥으로 동시에 바꾸며 SAVE의 기반을 닦는다.] => [미래 전쟁을 돈과 국가급 인맥으로 동시에 바꾸며 미국 투자회사의 기반을 닦는다.] || [MANAGER_FOLLOWUP] reader_promise=[미래 전쟁을 돈과 국가급 인맥으로 동시에 바꾸며 SAVE의 기반을 닦는다.] => [미래 전쟁을 돈과 국가급 인맥으로 동시에 바꾸며 미국 투자회사의 기반을 닦는다.]
6,6화,1169,1387,PASS,"",prev L1159~L1168; hard L1169~L1387; next L1388~L1397,현재 action·turn·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고 인접 화의 구체 결과를 선취하지 않는다.,""
7,7화,1388,1608,PASS,"",prev L1378~L1387; hard L1388~L1608; next L1609~L1618,현재 action·turn·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고 인접 화의 구체 결과를 선취하지 않는다.,""
8,8화,1609,1815,PASS,"",prev L1599~L1608; hard L1609~L1815; next L1816~L1825,현재 action·turn·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고 인접 화의 구체 결과를 선취하지 않는다.,""
9,9화,1816,2017,PASS,"",prev L1806~L1815; hard L1816~L2017; next L2018~L2027,현재 action·turn·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고 인접 화의 구체 결과를 선취하지 않는다.,""
10,10화,2018,2167,PASS,"",prev L2008~L2017; hard L2018~L2167; next L2168~L2177,현재 action·turn·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고 인접 화의 구체 결과를 선취하지 않는다.,""
11,11화,2168,2352,PASS,"",prev L2158~L2167; hard L2168~L2352; next L2353~L2362,현재 action·turn·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고 인접 화의 구체 결과를 선취하지 않는다.,""
12,12화,2353,2512,EDIT,opened_loops,prev L2343~L2352; hard L2353~L2512; next L2513~L2522,현재 action·turn·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고 인접 화의 구체 결과를 선취하지 않는다. [MANAGER_FOLLOWUP] 시작 SHA 7053d49dc7025e48b56daa2b35458965918ffc570cd66be0f87f4239992581f8와 현재 화 hard line을 대조해 11개 narrative field 중 1개를 교정했다.,[MANAGER_FOLLOWUP] opened_loops=[장학생 선발; 청년 창업; 공직자 100명 펀드 라인; 기부금 조달] => [장학생 선발; 청년 창업; 공직자 펀드 라인; 기부금 조달] || [MANAGER_FOLLOWUP] opened_loops=[장학생 선발; 청년 창업; 공직자 100명 펀드 라인; 기부금 조달] => [장학생 선발; 청년 창업; 공직자 펀드 라인; 기부금 조달]
