sequence,visible_label,title,start_line,end_line,entry_state,reader_promise,protagonist_goal,action,resistance_or_cost,turn_or_reveal,paid_reward,state_change_axis,state_change,ending_hook,closed_loops,opened_loops,arc_id,confidence
151,151화,반등 (5),27464,27639,아이폰·애플·아마존 동맹과 WTC 99년 임차를 확보하고 대참사 전 보험·리모델링을 준비한 상태,스마트폰 성과를 AI·TV·로봇·부동산으로 확장하고 대참사에서 생명을 지키는 보상,스마트폰 반등과 WTC 생존 준비 국면에서 태우·카이자동차의 공장 전문가를 아마존 로봇팀에 보내고 WTC 두 동에 모든 보험을 든 뒤 110층 전체 리모델링·붕괴구조 인력을 배치한다,태우·카이자동차의 공장 전문가를 아마존 로봇팀에 보내고 WTC 두 동에 모든 보험을 든 뒤 110층 전체 리모델링·붕괴구조 인력을 배치한다,후발 경쟁·대규모 개발비·누설할 수 없는 미래 참사 정보가 압박한다,리모델링 명목으로 입주자를 비우고 삼풍 붕괴·소방 경험자와 대형 장비를 9월 전에 현장에 넣는다,스마트팩토리 동맹과 WTC 99년 사용권을 실제 생존 장치로 전환한다,기술동맹·글로벌자산,아이폰·애플·아마존 동맹과 WTC 99년 임차를 확보하고 대참사 전 보험·리모델링을 준비한 상태 → 스마트팩토리 동맹과 WTC 99년 사용권을 실제 생존 장치로 전환한다,강 대위 사무실 TV에 9·11 테러 속보가 뜬다,태우·카이자동차의 공장 전문가를 아마존 로봇팀에 보내고 WTC 두 동에 모든 보험을 든 뒤 110층 전체 리모델링·붕괴구조 인력을 배치한다의 당면 실행,강 대위 사무실 TV에 9·11 테러 속보가 뜬다,S1B-A01,high
152,152화,친구 혹은 적 (1),27640,27823,스마트팩토리 동맹과 WTC 99년 사용권을 실제 생존 장치로 전환한다 상태,9·11 구조와 카드대란을 인명 구조·정치 신뢰·금융 자산 선점으로 바꾸는 보상,9·11 구호와 카드위기 선점 국면에서 9·11 직후 공매도·매도를 금지하고 태우건설 크레인과 구조 인력을 현장에 투입한 뒤 세계 증시 저점 매수를 준비한다,9·11 직후 공매도·매도를 금지하고 태우건설 크레인과 구조 인력을 현장에 투입한 뒤 세계 증시 저점 매수를 준비한다,테러와 전쟁 열기·통신 카르텔·신용카드 부실과 거액 유동성 비용이 압박한다,두 WTC를 공사로 봉쇄한 덕분에 건물 내부 사망자가 없고 붕괴도 통제되었다,비행기 탑승자를 제외한 대규모 인명 피해를 막고 보험금과 미국의 신뢰를 함께 얻는다,생존·정치신뢰·금융자산,스마트팩토리 동맹과 WTC 99년 사용권을 실제 생존 장치로 전환한다 상태 → 비행기 탑승자를 제외한 대규모 인명 피해를 막고 보험금과 미국의 신뢰를 함께 얻는다,미국의 전쟁 열기 속에서 어느 자산을 사고 누구 편에 설지 선택해야 한다,9·11 직후 공매도·매도를 금지하고 태우건설 크레인과 구조 인력을 현장에 투입한 뒤 세계 증시 저점 매수를 준비한다의 당면 실행,미국의 전쟁 열기 속에서 어느 자산을 사고 누구 편에 설지 선택해야 한다,S1B-A02,high
153,153화,친구 혹은 적 (2),27824,28005,비행기 탑승자를 제외한 대규모 인명 피해를 막고 보험금과 미국의 신뢰를 함께 얻는다 상태,9·11 구조와 카드대란을 인명 구조·정치 신뢰·금융 자산 선점으로 바꾸는 보상,9·11 구호와 카드위기 선점 국면에서 캐나다에서 제프리 힌톤을 영입해 AI 연구팀을 만들고 조지 슐츠와 만나 태우자동차 반덤핑 예외와 미국계 이미지 은폐를 협상한다,캐나다에서 제프리 힌톤을 영입해 AI 연구팀을 만들고 조지 슐츠와 만나 태우자동차 반덤핑 예외와 미국계 이미지 은폐를 협상한다,테러와 전쟁 열기·통신 카르텔·신용카드 부실과 거액 유동성 비용이 압박한다,부시 재선 지원을 약속하는 대신 태우는 전쟁에 직접 올라타지 않고도 보호받는 길을 얻는다,세계급 AI 스승과 미국 자동차시장 방패를 동시에 확보한다,핵심인재·정치동맹,비행기 탑승자를 제외한 대규모 인명 피해를 막고 보험금과 미국의 신뢰를 함께 얻는다 상태 → 세계급 AI 스승과 미국 자동차시장 방패를 동시에 확보한다,한국에 돌아오자 아이폰 판매와 애플·태우 TV 사업이 기다린다,캐나다에서 제프리 힌톤을 영입해 AI 연구팀을 만들고 조지 슐츠와 만나 태우자동차 반덤핑 예외와 미국계 이미지 은폐를 협상한다의 당면 실행,한국에 돌아오자 아이폰 판매와 애플·태우 TV 사업이 기다린다,S1B-A02,high
154,154화,친구 혹은 적 (3),28006,28171,세계급 AI 스승과 미국 자동차시장 방패를 동시에 확보한다 상태,9·11 구조와 카드대란을 인명 구조·정치 신뢰·금융 자산 선점으로 바꾸는 보상,9·11 구호와 카드위기 선점 국면에서 귀국해 아이폰 국내 40만 대 판매와 스마트TV 공동개발 진행을 확인하고 세이월드 창업자 서광수를 만나 투자·독립 경영을 제안한다,귀국해 아이폰 국내 40만 대 판매와 스마트TV 공동개발 진행을 확인하고 세이월드 창업자 서광수를 만나 투자·독립 경영을 제안한다,테러와 전쟁 열기·통신 카르텔·신용카드 부실과 거액 유동성 비용이 압박한다,서광수가 이미 KS텔레콤과 계약 직전이라는 사실이 협상의 변수가 된다,모바일·TV 반등을 SNS 생태계로 잇는 인수 기회를 포착한다,플랫폼·인수기회,세계급 AI 스승과 미국 자동차시장 방패를 동시에 확보한다 상태 → 모바일·TV 반등을 SNS 생태계로 잇는 인수 기회를 포착한다,KS텔레콤 박동희가 학연과 술자리로 세이월드를 헐값에 빼앗았음이 드러난다,귀국해 아이폰 국내 40만 대 판매와 스마트TV 공동개발 진행을 확인하고 세이월드 창업자 서광수를 만나 투자·독립 경영을 제안한다의 당면 실행,KS텔레콤 박동희가 학연과 술자리로 세이월드를 헐값에 빼앗았음이 드러난다,S1B-A02,high
155,155화,친구 혹은 적 (4),28172,28345,모바일·TV 반등을 SNS 생태계로 잇는 인수 기회를 포착한다 상태,9·11 구조와 카드대란을 인명 구조·정치 신뢰·금융 자산 선점으로 바꾸는 보상,9·11 구호와 카드위기 선점 국면에서 서광수에게서 70억 원대 주식 계약과 박동희의 강압을 확인한 뒤 거래를 무너뜨리겠다고 선언하고 태우IT로 간다,서광수에게서 70억 원대 주식 계약과 박동희의 강압을 확인한 뒤 거래를 무너뜨리겠다고 선언하고 태우IT로 간다,테러와 전쟁 열기·통신 카르텔·신용카드 부실과 거액 유동성 비용이 압박한다,세이월드를 되사는 대신 더 강한 서비스를 만들어 KS의 인수 자체를 독으로 만들기로 한다,복수 대상과 계약 약점을 특정하고 독자 SNS 역공의 명분을 얻는다,복수·플랫폼전환,모바일·TV 반등을 SNS 생태계로 잇는 인수 기회를 포착한다 상태 → 복수 대상과 계약 약점을 특정하고 독자 SNS 역공의 명분을 얻는다,태우IT에 세이월드·페이스북·인스타 기능을 한꺼번에 만들라고 지시한다,서광수에게서 70억 원대 주식 계약과 박동희의 강압을 확인한 뒤 거래를 무너뜨리겠다고 선언하고 태우IT로 간다의 당면 실행,태우IT에 세이월드·페이스북·인스타 기능을 한꺼번에 만들라고 지시한다,S1B-A02,high
156,156화,친구 혹은 적 (5),28346,28515,복수 대상과 계약 약점을 특정하고 독자 SNS 역공의 명분을 얻는다 상태,9·11 구조와 카드대란을 인명 구조·정치 신뢰·금융 자산 선점으로 바꾸는 보상,9·11 구호와 카드위기 선점 국면에서 태우IT 100명에게 미니홈피·일촌·배경음악·미래 SNS 기능을 나눠 맡기고 재택·안식년 복지를 제시한 뒤 다이먼에게 CL카드 인수 준비를 맡긴다,태우IT 100명에게 미니홈피·일촌·배경음악·미래 SNS 기능을 나눠 맡기고 재택·안식년 복지를 제시한 뒤 다이먼에게 CL카드 인수 준비를 맡긴다,테러와 전쟁 열기·통신 카르텔·신용카드 부실과 거액 유동성 비용이 압박한다,SNS 복수전과 카드대란 선점을 동시에 가동하며 방치됐던 다이먼을 금융 임무로 복귀시킨다,1천 명 규모 IT 조직의 충성·생산성과 카드업계 1위 회수 계획을 확보한다,조직·금융전략,복수 대상과 계약 약점을 특정하고 독자 SNS 역공의 명분을 얻는다 상태 → 1천 명 규모 IT 조직의 충성·생산성과 카드업계 1위 회수 계획을 확보한다,페이스북 창립자 마크 영입과 삼진 스마트폰 특허 협상이 동시에 열린다,태우IT 100명에게 미니홈피·일촌·배경음악·미래 SNS 기능을 나눠 맡기고 재택·안식년 복지를 제시한 뒤 다이먼에게 CL카드 인수 준비를 맡긴다의 당면 실행,페이스북 창립자 마크 영입과 삼진 스마트폰 특허 협상이 동시에 열린다,S1B-A02,high
157,157화,광기. (1),28516,28676,1천 명 규모 IT 조직의 충성·생산성과 카드업계 1위 회수 계획을 확보한다 상태,9·11 구조와 카드대란을 인명 구조·정치 신뢰·금융 자산 선점으로 바꾸는 보상,9·11 구호와 카드위기 선점 국면에서 데이비드에게 마크를 30% 지분 장학생으로 영입시키고 오희건과 만나 삼진 스마트폰의 태우 특허 사용 조건을 협상한다,데이비드에게 마크를 30% 지분 장학생으로 영입시키고 오희건과 만나 삼진 스마트폰의 태우 특허 사용 조건을 협상한다,테러와 전쟁 열기·통신 카르텔·신용카드 부실과 거액 유동성 비용이 압박한다,삼진은 태우 핵심특허 없이는 수익성 있는 스마트폰을 만들기 어렵다는 사실을 인정한다,페이스북 창업 인재를 선점하고 경쟁사까지 태우 생태계에 들어오게 할 협상 우위를 얻는다,인재·특허지배,1천 명 규모 IT 조직의 충성·생산성과 카드업계 1위 회수 계획을 확보한다 상태 → 페이스북 창업 인재를 선점하고 경쟁사까지 태우 생태계에 들어오게 할 협상 우위를 얻는다,오희건에게 낮은 로열티 대신 태우 기본 앱 탑재라는 진짜 대가를 제시한다,데이비드에게 마크를 30% 지분 장학생으로 영입시키고 오희건과 만나 삼진 스마트폰의 태우 특허 사용 조건을 협상한다의 당면 실행,오희건에게 낮은 로열티 대신 태우 기본 앱 탑재라는 진짜 대가를 제시한다,S1B-A02,high
158,158화,광기. (2),28677,28838,페이스북 창업 인재를 선점하고 경쟁사까지 태우 생태계에 들어오게 할 협상 우위를 얻는다 상태,9·11 구조와 카드대란을 인명 구조·정치 신뢰·금융 자산 선점으로 바꾸는 보상,9·11 구호와 카드위기 선점 국면에서 삼진 스마트폰에 태우 사이트·앱을 기본 탑재하는 조건으로 특허료를 낮추고 다이먼과 카드업계 부실을 재확인한다,삼진 스마트폰에 태우 사이트·앱을 기본 탑재하는 조건으로 특허료를 낮추고 다이먼과 카드업계 부실을 재확인한다,테러와 전쟁 열기·통신 카르텔·신용카드 부실과 거액 유동성 비용이 압박한다,고정 로열티보다 장기 플랫폼 수수료와 시장 확대가 더 크다는 계산으로 경쟁사를 일부러 키운다,애플과 삼진 중 누가 이겨도 태우가 수익을 얻는 구조와 CL카드 붕괴 확신을 얻는다,플랫폼·금융정보,페이스북 창업 인재를 선점하고 경쟁사까지 태우 생태계에 들어오게 할 협상 우위를 얻는다 상태 → 애플과 삼진 중 누가 이겨도 태우가 수익을 얻는 구조와 CL카드 붕괴 확신을 얻는다,다이먼이 외환은행까지 위험하다고 보고하고 민재는 은행 인수판을 함께 보기 시작한다,삼진 스마트폰에 태우 사이트·앱을 기본 탑재하는 조건으로 특허료를 낮추고 다이먼과 카드업계 부실을 재확인한다의 당면 실행,다이먼이 외환은행까지 위험하다고 보고하고 민재는 은행 인수판을 함께 보기 시작한다,S1B-A02,high
159,159화,광기. (3),28839,29001,애플과 삼진 중 누가 이겨도 태우가 수익을 얻는 구조와 CL카드 붕괴 확신을 얻는다 상태,9·11 구조와 카드대란을 인명 구조·정치 신뢰·금융 자산 선점으로 바꾸는 보상,9·11 구호와 카드위기 선점 국면에서 외환은행·카드 부실을 조사시키는 한편 임재범을 찾아 코코아톡 합작을 제안하고 하두리 서문영에게 짧은 영상 SNS 지분 20%와 계약금 50억 원을 제시한다,외환은행·카드 부실을 조사시키는 한편 임재범을 찾아 코코아톡 합작을 제안하고 하두리 서문영에게 짧은 영상 SNS 지분 20%와 계약금 50억 원을 제시한다,테러와 전쟁 열기·통신 카르텔·신용카드 부실과 거액 유동성 비용이 압박한다,기존 포털이 거절한 두 개발자를 자본·지분·스티브의 설득으로 태우 편에 묶는다,메신저와 숏폼 SNS의 핵심 창업자·기술을 출시 전에 선점한다,핵심인재·플랫폼,애플과 삼진 중 누가 이겨도 태우가 수익을 얻는 구조와 CL카드 붕괴 확신을 얻는다 상태 → 메신저와 숏폼 SNS의 핵심 창업자·기술을 출시 전에 선점한다,CL카드 부실을 앞당기기 위해 명동의 채권·유동성 차단이 필요해진다,외환은행·카드 부실을 조사시키는 한편 임재범을 찾아 코코아톡 합작을 제안하고 하두리 서문영에게 짧은 영상 SNS 지분 20%와 계약금 50억 원을 제시한다의 당면 실행,CL카드 부실을 앞당기기 위해 명동의 채권·유동성 차단이 필요해진다,S1B-A02,high
160,160화,광기. (4),29002,29175,메신저와 숏폼 SNS의 핵심 창업자·기술을 출시 전에 선점한다 상태,9·11 구조와 카드대란을 인명 구조·정치 신뢰·금융 자산 선점으로 바꾸는 보상,9·11 구호와 카드위기 선점 국면에서 박만덕·다이먼에게 CL카드 채권과 10조 원대 유동성 문제를 설명하고 이영한에게 대출 차단·채권 압박·부실 발급 가속을 맡긴다,박만덕·다이먼에게 CL카드 채권과 10조 원대 유동성 문제를 설명하고 이영한에게 대출 차단·채권 압박·부실 발급 가속을 맡긴다,테러와 전쟁 열기·통신 카르텔·신용카드 부실과 거액 유동성 비용이 압박한다,명동이 CL카드의 돈줄과 추심망을 끊어 역사보다 이른 카드대란을 의도적으로 점화한다,CL카드를 채권단에서 헐값에 되살 수 있는 금융 포위망을 완성한다,금융지배·위기점화,메신저와 숏폼 SNS의 핵심 창업자·기술을 출시 전에 선점한다 상태 → CL카드를 채권단에서 헐값에 되살 수 있는 금융 포위망을 완성한다,2001년 말 CL카드의 현금서비스가 전면 중단된다,박만덕·다이먼에게 CL카드 채권과 10조 원대 유동성 문제를 설명하고 이영한에게 대출 차단·채권 압박·부실 발급 가속을 맡긴다의 당면 실행,2001년 말 CL카드의 현금서비스가 전면 중단된다,S1B-A02,high
