"sequence","visible_label","arc_id","arc_phase","concrete_event","tension_1_10","reward_1_10","hook_1_10","information_weight","action_weight","relationship_weight","emotion_weight","material_or_status_weight","pacing_note"
"501","501","S3-A01","진입","강 대위·이영한에게 마스크·음압병동 업체 매입을 맡기고 한 부회장에게 유가 공매도를 늘린다; 코로나와 마이너스 유가를 버틸 방역·금융 자산을 동시에 선점한다","6","4","7","4","3","3","2","4","진입 구간. 코로나와 마이너스 유가를 버틸 방역·금융 자산을 동시에 선점한다; 다음 압력은 데이비드가 니콜라 사기를 공개하고 김민재가 오용재·삼진과 반도체·디스플레이 공조를 제안한다"
"502","502","S3-A01","진입","데이비드가 니콜라 사기를 공개하고 김민재가 오용재·삼진과 반도체·디스플레이 공조를 제안한다; 미중 충돌 때 생산량과 재고를 함께 늘릴 느슨한 기술 동맹이 선다","5","4","7","4","3","3","2","4","진입 구간. 미중 충돌 때 생산량과 재고를 함께 늘릴 느슨한 기술 동맹이 선다; 다음 압력은 기술보호법과 강제징용 판결 뒤의 한일 충돌을 검토하고 트럼프 재선을 지렛대로 삼는다"
"503","503","S3-A01","상승","기술보호법과 강제징용 판결 뒤의 한일 충돌을 검토하고 트럼프 재선을 지렛대로 삼는다; 기술 유출과 일본 보복을 국가·기업 양쪽에서 막을 판이 열린다","6","5","8","4","3","3","2","4","상승 구간. 기술 유출과 일본 보복을 국가·기업 양쪽에서 막을 판이 열린다; 다음 압력은 트럼프와 골프를 치며 미국산 옥수수·대두 연 220억 달러 흡수를 약속한다"
"504","504","S3-A01","상승","트럼프와 골프를 치며 미국산 옥수수·대두 연 220억 달러 흡수를 약속한다; 팜벨트 표와 미중 협상에 필요한 백악관 호의를 확보한다","6","6","7","4","3","3","2","4","상승 구간. 팜벨트 표와 미중 협상에 필요한 백악관 호의를 확보한다; 다음 압력은 다이먼·데이비드와 비테라 인수 및 머스크 농업위성 활용안을 짠다"
"505","505","S3-A01","압박","다이먼·데이비드와 비테라 인수 및 머스크 농업위성 활용안을 짠다; 세계 곡물전쟁을 버틸 생산·관측·유통망의 골격을 만든다","7","6","7","4","3","3","2","4","압박 구간. 세계 곡물전쟁을 버틸 생산·관측·유통망의 골격을 만든다; 다음 압력은 천민정의 기술절도 증거로 탑테크와 중국 유출선을 이영한에게 넘긴다"
"506","506","S3-A01","압박","천민정의 기술절도 증거로 탑테크와 중국 유출선을 이영한에게 넘긴다; 탑테크를 공개 본보기로 삼을 수 있는 물증이 확보된다","7","7","7","4","3","3","2","4","압박 구간. 탑테크를 공개 본보기로 삼을 수 있는 물증이 확보된다; 다음 압력은 이영한이 탑테크 양진태를 압박해 내부고발자로 돌린다"
"507","507","S3-A01","전환","이영한이 탑테크 양진태를 압박해 내부고발자로 돌린다; 기술유출 피해액과 조직적 거래를 내부자의 입으로 증명할 길이 열린다","8","6","9","4","3","3","2","4","전환 구간. 기술유출 피해액과 조직적 거래를 내부자의 입으로 증명할 길이 열린다; 다음 압력은 암호화폐 자금흐름과 5조 원 피해를 공개해 12월 7일 기술보호법 통과를 밀어붙인다"
"508","508","S3-A01","전환","암호화폐 자금흐름과 5조 원 피해를 공개해 12월 7일 기술보호법 통과를 밀어붙인다; 산업스파이 처벌과 글로벌 블랙리스트 운용의 법적 기반이 생긴다","8","7","8","4","3","3","2","4","전환 구간. 산업스파이 처벌과 글로벌 블랙리스트 운용의 법적 기반이 생긴다; 다음 압력은 하버드 교수의 중국 연계를 터뜨리고 중국 부동산·지수 공매도와 미·일·EU 공조를 건다"
"509","509","S3-A01","결산","하버드 교수의 중국 연계를 터뜨리고 중국 부동산·지수 공매도와 미·일·EU 공조를 건다; 리강을 양보 협상장으로 끌어낼 국제 여론과 금융 압박이 완성된다","9","8","8","4","3","3","2","4","결산 구간. 리강을 양보 협상장으로 끌어낼 국제 여론과 금융 압박이 완성된다; 다음 압력은 리강의 철회 요구를 증거로 꺾고 중국행 한국 기술자 블랙리스트를 준비한다"
"510","510","S3-A01","결산","리강의 철회 요구를 증거로 꺾고 중국행 한국 기술자 블랙리스트를 준비한다; 중국이 기술전에서 수세에 몰리고 다음 곡물 카르텔 협상이 열린다","8","8","9","4","3","3","2","4","결산 구간. 중국이 기술전에서 수세에 몰리고 다음 곡물 카르텔 협상이 열린다; 다음 압력은 카길·와이자타 앞에서 연 1천억 달러 곡물 구매와 농장 임차를 제안한다"
