sequence,visible_label,title,start_line,end_line,entry_state,reader_promise,protagonist_goal,action,resistance_or_cost,turn_or_reveal,paid_reward,state_change_axis,state_change,ending_hook,closed_loops,opened_loops,arc_id,confidence
"1","1화","리턴 에이스 1화","1","186","명예의 전당 헌액 축하 연회장에서 80.75% 득표로 입성한 윤주혁이 지인들의 축하를 받다가 투수로 뛰지 못한 생을 회고한다.","완성된 타자의 경험을 가진 주혁이 건강한 젊은 몸으로 투수의 꿈을 다시 시험한다.","혹사와 어깨 수술로 잃었던 투수 커리어를 이번 생에서는 지켜낸다.","눈을 감았다 뜬 뒤 2009년 8월 16일, 탬파베이 레이스 계약 시점으로 돌아왔음을 확인한다.","미래의 경기 결과는 사라졌고, 같은 선택을 하면 어깨가 다시 망가질 수 있다.","죽었던 은사 문창진과 28년 젊어진 자신을 보며 회귀가 현실임을 받아들인다.","이미 이룬 타자 명예의 전당 경력과 새로운 투수 인생의 두 번째 기회를 동시에 얻는다.","팀·보직·커리어","은퇴한 전설적 타자에서 메이저리그 계약을 막 마친 고교 투수 유망주로 되돌아간다.","입단식을 빠져나온 주혁이 식었던 열정 속에서도 지금 던지면 160km가 나오겠다는 생각에 다시 설렌다.","타자로 명예의 전당에 갈 수 있는가라는 전생의 문제는 헌액식으로 닫힌다.","젊어진 어깨의 실제 상태, 포심을 다시 던질 선택, 과거와 다른 투수 생애가 열린다.","RA-001","high"
"2","2화","리턴 에이스 2화","187","414","주혁은 회귀 전 어깨 통증을 무시하다 수술과 구속 저하를 겪었던 과정을 되짚는다.","과거의 몸을 그대로 반복하지 않고 데이터처럼 점검하며 진로를 다시 설계한다.","통증 없는 어깨를 확인하고 봉황대기 혹사를 피한다.","30구 넘게 전력 투구한 뒤 문창진에게 어깨가 아프다고 거짓말해 등판을 거부한다.","문창진과 코치진의 불신을 사고, 팀의 우승 가능성과 고교 마지막 무대를 포기한다.","미래 경기 결과는 기억나지 않지만 사람과 기술의 기억은 남았음을 파악한다.","어깨가 건강하다는 확증과 스스로 투구량을 통제할 첫 권리를 얻는다.","신체·가용성·관계","감독 지시에 따르던 에이스에서 자기 몸을 우선하는 선수로 태도가 바뀐다.","문창진은 주혁의 확고한 결장을 받아들이면서도 입단 뒤 나태해졌다고 오해한다.","회귀한 몸도 이미 망가졌는가라는 공포는 전력 투구 뒤 무통으로 닫힌다.","봉황대기에서 투수 없이 무엇을 할지, 문창진의 오해, 어깨 보존 선택의 팀 성적 대가가 열린다.","RA-001","high"
"3","3화","리턴 에이스 3화","415","569","문창진이 봉황대기 운영을 걱정하는 사이 주혁은 제자의 통증보다 감독 커리어를 앞세우는 그를 냉정하게 평가하며 방을 나선다.","투수를 쉬어도 명예의 전당급 타격 경험은 즉시 경기 보상으로 환전된다.","어깨를 지키면서도 자신이 단순한 투수 유망주가 아님을 증명한다.","첫 타석 홈런을 시작으로 21타석 17타수 14안타 5홈런 15타점의 타격을 남긴다.","주혁이 던지지 않은 대림고는 8강에서 탈락하고 진선고가 우승한다.","개인 타격상은 휩쓸지만 팀 우승을 포기한 선택의 대가가 분명해진다.","압도적 타격 성적과 앤드류 프리드먼의 관심을 얻으며 투타 가능성을 예고한다.","신체·가용성·능력·기량·지위·명예","어깨 문제로 빠진 투수에서 전국대회 최고 타자로 평가 축이 넓어진다.","프리드먼 측 자료가 주혁의 포심을 메이저리그 정상급 수치와 나란히 놓는다.","봉황대기에서 어깨를 지키고도 가치를 보일 수 있는가는 개인 타격상 석권으로 닫힌다.","부상 위험과 제구 약점을 프런트가 어떻게 다룰지, 즉시전력 판단이 실제 배치로 이어질지가 열린다.","RA-001","high"
"4","4화","리턴 에이스 4화","570","708","전 화의 스카우팅 수치를 이어 받아 프리드먼이 주혁의 포심 재능과 부상·제구 위험을 함께 따진다.","곧바로 미국으로 가기보다 강한 타자를 상대로 단기 실적을 쌓아 메이저리그 경로를 당긴다.","불펜에서 시작해 선발로 올라갈 수 있는 투구 안정성과 보조 구종의 필요를 확인한다.","월 2천만 원 조건으로 베네수엘라 윈터리그 레오네스 델 카라카스에 합류한다.","낯선 리그와 AAA·메이저리그급 타자들 앞에서 프로 경험 전무가 드러날 수 있다.","단순 훈련이 아니라 즉시 성과가 요구되는 겨울리그 실전으로 들어간다.","상위 타자들을 상대로 몸과 구위를 검증할 무대, 빠른 미국 진입의 발판을 얻는다.","팀·보직·커리어","고교 유망주에서 돈을 받고 결과를 책임지는 프로 불펜 자원으로 이동한다.","베네수엘라에 도착한 주혁이 과거의 뜨거운 야구 열기를 떠올리며 웃는다.","입단 뒤 겨울을 어디서 보낼지는 레오네스 델 카라카스 합류로 닫힌다.","AAA급 타자 상대 제구, 변화구 없이 버틸 방법, 첫 프로 등판이 열린다.","RA-002","high"
"5","5화","리턴 에이스 5화","709","887","베네수엘라에 익숙한 주혁이 현지인과 자연스럽게 영어로 대화하며 카라카스 생활에 들어간다.","절대 구속만이 아니라 같은 패스트볼 안의 완급으로 타자를 지배한다.","첫 등판의 중심 타자 펠릭스 산체스를 실점 없이 막는다.","151→154→161km로 구속을 단계적으로 올려 세 공 모두 패스트볼로 삼진을 잡는다.","첫 프로 타자와 팽팽한 동점 상황이라 한 번의 실수가 곧 패전 흐름이 된다.","산체스가 같은 구종의 속도 차에 타이밍을 빼앗기며 주혁의 핵심 무기가 공개된다.","삼구 삼진과 카라카스 타선의 6대4 리드로 첫 등판의 주도권을 얻는다.","목표·상황","미지의 한국 유망주에서 100마일과 완급을 함께 쓰는 위협적 투수로 인식된다.","주혁의 첫 등판 중 카라카스가 6대4로 역전하지만 그가 리드를 지킬 이닝은 남아 있다.","포심 완급이 프로 타자에게 통하는가는 산체스 삼구 삼진으로 닫힌다.","첫 등판 최종 기록과 승리, 연속 이닝에서 같은 전략이 유지될지가 열린다.","RA-002","high"
"6","6화","리턴 에이스 6화","888","1049","7회 퍼펙트 피칭 뒤 6대4 리드를 받은 주혁이 8회 말에도 마운드에 올라 첫 승 요건을 지키려 한다.","프로 첫 승과 전생에 잃은 필립 모리스와의 우정을 되찾는 보상 뒤, 다음 경기의 11대0 붕괴를 새 압력으로 건다.","윤주혁은 6대4 리드를 두 이닝 지켜 첫 프로 승리를 얻고 필립 모리스와 다시 가까워진다.","8·9회를 무실점으로 막아 승리투수가 되고 필립 모리스와 대화하며 전생의 비극을 이번에는 막겠다고 다짐한다. 다음 경기에서 카라카스는 3회 만에 0대11로 뒤진다.","첫 등판의 승리 요건을 지켜야 하고, 필립과의 관계에는 전생에 친구를 잃은 기억이 겹친다. 다음 경기는 선수단 전체가 의지를 잃을 만큼 벌어진다.","윤주혁의 첫 등판은 2이닝 무실점 첫 승으로 끝나고 관계 보상까지 오지만, 새 경기의 11점 열세가 그 여운을 끊는다.","프로 첫 승과 동료 존중, 필립 모리스와 다시 시작할 우정을 얻는다. 11대0 경기의 구원 등판·무실점 약속은 아직 나오지 않는다.","팀·보직·커리어·경기·기록·관계","유급 불펜 신인은 첫 승을 기록하고 필립과의 관계를 복원하지만, 다음 경기에서 긴 이닝을 맡을지는 미정이다.","카라카스가 3회 만에 11대0으로 밀리고, 무너진 팀을 살릴 에이스의 등장이 유일한 변수로 제시된다.","프로 첫 등판의 승패는 주혁의 2이닝 무실점 첫 승으로 닫힌다.","11점 차 대패 흐름을 누가 멈출지, 필립과 두 번째 우정을 실제로 지킬지가 열린다.","RA-002","high"
"7","7화","리턴 에이스 7화","1050","1231","11대0으로 무너진 카라카스에는 경기를 포기하지 않는 신인 에이스의 패기가 필요하다는 팀 상황 설명으로 시작한다.","한 투수의 집중력이 이미 진 경기에서도 팀의 다음 공격을 깨울 수 있다.","술리아 강타선을 상대로 추가 실점 없이 흐름을 멈춘다.","거포 호세 멘데스를 높은 라이징 패스트볼로 삼진 처리하고 연속 이닝을 막는다.","긴 이닝과 큰 점수 차, 지친 수비진 때문에 호투가 승리로 이어질 보장은 없다.","주혁의 무실점이 계속되자 포기했던 동료들의 타석 집중력이 되살아난다.","결과와 별개로 팀 사기를 돌려세우는 투수라는 신뢰를 얻는다.","목표·상황","개인 구위 증명 단계에서 팀의 정신적 기폭제 역할로 확장된다.","6회 초를 끝낸 주혁이 살아난 벤치를 보며 과거 자신이 연타석 홈런으로 대역전을 만든 경기를 떠올린다.","11점 차에서 추가 실점 흐름을 끊을 수 있는가는 주혁의 연속 무실점으로 닫힌다.","되살아난 팀 사기가 실제 추격 득점으로 이어질지, 과거의 역전 기억을 재현할지가 열린다.","RA-002","high"
"8","8화","리턴 에이스 8화","1232","1362","주혁은 과거 10점 차를 뒤집었던 경기의 세부는 지워졌지만 지금 호투 뒤 타선이 살아날 조건은 왔다고 판단한다.","마운드의 장기 보상이 동료의 단기 득점 보상과 맞물려 불가능한 경기를 다시 연다.","6이닝째까지 술리아를 막고 팀에 마지막 역전 기회를 남긴다.","70구로 6이닝 무실점, 7탈삼진 1볼넷을 기록해 추가 실점을 차단한다.","투구를 끝낸 뒤에도 2점이 부족하고 상대 마무리 호르헤 페르난데스가 104마일을 던진다.","카라카스 벤치에 쓸 타자가 없어 투수 주혁이 대타 후보가 된다.","패전 처리 등판을 리그가 주목할 압도적 롱릴리프 쇼로 바꾼다.","경기·기록","마운드만 책임지는 투수에서 타석까지 경기의 마지막 수가 될 수 있는 선수로 이동한다.","주혁은 페르난데스를 공략할 자신은 있지만 자신에게 대타 기회가 올 가능성은 거의 없다고 본다.","세 이닝 이상 무실점 약속은 여섯 이닝 무실점으로 초과 달성한다.","11대9의 마지막 공격, 남은 야수 자원, 주혁에게 타석이 돌아올지가 열린다.","RA-002","high"
"9","9화","리턴 에이스 9화","1363","1527","야수 대타 자원을 소진한 카라카스에서 주혁은 남은 선택지가 투수뿐임을 계산하며 페르난데스를 바라본다.","야수 대타를 소진한 카라카스가 6이닝을 던진 윤주혁을 지명타자로 세우는 파격의 결과를 다음 화에 건다.","아바드는 11대9로 뒤진 마지막 공격에서 출루 가능성이 있는 타자를 고르고, 윤주혁은 뜻밖의 타격 기회를 맞는다.","아바드는 남은 투수들과 윤주혁의 고교 타격 영상·좌우 상성을 검토한 뒤 그를 지명타자 타석에 세운다.","윤주혁은 이미 6이닝을 던졌고 상대는 강속구 마무리 호르헤 페르난데스이며, 벤치에는 검증된 야수 대타가 남지 않았다.","감독의 알 수 없는 확신으로 신인 투수가 마지막 지명타자 타석을 받는다. 공과 타격 결과는 아직 나오지 않는다.","윤주혁은 11대9 추격 상황의 마지막 타격 기회와 감독의 신뢰를 얻지만 홈런·득점 보상은 유예된다.","관계","롱릴리프 신인이 비상 대타 후보까지 역할을 넓히지만 투타 겸업 가능성은 아직 실전 타구로 증명되지 않았다.","아바드가 6이닝을 던진 신인 주혁을 페르난데스 상대 지명타자로 세운다.","남은 대타가 없는 상황에서 누가 타석에 설지는 주혁의 기용으로 닫힌다.","104마일 마무리 상대 타격 결과와 11대9 경기의 결말이 열린다.","RA-002","high"
"10","10화","리턴 에이스 10화","1528","1682","아바드는 타석으로 걸어가는 신인 주혁에게서 뭔가 해낼 듯한 여유와 아우라를 느낀다.","한 번의 영웅적 장면보다 실패 뒤 평정심이 장기 커리어를 결정한다.","대타 홈런이 우연이 아님을 확인하고 첫 난조에서도 자기 투구를 회복한다.","전성기 타격의 약 80%가 남았다고 판단하고, 뒤이은 경기에서 2점 홈런과 2루타를 맞은 뒤 다음 타자를 차분히 처리한다.","회귀로 달라진 몸과 기억의 규칙이 불명확하고 첫 실점이 현지 평가를 흔들 수 있다.","피홈런 뒤에도 감정이 아니라 다음 타자에 집중하는 베테랑의 멘탈이 작동한다.","투타 능력이 일회성이 아니라는 자기 확신과 위기 복구 능력을 얻는다.","목표·상황","완벽한 등장만 보여준 투수에서 맞고도 무너지지 않는 실전형 투수로 검증된다.","연속 장타를 맞은 주혁이 실책과 실패를 붙들면 다음 플레이의 집중까지 무너진다고 되새긴다.","페르난데스를 상대로 타격이 통하는가는 102마일 홈런으로 닫히지만 대역전은 11대10 패배로 끝난다.","피홈런 뒤 다음 타자를 실제로 막을지, 장타를 허용한 높이 문제와 시즌 적응이 열린다.","RA-002","high"
