sequence,visible_label,title,start_line,end_line,entry_state,reader_promise,protagonist_goal,action,resistance_or_cost,turn_or_reveal,paid_reward,state_change_axis,state_change,ending_hook,closed_loops,opened_loops,arc_candidate,confidence
1,"ⓚ남자의 길 1화","1. 좌절",1,125,"공채 탈락·미란의 결별·부모의 빚을 한꺼번에 맞은 강혁이 취업 출구를 찾는다","밑바닥 청년이 자기 길을 고른다","빚과 실연을 견딜 출구 찾기","재성과 소주를 마시고 구인란을 뒤진다","연속 취업 실패·미란의 배신·한솔은행 1천만원 독촉","원양어선 선원 모집 광고를 붙든다","무기력 대신 떠날 선택지를 얻는다","진로","취업 낙오자→대성 6호 지원자","바다로 나갈 결심","미란과의 연애·평범한 취업 기대","부모의 빚·원양어선 생존","E01","high"
2,"ⓚ남자의 길 2화","1. 좌절",126,244,"취업 낙오자→대성 6호 지원자; 강혁은 선급금으로 집을 지키고 돈 벌기라는 당면 과제에 들어선다","도피성 선택이 첫 의리 싸움이 된다","선급금으로 집을 지키고 돈 벌기","대성 6호에 승선해 부에나벤투라 술집에서 마리아를 구한다","거친 조업·낯선 항구·산체스의 폭력","강혁이 산체스의 팔을 꺾어 카르텔 체면을 짓밟는다","집 연체를 막고 자기 손으로 약자를 지킨다","선택·대결","구직자→원양 선원 겸 카르텔 표적","산체스의 보복이 배를 향한다","급한 연체금","마리아의 인연·산체스 카르텔 원한","E01","high"
3,"ⓚ남자의 길 3화","1. 좌절",245,370,"구직자→원양 선원 겸 카르텔 표적; 강혁은 대성 6호 습격에서 살아남기라는 당면 과제에 들어선다","선행의 대가가 삶 전체를 뒤엎는다","대성 6호 습격에서 살아남기","철제 송곳으로 공격자를 죽이고 총상 입은 채 바다로 뛴다","가르시아 일당의 총격·김희중과 선원들의 죽음·어깨 총상","항구에 떠오른 강혁만 살아남는다","죽음의 포위에서 생존한다","생존·정체성","평범한 선원→살인과 복수를 짊어진 생존자","대성 6호와 동료들의 운명 확인","산체스 술집 충돌","선원 학살의 복수·마리아 재회","E01","high"
4,"ⓚ남자의 길 4화","2. 복수",371,513,"평범한 선원→살인과 복수를 짊어진 생존자; 강혁은 대성 6호 참사의 원흉 찾기라는 당면 과제에 들어선다","살아남은 자가 자기 손으로 피값을 받는다","대성 6호 참사의 원흉 찾기","마리아·알론소의 도움을 받고 불탄 배를 확인한 뒤 피케 패거리를 제압한다","동료 전원 사망·경찰과 카르텔의 추적·칼에 베인 상처","강혁이 귀국 대신 카시야스 일가에 복수하기로 맹세한다","마리아 가족이라는 첫 은신처와 협력자를 얻는다","의리·복수","도망자→목표가 선 복수자","피케 일행을 적이 아닌 자원으로 쓸 가능성","대성 6호 생존자 확인","카시야스·가르시아·산체스 제거","E02","high"
5,"ⓚ남자의 길 5화","2. 복수",514,623,"도망자→목표가 선 복수자; 강혁은 산체스에게 접근할 길 만들기라는 당면 과제에 들어선다","맨몸 수련이 적진 침투로 이어진다","산체스에게 접근할 길 만들기","마리아에게 치료받고 산에서 선무도를 단련한 뒤 벨라지오 클럽 경비를 생포한다","정보 부족·부상·카르텔 소굴의 경계","붙잡은 경비에게서 산체스의 VIP실을 알아낸다","복수를 실행할 정확한 동선을 확보한다","능력·정보","분노만 가진 복수자→준비된 침투자","벨라지오 VIP실 급습","피케 패거리의 위협","산체스 납치·카시야스 압박","E02","high"
6,"ⓚ남자의 길 6화","2. 복수",624,745,"분노만 가진 복수자→준비된 침투자; 강혁은 산체스를 인질로 주도권 잡기라는 당면 과제에 들어선다","약자가 카르텔 보스에게 값을 부른다","산체스를 인질로 주도권 잡기","VIP실에서 산체스를 쏴 제압하고 벤츠 트렁크에 싣고 간다","클럽 경비·추적 위험·고립","카시야스에게 다음 날 밤까지 500만 달러를 요구한다","원수의 아들을 협상 카드로 바꾼다","주도권","침투자→카르텔과 거래하는 납치자","가르시아와 10명의 구출대 출동","산체스 접근","500만 달러 수령·추격 탈출","E02","high"
7,"ⓚ남자의 길 7화","2. 복수",746,868,"침투자→카르텔과 거래하는 납치자; 강혁은 몸값을 받고 살아서 빠져나오기라는 당면 과제에 들어선다","돈을 받은 복수자가 자기 편을 산다","몸값을 받고 살아서 빠져나오기","폐봉제공장 프로판통을 인질로 삼아 500만 달러를 받고 차량을 망가뜨려 탈출한다","가르시아의 포위·배신 가능성·혼자라는 약점","부에나벤투라로 되돌아가 피케·호야스 일당을 2만 달러 조건으로 모집한다","첫 전투 자금과 행동대를 얻는다","조직·의리","고독한 납치자→목숨값을 함께 건 소규모 보스","투마니에게 중화기를 사러 간다","산체스 몸값 거래","카시야스 저택 전면전","E02","high"
8,"ⓚ남자의 길 8화","2. 복수",869,995,"고독한 납치자→목숨값을 함께 건 소규모 보스; 강혁은 카시야스 본거지 돌파라는 당면 과제에 들어선다","신생 패거리가 요새를 정면으로 무너뜨린다","카시야스 본거지 돌파","투마니에게 AK·RPG·수류탄을 사고 피케 일행과 저택을 포격해 침투한다","훈련 부족·철통 경비·사망 가능성","강혁 일행이 카시야스·가르시아·산체스를 방 안에 몰아넣는다","돈으로 산 동료들이 실제 전투에서 따른다","대결·조직","소규모 패거리→카르텔 심장부를 점령한 공격대","세 원수의 처분과 재산 탈취","무기·공격 준비","가르시아 처단·카시야스 자산","E02","high"
9,"ⓚ남자의 길 9화","3. 마리오세",996,1116,"소규모 패거리→카르텔 심장부를 점령한 공격대; 강혁은 가르시아를 죽이고 카르텔을 접수하기라는 당면 과제에 들어선다","복수의 끝이 암흑가 왕좌의 시작이 된다","가르시아를 죽이고 카르텔을 접수하기","가르시아를 사살하고 카시야스를 약물 심문해 스위스 자산 3억 달러를 빼낸다","조직 공백·중간 간부 반발·평범한 삶을 버리는 대가","피케가 돈만 받고 떠나지 않고 충성을 택하자 강혁도 왕이 되기로 한다","대성 6호의 피값과 카시야스 재산을 거둔다","권력·진로","복수자→카르텔 보스","미국 바이어 로슨과 150kg 거래","가르시아·카시야스 복수","카르텔 숙청·미국 유통망","E02","high"
10,"ⓚ남자의 길 10화","3. 마리오세",1117,1228,"복수자→카르텔 보스; 강혁은 새 조직의 신뢰를 사고 마리아의 꿈 갚기라는 당면 과제에 들어선다","피값으로 사람의 삶을 되돌려준다","새 조직의 신뢰를 사고 마리아의 꿈 갚기","150kg 필로폰을 거래하고 조직원·농장 노동자에게 보너스를 준 뒤 마리아의 의대 복귀와 가족 이사를 지원한다","신임 보스에 대한 불안·마리아 가족의 가난","마리아가 생계 대신 다시 의사가 될 길을 얻는다","조직의 충성과 목숨 빚에 대한 인간적 결산","관계·통치","약탈한 카르텔→보상 규칙이 있는 강혁 조직","마리오세가 네이바 농장을 노린다","카시야스 인수·마리아 학업 중단","마리아와의 정서 채무·외부 경쟁자","E02","high"
11,"ⓚ남자의 길 11화","3. 마리오세",1229,1332,"약탈한 카르텔→보상 규칙이 있는 강혁 조직; 강혁은 마리오세의 추가 공격 막기라는 당면 과제에 들어선다","민간인 학살이 두 카르텔 전쟁을 연다","마리오세의 추가 공격 막기","호세가 빼앗은 네이바 농장을 확인하고 모든 농장을 강화하며 빈민가 청년을 모집한다","노동자와 아이들의 죽음·열세인 병력·지역 기반 상실","강혁이 방어가 아니라 마리오세와의 전면전을 선언한다","학살당한 이들의 복수를 조직 목표로 세운다","전쟁·의리","신생 보스→지역 전쟁 지휘자","투마니에게 대규모 무기 주문","평온한 카르텔 인수기","마리오세·호세 제거·농장 탈환","E03","high"
