sequence,arc_phase,tension_1_10,reward_1_10,hook_1_10,information_weight,action_weight,relationship_weight,emotion_weight,material_or_status_weight,ribbon_rationale,source_lines
401,계약·병렬 확장,7,9,8,0.24,0.16,0.18,0.07,0.35,폐기 신약 계약조건과 중국 숏 실행보다 독점권·개발비라는 물질 보상에 독자가 오래 머문다,L70216-L70406
402,관계 압박·후계 약속,7,7,8,0.16,0.12,0.34,0.20,0.18,차명 정치보험보다 병상의 오희건이 후계를 부탁하고 지분 신뢰를 건네는 관계와 정서가 중심이다,L70407-L70589
403,승계 협상·동맹 지급,7,8,7,0.18,0.15,0.32,0.10,0.25,삼진 합병·공장·인슐린 권리를 맞바꾸는 승계 협상이라 관계와 자산 비중이 함께 높다,L70590-L70762
404,성과 확인·위기 예고,5,8,7,0.34,0.15,0.10,0.08,0.33,중국 지수 전략과 신약 안전성·출시 가능성을 해석하고 미래 잭팟을 계산하는 회차다,L70763-L70923
405,위기 발화·선제 결단,9,3,9,0.32,0.28,0.08,0.20,0.12,메르스 첫 환자 정보가 연구 증원과 사스 자료 인수 행동을 촉발해 정보·행동·불안이 솟는다,L70924-L71095
406,긴급 실행·방역 거점,9,6,8,0.20,0.42,0.12,0.18,0.08,R&D센터를 비우고 음압실과 이동식 병실을 설치하는 현장 실행이 독서 시간을 지배한다,L71096-L71268
407,병렬 압박·교섭,8,6,8,0.27,0.23,0.20,0.08,0.22,치료정보 알고리즘과 중국 숏을 돌리면서 제리 왕의 용선료 카드를 끌어내는 복합 협상이다,L71269-L71428
408,중간 결산·돌파,8,9,9,0.16,0.29,0.17,0.15,0.23,용선료 절반 인하와 이탈 금융사 처벌 뒤 메르스 임상 성공이 터져 행동과 보상이 동시에 오른다,L71429-L71612
409,제도 돌파·출시,8,9,7,0.21,0.29,0.18,0.12,0.20,식약처 압박과 FDA 실사를 밀어붙여 한국 첫 긴급사용승인을 얻는 제도 실행 회차다,L71613-L71796
410,비용 감수·다음 판,5,6,8,0.37,0.08,0.08,0.20,0.27,낮은 매출과 악성 리포트를 감수할 이유를 코로나와 브렉시트 미래가치로 해석하는 숨 고르기다,L71797-L71965
411,새 목표·지역 공략,6,5,8,0.25,0.15,0.22,0.08,0.30,호남 표와 새만금·군산 10억 달러를 한 선거판에 배치해 정책정보와 자금 약속이 중심이다,L71966-L72141
412,현장 실행·민심 전환,7,7,6,0.12,0.27,0.24,0.18,0.19,선박 발주와 새만금 투자가 장명준의 사과·탈당 결단으로 이어져 행동과 관계 반응이 크다,L72142-L72298
413,정보전·전선 확장,8,6,8,0.27,0.30,0.15,0.13,0.15,범죄정보망과 여론전을 실제 가동하고 트럼프까지 움직이는 정보전 행동이 전면에 선다,L72299-L72490
414,동맹 결속·숙청 예고,8,7,9,0.26,0.14,0.30,0.16,0.14,오용재 생산동맹과 빈 살만 숙청 브리핑 모두 신뢰를 걸고 사람을 움직이는 관계 협상이다,L72491-L72663
415,기술 준비·폭락 대기,5,6,8,0.36,0.20,0.11,0.08,0.25,중국 서킷브레이커와 자율주행 실차 데이터의 미래 효용을 설명하고 투자처를 정하는 기획 회차다,L72664-L72834
416,시장 충격·수익 봉우리,9,9,9,0.18,0.32,0.06,0.19,0.25,중국 장중 7퍼센트 폭락을 견디며 청산을 늦추는 금융 행동과 위험·수익 체감이 높다,L72835-L73014
417,수확·산업 재배치,7,9,8,0.24,0.16,0.12,0.11,0.37,400조 예상수익과 100조 재투자 규모가 새만금 갈등보다 강한 물질적 전환점으로 읽힌다,L73015-L73175
418,청산·물류축 전환,7,8,8,0.25,0.20,0.17,0.08,0.30,세계 매도세 청산 뒤 해운사·부산항 정책을 설계해 금융수확을 물류자산으로 옮긴다,L73176-L73359
419,관계 보은·핵심자산 지급,4,9,6,0.14,0.11,0.33,0.12,0.30,오용재의 상속세를 돕고 ASML 지분·장비 우선권으로 은혜를 갚는 관계와 자산 지급이 중심이다,L73360-L73524
420,정책 결속·자금 동원,7,8,8,0.20,0.17,0.24,0.08,0.31,최재석과 안전·해운 조건을 합의하고 PF 30조를 모으는 정치관계와 자금 동원이 크다,L73525-L73689
421,미끼 공개·동맹 모집,5,7,8,0.27,0.18,0.14,0.08,0.33,PF 미끼 구조와 해운빅딜 시점을 설명하며 검색 1위 정책을 기업동맹 자산으로 바꾼다,L73690-L73855
422,정권 압박·선거 대기,8,7,9,0.23,0.15,0.11,0.22,0.29,정부 압박 속 유고빈 이익이 커지고 총선 출구조사를 기다려 보상과 선거 긴장이 함께 높다,L73856-L74020
423,총선 결산·권력 전환,8,10,8,0.13,0.11,0.22,0.22,0.32,151석 승리 뒤 장명준의 보은과 현재가 지분 협상으로 표가 권력·자산이 되는 지급 회차다,L74021-L74192
424,보복 위기·증거 반격,9,7,9,0.18,0.35,0.12,0.22,0.13,세무조사에 맞서 범서북파 자료를 언론에 터뜨리는 반격 행동과 정치적 긴장이 지배한다,L74193-L74368
425,퇴진 압박·결전 진입,9,5,10,0.26,0.15,0.19,0.27,0.13,정권 불법과 지지율을 따져 자진 하야를 압박하는 계산 속 최재석의 결단 긴장이 커진다,L74369-L74533
426,하야 결산·대선 개방,10,10,10,0.11,0.24,0.17,0.27,0.21,청와대 압박 끝 대통령이 실제 사퇴해 행동·충격·권력 상태 변화가 한꺼번에 봉우리 친다,L74534-L74703
427,새 목표·700조 공약,8,8,9,0.23,0.13,0.27,0.10,0.27,60일 대선에서 700조 반도체 도시를 최재석에게 맡기는 정책·동맹·지위 설계가 중심이다,L74704-L74857
428,실물화·고용 지급,5,8,7,0.22,0.23,0.14,0.13,0.28,토지 10조와 평생 일자리 계획을 실제 부지·채용 행동으로 내려 물질 비중이 선명하다,L74858-L75029
429,부채 압박·협상,8,5,8,0.24,0.12,0.29,0.08,0.27,8조 부채와 손실분담 계산을 놓고 채권단·오너가를 압박하는 숫자 중심 관계 협상이다,L75030-L75208
430,채무조정·해운 결산,7,9,7,0.15,0.15,0.24,0.11,0.35,1조6천억 채무감면과 용선료 절반을 확정해 해운빅딜의 실물 보상이 가장 크게 남는다,L75209-L75383
431,승계 지원·숙청 실행,9,7,9,0.18,0.28,0.25,0.16,0.13,대한타이어 승계 지원과 사우디 왕족 체포가 병렬로 실행돼 행동·동맹·위험이 높다,L75384-L75552
432,권력 공인·자산 회수,8,9,8,0.17,0.18,0.24,0.16,0.25,왕족 은닉재산 회수와 빈 살만의 권력 공인이 정보 지원을 신뢰와 자산으로 환산한다,L75553-L75753
433,대선 결산·플랫폼 확장,8,10,8,0.15,0.12,0.20,0.23,0.30,최재석 정부 출범의 감정적 승리와 유전자 가위 특허 선점이 지위 보상 뒤 새 판을 연다,L75754-L75944
434,법정 공방·개표 대기,8,7,9,0.27,0.15,0.18,0.13,0.27,특허분쟁·노보 맞소송을 설계하는 동안 브렉시트 결과가 나와 정보와 금융 보상이 균형을 이룬다,L75945-L76117
435,권력교체 회수·다음 위협,7,9,9,0.14,0.14,0.25,0.19,0.28,브렉시트 모델 적중과 빈 살만의 왕세자 신뢰 확인이 관계·권력·수익을 함께 결산한다,L76118-L76286
436,재협상 개시·우위 공개,8,6,8,0.16,0.28,0.26,0.12,0.18,60만 TEU 자가선복을 공개해 선주 20명의 공동전선을 깨는 대면 협상 행동이 강하다,L76287-L76460
437,용선료 지급·동맹 장애,8,8,8,0.24,0.20,0.23,0.08,0.25,용선료 계약을 끝낸 직후 2M 배제 구조를 알아내 원가 보상과 새 동맹 문제가 교차한다,L76461-L76628
438,맞소송·양면 반격,9,6,9,0.20,0.31,0.15,0.14,0.20,노보 AI 절도 증거로 맞소송을 제기하고 2M 가입도 병행해 양면 반격 행동이 솟는다,L76629-L76807
439,법정전 결산·독립 확정,8,8,8,0.17,0.16,0.35,0.14,0.18,러스와 지분 요구를 밀어내고 소송 동시취하를 받아내는 힘겨루기 관계가 중심이다,L76808-L76961
440,국가규제 설계·재장전,7,5,9,0.32,0.18,0.15,0.08,0.27,50억 달러 가입비를 미국 투자·트럼프 규제 카드로 바꾸는 전략 설명과 자금 설계가 크다,L76962-L77140
441,인재 탐색·신뢰 축적,4,6,7,0.26,0.16,0.34,0.12,0.12,버클리·브로드 연구진에게 시설을 보여 주며 호기심과 신뢰를 쌓는 영입 관계 회차다,L77141-L77310
442,조건 협상·공동체 형성,6,8,8,0.20,0.12,0.40,0.12,0.16,연봉·무제한 연구비·공동 특허조건으로 원수인 두 팀을 합의시키는 관계 협상이 지배한다,L77311-L77484
443,인재 결속·미국전 예고,4,8,8,0.17,0.13,0.40,0.19,0.11,김진우와 팀 전체가 태우를 확실한 편으로 받아들이는 인재 영입과 안도감이 중심이다,L77485-L77653
444,선거 봉우리·권력 통로,9,9,10,0.16,0.17,0.19,0.25,0.23,예측을 거슬러 트럼프가 당선되고 먼저 전화하는 선거 긴장·환희·권력 보상이 봉우리다,L77654-L77841
445,동맹 확장·스파이 폭로,9,6,9,0.24,0.23,0.13,0.16,0.24,미국 투자 뒤 칭화 요구를 거절하고 정영근의 산업스파이 정체를 밝혀내 정보와 행동이 오른다,L77842-L78035
446,역정보 심기·취임 대기,8,5,9,0.28,0.30,0.10,0.12,0.20,조작 기술을 미끼로 넣고 배후 스파이를 전수조사하는 통제된 역정보 작전이 중심이다,L78036-L78215
447,규제 돌파·카르텔 균열,8,9,9,0.17,0.26,0.29,0.10,0.18,취임한 트럼프에게 미국 고용 논리로 카르텔 조사를 받아내는 정치관계와 실행이 강하다,L78216-L78400
448,자산 요구·답변 대기,7,5,8,0.20,0.18,0.28,0.08,0.26,머스크에 미국 투자 대신 선박·북해 유전을 요구하는 자산 중심 대면 협상이다,L78401-L78568
449,해운 결산·에너지 보험,7,9,7,0.14,0.19,0.24,0.10,0.33,70억 달러 투자와 선박·유전·해운동맹이 계약으로 굳어 실물 보상 비중이 가장 높다,L78569-L78738
450,관계 결산·다음 투자,3,8,8,0.15,0.06,0.37,0.34,0.08,완공 사옥을 돌며 병든 스티브가 애플을 부탁해 오랜 동업관계의 정서적 결산에 머문다,L78739-L78912
451,새 자산 선점·기술 예고,4,7,8,0.28,0.20,0.08,0.05,0.39,8달러 이더리온과 택시 면허를 선점해 시장 지배와 미래 자산의 물질적 기대가 크게 남는다,L78913-L79090
452,공장 확장·북한 위협 발화,8,6,9,0.31,0.27,0.10,0.12,0.20,무인 스마트 팹 설계를 승인하는 중 북한 해킹이 터져 기술 설명과 즉각 대응 행동이 교차한다,L79091-L79276
453,비밀 작전 설계·매복,9,4,10,0.28,0.22,0.16,0.23,0.11,북한 도발을 억제할 생존 변수를 고르고 VX 해독·의료팀을 배치해 계획과 암살 긴장이 높다,L79277-L79459
454,구조 결전·생존 지급,10,9,9,0.12,0.48,0.08,0.27,0.05,공항 공격 직후 아트로핀 투여와 의료캠프 처치·철수가 이어지는 물리적 구조 봉우리다,L79460-L79656
455,흔적 정리·변수 잠복,7,7,8,0.26,0.22,0.14,0.20,0.18,작전 흔적을 지우고 살아난 장남의 파장을 기다려 정보 정리와 불안한 여운이 중심이다,L79657-L79845
456,거대자금 진입·신뢰 지급,6,8,8,0.18,0.12,0.37,0.11,0.22,빈 살만의 2천억 달러 운용 부탁을 조정하고 즉석 투자를 끌어내 개인 신뢰가 가장 강하다,L79846-L80027
457,위탁 압박·국가책임 확대,7,6,8,0.25,0.10,0.27,0.10,0.28,사우디 입주와 국민연금 외부운용 규모를 논의해 국가·왕실 신뢰와 거대 자금이 균형을 이룬다,L80028-L80200
458,첫 투자 선택·검증 대기,4,6,8,0.32,0.11,0.12,0.08,0.37,배틀 아레나와 알래스카 유전을 첫 운용 카드로 비교해 저점자산 판단에 독자가 머문다,L80201-L80369
459,운용 성과·공연장 확장,4,9,8,0.18,0.14,0.10,0.10,0.48,게임 흥행 수익이 공개되고 6조 원 공연장 구상이 붙어 가시적 보상과 규모감이 압도한다,L80370-L80531
460,승계 조언·통신시장 진입,6,7,8,0.22,0.18,0.25,0.08,0.27,진동우에게 승계를 조언하고 글로벌 IT기업에 반값 망 계약을 제시해 관계·시장조건이 중심이다,L80532-L80714
461,규제 충돌·동맹 교환,7,7,8,0.22,0.19,0.31,0.08,0.20,규제 반발 속 손정우와 해저케이블·엔비디아 담보를 맞바꾸는 동맹 협상이 지배한다,L80715-L80890
462,인프라 결단·등급 지급,5,8,6,0.26,0.22,0.18,0.09,0.25,수조 원 인프라와 실패 위험 기술까지 승인해 1티어 통신망의 비용·실행 판단이 크게 읽힌다,L80891-L81043
463,조작 폭로·위험 은폐,9,4,9,0.42,0.23,0.08,0.18,0.09,JIS 수치와 실험값의 불일치가 드러나고 부품을 은밀히 교체해 정보 충격이 최고조다,L81044-L81207
464,유전 협상·장기권 확보,5,7,7,0.23,0.13,0.31,0.08,0.25,알래스카 400억 달러 투자와 미국 5퍼센트 참여안을 흥정해 정책관계와 지분 구조가 중심이다,L81208-L81389
465,지분 선점·시장 함정,5,8,8,0.31,0.18,0.10,0.06,0.35,가이아나 70퍼센트 지분과 비트코인 청산·메타버스 선점을 한꺼번에 계산하는 자산 설계 회차다,L81390-L81551
466,현금 재투자·철수 준비,6,6,8,0.33,0.20,0.10,0.07,0.30,신약 현금을 소재·제약·화학에 재배치하고 정보망과 코인 청산시점을 점검하는 준비 회차다,L81552-L81719
467,정부 합의·생산지 이동,7,6,8,0.28,0.15,0.20,0.11,0.26,새만금 고용과 중러 공장 철수를 정부에 설명해 산업정보·정치 합의·투자비중이 고르게 높다,L81720-L81885
468,매각 미끼·경쟁 유도,7,5,9,0.26,0.22,0.20,0.12,0.20,범죄자금 추적과 장경준에게 흘린 공장 정보가 인수경쟁을 불러 전략 행동과 관계 압박이 맞선다,L81886-L82070
469,인수 경쟁·계약 전야,8,5,9,0.22,0.17,0.32,0.09,0.20,일본 기업의 유럽 욕망을 자극해 연합 협상을 만들므로 대면 힘겨루기와 신뢰 위장이 중심이다,L82071-L82248
470,공장 매각·위험 전가,8,9,8,0.15,0.22,0.17,0.09,0.37,러시아 공장 매각대금 입금과 5년 임차·리콜 축소가 확정돼 실물 보상 비중이 크게 솟는다,L82249-L82431
471,외교 완충·매집 준비,6,7,7,0.29,0.12,0.34,0.08,0.17,리강에게 중국 공장 축소를 일대일로 재배치로 설득하는 외교적 관계 조율이 중심이다,L82432-L82611
472,폭로 결전·세계 확산,10,8,9,0.18,0.37,0.12,0.22,0.11,다국가 언론·소송·선제 리콜을 동시에 터뜨려 일본 품질조작 공개 행동과 충격이 봉우리 친다,L82612-L82783
