arc_id,arc_name,start_sequence,end_sequence,start_label,end_label,episode_count,main_characters,main_locations,concrete_premise,central_question,promise,pressure_escalation,mid_turn,concrete_payoff,relationship_change,status_or_ability_change,residual_cost,next_arc_bridge,boundary_signals,confidence
E001,카메라폰 특허로 21억을 받은 고졸 신입,1,5,1,5,5,이정후; 강동주; 넥핀 특허팀 동료; 삼진전자 협상단,넥핀 특허팀; 특허청; 삼진전자; 은행 ATM,IMF로 팀이 해체되는 순간 고졸 신입 이정후가 기어 감응으로 고장 장비를 고치고 카메라폰 특허를 묶어 회사의 현금으로 바꾼다.,학벌과 직급이 없는 신입의 감각을 등록 특허와 현금 매출로 증명한다.,"작동하는 발명에서 특허 등록, 대기업 판매, 개인 계좌 입금까지 첫 능력 증명 사슬을 보여 준다.","팀원 이탈과 고장 장비, 미등록 아이디어, 대기업의 가격 압박이 발명을 매출로 바꾸는 일을 막는다.",강동주가 삼진과 GL의 경쟁을 이용해 카메라폰 특허 다섯 건을 60억에 판다.,이정후 계좌에 21억이 입금되고 남은 동료 열 명도 9억을 나눠 받는다.,강동주는 이정후를 보호하고 성과를 배분해야 할 핵심 인재로 대하며 동료들도 잔류한다.,고졸 신입이 회사 매출을 만든 특허 설계자이자 팀 재결집의 중심으로 올라선다.,첫 대박 뒤에도 정규 조직 기반과 코딩 역량이 부족해 재현 가능성을 증명해야 한다.,후속 휴대폰 특허와 블루투스 개발로 한 번의 행운을 반복 가능한 능력으로 바꾼다.,P:개인 21억·팀 9억 입금; S:첫 카메라폰 특허 묶음 정산; B:블루투스와 C 학습 착수,high
E002,블루투스·롤북·공동 투자 시동,6,10,6,10,5,이정후; 박 교수; 강동주; 김동원; 넥핀 특허팀,넥핀 연구실; 대학가; 롤북 서버; 타이거펀드 한국지부,이정후가 블루투스 헤드셋을 만들고 대학생 SNS 롤북을 열어 발명과 플랫폼이라는 두 성장축을 동시에 세운다.,특허 보너스를 재투자할 공동 자금과 스스로 확장되는 온라인 서비스를 만든다.,"코딩 학습, 작동 시제품, 사용자 유입, 동료 공동 투자로 능력이 팀의 반복 엔진이 되는 과정을 지급한다.","초보 코딩, 2.4GHz 잡음, 서버비, GL의 영입 공작과 동료들의 투자 불안이 겹친다.",롤북이 김동원의 캠퍼스 인맥을 타고 퍼지고 블루투스 보너스도 팀원마다 4천만 원씩 지급된다.,동료들이 보너스 20억을 모아 공동 투자 구조를 만들고 강동주가 지원팀 확장을 약속한다.,이정후는 개인 천재가 아니라 동료에게 현금과 투자 기회를 돌려주는 팀의 설계자로 인정받는다.,"C를 익힌 발명자이자 롤북 창업자, 공동 자금의 사실상 운용자로 역할이 확장된다.",롤북은 아직 서버와 법률 보호가 약하고 GL은 핵심 인력을 되찾으려 한다.,PDA 특허 대량 생산과 롤북 전국 확산이 인력·서버·법인화 압력을 만든다.,P:블루투스 보너스 4천만 원씩; S:동료 20억 공동 투자 결성; B:PDA 특허와 롤북 확장,high
E003,PDA 특허 폭주와 GL 복귀 공작,11,15,11,15,5,이정후; 강동주; 넥핀 동료; GL전자 인사팀; 롤북 대학생 이용자,넥핀; 타이거펀드; 롤북 서버; 외주 개발사; GL전자,공동 투자금과 롤북 트래픽이 커지는 동안 이정후는 PDA·미니 HDD 특허를 쏟아 내고 GL의 집단 영입을 막아 낸다.,대량 발명과 서비스 확장을 버틸 조직을 만들고 동료 이탈 없이 지식재산을 지킨다.,"특허 수량, 서버 비용, 외주 계약, 영입 제안 거절이라는 조직화 영수증을 연속 지급한다.","폭증한 사용자와 서버비, 70건에 달하는 PDA 특허 작업, GL의 위약금형 영입 제안이 팀을 갈라놓는다.",이정후가 미니 HDD 핵심 특허 네 건을 만들고 타이거 자금으로 외주 생산까지 연결한다.,영입 제안을 받은 일곱 명 전원이 GL 복귀를 거절하고 넥핀에 남는다.,성과 배분을 경험한 동료들이 옛 대기업보다 이정후·강동주와의 공동 운명을 선택한다.,개인 발명 속도가 외주·지원 인력을 움직이는 조직 생산력으로 바뀐다.,넥핀의 급성장으로 기존 회사 껍데기와 경영 책임을 다시 정해야 한다.,"회사 독립과 브랜드 재정의, 컴덱스 해외 진출이 다음 검증 무대가 된다.",P:PDA·미니 HDD 특허 묶음 확보; S:GL 영입 7명 전원 잔류; B:넥핀 독립·컴덱스 출전,high
E004,넥핀 독립과 컴덱스 입성,16,20,16,20,5,이정후; 차 사장; 강동주; 김동원; 스티브 잡스,넥핀 신사옥; 롤북; 미국 라스베이거스 컴덱스; 애플 부스,넥핀이 독립 회사로 재편되고 롤북이 광고·중고거래로 자립하는 사이 이정후의 특허가 컴덱스에서 잡스를 끌어낸다.,국내 보너스 회사에 머물지 않고 브랜드·플랫폼·해외 고객을 가진 사업체로 인정받는다.,"회사명, 사장, 광고 매출, 채용, 해외 전시와 세계적 고객 접촉을 단계별로 보여 준다.","새 법인의 현금흐름, 롤북 사기 위험, 채용 공백, 텅 빈 컴덱스 부스가 해외 인정의 문턱이 된다.",롤북의 지역 인증 중고시장과 광고가 매진되고 연구실 출신 인력도 정식 채용된다.,잡스가 빈 부스를 직접 찾아와 특허 가치를 인정하고 라이선스와 영입을 제안한다.,차 사장과 김동원은 이정후의 발명·플랫폼을 실행하는 경영 동료가 되고 잡스는 첫 글로벌 거래 상대가 된다.,국내 특허팀 핵심에서 해외 빅테크가 먼저 찾는 넥핀·롤북 창업자로 상승한다.,관심을 실제 계약으로 바꾸려면 잡스와 게이츠의 상충한 이해를 동시에 다뤄야 한다.,애플·마이크로소프트·페이팔과의 연쇄 협상으로 기술의 가격과 지분을 정한다.,P:롤북 광고 매진·정식 채용; S:넥핀 독립·컴덱스 참가; B:잡스의 라이선스 제안,high
E005,잡스·게이츠·페이팔 연쇄 계약,21,25,21,25,5,이정후; 강동주; 스티브 잡스; 빌 게이츠; 일론 머스크,컴덱스; 애플·MS 협상실; 페이팔 부스; 라스베이거스 카지노,이정후와 강동주가 경쟁 빅테크에 서로 다른 라이선스를 팔고 롤북 지분·페이팔 제휴까지 한 출장에서 묶는다.,특허의 장기 로열티와 롤북의 미국 진출·결제 기반을 지분 희석 없이 확보한다.,"배타성, 선급금, 로열티, 지분 교환을 상대별로 다르게 설계하는 거래의 표면을 보여 준다.","잡스의 독점 요구, 게이츠의 인수 제안, 롤북 자금 부족과 무명 페이팔의 불확실성이 협상 비용이다.",게이츠의 인수 대신 MS 연구비 100만 달러·최소 200만 달러·로열티·넥핀 표기를 따낸다.,롤북은 강동주에게 30%를 30억에 넘겨 법률·미국 진출을 얻고 페이팔과 5%씩 지분을 교환한다.,"강동주는 상사에서 공동 주주·협상 교사로, 잡스·게이츠·머스크는 반복 거래 가능한 네트워크로 바뀐다.",이정후는 기술 판매자에서 플랫폼 지분과 국제 파트너를 설계하는 창업자 겸 협상가로 올라선다.,계약 가치를 폭발시키려면 귀국 뒤 실제 시장 수익과 투자 성과를 증명해야 한다.,넥핀 20배 투자 수익과 Y2K 패치가 타이거 내부에서 이정후·강동주의 판단력을 검증한다.,P:애플·MS 로열티 조건 확정; S:롤북 30억 투자·페이팔 5% 교환; B:타이거 수익 검증,high
E006,20배 투자금과 Y2K 패치·금융 수업,26,30,26,30,5,이정후; 강동주; 넥핀 동료; 송 지부장; 타이거펀드 본사,타이거펀드 한국지부; 넥핀; 롤북; 이정후 집,넥핀과 벤처 주식이 20배로 뛰어 동료들이 자산가가 되고 이정후는 Y2K 패치와 금융 교육으로 기술·투자 양쪽의 재현성을 넓힌다.,첫 해외 계약과 주식 급등을 현금화하고 다음 버블 붕괴에 대비할 금융 능력을 익힌다.,"개인별 자산 숫자, 가족 소비, 무료·유료 패치, 투자 수업과 매도 시점 설계로 성장의 영수증을 지급한다.","언론 노출, 버블 변동성, Y2K 공포, 금융 문외한이라는 약점이 자산 보전을 위협한다.","동료들은 약 20억, 이정후는 약 200억의 주식 가치를 확인하고 가족과 야구부에 돈을 쓴다.",Y2K 패치가 MS까지 채택되고 강동주의 금융 수업으로 1·2월 블록 매도 계획을 세운다.,동료들은 이정후에게 투자 운용을 맡기고 강동주는 특허 상사에서 금융 스승으로 깊어진다.,현금 보너스형 발명가가 수백억 자산과 시장 타이밍을 다루는 투자 실무자로 확장된다.,주식 차익만으로는 롤북의 결제·저작권·법인 생태계를 자립시킬 수 없다.,이넥스 인수와 음원·간편결제 구축으로 플랫폼 안에서 돈이 도는 구조를 만든다.,P:동료 약 20억·이정후 약 200억 평가액; S:Y2K 유료화·MS 탑재; B:이넥스와 결제 인수,high
E007,이넥스 인수와 롤북 간편결제,31,35,31,35,5,이정후; 강동주; 이넥스 창업자; 유민정; 롤북 이용자,롤북 사무실; 이넥스; 음원 권리사; 포인트 상점,이정후가 결제대행사 이넥스를 인수하고 음원·스킨·선불카드를 연결해 롤북을 트래픽 서비스에서 거래 플랫폼으로 바꾼다.,외부 결제망에 종속되지 않는 간편결제와 반복 소비 상품을 확보한다.,"경영권 인수, 첫날 매출, 창작자 수익, 채용·보너스가 플랫폼 수익화를 증명한다.","음원 권리 100곡의 한계, 결제 인프라 비용, 이용자가 돈을 쓸지 모르는 위험과 디자인 인력 부족이 있다.","롤북 포인트 상점이 첫날 3,500만 원을 벌고 이넥스를 55억에 인수하되 창업자 경영권을 보장한다.",유민정의 스킨과 선불카드 아이디어가 매출을 만들고 간편·모바일 결제가 정식 가동한다.,인수 대상 창업자는 퇴출되지 않고 파트너가 되며 유민정은 아이디어에 보너스를 받는 핵심 동료가 된다.,롤북이 커뮤니티에서 자체 결제와 창작자 경제를 가진 플랫폼으로 승격한다.,트래픽 폭증과 해외 진출에는 단일 페이지 구조와 서버가 버티지 못한다.,"플랫폼 분할 개편과 미국 진출, 주식 블록딜로 다음 성장 자금을 만든다.","P:첫날 3,500만 원·작가 150만 원 수익; S:이넥스 55억 인수·간편결제 가동; B:플랫폼 분할",high
E008,플랫폼 개편·야구부 후원·2천억 블록딜,36,40,36,40,5,이정후; 강동주; 유민정; 이정민; 칼리 관계자,롤북 개발실; 미국 대학가; 야구부; 타이거 협상실,롤북을 페이지·커뮤니티·마켓으로 재편하고 가족의 야구 문제까지 기업 후원으로 해결한 뒤 벤처 주식을 2천억에 블록 매도한다.,서비스와 가족 문제를 조직 자원으로 해결하면서 버블 붕괴 전 투자 수익을 현금화한다.,"서비스 개편, 미국 사용자 증가, 후원 계약, 대형 블록딜이라는 서로 다른 표면에서 영향력 상승을 보여 준다.","이용자 반발, 미국 서버 부담, 동생의 불공정한 감독, 매수자의 가격·보증 요구가 동시에 걸린다.",타이거와 넥핀 후원으로 MLB 코치 캠프·1억 기부가 집행되고 이정민이 공정한 선발 경쟁을 얻는다.,강동주가 칼리를 상대로 세라·드림라인 주식을 2천억에 블록 매도해 현금을 확보한다.,가족은 이정후의 기업 자원이 실제 보호막임을 보고 칼리는 이후 맞붙을 금융 적수로 선명해진다.,이정후의 영향력이 제품·가족·스포츠 후원·수천억 거래를 잇는 조직 권력으로 넓어진다.,칼리에게 보증까지 선 매도는 기술주 폭락을 맞힐 때만 완전한 승리가 된다.,미국 롤북 성공과 60억 달러 공매도로 상승장의 반대편에 선다.,P:야구부 1억 후원·공정 선발; S:벤처 주식 2천억 블록 매도; B:기술주 공매도 개전,high
E009,미국 롤북 성공과 60억 달러 공매도 개전,41,45,41,45,5,이정후; 강동주; 김동원; 로버트슨; 오 부장,미국 대학가; 롤북 배송센터; 넥핀 연구실; 타이거 트레이딩룸,미국 롤북이 첫날 10만 명을 모으는 동안 강동주는 60억 달러 기술주 공매도에 들어가 본사와 칼리의 압박을 견딘다.,플랫폼의 미국 적합성과 버블 붕괴 판단을 동시에 숫자로 입증한다.,가입자·주문·특허·포지션·일일 손익을 교차해 사업 성장과 금융 전쟁의 속도를 높인다.,"배송 운영 부담, 터치 MP3의 기술 난도, 10배 레버리지, 본사의 손절 요구와 칼리의 숏 스퀴즈가 겹친다.",롤북 배송은 하루 5천 건·6천만 원 매출을 만들고 터치 MP3 특허도 묶인다.,일본 충격으로 기술주가 5.4% 급락해 공매도가 하루 3억 달러 이상 이익을 내며 첫 검증을 통과한다.,로버트슨은 강동주의 판단을 시험하되 시간을 주고 칼리는 정면으로 포지션을 노리는 적이 된다.,이정후 팀의 돈이 수십억 달러 글로벌 포지션에 참여하는 수준으로 뛰어오른다.,마이크로스트래티지 집중 매수와 반등으로 증거금이 다시 바닥난다.,롤북·넥핀 지분까지 담보 잡아 버틴 뒤 회계 오류 폭로로 자이언트 킬링을 완성한다.,P:미국 첫날 10만 가입·배송 5천 건; S:공매도 첫 3억 달러 일익; B:마이크로스트래티지 숏 스퀴즈,high
E010,마이크로스트래티지 붕괴와 23억 달러 승리,46,50,46,50,5,이정후; 강동주; 로버트슨; 오 부장; 칼리 트레이더,타이거 트레이딩룸; 칼리; 롤북·넥핀 담보 협상실; 타이거 뉴욕 본사,칼리의 집중 매수로 몰린 공매도팀이 롤북·넥핀 담보 대출까지 끌어와 버티고 회계 오류 공시를 계기로 23억 달러를 확정한다.,강제 청산 전에 유동성을 확보하고 버블 붕괴 수익을 실제 매각·상환까지 끝낸다.,"증거금, 담보 대출, 공시, 장외 매각, 순이익 보고로 고위험 거래의 완결된 영수증을 준다.","12억 달러 집중 매수, 비싼 5배 레버리지, 마진콜 시한, 타이거 내부 불신이 파산 위험을 높인다.",강동주가 오 부장을 속여 롤북·넥핀 지분 담보 1억6천만 달러를 빌려 포지션을 하루 더 살린다.,회계 오류로 주가가 붕괴하고 88억 달러 포지션을 4% 프리미엄에 팔아 순이익 23억560만 달러를 확정한다.,로버트슨은 강동주를 본사 앞에서 승자로 세우고 이정후를 그의 핵심 무기로 인식한다.,이정후는 직원 투자 계좌 2천억과 타이거 본사 인정을 함께 얻은 글로벌 투자 파트너가 된다.,한 번의 공매도 승리 뒤에도 어떤 미래 기업을 사서 장기 성장축을 만들지 비어 있다.,구글·넷플릭스에서 검색·구독이라는 부족한 퍼즐 조각을 발굴한다.,P:순이익 23억560만 달러; S:88억 달러 포지션 전량 매각·대출 상환; B:구글·넷플릭스 발굴,high
