arc_id,arc_name,start_sequence,end_sequence,start_label,end_label,episode_count,main_characters,main_locations,concrete_premise,central_question,promise,pressure_escalation,mid_turn,concrete_payoff,relationship_change,status_or_ability_change,residual_cost,next_arc_bridge,boundary_signals,confidence
PART-001,고시원 회귀와 SAVE 사전기지,1,15,1화,15화,15,김민재·김태중·김택훈·한정훈·제프리·데이비드·조지·살만,고시원·김태중 생일연회·태우증권·홍콩 법인·사우디 왕실·월가·하버드,고시원에서 죽은 김민재가 17세로 돌아와 파텍필립 시계 사기를 폭로하고 100만 달러를 받은 뒤 한정훈 팀·SAVE·퀀텀·공직 펀드를 만든다.,미성년자인 김민재가 태우그룹에 들어가기 전에 가족과 회사를 지킬 돈·인재·정치 방패를 자기 힘으로 만들 수 있는가?,김민재는 전생의 빈곤과 할아버지의 죽음을 되풀이하지 않고 미래 지식과 신상명세서 능력으로 태우를 살릴 기반을 먼저 갖추겠다고 약속한다.,220억 원 일본 붕괴 베팅·이라크 침공과 유가 양방향 포지션·제프리의 혹독한 운영·조지의 프랑화 배신 계획이 돈과 조직을 잃을 위험을 차례로 키운다.,이라크 침공과 사막의 폭풍 작전에서 유가 상승·하락을 모두 맞혀 100억 달러를 만들고 네 직원과 미국 SAVE로 이동하면서 개인 용돈 투자가 독립 금융조직으로 바뀐다.,걸프전 100억 달러·SAVE 조직·퀀텀 장기 동맹·한정훈과 월가 인재·하버드 조기졸업·공직자 100명 펀드가 실제로 지급된다.,김태중은 철없는 손자가 아니라 그룹을 지킬 후계자로 김민재를 보기 시작하고 한정훈·제프리·데이비드·조지는 돈을 함께 움직이는 장기 동료가 된다.,김민재는 17세 회귀자와 신상명세서 보유자에서 100억 달러 투자회사 실소유주·하버드 졸업생·미국 정재계 인맥 보유자로 바뀐다.,태우의 89조 원 부채와 김태중 생존·살생부 복수는 아직 손대지 못했고 SAVE 실소유를 숨겨야 하는 비용이 남는다.,3년 뒤 김포공항으로 돌아온 김민재가 첫 칼춤 장소로 창원 부품공장을 고르고 태우 차장으로 입사한다.,하버드 3년 시간 점프와 미국에서 김포·창원으로의 장소 교체가 일어난다; 학생 투자자의 목표가 자금 구축에서 태우 내부 비리 적출로 바뀌고 공식 신분도 창원 차장으로 변한다.,0.98
PART-002,창원 장부와 명동 4천억 절단,16,31,16화,31화,16,김민재·김태중·김택훈·강인식·윤일섭·서우태·박권흠·이준수·이선일·박진훈·한지혜·주영미,창원 부품공장·감사팀·노조 현장·사장단 회의실·명동·광화문 고택,창원 차장 김민재가 고철·팔레트 횡령과 불륜 이중장부를 캐내고 감사본부장 권한·기관 공조·CT은행 대환으로 이준수와 명동의 4천억 원 자금선을 끊는다.,김민재가 회장 손자라는 위세에만 기대지 않고 공장 증거·노조 표·수사기관·은행 대환을 묶어 태우 내부 첫 배신망을 끊을 수 있는가?,창원 현장에서 실제 장부와 사람을 잡아 전생에 회사를 갉아먹은 내부 배신자를 한 명씩 살생부에서 지운다는 약속이다.,서우태의 횡령·공장장과 경리들의 불륜·이준수의 명동 사채 4천억 원·노조 파업·정수철과 사장단의 고립 공작이 현장과 본사를 동시에 압박한다.,김민재가 파업을 일부러 끌어낸 뒤 반대 파벌·삐라·사법처리로 반대 51퍼센트를 만들고 CT은행 법인장을 사장단 회의에 들이면서 현장 싸움이 금융 절단으로 전환된다.,CT은행 저리대출로 명동 4천억 원을 상환하고 이준수를 끌어내리며 창원 비리 인원 47명에게 감봉·해고·형사조치를 지급한다.,김태중은 태우를 떠날 수도 있다는 손자의 배수진을 받아 감사본부장 권한을 주고 윤일섭·강인식은 김민재의 직속 실행선이 되며 이선일은 이준수를 거둔 적으로 남는다.,창원 차장 김민재는 그룹 감사팀 본부장과 CT 대환을 움직이는 실권자로 올라서고 공장 내부고발·기관 공조망을 갖춘다.,박진훈과 사장단 윗선은 남아 있고 이준수를 명동에서 완전히 제거하지 못했으며 공개 숙청 뒤 계열사 임원들의 집단 반발이 남는다.,박진훈과 사장단은 김민재를 감사에서 떼어 내기 위해 기술·경제연구소장으로 보내는 유배안을 통과시킨다.,창원 비리·명동 차입은 47명 징계와 4천억 원 상환으로 결산된다; 다음 주무대가 창원 감사현장에서 태우전자 연구소로 바뀌고 주 상대도 이준수에서 박진훈·제품시장으로 교체된다.,0.98
PART-003,이노폰과 박진훈 축출,32,52,32화,52화,21,김민재·김태중·박진훈·우성일·후쿠다·박준일·조나단·스티브·구디너프·황영철·이선일·강인식,태우 기술·경제연구소·인천·부천 공장·명동·독일 가전박람회·타임스퀘어·강남 공개 시연장,연구소장 김민재가 박준일·조나단·스티브·구디너프·황영철을 묶어 폴더폰 이노폰과 MP3 특허를 만들고 박진훈의 거짓 결함 보도를 세계 공개 시연으로 뒤집는다.,벽지 연구소와 1년이라는 유배 함정을 실제 휴대폰·특허·판매 성과로 바꿔 박진훈의 자리와 살생부 한 칸을 함께 결산할 수 있는가?,김민재는 보고서나 말이 아니라 소비자가 사는 제품을 내놓아 기술을 외면한 박진훈을 끌어내리고 태우전자의 미래를 증명하겠다고 약속한다.,후쿠다의 과잉 차입 경고·국제 특허·OS와 배터리 조달·24일 생산·27만 대 선재고·삼풍 붕괴 구조·박진훈의 내부 스파이와 1면 허위기사가 실패 비용을 키운다.,삼풍 붕괴에서 태우건설·병원을 먼저 투입해 국민기업 평판을 얻은 뒤 잡스가 독일 무대에서 이노폰을 시연하면서 연구실 제품이 세계 바이어의 주문으로 바뀐다.,이노폰 30만 대 완판·미국 30만 대와 유럽 10만 대 주문·톰슨 MP3 특허·박진훈 축출·태우전자 사장 추천이 실제로 지급된다.,김태중은 손자의 제품 판단을 인정하고 우성일·박 기자·조 차장과 사장단 일부는 박진훈에게서 돌아서 김민재의 증인·실행자가 된다.,연구소장 김민재는 국제 특허·공장·판매망을 지휘하는 제품 경영자로 올라서고 박진훈을 살생부에서 직접 지운다.,태우전자의 지분과 진짜 소유권은 아직 김태중에게 있고 그룹 차입금·중공업 부채·휴대폰 사업의 장기 비용은 남는다.,사장 취임을 권유받은 김민재가 직함만으로는 회사를 바꿀 수 없다며 김태중에게 태우전자 지분을 요구한다.,이노폰 판매와 박진훈 복수가 30만 대·축출로 함께 닫힌다; 연구소장 지위가 사장·지분 승계자로 바뀌며 지배 질문도 제품 성공에서 소유주로서의 구조수술로 교대한다.,0.99
PART-004,태우전자 소유와 조선·애플 교환,53,71,53화,71화,19,김민재·김태중·우성일·다이먼·스티브·이선일·아크만·살만·오강철·장영준·황영철,태우전자·태우중공업·태우조선·주주총회·사우디 정유 협상장·애플·구글·디지털케이스,태우전자 지분을 상속받아 사장이 된 김민재가 중공업 지분전과 사우디 직인 계약으로 조선을 떼고 주총 30대25 승리로 휴대폰 사업을 애플 지분·공동로고와 교환한다.,김민재가 태우전자 주인으로 실제 권한을 쓰면서도 그룹 부채와 실패 사업을 미래 지분·현금·기술동맹으로 바꿀 수 있는가?,김민재는 회장 손자의 직함이 아니라 자기 지분과 공식 의결권으로 회사를 수술하고 태우전자를 세계 기업으로 만들겠다고 약속한다.,산업스파이·1천5백 명 재배치·태우중공업 지분 40퍼센트 싸움·오강철 하청비리와 파업·김태중의 휴대폰 매각 거부·엠피맨 판매 실패가 소유주의 책임을 키운다.,김태중이 휴대폰 매각을 거부하자 김민재가 명동·국민연금·은행 의결권을 모아 주총 30대25로 할아버지를 이기면서 가족 설득이 공식 지배권 행사로 전환된다.,태우전자 지분과 사장 전권·태우조선 부채 분리·사우디 정유 출구·애플 주식 10퍼센트 교환과 공동로고·구글 49퍼센트·디지털케이스 100퍼센트가 지급된다.,김태중과 김민재는 주총에서 적으로 맞선 뒤 독립 경영의 경계를 다시 정하고 다이먼·스티브·살만은 구조조정과 기술·정유의 장기 동맹이 된다.,김민재는 연구개발 책임자에서 태우전자 소유주·사장으로 올라선 뒤 그룹 사장급 기획본부장으로 이동할 권한을 얻는다.,조손 간 주총 대결의 감정 비용과 태우그룹 나머지 부채가 남고 애플·구글·MP3 자산도 아직 현금흐름으로 완전히 바뀌지 않았다.,김민재가 태우전자 사장을 우성일에게 넘기고 그룹 기획본부장으로 옮겨 중국 자동차와 세계 매출을 직접 설계한다.,조선 분리·애플 교환·디지털케이스 인수와 직책 이동으로 태우전자 구조수술이 닫힌다; 목표가 한 계열사 소유·부채 정리에서 그룹 전체 세계 진출로 바뀌고 장소도 주총에서 기획실·중국 협상장으로 옮겨 간다.,0.99
PART-005,중국 자동차와 인터넷 외화 출구,72,77,72화,77화,6,김민재·김태중·쩡훙친·포드 관계자·하재원·제프리,그룹 기획본부·중국 자동차 협상장·상하이자동차·태우백화점 전자상거래팀·태우증권 HTS팀,기획본부장 김민재가 쩡훙친의 가족 문제를 해결해 중국 판매 허가를 받고 포드·태우·상하이차 3자 공장을 세우며 전자상거래·음원·HTS 조직을 만든다.,일본 차입을 늘리지 않고 중국·미국 자동차 매출과 인터넷 유통망을 외환위기 전 외화·현금 출구로 만들 수 있는가?,김민재는 계열사 매각을 끝내고 세계 판매와 인터넷 사업으로 태우의 부채를 줄이는 성장 경로를 약속한다.,중국 관시와 판매 허가·포드 이해관계·법 개정 전 HTS·당장 돈이 안 되는 전자상거래·느슨한 태우 IT 조직이 짧은 준비 시간을 압박한다.,중국 판매 2만 대와 월 5천 대 실적이 나온 뒤 포드·태우·상하이자동차 3자 합작이 체결되면서 외교 인맥이 실물 공장과 수출 캐시카우로 바뀐다.,중국 완성차 공장·포드 합작·루마니아차 완판·태우백화점 전자상거래·태우증권 HTS 개발조직·제프리의 성과 중심 IT 체제가 지급된다.,쩡훙친은 아들의 안전을 지켜 준 장기 정치동맹이 되고 포드와 제프리는 태우의 자동차·IT 실행 파트너가 된다.,김민재는 태우전자 한 회사의 사장에서 전 계열사를 조정하는 기획본부장으로 바뀌고 중국 관시·인터넷 조직을 얻는다.,전자상거래·음원·HTS는 아직 수익을 내지 못하고 중국·미국 매출도 외환위기 환율과 일본 단기차입 회수 위험에 노출돼 있다.,1997년으로 시간이 뛰고 김태중이 통신사업용 일본 차입을 추진하자 김민재가 조지의 태국 공격과 국가부도 대비로 방향을 돌린다.,1996년 합작·인터넷 조직이 실제 출범한 뒤 1997년으로 점프한다; 압박이 성장과 조직문화에서 외화차입 회수·국가부도 생존으로 바뀌고 상대도 중국 파트너에서 김태중·퀀텀·IMF로 교체된다.,0.97
PART-006,외환위기 무부채와 사우디 정유,78,86,78화,86화,9,김민재·김태중·한정훈·조지·이선일·살만·압둘라·스티브,태우그룹 본사·명동·태국 통화시장·전경련·사우디 왕실·워싱턴 IMF·CES,김민재가 SAVE 150억 달러와 퀀텀 자금을 태국 위기에 걸고 아람코 100억 달러를 환율 정점에 들여와 태우 부채를 모두 갚고 사우디 정유 실계약을 맺는다.,국가부도와 외화 회수 속에서 태우만 달러·현금·정부 신뢰를 가진 무부채 인수 주체로 뒤집을 수 있는가?,김민재는 외환위기를 피하는 데서 멈추지 않고 김태중과 태우가 한국 산업을 다시 살릴 수 있는 현금 보유자로 남게 하겠다고 약속한다.,김태중의 일본 차입 본능·태국 통화공격·한보 부도·일본 단기자금 회수·야당 정치자금의 합법성·환율 정점과 사우디 지분 협상이 가족 신뢰와 시간을 압박한다.,환율 정점에 아람코 자금 100억 달러를 국내로 옮겨 모든 부채를 갚으면서 외환위기 방어가 국내 유일 부채율 0퍼센트라는 공격 자격으로 전환된다.,태우 부채율 0퍼센트·사우디 6조 원 정유 실계약·안정적 원유 공급·IMF 우호·아이팟 3일 완판과 애플 주가 두 배가 지급된다.,김태중은 손자의 위기 판단을 받아들이고 전경련 빅딜 지휘자로 복귀하며 조지·이선일·살만은 금융·명동·에너지 축의 협력자로 굳어진다.,태우는 외화차입 위기 기업에서 현금과 달러를 가진 국가급 인수 주체로 바뀌고 김민재는 IMF 인사까지 설득할 신용을 얻는다.,국가 전체의 실업과 파산기업은 남아 있고 사우디 정유 투자·원유공급의 장기 책임과 무너진 기업을 인수할 실행 비용이 생긴다.,아이팟 흥행을 확인한 김민재가 다이먼을 한국으로 불러 카이자동차부터 사들이라고 지시한다.,태우 생존은 무부채·정유계약·IMF 신뢰로 닫힌다; 목표가 부채 상환에서 카이·CL·건설 매물 인수로 바뀌고 행동 방식도 방어적 현금축적에서 공격적 M&A로 전환된다.,0.99
PART-007,카이·CL·민자 운영권 독식,87,97,87화,97화,11,김민재·김태중·다이먼·카를로스 곤·고연진·고승택·박만덕·장수영,카이자동차 채권단·CL그룹 협상장·태우증권·태우건설·지하철 9호선·거가대교,달러 현금을 든 김민재가 카이차 51퍼센트와 카를로스 곤을 얻고 CL통신·배터리를 백화점·카드와 맞바꾸며 퀀텀 컨소시엄으로 지하철 9호선·거가대교 40년 운영권을 딴다.,태우가 외환위기 매물을 무작정 합치는 대신 자동차·통신·배터리·건설 자산을 각자 살아남는 성장축으로 재배치할 수 있는가?,김민재는 태우만 살아남는 것이 아니라 헐값에 나온 산업자산을 현금과 구조조정 인재로 살려 다음 시대의 지배 기반으로 만들겠다고 약속한다.,카이차 노조·채권단과 현재차 경쟁·CL 장녀 승계갈등·애국펀드 3조 원 조달·장수영의 무수주·SAVE 소유를 숨긴 민자협상이 인수와 통합 비용을 키운다.,CL카드·백화점과 CL통신·배터리의 포괄 교환을 타결한 뒤 퀀텀 컨소시엄이 정부 MRG 사업으로 이동하면서 계열사 거래가 국가 인프라 운영권으로 확대된다.,카이차 51퍼센트·카를로스 곤·CL통신·CL배터리·스타벅스 독점 유통·지하철 9호선과 거가대교 40년 운영권·태우건설 대형 도급이 지급된다.,김태중은 김민재를 후계자로 더 신뢰하고 다이먼은 인수전 총괄이 되며 고연진·고승택과 카를로스 곤은 각각 CL 거래·카이 독립경영의 파트너로 편입된다.,태우는 무부채 생존기업에서 자동차 두 브랜드·통신·배터리·민자 인프라를 가진 복합그룹으로 확장된다.,인수 회사 직원·망·브랜드를 실제로 통합해야 하고 애국펀드와 민자 운영권의 장기 책임·스타벅스 초기 투자비가 남는다.,민자 계약서를 사장단에 공개한 뒤 다이먼이 CL·신세계·태우 통신 3사를 한 달 만에 합쳐 새 태우통신을 만든다.,카이·CL·인프라 거래가 지분·교환계약·40년 운영권으로 결산된다; 상대가 채권단·CL·정부에서 통신 사용자·게임사로 바뀌고 목표도 매물 확보에서 인수조직 통합과 플랫폼화로 교대한다.,0.99
PART-008,태우통신 HTS·게임 플랫폼,98,101,98화,101화,4,김민재·김태중·다이먼·이주영·우성일·임진태·이선일·이영한,태우통신·태우전자 IT부서·MC소프트·게임 플랫폼 사무실·이선일 장례식,통신 3사를 합친 태우통신에 벨캐나다 전환사채·HTS·MC소프트 린지·5천 게임 ESD와 무료 쿠폰을 심어 가입자 기반을 사용자 플랫폼으로 바꾼다.,태우통신의 지분과 가입자 수를 HTS·게임·음원·유통이 이어진 실제 사용 생태계로 바꿀 수 있는가?,김민재는 통신료만 받는 회사를 게임 개발자와 사용자가 함께 돈을 버는 인터넷 유통망으로 바꾸겠다고 약속한다.,통신 3사 직원·망 통합·불법 복제 CD보다 싼 가격·100억 원 린지 투자·초기 무료 게임쿠폰과 서버비가 플랫폼 수익화를 압박한다.,MC소프트 전 게임 유통권과 5천 게임 ESD를 내놓고 태우통신 가입자에게 쿠폰 세 장을 지급하면서 조직 통합이 사용자 증가와 수수료로 전환된다.,태우통신 27퍼센트 기반·벨캐나다 전환사채·HTS·린지 독점·5천 게임 플랫폼·중소개발사 후원과 얼리액세스가 지급된다.,다이먼은 구조조정 욕받이에서 통신 합병 실행자로 인정받고 이주영은 새 태우통신 사장으로 연임하며 임진태와 게임 개발자들은 유통 동맹이 된다.,태우통신은 합쳐진 통신사에서 증권·게임·음원 사용자를 보유한 플랫폼으로 바뀌고 김민재는 게임 IP 유통권을 얻는다.,초기 출혈과 세계 확장·OTT·TV 통합은 남고 101화 후반 이선일 사망이 명동과의 오래된 약속을 다시 연다.,게임 플랫폼 가입·수수료를 받은 101화 후반 김민재가 이선일 장례식에서 차가운 손의 이영한과 악수한다.,HTS·게임 플랫폼은 출시·가입·수수료로 일차 결산된다; 101화 후반 장소가 IT부서에서 장례식·명동으로 바뀌고 102화부터 질문이 이선일 사망과 후계자 확인으로 교체된다.,0.94
PART-009,이선일 죽음과 이영한 명동 후계,102,111,102화,111화,10,김민재·이영한·박동하·이준수·박광도·강인식·부산경찰청장·명동 원로 3인,명동·부산 오성파·일본계 대부업체·부회장실·거리 후계 승인 현장,김민재가 도주 의사와 오성파 박광도를 추적해 이선일 타살과 박동하의 배신을 밝히고 10조 원 금리전·경찰과 검찰 공조로 이영한을 명동 70퍼센트 후계자로 세운다.,이선일의 죽음 뒤 진짜 범인과 후계자를 가려 곰과 맺은 약속을 지키고 일본계·조직폭력 자금이 명동을 먹는 일을 막을 수 있는가?,김민재는 이선일이 죽어도 그의 뜻과 명동 토종자금을 지키고 피가 아니라 능력과 의지를 가진 이영한에게 후계를 돌려주겠다고 약속한다.,도주 의사·100억 원대 유산·박동하의 수사팀 배신·오성파와 야쿠자 암살계획·일본계 대부업 자금이 이영한과 김민재의 생명을 동시에 위협한다.,이영한의 오만이 범인을 찾기 위한 위장임을 확인하고 10조 원으로 금리를 낮추게 한 뒤 부산 경찰·검찰·특수부대·국세청을 움직이면서 의혹 수사가 공개 자금전과 조직전으로 바뀐다.,도주 의사 진술·박광도 차명재산 압류·오성파 돈줄 절단·명동 원로 승인·이영한의 명동 약 70퍼센트 장악이 지급된다.,김민재와 이영한은 의심 관계에서 곰의 약속을 함께 지키는 동맹이 되고 박동하·이준수는 명동을 배신한 적으로 확정되며 원로 3인은 이영한을 후계자로 인정한다.,이영한은 차가운 장례식 손자에서 명동 70퍼센트를 쥔 공식 후계자가 되고 김민재는 비공식 감시망·경호 200명·명동 금융동맹을 얻는다.,오성파 잔당과 이준수의 최종 처벌은 남고 명동 전쟁에 쓴 10조 원·경호망의 유지비와 태우 본업 이탈 비용이 생긴다.,이영한이 명동 70퍼센트 장악을 보고하자 김민재가 블리자드·방송사를 묶어 e스포츠 협회와 태우통신 본업으로 돌아간다.,이선일 타살과 후계 질문이 범인·후계 승인·70퍼센트 장악으로 닫힌다; 장소가 명동·부산 조직전에서 태우통신·게임·OTT로 바뀌고 상대도 야쿠자에서 통신 카르텔과 시장으로 교체된다.,0.98
PART-010,통신 카르텔과 강민 교육 역전,112,116,112화,116화,5,김민재·김태중·다이먼·강민·트럼프·태우통신 경영진,태우통신·모델하우스·인터넷TV 보급 현장·학부모 시위·인터넷 강의 조직,통신 1위 태우가 셋톱박스·인터넷TV를 무료 보급하자 관료·통신사·학부모 공격이 붙고 김민재가 수학강사 강민의 저가 인터넷 강의와 부분 유료화로 이를 뒤집는다.,게임·OTT를 유해하다고 몰아붙이는 통신 카르텔과 학부모 여론을 가입자 증가·교육 접근·수익으로 바꿀 수 있는가?,김민재는 태우통신의 IT 현금을 분리하지 않고 반도체·배터리를 살리는 재원으로 만들며 무료 보급의 사회적 명분도 증명하겠다고 약속한다.,셋톱박스 무상 비용·LCD 공급 위험·관료와 경쟁 통신사의 규제모의·게임 유해론 시위·인터넷 강의 초기 적자가 통신 1위의 지속성을 압박한다.,최고 수학강사 강민을 영입해 학부모 공격의 바로 그 통신망으로 싼 강의를 내놓으면서 방어 여론전이 교육 상품과 새 가입자 확보로 전환된다.,태우통신이 KS보다 10퍼센트포인트 넘게 앞선 1위·무료 셋톱박스 보급·강민 인터넷 강의·부분 유료화 수익·IT 현금창구를 얻는다.,강민은 카르텔의 여론도구가 아니라 태우의 교육 파트너가 되고 김태중은 모델하우스 인연으로 트럼프를 새 해외 인맥에 연결한다.,태우통신은 통신·게임회사에서 방송·교육 현금원으로 확장되고 김민재는 IT 가치를 제조업 재투자에 묶을 권한을 유지한다.,일본계 대부업 파생 400억~800억 달러 회수의 불확실성과 무료 보급·교육 콘텐츠 비용이 남는다.,1999년이 끝나고 김태중과 새천년을 맞은 김민재가 결혼 압박과 현 그룹 여섯 아들의 승계분쟁을 동시에 검토한다.,통신 여론전은 가입자 격차·강의 출시·부분 유료화로 닫힌다; 2000년 시간 전환과 함께 목표가 통신 수익화에서 공식 승계·현 그룹 분할·재계 1위 수성으로 바뀐다.,0.96
