sequence,visible_label,title,start_line,end_line,entry_state,reader_promise,protagonist_goal,action,resistance_or_cost,turn_or_reveal,paid_reward,state_change_axis,state_change,ending_hook,closed_loops,opened_loops,arc_id,confidence
"344","효종 344화","","44575","44753","야마오카가 후쿠에 섬에 군선 3척과 막부 병사를 숨기고 미우라의 항의 실패 뒤 실제 해적질을 시작한 상태","무역선 학살이 조선 수군의 순찰망과 신형 화력에 걸리는 현장 대결을 연다","남해 교역로를 지키고 반복된 선박 실종의 범인을 생포할 기회를 잡는다","야마오카의 부대가 향신료·마닐라삼을 실은 대망호를 나포하고 선원을 노예로 팔려 하지만 모슬포 만호 서지호의 판옥선 3척이 연기를 보고 접근해 천자총통으로 선제 포격한다","대망호 선원들이 조총 사격과 도선전에서 죽거나 포로가 되고 이미 상선 6척, 그중 화란선 2척이 피해를 입었다","교역선의 미숙한 지자총통과 달리 훈련된 판옥선 포격은 500보에서 왜선에 명중하며 야마오카의 접근전 계획을 강제한다","실종 원인이 실제 왜선의 조직적 습격임이 전투 현장에서 확인되고 조선 수군이 나포 직후 가해자들을 따라잡는다","해상 치안·군사","은밀한 해적 공작이 조선 정규 수군과의 공개 해전으로 바뀌며 막부 병력의 정체가 드러날 위험이 커진다","화력이 밀린 야마오카가 왜선을 판옥선에 붙여 단병접전으로 뒤집으려 한다","막부 해적단의 첫 실체 확인과 대망호 구조 기회","야마오카 생포·배후 규명과 막부 책임","L04","high"
"345","효종 345화","","44754","44922","서지호의 판옥선들이 원거리 포격으로 왜선 하나를 침몰시켰고 남은 왜선들이 충돌·도선전을 시도하는 상태","조선 수군의 화포·수석총·조직전이 막부 정예를 꺾고 살아 있는 증거를 확보한다","왜선을 제압하되 지휘관 야마오카를 자결 전에 잡아 배후를 밝힌다","판옥선 총병과 2인조 살수들이 도선을 막고 역으로 왜선에 건너가며, 서지호는 20합 끝에 야마오카의 오른팔을 자르고 부관은 웅-오식 권총으로 자결용 검을 든 손목을 쏜다","조선 수군도 난전에서 적지 않은 사상자를 내고, 막부의 비밀 공작이 드러나면 양국 전쟁으로 번질 정치 비용이 발생한다","포로 심문에서 왜구가 아니라 막부 병사라는 사실이 확인되고 전라수사의 장계가 한양에 올라가자 도현은 군대를 직접 보내겠다고 선언한다","왜선 1척 침몰·2척 노획, 대망호와 선원 구출, 야마오카 생포라는 완전한 해상 승리를 거둔다","전쟁·왕권","상업 분쟁이 막부의 국가 도발로 확정돼 도현의 대응 목표가 상관 방어에서 왜국 응징으로 비가역적으로 바뀐다","도현이 긴급 대전 회의와 국방대신 소집을 명하고 직접 군사 행동을 예고한다","해적단 격파와 막부 배후 증거 확보","왜국 원정 여부와 신하들의 반대","L04","high"
"346","효종 346화","","44923","45037","막부 정규병의 해적 공작이 생포자 심문으로 확정돼 도현이 긴급 대전 회의를 연 상태","신하들의 전면 반대를 뒤집고 에도를 직접 치는 속전속결 전략과 대조선제국의 야망을 선포한다","북방군을 빼지 않고 막부를 단번에 굴복시켜 재도발을 막고 임진년의 빚을 갚는다","도현은 박노·박황·김육·임경업의 전쟁 반대를 듣고 비밀 공격안을 설명해 찬성을 얻은 뒤 총참모부에 계획 수립을 맡기고 막부에 최후 경고 국서를 보낸다","청이 북방을 노리는 상황에서 해상 원정이 길어지면 양면전쟁이 되고, 조선 신료 다수도 처음에는 외교 해결을 원한다","구체 계획을 들은 임경업까지 승산을 인정하자 조정이 만세를 외치며 막부를 대조선제국의 첫 제물로 삼는 데 합의한다","도현의 개인적 분노가 조정의 공식 전쟁 결정과 제국 비전으로 확장되고 최소한의 국서 절차도 갖춘다","왕권·국가 목표","조선의 외교적 자제가 끝나고 총참모부 중심의 대일 원정이 국가 최우선 과제가 된다","이에미쓰가 야마오카를 모르는 자라 잡아떼며 도현의 국서에 맞대응하려 한다","대일 전쟁을 둘러싼 조정 내부 합의","에도 직격 작전의 병력·항로·친정 여부","L05","high"
"347","효종 347화","","45038","45149","이에미쓰가 신풍과 왜국의 우월성을 믿고 야마오카와 막부의 관련을 부인하는 사절을 다시 보내려는 상태","조선이 거짓 사과를 국경에서 되돌리고 동시에 막부 체제의 약점에 맞춘 에도 직격안을 완성한다","막부가 대비하기 전에 수군 주력을 깨고 에도에서 쇼군의 항복을 직접 받는다","미우라는 남해도 총독부에서 입국·친서 접수까지 거절당하고, 도현·손억기·임경업은 전라·경상 수영 군선 80척과 장병 2만 명을 거제에 비밀 집결해 간몬해협·분고수도를 거쳐 에도로 직행하기로 한다","좁고 조류가 센 간몬해협과 분고·기이수도, 해전 패배 시 국왕까지 잃을 친정 위험, 북방 방어 병력을 뺄 수 없는 제약이 있다","도현은 지방 번주들이 독자 세력이고 막부가 에도를 버리면 권위가 무너진다는 체제 취약점을 작전의 중심으로 삼는다","거짓 친서는 조선 땅에도 들어오지 못하고 2만 원정군·거제 보급거점·에도 직격 항로가 확정된다","외교·군사 계획","막부의 부인 전략이 완전히 차단되고 도현 자신이 함대에 승선하는 친정 원정으로 왕권과 전쟁 위험이 결합한다","장수들의 만류에도 도현이 어떤 말로도 친정 결심을 바꾸지 않겠다고 못박는다","거짓 사과 사절 차단과 원정 작전 설계","친정 준비·막부 동원·좁은 해협 돌파","L05","high"
"348","효종 348화","","45150","45285","미우라가 남해도에서 쫓겨나자 이에미쓰도 전쟁 가능성을 인식하지만 사과 대신 각 번 동원을 택한 상태","막부의 오판과 느린 동원에 맞서 조선이 왜관을 봉쇄하고 해로 정보를 선점한다","원정 기밀을 지키고 간몬·분고·기이수도의 안전한 통과 자료를 확보한다","이에미쓰는 쇼니 스네시게에게 각 번 병력·물자를 징발하라 명하지만 번주들은 흉년을 핑계로 미적거린다; 조선군은 부산포 왜관의 조선인을 빼고 왜인을 억류하며 간자를 일망타진하고 주작단은 어선으로 위장해 수심을 잰다","왜관 상인들의 거래·생계가 강제로 중단되고 간자들은 죽거나 붙잡히며, 조선 함대는 조류가 급한 적국 수로를 지나야 한다","막부는 조선이 실제 침공할지 확신하지 못하는 동안 주작단의 정밀 수심 자료가 총참모부로 넘어가고 3월 1일 도현이 제물포에서 출항한다","원정 기밀 누설 통로가 닫히고 항로·수심 정보가 확보돼 친정이 계획에서 실제 항해로 전환된다","정보·전쟁 동원","조선은 왜관 교역을 희생해 작전 보안을 얻고 막부보다 먼저 시간표를 장악한다","도현의 봉황호가 거제 원정군 집결지로 향한다","왜관 간자망 제거와 해협 수심 측정","거제 집결·첫 출정과 막부 방어선","L05","high"
"349","효종 349화","","45286","45413","도현이 봉황호를 타고 제물포에서 거제 지세포의 대함대 집결지로 가는 상태","왕이 현장 지휘관의 현실적 평가를 듣고 80척 군선·60척 보급선의 전쟁 기계를 직접 점검한다","원정군의 마지막 보급과 적 동원 상황을 확인해 출정 결정을 내린다","도현은 함장 이충민에게 조선 화포전 우세와 왜군 단병전 우세를 듣고 미확인 판옥선에도 끝까지 경계하게 한다; 지세포에 도착해 손억기·김근행에게 군량과 하카다의 스네시게 4천 병력·번주들의 소극 동원을 보고받는다","왜군은 실전 임기응변과 접근전이 강하며 막부의 독려가 계속되면 병력이 불어나 조선의 시간 우위가 사라진다","구마모토·사쓰마 번의 내전이 막부 지원을 묶고 있어 당장 조선을 저지할 해상 병력은 하카다의 4천뿐이라는 정보가 확인된다","국왕과 지휘부가 치우급 8척을 포함한 군선 80척·보급선 60척의 위용과 정보 우위를 공유한다","군사 지휘·사기","도현의 친정이 상징을 넘어 함장·통제사·정보 접장과 같은 위험 판단을 공유하는 현장 지휘로 구체화된다","손억기가 분고수도 진격로를 제안하고 도현이 최종 출정 명령을 준비한다","거제 집결과 막부 초기 방어력 확인","대함대 출항·일기도 상륙과 하카다 방어선 우회","L05","high"
"350","효종 350화","","45414","45546","거제 지세포에 원정군과 보급선이 모이고 막부의 하카다 병력이 취약하다는 정보까지 확인된 상태","백 척이 넘는 함대가 왜국 영토에 상륙해 원정의 첫 발판을 피 없이 확보한다","분고수도 항로를 택하고 일기도를 신속히 점령해 간몬해협 진입 거점을 만든다","도현은 분고수도 진격과 이틀 뒤 출정을 확정하고 함대는 일기도 가쓰모토에 쾌속선·거란 살수대를 보내 해안을 확보한 뒤 이관의 별군 2천 명을 섬 중앙으로 진격시킨다","임진년 복수의 열망이 높지만 왜군 매복·섬 주민의 저항·하카다 지원군이 오기 전 거점을 끝내야 한다","조선이 학살 대신 고깃배와 달아나는 주민을 건드리지 않고 무방비 해안을 점령하며 현지 백성의 막부 세금 불만도 드러난다","조선 함대가 왜국 본토권에 첫 상륙하고 피 한 방울 없이 가쓰모토 해안 본영을 세운다","영토·전쟁","원정군은 바다 위 위용에서 실제 점령군으로 변하고 이관 별군이 히츠메 성의 히다카군과 조우한다","히다카가 하카다 지원군이 오기까지 이삼 일을 버틸 수 있을지 계산한다","원정 준비와 거제 출항","히츠메 성 공략·일기도 점령 속도","L06","high"
"351","효종 351화","","45547","45679","이관의 별군 2천 명이 히츠메 성 앞에서 히다카의 왜군 약 300명과 마주한 상태","야전 화포·수석총·거란 기병의 병종 격차로 첫 섬을 이틀 만에 장악하는 압도적 보상을 준다","히츠메·후나가쿠 두 성을 무너뜨리고 일기도를 보급·방어 거점으로 만든다","황자총통 4문이 성벽과 조총 진지를 깨자 히다카가 약 200명을 이끌고 돌격하지만 이관은 600명 3단 사격과 기병 철퇴로 전멸시키고 다음 날 무주공산 후나가쿠 성을 점령한다","히다카의 처가 자식들을 죽인 뒤 자결하고 패잔병 호리노는 하카다로 도망쳐 원정 소식을 전한다","스네시게가 하카다 해변에 목책을 쌓고 기다리는 사이 도현은 그 방어선을 피해 곧장 간몬해협으로 가기로 결정한다","조선은 큰 희생 없이 일기도를 이틀 만에 완전히 장악하고 이관은 도현의 공개 치하를 받는다","군사·영토·지위","일기도 지배권과 첫 승전이 확보되는 반면 조선의 에도 직격 의도가 아직 막부 전선 지휘관에게는 숨겨져 있다","스네시게가 하카다에 지원군과 화포를 모으지만 사쓰마·구마모토 전쟁 때문에 달랑 농민병 1천과 구식포 3문만 온다","히츠메·후나가쿠 성과 일기도 점령","하카다 우회·간몬해협 돌파와 에도 경보","L06","high"
"352","효종 352화","","45680","45809","스네시게가 하카다 해변을 요새화하고 조선군이 상륙하기만을 기다리지만 함대는 이미 동쪽으로 빠진 상태","막부의 정면 방어를 헛돌게 하고 위험한 간몬해협으로 질주해 에도에 일주일짜리 공황을 일으킨다","스네시게를 따돌리고 막부가 수군을 모으기 전에 간몬해협을 통과한다","조선 함대는 일기도 방어를 후속군에 맡기고 동진하며 도현·손억기는 좁은 폭과 급변 조류를 재점검한다; 뒤늦게 의도를 안 스네시게는 육로 추격하고 이에미쓰는 해적에게 면죄·관직·재물을 약속해 수군을 급조한다","판옥선 3척이 나란히 지나기 힘든 수로에 수만 명의 생명이 걸렸고 에도까지 가도 막부가 각 번·해적을 동원할 일주일이 남는다","스네시게의 해변 목책과 5천 병력이 쓸모없어지고 막부가 정규 수군만으로는 쉰 척도 못 모은다는 취약함이 드러난다","조선은 작전 주도권과 시간 우위를 유지하고 막부의 수도를 직접 공포에 빠뜨린다","전쟁 시간·막부 권위","하카다 상륙전이라는 예상 전장이 사라지고 간몬해협의 자연 위험과 에도 앞 급조 연합함대가 새 상대가 된다","이에미쓰가 범죄자 해적까지 끌어모아 절대로 에도에 조선군이 들어오게 하지 말라고 명한다","하카다 방어선 우회와 에도 직격 의도 노출","간몬해협 통과와 막부·해적 연합함대","L06","high"
"334","효종 334화","","43195","43314","화란 사절 발데가 오렌지 공의 친서와 후추·상아·은식기를 바치고 조선과 직접 교역할 상관을 청한 상태","도현이 나가사키 중계 폭리를 걷어 내면서도 조선의 법과 이익을 지킬 조건을 뽑아낸다","화란의 권한을 검증하고 조선이 협상의 우위를 쥔 채 직접 교역의 문을 연다","도현은 동인도회사가 정부를 대변한다는 발데의 말을 추궁한 뒤 신임장을 사후 제출하게 하고 박노·유형원에게 관세 2할·조선법 적용·사교 포교 금지·상관 건설비 전액 부담안을 밀게 한다","발데는 본국까지 다녀오면 수개월을 잃고 구매에도 관세를 내며 거액의 상관 건설비까지 떠안아야 한다","도현은 협상을 허락하되 최종 승인은 유보하고 발데가 인정전에서 말한 나가사키의 네 배 폭리를 유형원이 그대로 협상 지렛대로 되돌려 쓴다","후추와 향신료라는 생활 보상과 함께 조선이 화란을 상대로 먼저 패를 보이지 않는 국격·협상 우위를 확인한다","외교·상업","화란 직교역이 막연한 청원에서 관세·치외법권 불허·포교 금지·건설비 부담을 다투는 공식 협상으로 바뀐다","발데가 상관 건설비 전액 부담을 거부하며 적어도 6대4를 요구한다","화란 사절의 공식 알현과 직접 교역 청원","건설비 분담과 최종 협정·상관 위치 결정","L01","high"
