sequence,visible_label,title,start_line,end_line,entry_state,reader_promise,protagonist_goal,action,resistance_or_cost,turn_or_reveal,paid_reward,state_change_axis,state_change,ending_hook,closed_loops,opened_loops,arc_id,confidence
50,50화,거짓 정보 (1),9210,9397,"우성일은 이노폰 극비 자료를 들고 박진훈 사장실을 찾아가고, 박진훈은 허위 결함 기사를 만들 자료부터 훑는다",언론 공작을 소비자가 직접 보는 세계 공개 검증으로 되받아 박진훈 파벌을 고립시키는 보상,이노폰 신뢰가 무너지기 전에 보도 공작의 증거를 보전하고 공개 검증 무대를 준비한다,박진훈이 거짓 결함 자료를 기자에게 넘기자 강인식이 사진·녹취를 확보하고 김민재가 3국 공개 시연을 준비한다,1면 기사가 제품 신뢰를 먼저 깎고 박진훈 파벌은 그룹 내부와 언론에 동시에 걸쳐 있다,기획실이 기사 대응을 맡는 사이 김민재는 한국·미국·독일 동시 행사를 열겠다고 밝힌다,SAVE의 반박 자료와 돈 전달 사진·녹취를 확보해 허위보도를 뒤집을 수단을 갖춘다,정보우위·공개대응,박진훈이 언론의 선수를 친 국면에서 김민재가 반박 증거와 세 나라 공개 검증의 주도권을 잡는다,세 나라 동시 시연이 1면 허위기사를 실제 소비자 반응으로 뒤집을 수 있는가?,박진훈에서 박 기자로 이어진 돈·거짓 자료 전달 경로를 확인하고 증거를 보전한다,공개 시연의 성패와 우성일·박 기자가 어느 편에 설지는 아직 열려 있다,DCA-N03,0.95
51,51화,거짓 정보 (2),9398,9578,"뉴욕 타임스퀘어에는 이노폰 허위 논란을 직접 검증하려는 인파가 몰리고, 100대의 체험 기기가 이들을 기다린다",1천 대가 넘는 실제 기기와 두 내부자의 증언으로 거짓 기사를 광고와 고발로 전환하는 보상,소비자에게 이노폰을 직접 쓰게 하고 우성일과 박 기자를 사실 증언자로 돌려세운다,타임스퀘어·강남·독일에서 이노폰 1천 대 이상을 체험시키고 우성일과 박 기자를 박진훈 고발 증인으로 돌린다,짧은 준비 시간 안에 세 나라 행사를 운영해야 하고 기자와 부사장 모두 자기 책임을 피하려 한다,체험장에서 결함이 재현되지 않자 우성일이 공작을 증언하고 박 기자도 돈을 받은 사실을 기사에 넣기로 한다,허위보도의 신빙성을 무너뜨리고 정정기사·박진훈 고발로 이어질 두 증언 통로를 확보한다,공개검증·내부전향,제품 결함 논란이 김민재의 주장 대 박진훈의 주장인 상태에서 소비자 검증과 내부 증언이 박진훈을 겨누는 상태로 바뀐다,박 기자가 약속한 정정과 돈 기사가 실제 지면에 실려 판매와 사장단 판단을 돌릴 수 있는가?,세 나라 공개 체험으로 허위 결함을 반증하고 우성일·박 기자의 협조 약속을 받아낸다,"정정기사의 파급, 밀린 판매, 박진훈 축출 여부는 다음 판단으로 남는다",DCA-N03,0.95
52,52화,거짓 정보 (3),9579,9758,"정정기사와 해외 언론의 옹호로 허위 비방은 뒤집혔고, 출시된 이노폰은 곧바로 재고 부족에 부딪힌다",30만 대 완판·해외 주문과 살생부의 박진훈 축출을 한 회차에서 실제로 회수하는 보상,정정 보도를 판매 회복으로 연결하고 박진훈을 태우전자에서 끌어내린다,정정기사 뒤 이노폰 30만 대를 즉시 팔고 미국 30만·유럽 10만·한국 10만 주문 속에 박진훈을 축출한다,즉시 공급할 재고가 한정되어 있고 박진훈 파벌을 몰아낸 뒤 전자를 책임질 후계 결정도 필요하다,국내 재고 30만 대가 팔리고 미국 30만·유럽 10만·한국 10만 주문이 들어오자 사장단이 김민재를 차기 사장으로 추천한다,박진훈을 축출하고 이노폰의 월 10만 대 이상 수요와 태우전자 사장 추천을 얻는다,판매·복수·후계지위,허위보도에 흔들리던 이노폰과 박진훈 체제가 세계 주문이 밀려드는 제품과 김민재 사장 후보 체제로 뒤집힌다,김민재가 요구한 것은 사장 직함이 아니라 지분이다. 김태중이 태우전자의 실제 소유권을 넘길 것인가?,이노폰 허위보도와 박진훈 축출 약속을 판매 실적·해임으로 완전히 닫는다,태우전자 지분 상속과 소유주로서의 경영권은 요구만 제시된 채 남는다,DCA-N03,0.95
53,53화,주인이 되다 (1),9759,9940,태우전자 사장 추천을 받은 김민재가 직함이 아니라 지분을 요구한 직후,김태중의 지분과 사장단 승인을 받아 계열사를 자기 책임으로 고칠 권한을 얻는 보상,태우전자 지분과 사장 권한을 확보하고 다음 구조조정에 쓸 금융 지렛대를 찾는다,김태중에게 태우전자 지분을 상속받아 만장일치로 사장에 취임한 뒤 현재그룹 장 회장의 자금난을 듣고 SAVE 자금으로 차입을 유도할 미끼를 던진다,20대 초반 사장의 정당성을 증명해야 하고 현재그룹과의 금융 접촉에서 SAVE 실소유도 숨겨야 한다,정부가 막은 현재그룹의 돈줄과 장 회장의 차입 욕심이 장차 태우 지분·계열사 거래에 쓸 약점으로 드러난다,태우전자 지분과 사장 직위를 동시에 받아 생산·인사·투자 결정을 직접 책임질 수 있게 된다,소유권·직위·금융지렛대,사장 후보였던 김민재가 지분을 가진 태우전자 소유주·사장이 되고 현재그룹의 자금난까지 새 거래 기회로 읽는다,SAVE의 정체를 감춘 채 현재그룹의 차입 욕심을 태우 지분 회수에 이용할 수 있는가?,박진훈 후임과 태우전자 지분 승계를 사장단 만장일치로 확정한다,첫 출근의 생산·인사 개혁과 현재그룹 차입 미끼의 실제 집행이 열려 있다,DCA-N04,0.95
54,54화,주인이 되다 (2),9941,10126,태우전자 지분과 사장 인사권을 처음 행사하는 출근일,공장·불량품·1천5백 명 인사를 실물 지시로 바꾸고 내부 기술 유출자까지 찾아내는 보상,생산과 고객 보상 원칙을 세우고 직원 능력을 재배치하면서 중국 산업스파이를 특정한다,첫 출근에 공장 세 곳 전환·불량품 전면교환·직원 1천5백 명 능력 재배치를 지시한다,대규모 이동이 조직을 흔들 수 있고 이중 소속 표시는 수사·징계에 쓸 법적 증거가 아니다,직원 명부의 능력과 소속을 대조하던 중 개발3팀 직원에게 태우전자와 화이텐전자 두 소속이 함께 뜬다,공장 세 곳 전환·불량품 전면교환·적성 인사라는 개혁 기준과 산업스파이 후보를 확보한다,생산개혁·인사·보안,상징적 사장 취임이 공장과 고객에게 적용되는 운영 명령으로 바뀌고 내부 유출이라는 첫 장애물이 특정된다,감사팀을 섣불리 움직이지 않고 강인식이 계좌·재산·접촉 증거를 찾아낼 수 있는가?,첫 출근의 생산 전환·전면교환·인사 재배치 방침을 확정한다,화이텐전자 이중 소속자의 실제 간첩 행위와 증거 확보는 미결이다,DCA-N04,0.95
55,55화,주인이 되다 (3),10127,10326,퇴근 무렵 강인식이 화이텐전자 산업스파이의 증거를 확보했다는 연락을 보내자 김민재가 그의 사무실로 향한다,계좌와 신축아파트라는 표면 증거로 유출선을 끊고 500명 넘는 직원을 적성에 맞게 돌려놓는 보상,산업스파이의 금전 증거를 확보하고 첫 인사 재배치를 실행한다,강인식이 산업스파이의 계좌·신축아파트를 찾아 중국 유출선을 입증하고 김민재가 500명 넘는 직원을 적성에 맞게 옮기는 사이 샌디 웨일과 다이먼의 후계 갈등이 폭발한다,해고·고발에는 추적 가능한 자금 증거가 필요하고 대규모 전보는 직원 불안을 키운다,샌디 웨일이 딸에게 기금과 기밀을 넘기려 하자 다이먼이 20년 충성을 부정당하고 공개적으로 결별한다,유출자 처분 근거와 500명 이상의 새 보직을 마련해 태우전자 내부 보안·인사 정비를 실제로 시작한다,보안·인사·핵심인재기회,태우전자 내부의 중국 유출선은 증거로 제압되고 미국에서는 김민재가 심은 다이먼 영입의 틈이 예상보다 일찍 열린다,샌드 웨일과 공개적으로 결별한 다이먼의 일이 회귀 전보다 몇 년 앞당겨졌다는 사실을 김민재는 기회로 읽는다,산업스파이의 금전 흔적을 확보하고 첫 대규모 적성 재배치를 집행한다,다이먼의 앞당겨진 결별을 김민재가 어떻게 영입 기회로 바꿀지는 아직 협상 전이다,DCA-N04,0.95
56,56화,주인이 되다 (4),10327,10491,장거리 비행 끝에 SAVE에 도착한 김민재 앞에서 뺨이 부은 다이먼이 샌드 웨일과의 결별을 토해낸다,세계급 구조조정가와 애플을 되살릴 창업자 복귀표를 한 협상에서 확보하는 보상,다이먼에게 독립성과 전권을 주어 영입하고 월가 주주들을 잡스 복귀 쪽으로 돌린다,격분한 다이먼에게 독립 금융회사와 전권을 약속해 영입하고 애플 이사회에 잡스 복귀안을 올린다,다이먼은 오랜 스승과 결별해야 하고 애플 이사들은 잡스의 독단과 주가 하락 책임을 두려워한다,SAVE가 3년 뒤 주가 하락분을 30% 얹어 사겠다고 보증하자 파생상품 이해관계까지 가진 이사들이 찬성으로 돌아선다,다이먼의 합류 약속과 잡스 복귀에 필요한 이사회 과반을 얻는다,핵심인재·주주권·경영권,영입 제안과 이사회 반대가 다이먼의 독립 금융회사 합류와 잡스 복귀안의 표 확보로 전환된다,자금이 부족한 애플 대신 누가 넥스트 인수금 5억 달러를 부담하고 어떤 권리를 가져갈 것인가?,다이먼의 전권 조건과 잡스 복귀의 주주 동의를 확보한다,넥스트 인수금·소프트웨어 권리·잡스의 실제 CEO 복귀는 남아 있다,DCA-N04,0.95
57,57화,주인이 되다 (5),10492,10663,애플 이사회에서 김민재는 SAVE가 넥스트 인수금 전액을 부담하는 대신 미래 소프트웨어 소유권을 요구한다,애플의 현금 부담 없이 잡스를 돌려보내고 다이먼을 태우 구조조정 설계자로 전환하는 보상,SAVE가 넥스트 거래를 끝내고 다이먼에게 태우의 취약한 순환지분을 해체할 판을 맡긴다,SAVE가 넥스트 5억 달러 인수금을 내고 미래 소프트웨어 권리를 받아 잡스를 애플 CEO로 복귀시킨 뒤 다이먼이 태우중공업 지분 구조를 검토한다,소프트웨어 권리를 지켜야 하고 태우중공업 적대인수는 김태중과의 관계를 돌이킬 수 없게 만들 수 있다,다이먼은 그룹 27%·김태중 개인 10%라는 취약한 지분을 보고 계열사를 통한 적대인수가 가능하다고 판단한다,"잡스의 CEO 복귀와 애플 미래 소프트웨어 권리, 태우 구조조정 설계자를 모두 확보한다",기술권리·핵심인재·지배구조,애플 복귀 협상이 닫히자 다이먼의 임무가 미국 금융에서 태우중공업 지분전으로 즉시 바뀐다,김태중에게 들키지 않고 취약한 계열사 지분부터 모아 부채 사업을 떼어낼 수 있는가?,넥스트 인수·잡스 복귀·소프트웨어 권리 문제를 계약으로 닫는다,태우중공업 40% 확보와 계열사 매각을 둘러싼 조손 충돌이 열린다,DCA-N04,0.95
58,58화,주인이 되다 (6),10664,10840,"다이먼은 태우그룹의 27%보다 많은 지분이 필요하다고 계산하고, 김민재는 명동에서 모은 태우중공업 13%를 공개한다",은행 예금과 현재그룹 자금난을 이용해 공개 매수 없이 지배지분 경로를 만드는 보상,명동·은행·현재그룹의 태우중공업 주식을 김민재 쪽으로 모을 거래선을 연다,명동의 태우중공업 13퍼센트에서 시작해 현재그룹에 인수대금을 대는 조건으로 태우 주식까지 받는다,지분은 여러 기관에 흩어져 있고 거래가 김태중에게 알려지면 가족 관계와 계획이 동시에 무너진다,현재그룹에 인수대금을 대는 대신 그들이 가진 태우 주식을 받는 교환안까지 다이먼이 설계한다,명동 13%와 현재그룹·은행 지분을 연결할 비밀 매집 경로를 확보한다,지분수집·비밀금융,취약성 진단이 명동의 실물 지분과 자금난 기업·은행을 잇는 적대인수 실행판으로 바뀐다,김민재는 내일부터 한국 은행가들과 술자리를 돌 데이비드에게 다시 두둑한 보너스를 약속한다,태우중공업 13% 출발지분과 현재그룹 주식 교환 원칙을 정한다,은행들이 맡은 태우중공업 지분을 얼마나 더 내놓을지와 현재그룹 거래가 김태중에게 숨겨질지는 미정이다,DCA-N04,0.95
59,59화,흑기사 (1),10841,11024,태우전자에 출근한 김민재는 우성일에게 이노폰과 가전 판매 상승을 보고받고 공장 확대와 품질 변화를 점검한다,달러 예금으로 국내 지분을 사고 왕실의 욕망에 맞는 실물 선물로 정유 동맹을 여는 보상,은행 보유 태우중공업 주식을 모으고 살만에게 아람코 협력의 문을 열 선물을 건넨다,은행마다 10억 달러를 예금해 태우중공업 주식 약 10%를 모은 뒤 사우디로 가 살만에게 표트르 대제의 검을 내보인다,은행은 대가 없이 주식을 내놓지 않고 사우디의 장기 협력은 돈만으로 살 수 없다,살만의 왕위 욕망을 읽은 김민재가 러시아 차르의 검을 선물로 택한다,은행 지분 협조와 살만에게 직접 정유 협력을 제안할 왕실 접견을 얻는다,지분·왕실관계·실물상징,국내 비밀 매집이 약 10% 은행 지분과 사우디 왕실을 향한 실물 외교로 확장된다,차르의 검이 살만을 움직여 아람코 직인 계약과 태우중공업 지분전에 필요한 도움을 끌어낼 수 있는가?,은행 예금과 지분 교환을 실행해 국내 매집분을 늘린다,"살만의 선물 반응과 아람코 계약, 아크만 명의 인수는 아직 열려 있다",DCA-N04,0.95
