sequence,visible_label,title,start_line,end_line,entry_state,reader_promise,protagonist_goal,action,resistance_or_cost,turn_or_reveal,paid_reward,state_change_axis,state_change,ending_hook,closed_loops,opened_loops,arc_id,confidence
"1","ⓚ1화","","1","288","몰락한 성인 도겸이 저택마저 잃기 직전이다.","몰락을 뒤집을 회귀와 마법의 출발점","가문과 삶을 되찾을 수단을 찾는다.","비밀 서재의 금빛 조각상에서 가르틴을 깨운다.","아버지의 죽음과 형·조카의 수탈 기억이 짓누른다.","1996년 중3 몸으로 회귀하고 드래곤 하트를 얻는다.","아버지를 다시 만나 눈물로 공부 의지를 선언한다.","능력·가족","무력한 몰락자에서 마법을 지닌 회귀자로 바뀐다.","기말고사 성적으로 진심을 증명하겠다고 약속한다.","몰락 직전의 보물 탐색","기말 성적 증명과 그룹 장악","A001","high"
"2","ⓚ2화","","289","540","메모라이즈만 가진 중학생으로 시험을 앞둔다.","미래 지식과 마법이 첫 현실 시험을 통과하는 장면","높은 기말 성적으로 공부 선언을 증명한다.","교과서를 암기해 시험을 풀고 부정행위 추궁에 반박한다.","수학 한계와 학생주임의 폭력·컨닝 의심을 감당한다.","학생주임의 촌지와 약점을 역으로 협상 카드로 쓴다.","재시험 없이 사과를 받아낼 주도권을 잡는다.","능력·지위","학교의 피의심자에서 교사를 압박하는 협상자로 바뀐다.","학생주임에게 공식 사과를 요구한다.","메모라이즈의 시험 효용 확인","성적표의 가족 식탁 결산","A001","high"
"3","ⓚ3화","","541","767","학생주임과 대치 중이고 가족은 여전히 도겸을 불신한다.","성적이 아버지의 기대와 자유로 환전되는 보상","학교를 벗어나 IMF 준비 시간을 확보한다.","학생주임 사과를 받고 성적표로 검정고시 계획을 제안한다.","누적 내신과 형들의 조롱·반대가 가로막는다.","전교 30등 성적이 조문홍의 마지막 기대를 되살린다.","검정고시와 자율 공부를 허락받고 유말숙을 만난다.","가족·행동자유","사고뭉치에서 조건부 기대를 받는 아들로 이동한다.","외할머니 유말숙에게 초기 자금을 요구하려 한다.","기말 성적과 진학 약속","10억 투자 협상","A001","high"
"4","ⓚ4화","","768","1009","초기 자금 없이 외가 식당에서 여섯 시간을 기다린다.","끊긴 외가 관계와 첫 자금이 함께 열리는 장면","유말숙에게 IMF 투자금 10억 원을 받는다.","상속 담보와 미래 위기 논리를 제시해 투자를 설득한다.","오랜 단절과 미성년자라는 불신을 넘는다.","유말숙이 사과 상자 현금과 직접 끓인 김치찌개를 내준다.","10억 원과 첫 1서클 마법 슬립을 얻는다.","자산·가족·능력","무자본 외손자에서 유말숙의 투자와 밥상을 받은 후계 후보가 된다.","10억을 달러로 바꿀 성인 실행자가 필요하다.","유말숙과의 첫 투자 협상","황연우 영입과 환전","A002","high"
"5","ⓚ5화","","1010","1254","현금은 확보했지만 미성년자라 환전 실행이 어렵다.","미래의 유능한 사람을 먼저 구해 자기 편으로 만드는 보상","황연우를 고용하고 10억 전액 환전을 시작한다.","황연우의 실패 시점을 찌르고 선불 500만 원과 휴대폰을 준다.","사채와 불신에 찌든 황연우가 어린 도겸을 믿지 않는다.","슬립으로 유말숙에게 네 시간 숙면을 주자 관계까지 누그러진다.","황연우라는 첫 실무자와 유말숙의 부엌 협력을 얻는다.","관계·조직","혼자 계획하던 도겸에게 실행자와 외가 거점이 생긴다.","환전 속도와 황연우의 충성도가 시험받는다.","성인 실행자 영입","달러 확보와 슬립 수익화","A002","high"
"6","ⓚ6화","","1255","1493","환전은 진행 중이고 마법은 아직 돈으로 검증되지 않았다.","마법이 사람의 결핍과 현금 수익으로 동시에 바뀌는 장면","달러를 확보하고 독자적인 현금흐름을 만든다.","병원 VIP 불면 환자들을 슬립으로 재워 봉투 수익을 얻는다.","미성년자의 접근 한계와 환전 실무 비용이 든다.","황연우가 평균 850원에 117만6천 달러를 확보한다.","주간 약 1천만 원 수익과 황연우 성과금 지급이 성립한다.","자산·관계·능력","투자금 보유자에서 마법 수익과 달러를 운용하는 고용주가 된다.","유말숙이 부른 홍 부장과 공매도를 시작한다.","10억 달러 환전과 슬립 수익 검증","영보철강 공매도","A002","high"
"7","ⓚ7화","","1494","1737","달러와 실행팀은 있지만 공매도 실적은 없다.","미래 기억을 거액 시장 승부로 검증하는 긴장","영보철강 하락에 10억 원을 건다.","10만2912주를 빌려 평균 9730원에 전량 매도한다.","서류 위조 위험과 예상 밖 주가 상승으로 장부 손실 1억5천만 원을 본다.","미래 기억을 믿던 도겸도 손을 떨 만큼 상승세가 지속된다.","홍 부장·주식동아리의 거래망을 확보한다.","자산·위험","첫 거액 공매도가 성공 직전이 아니라 실제 손실 위험에 들어간다.","기억이 틀렸을 가능성을 버티며 하락을 기다린다.","공매도 실행망 구축","영보철강 하락 확인","A003","high"
"8","ⓚ8화","","1738","2003","영보철강 상승으로 거액 장부 손실을 견딘다.","버틴 미래 지식이 수익과 사람의 마음으로 돌아오는 보상","하락을 확인하고 황연우를 완전히 자기 편으로 만든다.","포지션을 유지하고 연말 식사와 부모 건강검진을 마련한다.","황연우는 5억을 들고 도망칠 유혹을 겪는다.","주가는 6800원까지 하락하고 황연우 부모가 처음 호사를 누린다.","3억 이상 평가이익과 가족 같은 연말 밥상을 얻는다.","자산·관계","불안한 고용 관계가 부모 효도를 매개로 신뢰 쪽으로 기운다.","정밀검진 마지막 날 황연우가 눈물을 흘린 이유가 남는다.","주가 상승 공포","부모 검사 결과와 공매도 상환","A003","high"
"9","ⓚ9화","","2004","2234","공매도 이익은 열렸고 황연우 부모의 검사 결과가 남아 있다.","돈을 넘어 생명을 구한 신뢰와 5억 차익 결산","영보철강 포지션을 안전하게 닫는다.","용종 검사를 지시하고 홍 부장과 조기 상환 조건을 협상한다.","부도 직전 기관의 개미 떠넘기기와 거래 접근권 문제가 있다.","황연우 아버지의 암 전 단계 용종을 발견해 미래 후회를 없앤다.","약 5억 차익·미래 거래 접근권·2서클 그리스를 얻는다.","자산·관계·능력","황연우가 고용인에서 생명의 은인에게 충성하는 오른팔로 변한다.","호주 축구와 그리스 마법을 결합할 기회가 보인다.","영보철강 공매도와 황연우 배신 가능성","호주 토토 승부","A003","high"
"10","ⓚ10화","","2235","2478","공매도는 끝났지만 가족은 도겸을 무능한 늦둥이로 본다.","가족 선물을 이용해 해외에서 새 마법 수익을 만드는 장면","호주 여행을 얻고 한국 승리에 1억 원을 건다.","졸업 식사에서 방심을 유도하고 감시자를 슬립으로 재운다.","형의 감시와 경기 결과를 모른다는 불확실성이 있다.","도겸은 결과를 기억하는 대신 그리스로 직접 결과를 만들기로 한다.","조문홍에게 호주 여행과 황연우 동행을 허락받는다.","가족·자산","졸업 선물이 형의 감시를 뚫는 사업 현장으로 바뀐다.","세 시간 안에 한국 승리 토토 1억 원을 분산 매수한다.","졸업 선물 협상","호주전 조작과 토토 회수","A004","high"
"11","ⓚ11화","","2479","2749","한국 승리 토토 1억 원을 산 채 경기가 시작된다.","그리스와 디그가 경기 결과와 현금으로 환전되는 보상","한국을 이기게 하고 검정고시 준비 자유를 지킨다.","그리스·디그로 결정적 공 흐름을 바꾼다.","마법 조절 실패 위험과 귀국 후 형들의 기숙학원 압박이 따른다.","한국이 이겨 1억 원이 2억 원이 되고 조문홍은 평균 50점 조건을 건다.","자산 약 16억 원과 조건부 자율 공부를 얻는다.","자산·행동자유","해외 일회성 승부가 학업 자유를 위한 새 조건으로 전환된다.","집중력이 부족한 상태에서 검정고시를 준비해야 한다.","호주 토토 승부","마법진 학습과 검정고시","A004","high"
"12","ⓚ12화","","2750","3030","자율 공부를 얻었지만 집중력과 수학 이해가 부족하다.","공부 마법진과 더 큰 공매도가 동시에 성과를 내는 전개","검정고시를 통과할 학습 체계를 만든다.","MC 스퀘어를 새기고 한미그룹에 20억 원을 공매도한다.","장시간 집중과 거액 숏 포지션의 위험을 감수한다.","하루 9시간 학습이 가능해지고 한미그룹 부도로 약 20억을 번다.","공부 지속력과 100억 공매도 한도를 확보한다.","능력·자산","즉흥 암기에서 지속 가능한 학습·투자 체계로 올라선다.","검정고시 실제 성적과 다음 100억 승부가 남는다.","집중력 병목과 한미그룹 공매도","검정고시 99점과 지안자동차","A005","high"
"13","ⓚ13화","","3031","3307","검정고시와 한미그룹 공매도 결과를 기다린다.","점수·돈·아버지 포옹이 한 장면군에서 결산되는 보상","검정고시 약속을 압도적으로 지키고 다음 규모로 간다.","초보 마법진으로 이해력을 보정하고 황연우에게 성과금을 준다.","형들이 결과를 의심하고 아버지의 기대를 깎으려 한다.","평균 99점이 나오자 조문홍이 식탁에서 도겸을 안아 준다.","가족 인정과 지안자동차 100억 공매도 진입을 얻는다.","가족·자산·능력","조건부 기대가 신체적 포옹으로 확인되고 시장 판돈은 다섯 배 커진다.","조카가 고용한 유도부가 도겸을 습격한다.","검정고시 자유 약속","가족 폭력과 지안자동차 수익","A005","high"
