sequence,visible_label,arc_id,arc_phase,concrete_event,tension_1_10,reward_1_10,hook_1_10,information_weight,action_weight,relationship_weight,emotion_weight,material_or_status_weight,pacing_note
"1","1화","RA-001","생애 결산을 뒤집는 회귀 발단","명예의 전당이라는 완결 보상 뒤에 어깨 수술과 투수 미련을 붙이고, 2009년 입단식과 살아 있는 문창진을 확인해 한 화 안에서 28년을 되감는다. 마지막에는 당장 결과를 내는 대신 다시 던질 수 있는 160km 포심의 감각이 살아나므로 보상은 커리어급이지만 실전 성취 전이라 7이다.","6","7","7","9","4","4","8","8","보상 범위=커리어 결산에서 새 커리어 기회로 넘어가는 생애 층위; 명예의 전당이라는 완결 보상 뒤에 어깨 수술과 투수 미련을 붙이고, 2009년 입단식과 살아 있는 문창진을 확인해 한 화 안에서 28년을 되감는다. 마지막에는 당장 결과를 내는 대신 다시 던질 수 있는 160km 포심의 감각이 살아나므로 보상은 커리어급이지만 실전 성취 전이라 7이다."
"2","2화","RA-001","신체 검증과 첫 선택","권창규를 불러 30구 넘게 전력 투구해 통증 없는 어깨를 확인하는 장면은 신체 보상이 크지만, 봉황대기를 쉬겠다는 거짓말로 문창진의 불신과 우승 기회를 즉시 치른다. 마지막이 감독의 속단과 냉대라 보상 뒤 관계 비용이 남는다.","6","6","5","8","7","5","7","4","보상 범위=신체 보존과 고교 대회 출전권을 맞바꾸는 커리어 기반 층위; 권창규를 불러 30구 넘게 전력 투구해 통증 없는 어깨를 확인하는 장면은 신체 보상이 크지만, 봉황대기를 쉬겠다는 거짓말로 문창진의 불신과 우승 기회를 즉시 치른다. 마지막이 감독의 속단과 냉대라 보상 뒤 관계 비용이 남는다."
"3","3화","RA-001","첫 선택의 경기 결산과 외부 평가","투수 등판을 포기한 대가로 대림고는 8강에서 멈추지만 주혁은 14안타·5홈런과 타격상을 쓸어 담는다. 끝은 다음 행선지 요약이 아니라 앤드류 프리드먼과 스카우트가 포심 회전수 2,430회·수직 무브먼트 12.1인치를 즉시전력 근거로 검토하는 장면이어서 지위 보상이 강하다.","5","7","5","8","7","4","5","8","보상 범위=단기 대회 개인 기록과 메이저리그 즉시전력 평가 층위; 투수 등판을 포기한 대가로 대림고는 8강에서 멈추지만 주혁은 14안타·5홈런과 타격상을 쓸어 담는다. 끝은 다음 행선지 요약이 아니라 앤드류 프리드먼과 스카우트가 포심 회전수 2,430회·수직 무브먼트 12.1인치를 즉시전력 근거로 검토하는 장면이어서 지위 보상이 강하다."
"4","4화","RA-002","프로 실전 경로 설계","주혁이 패스트볼만으로는 타자가 적응한다고 판단해 힘을 빼고 제구부터 쌓는 훈련이 중심이라 긴장은 낮다. 마지막에는 월 2천만 원의 카라카스 단기 계약과 윈터리그 입성이 확정되어 실전 무대를 얻지만 아직 첫 등판 전이라 보상은 5다.","3","5","5","9","5","2","4","6","보상 범위=비시즌 훈련에서 프로 시험 무대로 옮기는 선발 준비 층위; 주혁이 패스트볼만으로는 타자가 적응한다고 판단해 힘을 빼고 제구부터 쌓는 훈련이 중심이라 긴장은 낮다. 마지막에는 월 2천만 원의 카라카스 단기 계약과 윈터리그 입성이 확정되어 실전 무대를 얻지만 아직 첫 등판 전이라 보상은 5다."
"5","5화","RA-002","프로 데뷔 승부의 점화","4대4의 7회에 올라 펠릭스 산체스에게 151·154·161km 포심을 순서대로 보여 삼구 삼진을 만든다. 화 말미는 경기 종료가 아니라 같은 구질의 완급이 왜 통하는지 되짚은 뒤 전광판이 6대4로 뒤집힌 순간이므로, 첫 승 전체가 아닌 한 이닝의 주도권 보상으로 잡았다.","7","6","6","7","9","3","6","6","보상 범위=첫 프로 경기의 타자 한 명 제압과 팀 리드 전환 층위; 4대4의 7회에 올라 펠릭스 산체스에게 151·154·161km 포심을 순서대로 보여 삼구 삼진을 만든다. 화 말미는 경기 종료가 아니라 같은 구질의 완급이 왜 통하는지 되짚은 뒤 전광판이 6대4로 뒤집힌 순간이므로, 첫 승 전체가 아닌 한 이닝의 주도권 보상으로 잡았다."
"6","6화","RA-002","데뷔 보상 뒤 관계 회복과 새 위기 투입","2이닝 무실점으로 승리 투수가 된 짧은 경기 보상 뒤, 전생에 자신을 붙든 필립 모리스를 다시 챙기겠다는 관계 보상이 길게 이어진다. 마지막은 승리 여운이 아니라 3회 11대0으로 무너진 새 경기와 ‘에이스 변수’의 가능성을 세워 훅이 강하다.","5","7","7","5","7","8","7","7","보상 범위=첫 프로 승리와 필립 모리스와의 관계, 다음 경기 팀 위기 층위; 2이닝 무실점으로 승리 투수가 된 짧은 경기 보상 뒤, 전생에 자신을 붙든 필립 모리스를 다시 챙기겠다는 관계 보상이 길게 이어진다. 마지막은 승리 여운이 아니라 3회 11대0으로 무너진 새 경기와 ‘에이스 변수’의 가능성을 세워 훅이 강하다."
"7","7화","RA-002","대패 흐름 저지","호세 멘데스를 99마일 하이 패스트볼로 삼진 잡으며 주혁 자신이 다시 던지는 행복까지 회복한다. 그러나 말미 보상은 역전이나 최종 승리가 아니라 6회까지 무실점으로 막자 침울했던 동료들이 웃고 박수치는 정도이므로 5다.","7","5","6","5","9","5","7","4","보상 범위=한 경기의 실점 억제와 팀 사기 회복 층위; 호세 멘데스를 99마일 하이 패스트볼로 삼진 잡으며 주혁 자신이 다시 던지는 행복까지 회복한다. 그러나 말미 보상은 역전이나 최종 승리가 아니라 6회까지 무실점으로 막자 침울했던 동료들이 웃고 박수치는 정도이므로 5다."
"8","8화","RA-002","추격 가속과 투타 전환 준비","70구로 6이닝 무실점 7K를 쌓는 동안 타선이 11대9까지 따라붙어 투구 보상이 팀 추격으로 환전된다. 마지막은 104마일 마무리 호르헤 페르난데스를 주혁이 누구보다 잘 아는데도 벤치가 투수를 타석에 세울 가능성은 희박하다는 장벽에서 끊는다.","7","6","8","7","8","4","7","6","보상 범위=한 경기 6이닝 구원 성과와 마지막 공격 기회 층위; 70구로 6이닝 무실점 7K를 쌓는 동안 타선이 11대9까지 따라붙어 투구 보상이 팀 추격으로 환전된다. 마지막은 104마일 마무리 호르헤 페르난데스를 주혁이 누구보다 잘 아는데도 벤치가 투수를 타석에 세울 가능성은 희박하다는 장벽에서 끊는다."
"9","9화","RA-002","기회 선택과 타석 진입","감독 카를로스 아바드가 고교 영상과 좌우 상성을 따지며 6이닝을 던진 주혁을 내야 할지 오래 망설이는 준비 화다. 실제 타격 결과를 지급하지 않고, 말미에 감독이 알 수 없는 확신으로 주혁을 지명타자 타석에 세우는 데서 멈춰 훅을 8로 뒀다.","8","4","8","7","6","3","7","4","보상 범위=경기 마지막 타석의 출전권 층위; 감독 카를로스 아바드가 고교 영상과 좌우 상성을 따지며 6이닝을 던진 주혁을 내야 할지 오래 망설이는 준비 화다. 실제 타격 결과를 지급하지 않고, 말미에 감독이 알 수 없는 확신으로 주혁을 지명타자 타석에 세우는 데서 멈춰 훅을 8로 뒀다."
"10","10화","RA-002","투타 반전 보상과 첫 피격 시험","주혁이 페르난데스의 102마일을 홈런으로 만들어 11대10까지 붙이는 고점은 크지만 다음 타자가 삼진으로 져 승리 보상은 없다. 이어 새 경기에서 투런과 2루타를 맞은 뒤 ‘실수 기억이 집중력을 흩뜨린다’는 베테랑식 복구 논리로 끝나, 화 말미의 추진력은 낮다.","8","8","3","6","9","3","7","7","보상 범위=한 경기 대타 홈런과 다음 등판의 멘탈 검증 층위; 주혁이 페르난데스의 102마일을 홈런으로 만들어 11대10까지 붙이는 고점은 크지만 다음 타자가 삼진으로 져 승리 보상은 없다. 이어 새 경기에서 투런과 2루타를 맞은 뒤 ‘실수 기억이 집중력을 흩뜨린다’는 베테랑식 복구 논리로 끝나, 화 말미의 추진력은 낮다."
"11","11화","RA-002","겨울리그 성적 결산과 미국행 전환","피홈런 뒤 회복에서 출발해 29경기 ERA 1.67, WHIP 0.89를 정리하고 좌타자·몸쪽 약점까지 특정한다. 카라카스를 떠나 플로리다에 내린 마지막 순간에는 부모가 마중 나와 기록 결산을 관계 장면으로 넘긴다.","4","7","6","9","5","5","5","8","보상 범위=겨울리그 전체 기록과 메이저리그 로스터 진입 경로 층위; 피홈런 뒤 회복에서 출발해 29경기 ERA 1.67, WHIP 0.89를 정리하고 좌타자·몸쪽 약점까지 특정한다. 카라카스를 떠나 플로리다에 내린 마지막 순간에는 부모가 마중 나와 기록 결산을 관계 장면으로 넘긴다."
"12","12화","RA-003","가족 회복 뒤 훈련 무대 진입","영어와 달라진 태도에 놀라는 부모와 며칠을 보내고, 공항에서 아버지의 몸조심 당부와 어머니의 포옹을 받는 관계 보상이 중심이다. 마지막에는 이별 뒤 몽고메리 훈련장 타격음 속으로 들어가며 정적인 회복을 다음 기술 훈련으로 전환한다.","4","7","5","5","4","10","9","5","보상 범위=가족 관계 회복과 AA 훈련 진입의 관계·커리어 층위; 영어와 달라진 태도에 놀라는 부모와 며칠을 보내고, 공항에서 아버지의 몸조심 당부와 어머니의 포옹을 받는 관계 보상이 중심이다. 마지막에는 이별 뒤 몽고메리 훈련장 타격음 속으로 들어가며 정적인 회복을 다음 기술 훈련으로 전환한다."
"13","13화","RA-003","새 구종 선택과 스승 연결","필이 슬라이더 대신 팔 부담이 적은 체인지업 그립을 가르치고, 주혁은 과거 슬라이더 집착이 포심과 어깨를 망친 악순환을 되짚는다. 끝은 성취 수치가 아니라 체인지업이 왜 잘 던지면 가장 까다로운지 기술적으로 납득하는 지점이라 정보 리본이 높다.","3","5","4","9","5","8","5","4","보상 범위=장기 건강을 지킬 기술 선택과 스승 관계 층위; 필이 슬라이더 대신 팔 부담이 적은 체인지업 그립을 가르치고, 주혁은 과거 슬라이더 집착이 포심과 어깨를 망친 악순환을 되짚는다. 끝은 성취 수치가 아니라 체인지업이 왜 잘 던지면 가장 까다로운지 기술적으로 납득하는 지점이라 정보 리본이 높다."
"14","14화","RA-003","기술 숙련과 캠프 이동","두 달 반 동안 포심과 같은 릴리스의 90마일 체인지업을 체화해 선발 가능성을 키우고, 필의 ‘자신을 믿어라’는 조언을 받는다. 마지막은 빈 구장에 먼저 도착한 주혁을 원래 역사보다 일찍 초청된 필립 모리스가 부르는 장면이라 미래 변동 훅이 세다.","4","7","8","8","7","7","6","7","보상 범위=선발 무기 완성과 스프링캠프 진입, 친구 재회 층위; 두 달 반 동안 포심과 같은 릴리스의 90마일 체인지업을 체화해 선발 가능성을 키우고, 필의 ‘자신을 믿어라’는 조언을 받는다. 마지막은 빈 구장에 먼저 도착한 주혁을 원래 역사보다 일찍 초청된 필립 모리스가 부르는 장면이라 미래 변동 훅이 세다."
