ordinal,arc_id,start_sequence,end_sequence,source_arc_ids,decision,arc_name,dominant_question,evidence_anchor,boundary_line_evidence,predecessor_payoff,next_first_action,bridge_climax_ownership,ledger_sha256,source_sha256
1,DCA-N01,1,10,DCA-N01,SPLIT,걸프전 100억 달러와 SAVE 월가 자립,"걸프전 100억 달러와 SAVE 월가 자립의 약속을 퀀텀펀드 장기 동맹, 조지·짐 추천서, 파운드 공격의 마지막 일격 지위와 40억 달러의 독자 운용 여력을 얻는다.까지 실제 장면으로 결산하는가?",L2159~L2176,L2159~L2176; predecessor=START: 1화 회귀·파텍필립 폭로·김태중의 100만 달러 지급에서 진입; next=1화 L1~L255: 김택훈 앞에서 17세답게 행동하고 김태중 생일연회에서 납품가를 호소하는 협력업체 사장의 10억 원 파텍필립 시계를 폭로한다.,START: 1화 회귀·파텍필립 폭로·김태중의 100만 달러 지급에서 진입,1화 L1~L255: 김택훈 앞에서 17세답게 행동하고 김태중 생일연회에서 납품가를 호소하는 협력업체 사장의 10억 원 파텍필립 시계를 폭로한다.,"10화의 지급 ‘퀀텀펀드 장기 동맹, 조지·짐 추천서, 파운드 공격의 마지막 일격 지위와 40억 달러의 독자 운용 여력을 얻는다.’은 DCA-N01 소유다. 끝 훅 ‘한정훈이 파운드 TF와 퀀텀 대화 채널을 만들고 김민재는 대학 입학 뒤에도 굵직한 투자·영입만 직접 개입하려 한다.’은 bridge이고 11화 실제 행동은 다음 Arc가 소유한다.",52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
2,DCA-N01B,11,15,DCA-N01,SPLIT,하버드·공직자 펀드와 태우 귀환 준비,하버드·공직자 펀드와 태우 귀환 준비의 약속을 푸틴 감사·하버드 3년 졸업·귀국은 지급됐고 배터리 교수 접촉·계약·지분 취득은 미지급이다.까지 실제 장면으로 결산하는가?,L2159~L2176,"L2159~L2176; predecessor=10화 L2018~L2167: 퀀텀펀드 장기 동맹, 조지·짐 추천서, 파운드 공격의 마지막 일격 지위와 40억 달러의 독자 운용 여력을 얻는다.; next=11화 L2168~L2352: 하버드 경제학과 합격증을 김태중에게 보여 준 뒤 강준기 의원의 신민국당 영입 제안을 상속세·언론 검증·5년 임기 논리로 말리고 YS와 DJ 양쪽 지원을 권한다.","10화 L2018~L2167: 퀀텀펀드 장기 동맹, 조지·짐 추천서, 파운드 공격의 마지막 일격 지위와 40억 달러의 독자 운용 여력을 얻는다.",11화 L2168~L2352: 하버드 경제학과 합격증을 김태중에게 보여 준 뒤 강준기 의원의 신민국당 영입 제안을 상속세·언론 검증·5년 임기 논리로 말리고 YS와 DJ 양쪽 지원을 권한다.,15화의 지급 ‘푸틴 감사·하버드 3년 졸업·귀국은 지급됐고 배터리 교수 접촉·계약·지분 취득은 미지급이다.’은 DCA-N01B 소유다. 끝 훅 ‘기획실 대신 창원 부품공장을 택해 5년 갈아 온 칼을 처음 쓰겠다고 결심한다.’은 bridge이고 16화 실제 행동은 다음 Arc가 소유한다.,52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
3,DCA-N02,16,31,DCA-N02,KEEP,창원 장부와 명동 4천억 절단,창원 장부와 명동 4천억 절단의 약속을 명동 간섭 제거·47명 숙청과 감사팀 개혁 성과를 얻지만 기술연구소장으로 밀어낼 사장단 합의가 생긴다.까지 실제 장면으로 결산하는가?,L4002~L4017;L4924~L4939,L4002~L4017;L4924~L4939; predecessor=15화 L2852~L3024: 푸틴 감사·하버드 3년 졸업·귀국은 지급됐고 배터리 교수 접촉·계약·지분 취득은 미지급이다.; next=16화 L3025~L3210: 양 대리 안내로 고철장과 총무팀을 돌며 악수해 이 부장 등 전원의 비리 특이사항을 확인하고 관리직 전체에 비싼 회식과 술을 사며 외부 인력에 자료 탈취를 지시한다.,15화 L2852~L3024: 푸틴 감사·하버드 3년 졸업·귀국은 지급됐고 배터리 교수 접촉·계약·지분 취득은 미지급이다.,16화 L3025~L3210: 양 대리 안내로 고철장과 총무팀을 돌며 악수해 이 부장 등 전원의 비리 특이사항을 확인하고 관리직 전체에 비싼 회식과 술을 사며 외부 인력에 자료 탈취를 지시한다.,31화의 지급 ‘명동 간섭 제거·47명 숙청과 감사팀 개혁 성과를 얻지만 기술연구소장으로 밀어낼 사장단 합의가 생긴다.’은 DCA-N02 소유다. 끝 훅 ‘박진훈이 태우전자 기술연구소장 승진안을 김태중 귀국 사장단 회의에 올리기로 한다.’은 bridge이고 32화 실제 행동은 다음 Arc가 소유한다.,52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
4,DCA-N03,32,52,DCA-N03,KEEP,이노폰과 박진훈 축출,이노폰과 박진훈 축출의 약속을 박진훈을 축출하고 이노폰의 월 10만 대 이상 수요와 태우전자 사장 추천을 얻는다까지 실제 장면으로 결산하는가?,L6852~L6867;L8665~L8680,L6852~L6867;L8665~L8680; predecessor=31화 L5819~L6005: 명동 간섭 제거·47명 숙청과 감사팀 개혁 성과를 얻지만 기술연구소장으로 밀어낼 사장단 합의가 생긴다.; next=32화 L6006~L6176: 윤일섭 TF의 정식 감사6팀 승격과 부장 승진을 받아낸 뒤 기술연구소 독립권·경제연구소 총괄·20명 자기선발을 조건으로 박진훈의 제안을 수락한다.,31화 L5819~L6005: 명동 간섭 제거·47명 숙청과 감사팀 개혁 성과를 얻지만 기술연구소장으로 밀어낼 사장단 합의가 생긴다.,32화 L6006~L6176: 윤일섭 TF의 정식 감사6팀 승격과 부장 승진을 받아낸 뒤 기술연구소 독립권·경제연구소 총괄·20명 자기선발을 조건으로 박진훈의 제안을 수락한다.,52화의 지급 ‘박진훈을 축출하고 이노폰의 월 10만 대 이상 수요와 태우전자 사장 추천을 얻는다’은 DCA-N03 소유다. 끝 훅 ‘김민재가 요구한 것은 사장 직함이 아니라 지분이다. 김태중이 태우전자의 실제 소유권을 넘길 것인가?’은 bridge이고 53화 실제 행동은 다음 Arc가 소유한다.,52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
5,DCA-N04,53,71,DCA-N04,KEEP,태우전자 소유와 조선·애플 교환,태우전자 소유와 조선·애플 교환의 약속을 황영철 팀·MP3 기술을 애플 개발로 살리고 전 계열사를 조정할 사장급 기획본부장 역할을 얻는다까지 실제 장면으로 결산하는가?,L11731~L11760,L11731~L11760; predecessor=52화 L9579~L9758: 박진훈을 축출하고 이노폰의 월 10만 대 이상 수요와 태우전자 사장 추천을 얻는다; next=53화 L9759~L9940: 김태중에게 태우전자 지분을 상속받아 만장일치로 사장에 취임한 뒤 현재그룹 장 회장의 자금난을 듣고 SAVE 자금으로 차입을 유도할 미끼를 던진다,52화 L9579~L9758: 박진훈을 축출하고 이노폰의 월 10만 대 이상 수요와 태우전자 사장 추천을 얻는다,53화 L9759~L9940: 김태중에게 태우전자 지분을 상속받아 만장일치로 사장에 취임한 뒤 현재그룹 장 회장의 자금난을 듣고 SAVE 자금으로 차입을 유도할 미끼를 던진다,71화의 지급 ‘황영철 팀·MP3 기술을 애플 개발로 살리고 전 계열사를 조정할 사장급 기획본부장 역할을 얻는다’은 DCA-N04 소유다. 끝 훅 ‘그룹 기획본부장으로서 첫 세계화 표적을 어느 나라와 어떤 제품으로 잡을 것인가?’은 bridge이고 72화 실제 행동은 다음 Arc가 소유한다.,52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
6,DCA-N05,72,77,DCA-N05,KEEP,중국 자동차와 인터넷 외화 출구,"중국 자동차와 인터넷 외화 출구의 약속을 전자상거래·음원·HTS 전담팀과 자유출퇴근제, 이를 실제로 밀어붙일 제프리를 확보한다까지 실제 장면으로 결산하는가?",L13226~L14342,L13226~L14342; predecessor=71화 L13025~L13225: 황영철 팀·MP3 기술을 애플 개발로 살리고 전 계열사를 조정할 사장급 기획본부장 역할을 얻는다; next=72화 L13226~L13417: 사장급 기획본부장이 되어 루마니아산 태우차 중국 판매를 설계하고 쩡훙친을 만난다,71화 L13025~L13225: 황영철 팀·MP3 기술을 애플 개발로 살리고 전 계열사를 조정할 사장급 기획본부장 역할을 얻는다,72화 L13226~L13417: 사장급 기획본부장이 되어 루마니아산 태우차 중국 판매를 설계하고 쩡훙친을 만난다,"77화의 지급 ‘전자상거래·음원·HTS 전담팀과 자유출퇴근제, 이를 실제로 밀어붙일 제프리를 확보한다’은 DCA-N05 소유다. 끝 훅 ‘제프리의 방식이 직원 이탈 없이 제품을 내고 다가오는 외환위기 전 현금원을 만들 수 있는가?’은 bridge이고 78화 실제 행동은 다음 Arc가 소유한다.",52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
7,DCA-N06,78,86,DCA-N06,KEEP,외환위기 무부채와 사우디 정유,외환위기 무부채와 사우디 정유의 약속을 IMF 우호관계와 애플의 소비자·주가 보상을 얻어 국내 위기 매물을 살 명분과 자산가치를 키운다까지 실제 장면으로 결산하는가?,L14343~L15983,"L14343~L15983; predecessor=77화 L14142~L14342: 전자상거래·음원·HTS 전담팀과 자유출퇴근제, 이를 실제로 밀어붙일 제프리를 확보한다; next=78화 L14343~L14507: 1997년 중국차 10만 대·미국 70퍼센트 성장에도 김태중이 통신사업용 일본 차입을 추진하자 막는다","77화 L14142~L14342: 전자상거래·음원·HTS 전담팀과 자유출퇴근제, 이를 실제로 밀어붙일 제프리를 확보한다",78화 L14343~L14507: 1997년 중국차 10만 대·미국 70퍼센트 성장에도 김태중이 통신사업용 일본 차입을 추진하자 막는다,86화의 지급 ‘IMF 우호관계와 애플의 소비자·주가 보상을 얻어 국내 위기 매물을 살 명분과 자산가치를 키운다’은 DCA-N06 소유다. 끝 훅 ‘귀국한 다이먼이 재계 4위 카이자동차를 어느 가격과 조건으로 가져올 것인가?’은 bridge이고 87화 실제 행동은 다음 Arc가 소유한다.,52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
8,DCA-N07,87,90,DCA-N07,SPLIT,카이자동차 51%와 카를로스 곤 독립경영,카이자동차 51%와 카를로스 곤 독립경영의 약속을 카이차 회생 책임자와 CL 승계판을 흔들 수 있는 장녀의 불만·접근권을 확보한다까지 실제 장면으로 결산하는가?,L16713~L16730,L16713~L16730; predecessor=86화 L15802~L15983: IMF 우호관계와 애플의 소비자·주가 보상을 얻어 국내 위기 매물을 살 명분과 자산가치를 키운다; next=87화 L15984~L16165: 다이먼을 한국으로 불러 카이자동차 인수를 시작하고 베리뮤직 실시간 순위 시스템을 지시한다,86화 L15802~L15983: IMF 우호관계와 애플의 소비자·주가 보상을 얻어 국내 위기 매물을 살 명분과 자산가치를 키운다,87화 L15984~L16165: 다이먼을 한국으로 불러 카이자동차 인수를 시작하고 베리뮤직 실시간 순위 시스템을 지시한다,90화의 지급 ‘카이차 회생 책임자와 CL 승계판을 흔들 수 있는 장녀의 불만·접근권을 확보한다’은 DCA-N07 소유다. 끝 훅 ‘고연진에게 장녀 승계를 독려하면 CL이 먼저 자산 교환을 고민하게 만들 수 있는가?’은 bridge이고 91화 실제 행동은 다음 Arc가 소유한다.,52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
9,DCA-N07B,91,95,DCA-N07,SPLIT,CL 카드·백화점과 통신·배터리 빅딜,"CL 카드·백화점과 통신·배터리 빅딜의 약속을 스타벅스 한국법인 50대50 독점권과 전자 20% 성장, 건설 재건의 명확한 문제표를 얻는다까지 실제 장면으로 결산하는가?",L16713~L16730;L17607~L17624,L16713~L16730;L17607~L17624; predecessor=90화 L16548~L16721: 카이차 회생 책임자와 CL 승계판을 흔들 수 있는 장녀의 불만·접근권을 확보한다; next=91화 L16722~L16900: 고연진에게 장녀 승계를 부추기고 아이돌 팬덤을 겨냥한 방송 3사 베리뮤직 후원을 지시한다,90화 L16548~L16721: 카이차 회생 책임자와 CL 승계판을 흔들 수 있는 장녀의 불만·접근권을 확보한다,91화 L16722~L16900: 고연진에게 장녀 승계를 부추기고 아이돌 팬덤을 겨냥한 방송 3사 베리뮤직 후원을 지시한다,"95화의 지급 ‘스타벅스 한국법인 50대50 독점권과 전자 20% 성장, 건설 재건의 명확한 문제표를 얻는다’은 DCA-N07B 소유다. 끝 훅 ‘태우전자 보고가 끝나고 태우건설 차례가 오자 외환위기로 건설경기가 얼어붙은 현실이 회의실을 누른다’은 bridge이고 96화 실제 행동은 다음 Arc가 소유한다.",52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
10,DCA-N07C,96,97,DCA-N07,SPLIT,9호선·거가대교 40년 민자 운영권,9호선·거가대교 40년 민자 운영권의 약속을 지하철 9호선·거가대교 운영권과 태우건설의 대형 시공물량·도급 1위 반전 기반을 얻는다까지 실제 장면으로 결산하는가?,L17607~L17624,"L17607~L17624; predecessor=95화 L17446~L17615: 스타벅스 한국법인 50대50 독점권과 전자 20% 성장, 건설 재건의 명확한 문제표를 얻는다; next=96화 L17616~L17784: 장수영이 외부 자금 없이는 수주가 불가능하다고 하자 SAVE·퀀텀 7퍼센트의 비밀 민자 컨소시엄을 설계한다","95화 L17446~L17615: 스타벅스 한국법인 50대50 독점권과 전자 20% 성장, 건설 재건의 명확한 문제표를 얻는다",96화 L17616~L17784: 장수영이 외부 자금 없이는 수주가 불가능하다고 하자 SAVE·퀀텀 7퍼센트의 비밀 민자 컨소시엄을 설계한다,97화의 지급 ‘지하철 9호선·거가대교 운영권과 태우건설의 대형 시공물량·도급 1위 반전 기반을 얻는다’은 DCA-N07C 소유다. 끝 훅 ‘사장단 앞에 이 수주를 공개하면 장수영과 태우건설의 위상이 어떻게 바뀔 것인가?’은 bridge이고 98화 실제 행동은 다음 Arc가 소유한다.,52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
