sequence,visible_label,arc_id,arc_phase,concrete_event,tension_1_10,reward_1_10,hook_1_10,information_weight,action_weight,relationship_weight,emotion_weight,material_or_status_weight,pacing_note
"127","127화","M101","setup","칼 로브에게 이상 공매도를 보고하고 200억 달러 숏을 건다","8","4","10","5","3","4","3","4","정치 허가와 재난 전조가 한 회차에서 겹쳐 즉시 고위험으로 진입한다"
"128","128화","M101","escalation","9·11 뒤 숏 청산보다 1천억 달러 시장 방어 대출을 택한다","10","3","9","4","4","4","5","5","재난 충격 뒤 전략 반전으로 금액과 책임을 동시에 키운다"
"129","129화","M101","escalation","전 자산 담보로 신디케이트론을 받고 숏 50억 달러를 확정한다","8","7","8","4","3","3","3","5","대출 영수증을 주되 대규모 매수 전 불안을 유지한다"
"130","130화","M101","turn","항공·보험·여행주에 사흘간 400억 달러를 투입한다","9","5","8","3","5","2","3","5","설명보다 주문 집행을 앞세워 시장 반전의 체감 속도를 높인다"
"131","131화","M101","turn","오마하에서 버핏의 150억 달러 자본과 공개 신뢰를 얻는다","7","8","8","3","2","5","4","5","액션을 관계 승인으로 바꾸어 결산 직전 기대를 증폭한다"
"132","132화","M101","payoff","반등 장부를 1천300억 달러에 넘겨 약 300억 달러를 번다","6","10","8","3","3","3","4","5","숏 스퀴즈·상환·이익을 빠르게 지급하고 다음 산업투자를 연다"
"133","133화","M102","setup","에버베드 트랜치와 ASML 컨소시엄 접근권을 함께 설계한다","5","6","8","5","2","3","2","4","전리품의 쓰임을 금융상품과 반도체라는 두 축으로 확장한다"
"134","134화","M102","escalation","ASML 5%와 장비 우선권을 사고 개인·지부 보상을 받는다","5","9","7","4","2","4","4","5","협상·보상 밀도가 높아 상승감을 길게 유지한다"
"135","135화","M102","turn","7조 원 부채의 대현건설에 3조 원 매입·4조9천억 상환을 제안한다","7","5","8","4","3","3","3","5","새 표적의 부실 숫자로 다음 지위 상승의 크기를 선명히 한다"
"136","136화","M102","payoff","10년 SOC와 고용을 묶어 대현건설·야구단을 인수한다","7","9","8","3","3","4","4","5","정치 승인을 실물기업 경영권으로 지급하며 내부 갈등을 연다"
"137","137화","M103","setup","산업용지·야구단·재매입권까지 인수 자산을 재배치한다","5","6","7","4","2","3","2","5","자산 목록과 운영 원칙을 제시해 이사회 충돌 전 숨을 고른다"
