sequence,visible_label,title,entry_state,reader_promise,protagonist_goal,action,resistance_or_cost,turn_or_reveal,paid_reward,state_change_axis,state_change,ending_hook,closed_loops,opened_loops,arc_candidate,confidence
281,"281화","법보다 주먹(완전판)! 281화","은지석 마약 보도와 최은희 가짜 임신 뉴스가 실검을 다투고 편승찬은 체포돼 있다.","편승찬 위의 북한 연결선을 잡고 대도실업·동두천 거점을 한꺼번에 치는 그림을 보여 준다.","박동철은 편승찬의 자백에서 윗선 연결을 확인하고 자생간첩망 일망타진을 준비한다.","편승찬을 압박해 마약 자백을 받고 조명득·수사관들에게 동시 검거 원칙을 알린다.","북한 해커의 실검 조작과 대선을 의식한 정치권 때문에 수사 노출 시점이 위험하다.","은지석 사건은 급히 종결됐지만 박동철은 홍설매 뒤의 합법 입국형 간첩망을 진짜 표적으로 삼는다.","가짜 임신 소식이 은지석 이슈를 덮고 박동철 팀은 더 큰 간첩 사건으로 추진력을 얻는다.","세계","연예 뉴스 싸움이 국가기관·북한 공작이 얽힌 자생간첩망 수사로 확대된다.","박동철이 대도실업과 동두천 거점을 동시에 깨겠다고 선언한다.","편승찬의 마약 자백과 최은희 뉴스 물타기 목적이 사실상 결산된다.","자생간첩망 동시 검거와 대선 국면의 국정원 개입 위험이 열린다.","자생간첩망 일망타진과 국정원 가로채기","high"
282,"282화","법보다 주먹(완전판)! 282화","박동철 팀은 홍설매를 단초로 대도실업·동두천 동시 타격을 하루 앞두고 있다.","국내 간첩 수사와 멀리 연길에서 시작되는 마약 운반 함정이 충돌할 것을 예고한다.","박동철은 검찰총장 외압 전에 간첩 거점을 일망타진할 작전을 완성하려 한다.","청명회 감시 자료로 합법 입국형 간첩의 방식을 정리하고 두 거점 동시 진입을 확정한다.","검찰총장의 개입 가능성과 대선·국정원 댓글 공작이 작전을 살얼음판으로 만든다.","연길 공안이 기차역에 마약 탐지견을 배치한 사이 한철 일행의 짐을 미행자가 운반책으로 이용했음이 드러난다.","박동철의 작전 목표가 대도실업·동두천으로 구체화되고 독자는 별도 중국 위기의 실체를 먼저 본다.","세계","국내 간첩망과 북한산 마약의 연길 유통선이 같은 북한 연결 문제로 병치된다.","아무것도 모르는 한철이 마약이 든 이중 트렁크 곁에서 책을 읽는다.","간첩 동시 타격 대상 선정이 끝난다.","한철의 중국 마약 누명과 검찰총장 개입이 새로 열린다.","한철의 연길 마약 누명과 서해 외교충돌","high"
283,"283화","법보다 주먹(완전판)! 283화","박동철은 간첩 작전의 핵심을 총장에게 숨기고 한철은 연길역에서 마약 탐지견과 맞닥뜨린다.","권력 외압을 정면으로 버티는 검사와 무고한 유학생의 체포를 교차해 압박한다.","박동철은 검찰총장의 추궁에도 작전을 누설하지 않고 수사를 밀어붙이려 한다.","작전 보안을 지키며 총장과 대치하고 한철 쪽에서는 공안이 이중 트렁크를 난도질해 마약을 찾아낸다.","총장의 신뢰를 잃을 수 있고 한철은 남의 짐 때문에 중국에서 사형까지 당할 수 있다.","총장은 술잔을 깨며 한배 탔다고 선언하고 박동철에게 선배라 부르라며 정치 외압에 맞선다.","박동철은 검찰 수뇌부의 공개적 후원을 얻고 한철의 억울한 체포는 독자에게 명백해진다.","관계","검찰총장과 박동철이 상명하복을 넘어 공동전선의 선후배 관계로 굳어진다.","총장이 대가리에 똥만 찬 자들을 밟자고 하고 박동철이 깡으로 가기로 한다.","검찰총장이 적인지 아군인지에 대한 불확실성이 닫힌다.","한철 구명과 중국 공안의 사형 위험이 전면에 열린다.","자생간첩망 일망타진과 국정원 가로채기","high"
284,"284화","법보다 주먹(완전판)! 284화","박동철 팀의 간첩 수사실에 국정원이 들이닥쳐 자료를 넘기라고 압박한다.","기관 권력에 고분고분하지 않는 박동철의 즉시 응징과 새 국제 분쟁의 발화를 보여 준다.","박동철은 영장 없는 국정원에 수사 자료를 빼앗기지 않고 팀을 지킨다.","공문과 영장을 요구하며 국정원 직원을 내쫓고 강제 칼퇴를 선언한다.","간첩 사건 주도권을 국정원이 가져가며 박동철 팀의 수사 성과가 끊긴다.","서해에서 불법 조업 중국 선원들이 죽창·갈고리로 해경을 공격하고 총격 끝에 해경 한 명 실종·중국 선원 한 명 사망이 발생한다.","국정원 상대 굴복을 거부하는 통쾌함과 수사팀의 예상 밖 휴식을 지급한다.","세계","간첩 수사 주도권은 검찰에서 국정원과의 기관 충돌로 바뀌고 한중 외교 위기가 발화한다.","조선족 선원들이 한국 해경 총격으로 중국인이 죽었다고 외친다.","영장 없는 자료 요구는 거부로 일단 닫힌다.","서해 사망 사건의 외교 보복과 간첩 수사 가로채기 비용이 열린다.","자생간첩망 일망타진과 국정원 가로채기","high"
285,"285화","법보다 주먹(완전판)! 285화","최은희는 가짜 쌍둥이 임신 보도를 인정한 채 귀국하고 서해 총격 뉴스가 번진다.","부부의 가짜 임신 소동을 웃음으로 결산하는 동시에 중국의 공격적 외교 반응을 키운다.","박동철은 자신이 만든 임신 발표를 현실로 만들 각오로 최은희를 맞을 준비를 한다.","89억 빌라를 장식하고 부모의 손주 축하 전화를 버틴 뒤 불법 비아그라까지 꺼낸다.","부모와 전 국민까지 속인 탓에 반드시 임신에 성공해야 한다는 우스운 압박이 생긴다.","중국 외교부 대변인이 해경 사건을 공해상 오판 사격이라 부르며 한국을 남조선으로 칭하고 공식 사과를 요구한다.","최은희가 공항에서 쌍둥이 보도를 능청스럽게 받아들이고 가족도 크게 기뻐하는 관계 보상을 준다.","관계","가짜 임신은 부부만의 수습 문제가 아니라 양가와 전 국민의 기대가 된 반면 한중 관계는 급랭한다.","중국의 모욕적 브리핑을 본 외교부 차관이 욕설을 터뜨린다.","최은희 귀국과 가짜 임신 보도의 공개 수용이 끝난다.","실제 임신 시도와 중국의 외교 보복이 열린다.","한철의 연길 마약 누명과 서해 외교충돌","high"
286,"286화","법보다 주먹(완전판)! 286화","중국은 서해 총격을 외교 공세로 키우고 박동철 부부는 한 달 만에 재회한다.","국가적 긴장 한가운데서 박동철 특유의 육체적·부부 코미디 보상을 지급한다.","박동철은 최은희와의 가짜 임신을 진짜로 만들고 싶어 한다.","외교부가 중국의 사형·보복 가능성을 논의하는 사이 박동철은 코디를 돌려보내고 최은희를 안아 침실로 직행한다.","외교부는 대선 여론을 국민 안전보다 앞세우고 박동철은 자신이 벌인 거짓말의 책임을 몸으로 져야 한다.","중국 내 한국인에게 보복성 사형이 내려질 수 있다는 우려가 명시된다.","최은희와 박동철의 뜨거운 재회가 즉시 지급된다.","관계","한 달 떨어졌던 부부가 재결합하고 가짜 임신 약속을 실제 임신 시도로 전환한다.","두 사람이 모든 준비를 생략하고 침실로 들어가지만 중국 보복 표적이 누구일지는 남는다.","부부의 귀국 재회가 닫힌다.","중국이 한국인 사건을 보복 카드로 쓸 위험이 열린다.","한철의 연길 마약 누명과 서해 외교충돌","high"
287,"287화","법보다 주먹(완전판)! 287화","국정원·외교부가 중국 현지망 붕괴와 수사관 파견 거부로 막힌 가운데 한철 부모는 아들의 위기를 접한다.","사적 행복을 스승의 절규가 깨뜨리며 박동철을 국제 구명전으로 끌어낸다.","박동철은 최은희와 재회한 시간을 보내다가 쌤의 긴급 전화를 받는다.","국정원은 연길 타깃과 유학생을 동시에 살릴 방안을 고민하고 외교부는 중국 거부 대응에 실패한다.","현지 정보망은 붕괴했고 공식 파견은 불가능하며 한철 부모에게는 아들을 살릴 수단이 없다.","쌤은 중국에 억류된 아들 한철을 살릴 사람으로 제자 박동철을 떠올려 전화를 건다.","박동철의 과거 은사 관계가 다시 전면화되고 독자는 그가 외면하지 않을 것임을 확신한다.","관계","부부의 사적 목표보다 은사와 한철에 대한 의리가 우선순위로 올라온다.","쌤이 핵심도 말하지 못한 채 박동철에게 아들을 살려 달라고 반복한다.","외교 채널로 해결할 수 있다는 부모의 희망이 무너진다.","박동철의 한철 구명 의무와 비공식 중국 개입이 열린다.","한철의 연길 마약 누명과 서해 외교충돌","high"
288,"288화","법보다 주먹(완전판)! 288화","쌤은 한철이 중국에서 마약 운반 혐의로 죽을 수 있다고 박동철에게 호소한다.","박동철이 은사의 은혜를 갚기 위해 국가 간 보복 사건에 뛰어드는 선택을 보여 준다.","박동철은 한철의 사건 전모와 구명 가능성을 확인하려 한다.","쌤을 진정시켜 자초지종을 듣고 중국 측 실력자 등시펑에게 직접 전화를 건다.","중국은 공식 수사관 파견을 전면 거부했고 등시펑조차 정권 차원의 한국 보복이라며 선을 긋는다.","등시펑이 이번 사건을 현 한국 정권에 대한 중국의 보복이라고 사실상 인정한다.","박동철이 체면을 버리고 도움을 청하는 의리와 한철의 무고함에 대한 확신을 지급한다.","관계","박동철과 등시펑의 과거 신뢰가 중국 국가이익 앞에서 금이 간다.","박동철이 감사하던 중국 정부는 사라졌다며 주먹을 꽉 쥔다.","한철 사건이 단순 공안 오판일 가능성은 닫힌다.","중국 정부와 등시펑까지 상대해야 하는 구명전이 열린다.","한철의 연길 마약 누명과 서해 외교충돌","high"
289,"289화","법보다 주먹(완전판)! 289화","등시펑은 국가 보복이라 손쓰기 어렵다고 했고 박동철은 가만히 있을 수 없다고 결심한다.","제도 밖 정보전과 조폭 거래까지 불사하는 박동철의 돌파구 찾기를 약속한다.","박동철은 한철을 구할 연길 마약 조직 정보를 확보하려 한다.","최은희에게 움직이겠다고 알리고 영등포 비밀 사무실에서 조명득과 중국 정보 확보 방안을 짠다.","공식 파견도 등시펑의 협조도 없고 현지에서 믿을 만한 정보원이 부족하다.","박동철이 칠승파 회장 최문탁에게서 연길 마약 조직 정보를 받아낼 생각을 밝힌다.","은사를 위해 위험한 수단까지 택하는 박동철과 말없이 지지하는 최은희·조명득의 관계 보상이 나온다.","관계","박동철·조명득의 비밀 공조가 국내 수사를 넘어 중국 공안 서버와 조폭 정보망으로 확장된다.","최문탁이 정보를 줄지조차 알 수 없는데 박동철은 직접 만나기로 한다.","등시펑의 공식 도움을 기대하는 길이 닫힌다.","최문탁 협박·거래와 중국 공안 해킹이 열린다.","지워진 국밥 기억과 임페리얼 클럽 혈투","high"
290,"290화","법보다 주먹(완전판)! 290화","박동철은 최문탁을 만나려 하지만 현재 위치를 알 방법이 없다.","기억 하나를 대가로 쓰는 ###666 능력의 비용과 박동철의 가족 기억을 정면으로 보여 준다.","박동철은 최문탁의 위치를 알아내 한철 구명 정보를 얻으려 한다.","조명득에게 중국 공안 서버 해킹을 맡기고 처음으로 ###666에 전화해 최문탁 위치를 묻는다.","###666을 쓰면 소중한 기억 한 장면이 완전히 사라진다.","삭제 대상으로 어린 박동철과 굶주린 자신을 국밥집에 데려간 아버지의 기억이 재생된다.","한철을 위해 능력 비용을 감수하는 결단과 어린 시절 아버지의 온정을 감정 보상으로 지급한다.","능력","최문탁의 위치를 얻는 대신 부자 사이의 국밥 기억이 소멸 단계에 들어간다.","ARS가 기억 삭제 카운트다운을 끝내고 박동철이 현실에서 눈을 뜬다.","###666으로 최문탁 위치를 찾을 방법이 해결된다.","삭제된 기억 복원 가능성과 최문탁 대면 위험이 열린다.","지워진 국밥 기억과 임페리얼 클럽 혈투","high"
