sequence,visible_label,title,start_line,end_line,entry_state,reader_promise,protagonist_goal,action,resistance_or_cost,turn_or_reveal,paid_reward,state_change_axis,state_change,ending_hook,closed_loops,opened_loops,arc_id,confidence
681,성공시대 681화,석탄 게이트,95534,95689,"앞 구간에서 누적된 김종필–김재규 권력 충돌 위에, 이 화 안의 원문 #석탄 게이트 전환이 새 사건을 연다.",‘대국일보가 석탄 비리를 폭로하고 종일은 치앙마이 농장 바나나·파인애플 판로를 함께 점검한다’까지 가기 전에 ‘김용태 비리 폭로가 김종필의 당권과 차기 구도를 함께 무너뜨린다’라는 압력을 넘을 수 있는가가 이 화의 독자 질문이다.,김재규·김정렴의 공세에서 김종필계와 국정 안정의 손실을 제한한다.,김정렴과 김재규가 김용태의 석탄 통합 뇌물 문건을 대국일보 이재형 기자에게 넘긴다.,김용태 비리 폭로가 김종필의 당권과 차기 구도를 함께 무너뜨린다.,정치 권력 축이 석탄 게이트와 김용태 낙마의 다음 단계로 이동한다.,유예: 정치적 생존 공간과 대응 시한을 번다.,politics,다음 판단의 기준이 ‘대국일보가 석탄 비리를 폭로하고 종일은 치앙마이 농장 바나나·파인애플 판로를 함께 점검한다’로 옮겨 간다.,다음 회차에는 대국일보가 석탄 비리를 폭로하고 종일은 치앙마이 농장 바나나·파인애플 판로를 함께 점검한다,앞 구간에서 열린 권력 충돌이 석탄 문건의 언론 전달까지 진행된다.,대국일보가 석탄 비리를 폭로하고 종일은 치앙마이 농장 바나나·파인애플 판로를 함께 점검한다; 석탄 게이트와 김용태 낙마,L01,high
682,성공시대 682화,석탄 게이트,95690,95843,직전 화의 ‘김정렴과 김재규가 김용태의 석탄 통합 뇌물 문건을 대국일보 이재형 기자에게 넘긴다’가 만든 조건에서 석탄 게이트와 김용태 낙마의 압박 단계가 시작된다.,‘김재규가 보도 무마 청탁을 거절하자 김용태 아들의 병역 비리와 시위가 연쇄 폭발한다’까지 가기 전에 ‘김용태 비리 폭로가 김종필의 당권과 차기 구도를 함께 무너뜨린다’라는 압력을 넘을 수 있는가가 이 화의 독자 질문이다.,김재규·김정렴의 공세에서 김종필계와 국정 안정의 손실을 제한한다.,대국일보가 석탄 비리를 폭로하고 종일은 치앙마이 농장 바나나·파인애플 판로를 함께 점검한다.,김용태 비리 폭로가 김종필의 당권과 차기 구도를 함께 무너뜨린다.,정치 권력 축이 석탄 게이트와 김용태 낙마의 다음 단계로 이동한다.,유예: 동맹 또는 공적 명분을 확보한다.,politics,다음 판단의 기준이 ‘김재규가 보도 무마 청탁을 거절하자 김용태 아들의 병역 비리와 시위가 연쇄 폭발한다’로 옮겨 간다.,다음 회차에는 김재규가 보도 무마 청탁을 거절하자 김용태 아들의 병역 비리와 시위가 연쇄 폭발한다,직전 화의 ‘김정렴과 김재규가 김용태의 석탄 통합 뇌물 문건을 대국일보 이재형 기자에게 넘긴다’가 남긴 즉시 과제는 이번 실행으로 결론을 미룬 채 다음 압력으로 넘어간다.,김재규가 보도 무마 청탁을 거절하자 김용태 아들의 병역 비리와 시위가 연쇄 폭발한다; 석탄 게이트와 김용태 낙마,L01,high
683,성공시대 683화,석탄 게이트,95844,95993,직전 화의 ‘대국일보가 석탄 비리를 폭로하고 종일은 치앙마이 농장 바나나·파인애플 판로를 함께 점검한다’가 만든 조건에서 석탄 게이트와 김용태 낙마의 전환 단계가 시작된다.,‘신직수가 청와대의 김용태 희생 가능성을 전하고 대통령은 김종필과 선거 피해를 계산한다’까지 가기 전에 ‘김용태 비리 폭로가 김종필의 당권과 차기 구도를 함께 무너뜨린다’라는 압력을 넘을 수 있는가가 이 화의 독자 질문이다.,김재규·김정렴의 공세에서 김종필계와 국정 안정의 손실을 제한한다.,김재규가 보도 무마 청탁을 거절하자 김용태 아들의 병역 비리와 시위가 연쇄 폭발한다.,김용태 비리 폭로가 김종필의 당권과 차기 구도를 함께 무너뜨린다.,정치 권력 축이 석탄 게이트와 김용태 낙마의 다음 단계로 이동한다.,유예: 상대의 거짓말과 취약점이 가시화된다.,politics,다음 판단의 기준이 ‘신직수가 청와대의 김용태 희생 가능성을 전하고 대통령은 김종필과 선거 피해를 계산한다’로 옮겨 간다.,다음 회차에는 신직수가 청와대의 김용태 희생 가능성을 전하고 대통령은 김종필과 선거 피해를 계산한다,직전 화의 ‘대국일보가 석탄 비리를 폭로하고 종일은 치앙마이 농장 바나나·파인애플 판로를 함께 점검한다’가 남긴 즉시 과제는 이번 실행으로 결론을 미룬 채 다음 압력으로 넘어간다.,신직수가 청와대의 김용태 희생 가능성을 전하고 대통령은 김종필과 선거 피해를 계산한다; 석탄 게이트와 김용태 낙마,L01,high
684,성공시대 684화,석탄 게이트,95994,96127,직전 화의 ‘김재규가 보도 무마 청탁을 거절하자 김용태 아들의 병역 비리와 시위가 연쇄 폭발한다’가 만든 조건에서 석탄 게이트와 김용태 낙마의 전환 단계가 시작된다.,‘대통령이 사퇴를 요구하고 김종필이 김용태에게 의원직 사퇴와 검찰 출두를 받아낸다’까지 가기 전에 ‘김용태 비리 폭로가 김종필의 당권과 차기 구도를 함께 무너뜨린다’라는 압력을 넘을 수 있는가가 이 화의 독자 질문이다.,김재규·김정렴의 공세에서 김종필계와 국정 안정의 손실을 제한한다.,신직수가 청와대의 김용태 희생 가능성을 전하고 대통령은 김종필과 선거 피해를 계산한다.,김용태 비리 폭로가 김종필의 당권과 차기 구도를 함께 무너뜨린다.,정치 권력 축이 석탄 게이트와 김용태 낙마의 다음 단계로 이동한다.,유예: 공격 주체와 권력선이 선명해진다.,politics,다음 판단의 기준이 ‘대통령이 사퇴를 요구하고 김종필이 김용태에게 의원직 사퇴와 검찰 출두를 받아낸다’로 옮겨 간다.,다음 회차에는 대통령이 사퇴를 요구하고 김종필이 김용태에게 의원직 사퇴와 검찰 출두를 받아낸다,직전 화의 ‘김재규가 보도 무마 청탁을 거절하자 김용태 아들의 병역 비리와 시위가 연쇄 폭발한다’가 남긴 즉시 과제는 이번 실행으로 결론을 미룬 채 다음 압력으로 넘어간다.,대통령이 사퇴를 요구하고 김종필이 김용태에게 의원직 사퇴와 검찰 출두를 받아낸다; 석탄 게이트와 김용태 낙마,L01,high
685,성공시대 685화,석탄 게이트,96128,96263,직전 화의 ‘신직수가 청와대의 김용태 희생 가능성을 전하고 대통령은 김종필과 선거 피해를 계산한다’가 만든 조건에서 석탄 게이트와 김용태 낙마의 결산 단계가 시작된다.,‘김용태와 김종필이 잇달아 물러난 뒤 대성은 50억 달러 아라비아 횡단 파이프라인 견적에 들어간다’까지 가기 전에 ‘김용태 비리 폭로가 김종필의 당권과 차기 구도를 함께 무너뜨린다’라는 압력을 넘을 수 있는가가 이 화의 독자 질문이다.,김재규·김정렴의 공세에서 김종필계와 국정 안정의 손실을 제한한다.,대통령이 사퇴를 요구하고 김종필이 김용태에게 의원직 사퇴와 검찰 출두를 받아낸다.,김용태 비리 폭로가 김종필의 당권과 차기 구도를 함께 무너뜨린다.,정치 권력 축이 석탄 게이트와 김용태 낙마의 가시적 결산으로 이동한다.,지급: 정치적 생존 공간과 대응 시한을 번다.,politics,다음 판단의 기준이 ‘김용태와 김종필이 잇달아 물러난 뒤 대성은 50억 달러 아라비아 횡단 파이프라인 견적에 들어간다’로 옮겨 간다.,다음 회차에는 김용태와 김종필이 잇달아 물러난 뒤 대성은 50억 달러 아라비아 횡단 파이프라인 견적에 들어간다,직전 화의 ‘신직수가 청와대의 김용태 희생 가능성을 전하고 대통령은 김종필과 선거 피해를 계산한다’가 남긴 즉시 과제는 이번 실행으로 구체 성과로 확인된다.,김용태와 김종필이 잇달아 물러난 뒤 대성은 50억 달러 아라비아 횡단 파이프라인 견적에 들어간다; 다음 소제목 #아라비아 횡단 파이프라인 프로젝트,L01,high
686,성공시대 686화,아라비아 횡단 파이프라인 프로젝트,96264,96384,"직전 화의 ‘대통령이 사퇴를 요구하고 김종필이 김용태에게 의원직 사퇴와 검찰 출두를 받아낸다’가 한 국면을 닫은 뒤, 이 화 안의 원문 #아라비아 횡단 파이프라인 프로젝트 전환이 50억 달러 횡단관 보증과 역습의 씨앗을 연다.",‘수출입은행 보증 한계가 드러나고 김재규계는 김종필의 서산·제주 자산을 추적한다’까지 가기 전에 ‘대규모 보증 공백과 김종필계 자산 폭로가 사업·정치 양쪽의 신용을 훼손한다’라는 압력을 넘을 수 있는가가 이 화의 독자 질문이다.,아라비아 횡단 파이프라인 입찰 보증을 확보하면서 정치 리스크를 견딘다.,김용태와 김종필이 잇달아 물러난 뒤 대성은 50억 달러 아라비아 횡단 파이프라인 견적에 들어간다.,대규모 보증 공백과 김종필계 자산 폭로가 사업·정치 양쪽의 신용을 훼손한다.,사업 규모 축이 50억 달러 횡단관 보증과 역습의 씨앗의 다음 단계로 이동한다.,유예: 경쟁자보다 먼저 물류·현장·시장 거점을 선점한다.,business,다음 판단의 기준이 ‘수출입은행 보증 한계가 드러나고 김재규계는 김종필의 서산·제주 자산을 추적한다’로 옮겨 간다.,다음 회차에는 수출입은행 보증 한계가 드러나고 김재규계는 김종필의 서산·제주 자산을 추적한다,직전 화의 ‘대통령이 사퇴를 요구하고 김종필이 김용태에게 의원직 사퇴와 검찰 출두를 받아낸다’가 남긴 즉시 과제는 이번 실행으로 결론을 미룬 채 다음 압력으로 넘어간다.,수출입은행 보증 한계가 드러나고 김재규계는 김종필의 서산·제주 자산을 추적한다; 50억 달러 횡단관 보증과 역습의 씨앗,L02,high
687,성공시대 687화,아라비아 횡단 파이프라인 프로젝트,96385,96519,직전 화의 ‘김용태와 김종필이 잇달아 물러난 뒤 대성은 50억 달러 아라비아 횡단 파이프라인 견적에 들어간다’가 만든 조건에서 50억 달러 횡단관 보증과 역습의 씨앗의 압박 단계가 시작된다.,‘리먼브라더스가 1백만 달러 수수료로 5억 달러 보증을 제안하고 종일은 원유 선물 1억 달러 포지션을 유지한다’까지 가기 전에 ‘대규모 보증 공백과 김종필계 자산 폭로가 사업·정치 양쪽의 신용을 훼손한다’라는 압력을 넘을 수 있는가가 이 화의 독자 질문이다.,아라비아 횡단 파이프라인 입찰 보증을 확보하면서 정치 리스크를 견딘다.,수출입은행 보증 한계가 드러나고 김재규계는 김종필의 서산·제주 자산을 추적한다.,대규모 보증 공백과 김종필계 자산 폭로가 사업·정치 양쪽의 신용을 훼손한다.,사업 규모 축이 50억 달러 횡단관 보증과 역습의 씨앗의 다음 단계로 이동한다.,유예: 계약·자금·기술 가운데 하나가 실제 자산으로 남는다.,business,다음 판단의 기준이 ‘리먼브라더스가 1백만 달러 수수료로 5억 달러 보증을 제안하고 종일은 원유 선물 1억 달러 포지션을 유지한다’로 옮겨 간다.,다음 회차에는 리먼브라더스가 1백만 달러 수수료로 5억 달러 보증을 제안하고 종일은 원유 선물 1억 달러 포지션을 유지한다,직전 화의 ‘김용태와 김종필이 잇달아 물러난 뒤 대성은 50억 달러 아라비아 횡단 파이프라인 견적에 들어간다’가 남긴 즉시 과제는 이번 실행으로 결론을 미룬 채 다음 압력으로 넘어간다.,리먼브라더스가 1백만 달러 수수료로 5억 달러 보증을 제안하고 종일은 원유 선물 1억 달러 포지션을 유지한다; 50억 달러 횡단관 보증과 역습의 씨앗,L02,high
688,성공시대 688화,아라비아 횡단 파이프라인 프로젝트,96520,96657,직전 화의 ‘수출입은행 보증 한계가 드러나고 김재규계는 김종필의 서산·제주 자산을 추적한다’가 만든 조건에서 50억 달러 횡단관 보증과 역습의 씨앗의 압박 단계가 시작된다.,‘종희가 아영을 돌보다 루시 인형과 기저귀 소동을 겪어 권력전의 긴장을 가족 희극으로 환기한다’까지 가기 전에 ‘대규모 보증 공백과 김종필계 자산 폭로가 사업·정치 양쪽의 신용을 훼손한다’라는 압력을 넘을 수 있는가가 이 화의 독자 질문이다.,아라비아 횡단 파이프라인 입찰 보증을 확보하면서 정치 리스크를 견딘다.,리먼브라더스가 1백만 달러 수수료로 5억 달러 보증을 제안하고 종일은 원유 선물 1억 달러 포지션을 유지한다.,대규모 보증 공백과 김종필계 자산 폭로가 사업·정치 양쪽의 신용을 훼손한다.,사업 규모 축이 50억 달러 횡단관 보증과 역습의 씨앗의 다음 단계로 이동한다.,유예: 다음 투자 판단에 필요한 가격과 위험을 확보한다.,business,다음 판단의 기준이 ‘종희가 아영을 돌보다 루시 인형과 기저귀 소동을 겪어 권력전의 긴장을 가족 희극으로 환기한다’로 옮겨 간다.,다음 회차에는 종희가 아영을 돌보다 루시 인형과 기저귀 소동을 겪어 권력전의 긴장을 가족 희극으로 환기한다,직전 화의 ‘수출입은행 보증 한계가 드러나고 김재규계는 김종필의 서산·제주 자산을 추적한다’가 남긴 즉시 과제는 이번 실행으로 결론을 미룬 채 다음 압력으로 넘어간다.,종희가 아영을 돌보다 루시 인형과 기저귀 소동을 겪어 권력전의 긴장을 가족 희극으로 환기한다; 50억 달러 횡단관 보증과 역습의 씨앗,L02,high
689,성공시대 689화,아라비아 횡단 파이프라인 프로젝트,96658,96837,직전 화의 ‘리먼브라더스가 1백만 달러 수수료로 5억 달러 보증을 제안하고 종일은 원유 선물 1억 달러 포지션을 유지한다’가 만든 조건에서 50억 달러 횡단관 보증과 역습의 씨앗의 전환 단계가 시작된다.,‘보증 업무를 마친 종일이 직원들과 과음해 귀가하고 현영의 돌봄 속에서 숨을 고른다’까지 가기 전에 ‘대규모 보증 공백과 김종필계 자산 폭로가 사업·정치 양쪽의 신용을 훼손한다’라는 압력을 넘을 수 있는가가 이 화의 독자 질문이다.,아라비아 횡단 파이프라인 입찰 보증을 확보하면서 정치 리스크를 견딘다.,종희가 아영을 돌보다 루시 인형과 기저귀 소동을 겪어 권력전의 긴장을 가족 희극으로 환기한다.,대규모 보증 공백과 김종필계 자산 폭로가 사업·정치 양쪽의 신용을 훼손한다.,사업 규모 축이 50억 달러 횡단관 보증과 역습의 씨앗의 다음 단계로 이동한다.,유예: 조직 실행력과 장기 현금흐름의 기반을 넓힌다.,business,다음 판단의 기준이 ‘보증 업무를 마친 종일이 직원들과 과음해 귀가하고 현영의 돌봄 속에서 숨을 고른다’로 옮겨 간다.,다음 회차에는 보증 업무를 마친 종일이 직원들과 과음해 귀가하고 현영의 돌봄 속에서 숨을 고른다,직전 화의 ‘리먼브라더스가 1백만 달러 수수료로 5억 달러 보증을 제안하고 종일은 원유 선물 1억 달러 포지션을 유지한다’가 남긴 즉시 과제는 이번 실행으로 결론을 미룬 채 다음 압력으로 넘어간다.,보증 업무를 마친 종일이 직원들과 과음해 귀가하고 현영의 돌봄 속에서 숨을 고른다; 50억 달러 횡단관 보증과 역습의 씨앗,L02,high
690,성공시대 690화,아라비아 횡단 파이프라인 프로젝트,96838,97008,직전 화의 ‘종희가 아영을 돌보다 루시 인형과 기저귀 소동을 겪어 권력전의 긴장을 가족 희극으로 환기한다’가 만든 조건에서 50억 달러 횡단관 보증과 역습의 씨앗의 전환 단계가 시작된다.,‘김종필은 김재규가 석탄 게이트를 키웠다는 정보를 얻고 성태정을 통한 반격의 실마리를 잡는다’까지 가기 전에 ‘대규모 보증 공백과 김종필계 자산 폭로가 사업·정치 양쪽의 신용을 훼손한다’라는 압력을 넘을 수 있는가가 이 화의 독자 질문이다.,아라비아 횡단 파이프라인 입찰 보증을 확보하면서 정치 리스크를 견딘다.,보증 업무를 마친 종일이 직원들과 과음해 귀가하고 현영의 돌봄 속에서 숨을 고른다.,대규모 보증 공백과 김종필계 자산 폭로가 사업·정치 양쪽의 신용을 훼손한다.,사업 규모 축이 50억 달러 횡단관 보증과 역습의 씨앗의 다음 단계로 이동한다.,유예: 경쟁자보다 먼저 물류·현장·시장 거점을 선점한다.,business,다음 판단의 기준이 ‘김종필은 김재규가 석탄 게이트를 키웠다는 정보를 얻고 성태정을 통한 반격의 실마리를 잡는다’로 옮겨 간다.,다음 회차에는 김종필은 김재규가 석탄 게이트를 키웠다는 정보를 얻고 성태정을 통한 반격의 실마리를 잡는다,직전 화의 ‘종희가 아영을 돌보다 루시 인형과 기저귀 소동을 겪어 권력전의 긴장을 가족 희극으로 환기한다’가 남긴 즉시 과제는 이번 실행으로 결론을 미룬 채 다음 압력으로 넘어간다.,김종필은 김재규가 석탄 게이트를 키웠다는 정보를 얻고 성태정을 통한 반격의 실마리를 잡는다; 50억 달러 횡단관 보증과 역습의 씨앗,L02,high
