arc_id,arc_name,start_sequence,end_sequence,start_label,end_label,episode_count,main_characters,main_locations,concrete_premise,central_question,promise,pressure_escalation,mid_turn,concrete_payoff,relationship_change,status_or_ability_change,residual_cost,next_arc_bridge,boundary_signals,confidence
"A001","몰락한 늦둥이, 식탁에서 다시 기대를 얻다","1","3","ⓚ1화","ⓚ3화","3","조도겸; 가르틴; 조문홍; 조도훈; 조도영; 대웅중 학생주임","몰락한 저택 비밀 서재; 1996년 저택 식탁; 대웅중; 유말숙 식당","모든 것을 잃은 도겸이 가르틴을 깨워 1996년 중학생으로 회귀하고 공부 선언으로 삶을 다시 연다.","사고뭉치로 굳은 도겸이 성적이라는 즉시 증거로 아버지의 마지막 기대를 되살릴 수 있는가?","회귀·메모라이즈·가족 재회가 첫 성적과 진학 자유로 환전된다.","수학 한계에 더해 학생주임이 컨닝과 폭력을 들이밀고 형들은 식탁에서 진심을 조롱한다.","평균 92점과 학생주임의 촌지 약점을 결합해 재시험 대신 사과를 받아낸다.","전교 30등 성적표로 조문홍의 검정고시·자율 공부 허락을 얻는다.","조문홍은 말을 흘려듣던 아들을 성적표를 보며 흐뭇하게 바라보고 마지막 기대를 건다.","무력한 몰락자에서 드래곤 하트·메모라이즈를 지닌 회귀자로 바뀌고 행동 자유를 얻는다.","누적 내신 때문에 정상 진학은 포기하며, 공부 계획은 매달 성적으로 계속 증명해야 한다.","학교를 벗어날 시간을 만들기 위해 유말숙의 10억 초기 자금 협상으로 이동한다.","목표가 생존용 보물 탐색→회귀 후 증명으로 바뀜; 기말 약속이 성적표·허락으로 결산됨; 장소가 학교·저택→외가 식당으로 교체됨","high"
"A002","유 지관의 사과 상자와 첫 사람","4","6","ⓚ4화","ⓚ6화","3","조도겸; 유말숙; 김덕자; 황연우; 김동훈; 홍 부장","유말숙의 청담동 식당 부엌; S대 잔디밭; 세운종합병원 VIP층","미성년자 도겸이 외할머니의 10억과 미래의 CEO 황연우를 묶어 IMF 투자의 실행 기반을 만든다.","끊긴 외가와 불신 많은 성인 실행자를 설득해 현금·달러·마법 수익을 실제로 확보할 수 있는가?","사과 상자 현금, 직접 끓인 김치찌개, 첫 고용인, 슬립 수익이 한 묶음으로 보상된다.","유말숙은 담보를 요구하고 황연우는 어린 고용주를 믿지 않으며 미성년자는 직접 환전할 수 없다.","슬립으로 유말숙에게 네 시간 숙면을 주고 병원 VIP 불면을 해결해 마법의 현실 가치를 증명한다.","10억을 평균 850원에 117만6천 달러로 바꾸고 주간 약 1천만 원 병원 수익을 만든다.","유말숙은 포옹을 밀어내던 외손자에게 직접 김치찌개를 해 주고 부엌·인맥을 열며, 황연우는 선불과 휴대폰을 받은 실무자가 된다.","1서클 슬립과 외가 거래 거점, 첫 수행자, 달러 자산을 동시에 얻는다.","황연우는 아직 거액 앞에서 배신 가능성이 있고 10억 투자 원금·담보 의무도 남는다.","유말숙의 수첩으로 홍 부장을 호출해 영보철강 공매도에 진입한다.","10억 승인→환전 완료; 유말숙 단절→밥상·숙면; 황연우 영입→첫 실행 완료; 새 목표가 공매도로 교체됨","high"
"A003","영보철강 공매도와 5억의 신뢰","7","9","ⓚ7화","ⓚ9화","3","조도겸; 황연우; 유말숙; 홍 부장; 황연우 부모; S대 주식동아리","증권사; S대 주식동아리방; 유말숙 식당 연말 밥상; 세운종합병원","미래 기억을 믿고 영보철강 10만2912주를 공매도하는 동안 황연우의 충성도도 동시에 시험받는다.","1억5천만 원 장부 손실과 배신 유혹을 버티고 돈과 사람을 모두 남길 수 있는가?","위험을 견딘 끝에 약 5억 차익, 부모의 생명 구제, 2서클이 함께 돌아온다.","주가가 1만1500원까지 역행하고 황연우는 5억을 들고 달아날 생각을 한다.","도겸이 황연우 부모에게 호텔·정밀검진을 제공하고 자서전 기억으로 대장 용종을 조기에 찾아낸다.","평균 4900원에 상환해 약 5억을 벌고 홍 부장 미래 거래 접근권과 그리스 마법을 얻는다.","황연우는 고용주를 생명의 은인으로 부르며 금전 고용 관계를 충성으로 바꾼다; 유말숙과는 연말 사업 식탁을 공유한다.","자산이 첫 실전 차익으로 늘고 드래곤 하트가 2서클에 들어선다.","기관의 개미 떠넘기기에 일부 협력했고 미래 기억 오류의 공포는 완전히 사라지지 않는다.","그리스 마법을 호주 축구에 써 토토 1억 원을 불리는 현장 승부로 이어진다.","주식 대여·매도→하락·상환으로 폐쇄; 황연우 배신 고민→부모 구제·충성으로 반전; 2서클 개방으로 단계 상승","high"
"A004","호주 그라운드의 1억과 조건부 자유","10","11","ⓚ10화","ⓚ11화","2","조도겸; 조문홍; 조도훈; 조도영; 조민우; 조민형; 황연우; 장민수","졸업 축하 호텔 중식당; 호주 브리즈번 경기장; 귀국 후 저택 식탁","가족 졸업 선물로 호주에 간 도겸이 감시를 재우고 마법으로 축구 결과를 만들어 토토 수익을 얻는다.","모르는 경기 결과를 그리스·디그로 직접 바꾸면서 형의 감시와 귀국 후 학원 압박까지 넘을 수 있는가?","해외 마법 액션이 1억 원 현금 이익과 자율 공부권으로 돌아온다.","조도훈이 장민수를 붙이고, 마법 조절 실패와 기숙학원 강제라는 두 압력이 이어진다.","기억에 의존하지 않고 경기장의 마찰·지면을 직접 조작해 한국의 결승골을 만든다.","토토 1억 원이 2억 원이 되고 조문홍에게 검정고시 평균 50점 조건부 자유를 받는다.","조문홍은 도겸을 후계자로 보진 않지만 원하는 여행과 스스로 증명할 시간을 허용한다.","그리스에 디그 활용이 더해지고 자산이 약 16억 원으로 늘어난다.","형들의 기숙학원 통제 의도는 남고, 도겸에게는 공부 집중력이라는 실질 병목이 생긴다.","MC 스퀘어 학습과 검정고시 점수로 자유를 다시 증명해야 한다.","졸업 선물·호주 이동으로 시작; 경기 승리·토토 회수로 사건 폐쇄; 귀국 뒤 목표가 학업 증명으로 전환됨","high"
"A005","마법진 공부와 검정고시 99점","12","13","ⓚ12화","ⓚ13화","2","조도겸; 조문홍; 조도훈; 조도영; 황연우; 홍 이사","저택 공부방; 검정고시 시험장; 저택 아침 식탁; 증권 거래 현장","집중력이 약한 도겸이 MC 스퀘어와 초보 마법진을 만들어 검정고시 약속과 더 큰 공매도를 동시에 수행한다.","마법 암기만으로 부족한 이해력을 보완해 형들이 지켜보는 자리에서 압도적 점수를 낼 수 있는가?","학습 체계가 99점 성적·아버지 포옹·100억 투자 한도로 구체화된다.","하루 9시간 집중 비용과 한미그룹 20억 숏 위험, 형들의 지속적 불신이 쌓인다.","초보 마법진이 연산·이해를 보정하면서 단순 메모라이즈의 약점을 해소한다.","검정고시 평균 99점, 한미그룹 약 20억 차익, 황연우 500만 원 성과금, 조문홍의 포옹을 얻는다.","조건부 기대를 주던 조문홍이 아들을 직접 안고 약속 이행을 인정한다; 형·조카의 적대는 오히려 노골화한다.","지속형 학습 마법진과 100억 원 공매도 실행력이 생긴다.","지안자동차 100억 포지션이 열려 있고 조민형은 유도부를 동원해 물리적 공격을 시작한다.","가족의 대리 폭력을 제압하고 현상범 추적으로 능력을 외부 검증하는 Arc로 이동한다.","집중력 문제→마법진 해소; 한미그룹 숏→20억 결산; 평균50 약속→99점·포옹; 종료 직후 물리 습격으로 압력 종류 변경","high"
"A006","조카의 습격에서 탈옥수 체포까지","14","16","ⓚ14화","ⓚ16화","3","조도겸; 조민형; 유도부 주장; 황연우; 이신창; 조문홍; 조도훈; 조도영","학교 인근 골목; 전국 도로; 이신창 은신 별장; 경찰서; 저택 식탁","조카가 보낸 집단폭력을 제압한 도겸이 탐지 마법을 돈과 공적 명예로 바꾸기 위해 탈옥수를 쫓는다.","가족 폭력에 휘둘리지 않고 무장 탈옥수까지 생포해 자기 방식의 공부 자유를 지킬 수 있는가?","액션 승리가 현상금 5천만 원·모범시민 표창·아버지의 자율 인정으로 확장된다.","유도부 10명, 전국 20km 탐지 반경, 잠긴 문과 흉기, 형들의 학원 재압박이 단계적으로 겹친다.","머리카락을 매개로 위치를 301호까지 좁히고 오픈·그리스·슬립을 연계해 이신창을 생포한다.","현상금 5천만 원과 표창을 받고 황연우에게 500만 원을 나누며 자유 공부를 유지한다.","조민형은 도겸을 두려워하게 되고 조문홍은 학벌이 방패라는 아들의 솔직한 논리를 받아들인다.","디텍트 포스와 오픈이 추가되고 전투·추적 마법의 실전 조합이 완성된다.","가족 내 폭력 원인은 사라지지 않았고 수능 300점 수준과 지안자동차 포지션이 남는다.","IMF 공매도·달러 승부와 수능 만점을 한 Arc에서 병행한다.","조민형 배후 확인; 수색 장소가 전국→단일 방으로 수렴; 현상범 체포·포상으로 폐쇄; 가족 식탁에서 공부 방식 재승인","high"
"A007","IMF 360억과 전국 유일 수능 만점","17","20","ⓚ17화","ⓚ20화","4","조도겸; 황연우; 홍 사장; 유말숙; 김덕자; 조문홍; 조도훈; 조도영","저택 공부방; 증권·외환 거래 현장; 수능 시험장; 유말숙 식당; 세운그룹 본사","지안·해치 공매도와 IMF 환율을 타는 동안 공부 마법진과 3서클 언어로 수능 만점도 노린다.","거액 시장 변동과 시험을 동시에 통제해 돈·학벌·아버지 인정을 한 번에 얻을 수 있는가?","70억·75억·달러 차익이 360억 원과 전국 유일 만점, 본사 경비의 인사와 부자 포옹으로 누적된다.","첫 모의고사 300점 한계, 100억 숏 위험, 환율 거래 혼란, 형들의 감시와 불신이 이어진다.","해치 부도로 자산 약 180억을 만들자 3서클이 열리고 언어 마법으로 시험 병목을 제거한다.","달러 2천만 달러를 평균 1800원에 팔아 360억 원을 만들고 수능 400점 만점자로 공표된다.","유말숙은 식탁에서 미소 짓고 본사 경비는 정중히 인사하며 조문홍은 성적을 확인한 뒤 도겸을 안는다.","홍 사장을 둔 DK인베스트먼트와 3서클·언어 마법, 360억 자산, 전국 수석 명예를 얻는다.","거액 자산의 출처를 숨겨야 하고 형제의 질투는 더 커지며 후계 실무 경험은 아직 없다.","조문홍의 경제포럼 공개 자랑을 거쳐 경매·부동산과 DK 본거지 구축으로 간다.","지안·해치 숏과 달러가 모두 상환·매각됨; 수능 결과가 공식 발표됨; 가족·본사 대우가 변함; 다음 장소가 포럼·경매장으로 교체됨","high"
"A008","전국 수석 아들에서 백두빌딩 대표로","21","25","ⓚ21화","ⓚ25화","5","조도겸; 조문홍; 황연우; 유말숙; 홍 사장; 김건웅; 재방파","경제포럼; 저택 식탁; 법원 경매장; 백두빌딩; 푸른 성장; 재방파 건물","전국 수석의 신용과 360억 자산을 경매·공유사무실·핵심 회계 인력으로 바꿔 DK의 물리적 조직을 세운다.","현금만 가진 미성년 투자자가 조폭 방해를 넘어 건물과 사람을 통제하는 대표가 될 수 있는가?","아버지 공개 자랑 뒤 백두빌딩·김건웅·50억 수익·S대 합격·4서클이 연속으로 지급된다.","대출 50억, 재방파 추적과 노예계약, 조폭 전투, 금 거래의 법적·평판 위험이 높아진다.","비 오는 건물에서 윈드 애로우·번개·슬립으로 김건웅의 계약서를 회수하고 홍 사장이 도겸의 실적을 공개한다.","188억2천만 원 백두빌딩, 공유사무실 본거지, 김건웅 채용, 금 거래 약 50억과 3천만 원 보너스 지급을 완료한다.","조문홍은 포럼에서 아들을 자랑하고 황연우에게 생선을 발라 주며 측근까지 인정한다; 김건웅은 위험한 새 주인을 유능한 대표로 받아들인다.","클레어보이언스·번개 실전과 4서클 가능성, DK 핵심 3인 조직, S대 합격이 생긴다.","재방파와의 인연이 남고 건물 대출·공실, 제조업 경험 부족이 다음 비용이다.","S대 OT·이택수 투자와 적자 세운음향 인수로 조직을 제조·콘텐츠 영역까지 확장한다.","포럼 공개 인정→경매장 장소 전환; 백두빌딩 소유·김건웅 계약 폐쇄; 금 거래·S대 합격·4서클로 성장 결산; 세운음향 목표 등장","high"
"A009","S대 신입생의 투자와 세운음향 인수","26","31","ⓚ26화.","ⓚ31화.","6","조도겸; 조문홍; 황연우; 홍 사장; 유말숙; 이택수; 양덕훈; 일본 경쟁사 침입자","S대 OT·입학식; 백두빌딩 공유사무실; 세운음향 공장·쇼룸; 마나석 창고","대학 신입 도겸이 OT 인맥과 적자 세운음향을 미래 게임·MP3·스마트폰 자산으로 전환한다.","마법 제품의 비밀을 지키면서 적자 제조사를 흑자로 만들고 차세대 특허까지 선점할 수 있는가?","공동 식탁의 위상, 게임 지분, 매지션 제품, 자동 생산, 가족 입학 잔치, 스마트폰 특허가 층층이 쌓인다.","OT 음주 군기, 20억 초기 투자, 노후 공장, 한전 전력 감시, 창고 화재와 일본 산업 스파이가 압력을 높인다.","인스크립션·사일런스로 잡음 없는 제품을 만들고 중급 마법진으로 하루 288개 마나석 생산을 자동화한다.","이택수 게임사 15%, 세운음향 흑자·월 15억, 공유사무실 52개, 스마트폰 터치·핀치 줌·외형 특허를 얻는다.","조문홍의 고급 술·호텔 뷔페가 OT 공동 잔치가 되고 입학식에는 가족·언론을 동원해 아들을 공개 축하한다; 양덕훈은 비전을 받은 개발자로 자리 잡는다.","4서클 인스크립션·사일런스와 자동 마나석 설비, 제조 R&D·글로벌 주문 능력을 확보한다.","침입자의 의문사와 일본 경쟁사의 관심, 마법 생산 비밀 노출 위험, 조카의 질투가 남는다.","대학 수업과 빌딩 공실을 마법진 독서실로 묶고 도용한 건물주를 응징한다.","OT·게임투자 시작; 세운음향 인수→흑자·해외 주문; 생산 병목→자동화; 화재·도난→회수·특허 방어; 다음 중심이 독서실로 교체됨","high"
"A010","독서실 도용 응징과 SNS 인재 영입","32","34","ⓚ32화.","ⓚ34화.","3","조도겸; 임승호; 황연우; DK 변호사 후보들; 서광수","S대 강의실; DK 독서실; 승호빌딩; 대전 상가; KAIST 주변","공실에 마법진 독서실을 열어 성과를 내지만 건물주가 사업을 훔치자 상권·법률 양면으로 응징한다.","마법 비밀을 드러내지 않고 도용 대가를 치르게 하면서 장기 조직 자산까지 남길 수 있는가?","월 2억 신사업이 배신을 만나도 법무팀·해외 전략·SNS 인재로 더 큰 자산을 낳는다.","마법진 무단 사용, 환불 사태, 세입자 피해, 국내 매지션 사치 언론, 직접 이익 없는 장기 응징이 겹친다.","저농도 포이즌 포그와 세입자 이전·소송 지원을 결합해 승호빌딩의 현금흐름을 끊는다.","임승호의 두 건물이 경매로 넘어가고 미래 변호사들을 DK 법무팀에, 서광수를 SNS 개발자로 영입한다.","임승호와의 거래 관계는 완전히 적대로 닫히고 세입자·변호사에게는 이주·일거리 제공자로 인정받는다.","포이즌 포그의 비전투 활용과 법무·SNS 조직 축이 생기며 드래곤 하트는 무수익 응징도 성과로 인정한다.","도겸이 만든 피해가 무고한 세입자에게 번질 윤리 비용과 병역 의무가 남는다.","병역특례를 위해 세운음향 육상팀을 만들고 국가대표 기록에 도전한다.","독서실 출시→월수익 확인; 도용→환불·경매로 폐쇄; 법무팀·서광수 영입으로 조직 변화; 병역 목표로 중심 교체","high"
