sequence,visible_label,arc_id,arc_phase,concrete_event,tension_1_10,reward_1_10,hook_1_10,information_weight,action_weight,relationship_weight,emotion_weight,material_or_status_weight,pacing_note
"344","효종 344화","L04","위기/조우","야마오카가 대망호를 나포하지만 서지호의 판옥선 3척이 포격하며 나타난다","9","5","10","5","10","4","8","8","민간 선원의 패배를 충분히 보여 위험을 체감시킨 뒤 정규 수군의 원거리 포격으로 반격 기대를 폭발시킨다"
"345","효종 345화","L04","절정/전환","서지호가 야마오카를 생포하고 막부 병사라는 자백을 받아 도현이 군사 응징을 선언한다","10","10","10","7","10","6","8","9","해전·총격·도선·일대일 결투를 겹쳐 보상을 최대로 키운 뒤 포로 심문이 국가전쟁 훅으로 직결된다"
"346","효종 346화","L05","결단","도현이 신료 반대를 뒤집고 막부를 대조선제국의 첫 제물로 삼는 에도 직격전을 결정한다","8","9","9","8","3","10","9","9","논쟁의 저항을 비밀 작전 공개와 제국 선언으로 해소해 왕권·국가 목표를 크게 확장한다"
"347","효종 347화","L05","설계","미우라의 거짓 사과를 남해도에서 되돌리고 2만 명·80척의 에도 직격 및 도현 친정을 확정한다","7","7","9","10","3","7","6","9","외교적 냉대 뒤 항로·병력·막부 체제 약점을 촘촘히 설명하고 친정 선언으로 개인 위험을 올린다"
"348","효종 348화","L05","은폐/준비","막부 동원은 늦어지고 조선은 왜관 간자망 제거·해협 수심 측정 뒤 제물포에서 출항한다","6","7","8","9","5","5","5","8","양국의 준비를 교차해 정보전 우위를 지급하고 실제 출항 한 문장으로 다음 단계에 진입한다"
"349","효종 349화","L05","집결","도현이 지세포에서 80척 군선·60척 보급선과 하카다 4천 병력 정보를 점검한다","5","8","7","9","4","7","5","10","항해 경계와 대함대 장관을 번갈아 보여 사기를 올리되 왜군 접근전 우세를 남겨 방심을 막는다"
"350","효종 350화","L06","출정/상륙","백 척 넘는 함대가 출항해 일기도 가쓰모토 해안을 피 없이 확보하고 이관 별군이 히츠메 성으로 간다","7","9","8","6","8","4","7","9","대규모 출항의 장관 뒤 민간 어부 시점의 충격과 무혈 상륙으로 첫 원정 보상을 빠르게 지급한다"
"351","효종 351화","L06","첫 승전","이관이 야전포·3단 사격·기병으로 히다카군을 전멸시키고 일기도를 이틀 만에 장악한다","9","10","8","6","10","5","7","10","전력 차이를 공성포격부터 추격까지 단계적으로 보여 주고 섬 점령·왕의 치하를 겹쳐 지급한다"
"352","효종 352화","L06","우회/압박","조선 함대가 하카다 방어선을 속이고 간몬으로 향하자 에도가 해적까지 동원하며 공황에 빠진다","8","8","9","9","5","4","7","8","스네시게의 헛기다림을 풍자적 보상으로 쓰고 좁은 해협·급조 연합함대라는 새 위험을 빠르게 연다"
"334","효종 334화","L01","압박","도현이 발데의 권한을 추궁하고 박노·유형원이 관세·조선법·포교 금지·건설비를 협상한다","6","6","7","9","3","6","4","8","후추의 생활 보상 뒤 곧장 국가 협상으로 전환해 조항마다 압력을 높이고 건설비 충돌에서 끊는다"
"335","효종 335화","L01","보상/재장전","완도 화란 상관 협정이 체결되고 북경에서 예친왕의 수석총·진충군이 포착된다","7","9","9","9","3","5","4","9","직교역의 큰 보상을 지급한 직후 수석총 2천 정이라는 안보 위기로 약속을 즉시 재장전한다"
"336","효종 336화","L02","설계","도현과 함길현이 청 수석총 생산 구조·선교사 기술·태후파 갈등·장인 약점을 연결한다","7","4","8","10","4","6","5","6","정보 밀도가 높은 작전 설계화로 공장보다 장인을 친다는 잔혹한 선택이 다음 행동을 당긴다"
"337","효종 337화","L02","실행","태후가 수석총을 갈라 갖고 주작단은 장인 30명을 죽인 뒤 공장 요새를 폭파한다","9","6","10","6","10","4","8","8","정치 압박에서 매복 학살·야간 침투·연속 폭발로 가속하며 탈출 직전 최고 긴장에 멈춘다"
"338","효종 338화","L02","절정/대가","길천식이 폭약을 안고 추격대에 자폭해 함길현 등 6명만 살아남는다","10","7","8","5","10","8","10","7","공장 파괴의 성취보다 40여 명 전사와 동료 자폭에 오래 머물러 국가 보상의 인명 가격을 각인한다"
"339","효종 339화","L02","여진/전환","도현이 전사자 40명을 애도하고 유가족 보호를 명한 뒤 수석총 대응 합동훈련을 시작한다","8","5","8","7","6","7","10","6","정적인 명단 낭독으로 감정 대가를 결산한 뒤 1만 명 야외 훈련의 포격으로 리듬을 다시 올린다"
"340","효종 340화","L03","전술 보상","도현의 기병 우회와 포병·수석총 화망이 임경업의 청군을 항복시키지만 백군도 4할을 잃는다","8","9","6","7","10","5","6","9","훈련 전투를 길게 펼쳐 지휘 보상을 충분히 주고 승리 직후 4할 손실이라는 반례로 낙관을 제어한다"
"341","효종 341화","L03","여진/국가 보상","세수 1천2백만 냥·풍년·개척지 수확 3배·완도 임시 교역 승인 뒤 숙희와 고양이의 평온을 보여 준다","3","9","6","9","2","8","7","10","전투 직후 국정 숫자와 주민 보상으로 국가 성과를 확인하고 가족 장면으로 완급을 크게 낮춘다"
"342","효종 342화","L04","약속/파급","장태범이 다기·연필·인삼차를 금화 2천 개에 팔아 유럽 판로를 열고 나가사키 세수가 절반으로 준다","6","10","8","8","4","6","4","10","흥정의 미시 보상이 조선풍 수출과 막부 재정 손실이라는 국제 파급으로 단계적으로 확대된다"
"343","효종 343화","L04","압박","이에미쓰가 해적 위장 습격을 승인하고 도현은 미우라의 상관 폐쇄 요구를 내정간섭으로 제압한다","8","7","9","8","4","8","6","8","공개 외교전에서는 통쾌한 왕권 보상을 주되 군선 3척·1천 명의 비밀 공작을 뒤에 남긴다"
